,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeDT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayUT,awayNT,awayRDE,awaySLB,awayMLB,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDT,awayOLB,awayS,homeDE,homeLILB,homeLOLB,homeRILB,homeROLB,awayILB,homeFB,awayDB,awayLDT,awayRDT,awayWLB,homeCB,awayHB,awayLOT,awayROT,homeDB,homeILB,homeLDT,homeRDT,homeJLB,awayDE,homeOLB,homeLB,awayLOLB,awayROLB,homeHB,awayDL,awayLB,awayOL,homeDL,homeOL,awayMIKE,awaySAM,awayTED,awayWILL,away63,awayMILB,awayMOLB,awayRUSH,homeEND,homeMIKE,homeS,homeT,homeWILL,homeLOT,homeROT,awayJLB,homeBLB,awayLILB,awayRILB,homeUT,homeMILB,homeMOLB,homeH-B,homeSAM,homeTED,homeRUSH,awayH-B,awayEND,awayT,awayBLB,awayNB,home3CB,home33,awaySCB,awayNE,homeNE,homeNDB,homeMCB,homeLLB,homeRLB,homeNB
141,2010,November 14,10,San Francisco 49ers,St. Louis Rams,Mike Singletary,Steve Spagnuolo,3-6,4-5,outdoors,grass ,San Francisco 49ers -4.5,39.0 (over),Troy Smith,Frank Gore,Michael Crabtree,Delanie Walker,Joe Staley,Mike Iupati,David Baas,Adam Snyder,Anthony Davis,,,Aubrayo Franklin,,,,,Shawntae Spencer,Nate Clements,Taylor Mays,Dashon Goldson,Sam Bradford,Steven Jackson,,Mardy Gilyard,,Rodger Saffold,Jacob Bell,Jason Brown,Adam Goldberg,Jason Smith,Chris Long,,,James Hall,Na'il Diggs,James Laurinaitis,Ron Bartell,,Kevin Dockery,Craig Dahl,O.J. Atogwe,,,,,,,,,,Moran Norris,,Fred Robbins,Gary Gibson,Chris Chamberlain,,,,,,,Isaac Sopoaga,Justin Smith,,,,,,,,,,,,,,,,,,,,,,Patrick Willis,,,Parys Haralson,,,,,,,,,,,Manny Lawson,Takeo Spikes,,,,,,,,,,,,,,,,
142,2010,November 14,10,Pittsburgh Steelers,New England Patriots,Mike Tomlin,Bill Belichick,6-3,7-2,outdoors,grass ,Pittsburgh Steelers -4.5,45.0 (over),Ben Roethlisberger,Rashard Mendenhall,Hines Ward,Heath Miller,Jonathan Scott,Ramon Foster,Maurkice Pouncey,Trai Essex,Flozell Adams,,,,,,,,Bryant McFadden,Ike Taylor,Troy Polamalu,Ryan Clark,Tom Brady,BenJarvus Green-Ellis,,Brandon Tate,Rob Gronkowski,Matt Light,Logan Mankins,Dan Koppen,Dan Connolly,Sebastian Vollmer,Ron Brace,,Vince Wilfork,Brandon Deaderick,,,Devin McCourty,,Kyle Arrington,,,,Rob Ninkovich,Patrick Chung,Nick Eason,James Farrior,LaMarr Woodley,Lawrence Timmons,James Harrison,Brandon Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casey Hampton,,,,,
143,2010,November 15,10,Washington Redskins,Philadelphia Eagles,Mike Shanahan,Andy Reid,4-5,6-3,outdoors,grass ,Philadelphia Eagles -3.5,43.5 (over),Donovan McNabb,Keiland Williams,Anthony Armstrong,Fred Davis,Trent Williams,Kory Lichtensteiger,Casey Rabach,Artis Hicks,Jammal Brown,Adam Carriker,,Ma'ake Kemoeatu,Kedric Golston,,,,DeAngelo Hall,Carlos Rogers,LaRon Landry,Kareem Moore,Michael Vick,LeSean McCoy,,DeSean Jackson,Brent Celek,Jason Peters,Todd Herremans,Mike McGlynn,Nick Cole,Winston Justice,Juqua Parker,,,Trent Cole,,Stewart Bradley,Asante Samuel,,Dimitri Patterson,Quintin Mikell,Kurt Coleman,,,,,,Lorenzo Alexander,,Brian Orakpo,,,,Mike Patterson,Antonio Dixon,,,,,,,Rocky McIntosh,,,,,,,,,,,Moise Fokou,,,,,,,Ernie Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2010,November 18,11,Miami Dolphins,Chicago Bears,Tony Sparano,Lovie Smith,5-5,7-3,outdoors,grass ,Miami Dolphins -2.0,40.0 (under),Tyler Thigpen,Ronnie Brown,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Cory Procter,John Jerry,Vernon Carey,Kendall Langford,,Paul Soliai,Randy Starks,Koa Misi,,Cameron Wake,Vontae Davis,Sean Smith,Yeremiah Bell,Reshad Jones,Jay Cutler,Matt Forte,Brandon Manumaleuna,Johnny Knox,Greg Olsen,Frank Omiyale,Chris Williams,Olin Kreutz,Roberto Garza,J'Marcus Webb,Israel Idonije,,Anthony Adams,Julius Peppers,Nick Roach,Brian Urlacher,Tim Jennings,,Charles Tillman,Danieal Manning,Chris Harris,Matt Toeaina,,,,,,,,,Patrick Cobbs,,,,Lance Briggs,,,,,,Karlos Dansby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2010,November 21,11,Dallas Cowboys,Detroit Lions,Jason Garrett,Jim Schwartz,3-7,2-8,retractable roof (closed),matrixturf,Dallas Cowboys -7.0,44.5 (over),Jon Kitna,Felix Jones,Miles Austin,Jason Witten,Doug Free,Kyle Kosier,Andre Gurode,Leonard Davis,Marc Colombo,Stephen Bowen,,Jay Ratliff,Igor Olshansky,Anthony Spencer,,DeMarcus Ware,Terence Newman,Mike Jenkins,,Alan Ball,Shaun Hill,Jerome Felton,,Calvin Johnson,Will Heller,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Turk McBride,,,Kyle Vanden Bosch,,DeAndre Levy,Chris Houston,,Alphonso Smith,Amari Spievey,Louis Delmas,Corey Williams,Julian Peterson,,,,,,,,,,,,,Gerald Sensabaugh,,,,,,,,,,,,,,,,Ashlee Palmer,,,,,,,,,,,,,,,,,,,,,,,,Bradie James,Keith Brooking,,,,,,,,,,,,,,,,,,,
146,2010,November 21,11,Cincinnati Bengals,Buffalo Bills,Marvin Lewis,Chan Gailey,2-8,2-8,outdoors,fieldturf ,Cincinnati Bengals -4.0,41.0 (over),Carson Palmer,,Terrell Owens,Reggie Kelly,,Nate Livings,Kyle Cook,Bobbie Williams,,Robert Geathers,Pat Sims,Domata Peko,Michael Johnson,Rey Maualuga,Dhani Jones,Keith Rivers,Johnathan Joseph,Leon Hall,Roy Williams,Chris Crocker,Ryan Fitzpatrick,Fred Jackson,Corey McIntyre,Steve Johnson,Shawn Nelson,Demetress Bell,Andy Levitre,Geoff Hangartner,Eric Wood,Mansfield Wrotto,Marcus Stroud,,Kyle Williams,Dwan Edwards,Chris Kelsay,Akin Ayodele,Leodis McKelvin,,Drayton Florence,Donte Whitner,Jairus Byrd,,,,,,,,,,,,,,Paul Posluszny,,,,,,,,,,,,,,,Cedric Benson,,,,,,,,,,,,,,,,,,,Andrew Whitworth,Dennis Roland,Reggie Torbor,,,,,,,,,,,,,,,,,,,,,,,,,
147,2010,November 21,11,Pittsburgh Steelers,Oakland Raiders,Mike Tomlin,Tom Cable,7-3,5-5,outdoors,grass ,Pittsburgh Steelers -7.0,41.0 (under),Ben Roethlisberger,Rashard Mendenhall,Hines Ward,Heath Miller,Jonathan Scott,Chris Kemoeatu,Maurkice Pouncey,Ramon Foster,Flozell Adams,,,,,,,,Bryant McFadden,Ike Taylor,Troy Polamalu,Ryan Clark,Jason Campbell,Darren McFadden,Jacoby Ford,Louis Murphy,Zach Miller,Jared Veldheer,Robert Gallery,Samson Satele,Cooper Carlisle,Langston Walker,,,,,,Rolando McClain,,Chris Johnson,,Tyvon Branch,Michael Huff,Richard Seymour,Kamerion Wimbley,,Nick Eason,James Farrior,LaMarr Woodley,Lawrence Timmons,James Harrison,,,,,,,,,,,,,,,,Trevor Scott,,,,,,,,,,,,,,,,,,,,,William Gay,,,,,,,,,,,,,,,,,,,,,,,,,Casey Hampton,,,,,
148,2010,November 21,11,Tennessee Titans,Washington Redskins,Jeff Fisher,Mike Shanahan,5-5,5-5,outdoors,grass ,Tennessee Titans -7.0,44.5 (under),Vince Young,Chris Johnson,Randy Moss,Michael Otto,Michael Roos,Leroy Harris,Eugene Amano,Jake Scott,David Stewart,,Jason Jones,,,,Stephen Tulloch,,,,Chris Hope,Michael Griffin,Donovan McNabb,Clinton Portis,Mike Sellers,Anthony Armstrong,Chris Cooley,Trent Williams,Kory Lichtensteiger,Casey Rabach,Will Montgomery,Jammal Brown,Adam Carriker,,Ma'ake Kemoeatu,Kedric Golston,,,DeAngelo Hall,,Phillip Buchanon,Reed Doughty,Kareem Moore,,,,Dave Ball,,,,,Rocky McIntosh,,,,,,Alterraun Verner,,,,,,,,,,Will Witherspoon,,Lorenzo Alexander,Brian Orakpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2010,November 21,11,Kansas City Chiefs,Arizona Cardinals,Todd Haley,Ken Whisenhunt,6-4,3-7,outdoors,grass ,Kansas City Chiefs -7.0,45.0 (under),Matt Cassel,Thomas Jones,Verran Tucker,Leonard Pope,Branden Albert,Brian Waters,Casey Wiegmann,Ryan Lilja,Barry Richardson,Shaun Smith,,Ron Edwards,Glenn Dorsey,,,,Brandon Flowers,Brandon Carr,Eric Berry,Kendrick Lewis,Derek Anderson,Tim Hightower,,Steve Breaston,Jim Dray,Levi Brown,Alan Faneca,Lyle Sendlein,Deuce Lutui,Jeremy Bridges,,,Bryan Robinson,,,,Dominique Rodgers-Cromartie,,Michael Adams,Adrian Wilson,Kerry Rhodes,Darnell Dockett,,,,Jovan Belcher,Mike Vrabel,Derrick Johnson,Tamba Hali,Gerald Hayes,,,,,,,,,,,,,,,Calais Campbell,,,Will Davis,Joey Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2010,November 21,11,Jacksonville Jaguars,Cleveland Browns,Jack Del Rio,Eric Mangini,6-4,3-7,outdoors,grass ,Jacksonville Jaguars -2.5,43.0 (over),David Garrard,Maurice Jones-Drew,Mike Thomas,Zach Miller,Eugene Monroe,Vince Manuwai,Brad Meester,Uche Nwaneri,Jordan Black,,Terrance Knighton,,,,,,,,Courtney Greene,Don Carey,Colt McCoy,Peyton Hillis,,Mohamed Massaquoi,Ben Watson,Joe Thomas,Eric Steinbach,Alex Mack,Shawn Lauvao,John St. Clair,Kenyon Coleman,,Ahtyba Rubin,Brian Schaefering,,,Eric Wright,,Sheldon Brown,,,,Matt Roth,Abram Elam,Austen Lane,,,,,Chris Gocong,Greg Jones,,,,,Rashean Mathis,,,,,,,,,,,Kirk Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
