,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeDT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayUT,awayNT,awayRDE,awaySLB,awayMLB,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDT,awayOLB,awayS,homeDE,homeLILB,homeLOLB,homeRILB,homeROLB,awayILB,homeFB,awayDB,awayLDT,awayRDT,awayWLB,homeCB,awayHB,awayLOT,awayROT,homeDB,homeILB,homeLDT,homeRDT,homeJLB,awayDE,homeOLB,homeLB,awayLOLB,awayROLB,homeHB,awayDL,awayLB,awayOL,homeDL,homeOL,awayMIKE,awaySAM,awayTED,awayWILL,away63,awayMILB,awayMOLB,awayRUSH,homeEND,homeMIKE,homeS,homeT,homeWILL,homeLOT,homeROT,awayJLB,homeBLB,awayLILB,awayRILB,homeUT,homeMILB,homeMOLB,homeH-B,homeSAM,homeTED,homeRUSH,awayH-B,awayEND,awayT,awayBLB,awayNB,home3CB,home33,awaySCB,awayNE,homeNE,homeNDB,homeMCB,homeLLB,homeRLB,homeNB
0,2010,September 9,1,New Orleans Saints,Minnesota Vikings,Sean Payton,Brad Childress,1-0,0-1,dome,sportturf,New Orleans Saints -5.0,49.5 (under),Drew Brees,Reggie Bush,Devery Henderson,David Thomas,Jermon Bushrod,Carl Nicks,Jonathan Goodwin,Jahri Evans,Jon Stinchcomb,Alex Brown,Sedrick Ellis,Remi Ayodele,Will Smith,Jo-Lonn Dunbar,Jonathan Vilma,Scott Shanle,Jabari Greer,Tracy Porter,Roman Harper,Malcolm Jenkins,Brett Favre,Adrian Peterson,Naufahu Tahi,Percy Harvin,Visanthe Shiancoe,Bryant McKinnie,Steve Hutchinson,John Sullivan,Anthony Herrera,Phil Loadholt,Ray Edwards,Kevin Williams,Pat Williams,Jared Allen,Chad Greenway,E.J. Henderson,Antoine Winfield,Lito Sheppard,Asher Allen,Husain Abdullah,Madieu Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2010,September 12,1,Pittsburgh Steelers,Atlanta Falcons,Mike Tomlin,Mike Smith,1-0,0-1,outdoors,grass ,Atlanta Falcons -1.5,39.5 (under),Dennis Dixon,Rashard Mendenhall,Hines Ward,Matt Spaeth,Max Starks,Chris Kemoeatu,Maurkice Pouncey,Trai Essex,Flozell Adams,,,Casey Hampton,,,,,Ike Taylor,Bryant McFadden,Troy Polamalu,Ryan Clark,Matt Ryan,Michael Turner,Justin Peelle,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Harvey Dahl,Tyson Clabo,Kroy Biermann,,,John Abraham,,Curtis Lofton,Brent Grimes,,Dunta Robinson,,,Trey Lewis,Mike Peterson,Erik Coleman,Aaron Smith,James Farrior,LaMarr Woodley,Lawrence Timmons,James Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,September 12,1,Chicago Bears,Detroit Lions,Lovie Smith,Jim Schwartz,1-0,0-1,outdoors,grass ,Chicago Bears -6.5,45.0 (under),Jay Cutler,Matt Forte,Devin Aromashodu,Greg Olsen,Chris Williams,Roberto Garza,Olin Kreutz,Lance Louis,Frank Omiyale,Mark Anderson,Tommie Harris,Anthony Adams,Julius Peppers,Pisa Tinoisamoa,Brian Urlacher,Lance Briggs,Zackary Bowman,Charles Tillman,Danieal Manning,Chris Harris,Matthew Stafford,Jahvid Best,,Calvin Johnson,Tony Scheffler,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Cliff Avril,,,Kyle Vanden Bosch,,Landon Johnson,Chris Houston,Aaron Berry,Jonathan Wade,C.C. Brown,Louis Delmas,Ndamukong Suh,Julian Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,September 12,1,Tampa Bay Buccaneers,Cleveland Browns,Raheem Morris,Eric Mangini,1-0,0-1,outdoors,grass ,Tampa Bay Buccaneers -2.5,37.0 (under),Josh Freeman,Cadillac Williams,Mike Williams,Kellen Winslow,Donald Penn,Keydrick Vincent,Jeff Faine,Davin Joseph,Jeremy Trueblood,Kyle Moore,Roy Miller,,Ryan Sims,Quincy Black,Barrett Ruud,Geno Hayes,E.J. Biggers,Ronde Barber,Sean Jones,Tanard Jackson,Jake Delhomme,Peyton Hillis,Lawrence Vickers,Josh Cribbs,Robert Royal,Joe Thomas,Eric Steinbach,Alex Mack,Floyd Womack,John St. Clair,Robaire Smith,,Ahtyba Rubin,,,,Eric Wright,Joe Haden,Sheldon Brown,,,,Marcus Benard,T.J. Ward,,,,,,Scott Fujita,Earnest Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2010,September 12,1,Houston Texans,Indianapolis Colts,Gary Kubiak,Jim Caldwell,1-0,0-1,retractable roof (closed),grass ,Indianapolis Colts -1.0,48.0 (over),Matt Schaub,Arian Foster,Kevin Walter,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Antoine Caldwell,Eric Winston,Antonio Smith,Amobi Okoye,Shaun Cody,Mario Williams,,DeMeco Ryans,Zach Diles,Glover Quin,Kareem Jackson,Bernard Pollard,Eugene Wilson,Peyton Manning,Joseph Addai,,Reggie Wayne,Dallas Clark,Charlie Johnson,Jamey Richard,Jeff Saturday,Mike Pollak,Ryan Diem,Robert Mathis,,,Dwight Freeney,,Gary Brackett,Kelvin Hayden,,Jerraud Powers,Bob Sanders,Antoine Bethea,,,,,,,,,,,Justin Tryon,Daniel Muir,Fili Moala,Clint Session,Brice McCain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010,September 12,1,New England Patriots,Cincinnati Bengals,Bill Belichick,Marvin Lewis,1-0,0-1,outdoors,fieldturf ,New England Patriots -5.5,45.0 (over),Tom Brady,Kevin Faulk,Wes Welker,Aaron Hernandez,Matt Light,Dan Connolly,Dan Koppen,Steve Neal,Sebastian Vollmer,Ron Brace,,,Mike Wright,,,,Darius Butler,Devin McCourty,Brandon Meriweather,Patrick Chung,Carson Palmer,,,Terrell Owens,Reggie Kelly,,Nate Livings,Kyle Cook,Bobbie Williams,,Robert Geathers,,Domata Peko,Antwan Odom,Rey Maualuga,Dhani Jones,Johnathan Joseph,,Leon Hall,Roy Williams,Chris Crocker,Tank Johnson,,,,,,,,,,,,,Keith Rivers,,Cedric Benson,Andrew Whitworth,Dennis Roland,Jonathan Wilhite,Jerod Mayo,Vince Wilfork,Myron Pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2010,September 12,1,Buffalo Bills,Miami Dolphins,Chan Gailey,Tony Sparano,0-1,1-0,outdoors,astroplay ,Miami Dolphins -3.0,39.0 (under),Trent Edwards,Fred Jackson,Lee Evans,,Demetress Bell,Andy Levitre,Geoff Hangartner,Eric Wood,Cornell Green,Marcus Stroud,,Kyle Williams,Dwan Edwards,Chris Kelsay,Andra Davis,Paul Posluszny,Terrence McGee,Drayton Florence,Donte Whitner,George Wilson,Chad Henne,Ronnie Brown,Lousaka Polite,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Joe Berger,John Jerry,Vernon Carey,Kendall Langford,,Randy Starks,Jared Odrick,,,Vontae Davis,Benny Sapp,Jason Allen,Yeremiah Bell,Chris Clemons,,,,,,,,,Bobby Carpenter,,,,,Cameron Wake,,,,,,,,,Chris Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2010,September 12,1,Tennessee Titans,Oakland Raiders,Jeff Fisher,Tom Cable,1-0,0-1,outdoors,grass ,Tennessee Titans -6.5,40.0 (over),Vince Young,Chris Johnson,Nate Washington,Craig Stevens,Michael Roos,Leroy Harris,Eugene Amano,Jake Scott,David Stewart,,Jason Jones,,Dave Ball,,Stephen Tulloch,,Jason McCourty,Cortland Finnegan,Chris Hope,Michael Griffin,Jason Campbell,Darren McFadden,Marcel Reece,Louis Murphy,Zach Miller,Mario Henderson,Robert Gallery,Jared Veldheer,Cooper Carlisle,Langston Walker,,,,,,Rolando McClain,,Stanford Routt,,Tyvon Branch,Michael Huff,Richard Seymour,Kamerion Wimbley,,Jason Babin,,,,,,,,,,,,,,,,,,,,Lamarr Houston,Will Witherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2010,September 12,1,Jacksonville Jaguars,Denver Broncos,Jack Del Rio,Josh McDaniels,1-0,0-1,outdoors,grass ,Jacksonville Jaguars -3.0,41.5 (under),David Garrard,Maurice Jones-Drew,Mike Sims-Walker,Marcedes Lewis,Eugene Monroe,Justin Smiley,Brad Meester,Uche Nwaneri,Eben Britton,,Terrance Knighton,,,,,,,,Anthony Smith,Sean Considine,Kyle Orton,Knowshon Moreno,Spencer Larsen,Brandon Lloyd,Daniel Graham,Ryan Clady,Stanley Daniels,J.D. Walton,Chris Kuper,Zane Beadles,,,Jamal Williams,,,,Champ Bailey,,Andre' Goodman,,,,Jason Hunter,Renaldo Hill,Aaron Kampman,,,,,D.J. Williams,Greg Jones,,,,,Rashean Mathis,,,,,,,,,Justin Bannan,,Kirk Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,September 12,1,New York Giants,Carolina Panthers,Tom Coughlin,John Fox,1-0,0-1,outdoors,fieldturf,New York Giants -6.0,41.0 (over),Eli Manning,Ahmad Bradshaw,Hakeem Nicks,Kevin Boss,David Diehl,Rich Seubert,Shaun O'Hara,Chris Snee,Kareem McKenzie,Justin Tuck,,,Osi Umenyiora,Keith Bulluck,Jonathan Goff,Mathias Kiwanuka,Corey Webster,Terrell Thomas,Kenny Phillips,Antrel Rolle,Matt Moore,DeAngelo Williams,Tony Fiammetta,Brandon LaFell,Jeff King,Jordan Gross,Travelle Wharton,Ryan Kalil,Mackenzy Bernadeau,Geoff Schwartz,Charles Johnson,,,Tyler Brayton,James Anderson,Dan Connor,Chris Gamble,,Richard Marshall,Charles Godfrey,Sherrod Martin,,,,,,,,,,,,Edward Johnson,Derek Landri,Jon Beason,,,,,,,Barry Cofield,Chris Canty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,September 12,1,St. Louis Rams,Arizona Cardinals,Steve Spagnuolo,Ken Whisenhunt,0-1,1-0,dome,astroplay ,Arizona Cardinals -3.0,39.5 (under),Sam Bradford,,Mark Clayton,Billy Bajema,Rodger Saffold,Jacob Bell,Jason Brown,Adam Goldberg,Jason Smith,Chris Long,,,James Hall,Na'il Diggs,James Laurinaitis,Larry Grant,Ron Bartell,Bradley Fletcher,Craig Dahl,O.J. Atogwe,Derek Anderson,Tim Hightower,,Steve Breaston,Ben Patrick,Levi Brown,Alan Faneca,Lyle Sendlein,Deuce Lutui,Brandon Keith,,,Bryan Robinson,,,,Dominique Rodgers-Cromartie,,Greg Toler,Adrian Wilson,Kerry Rhodes,Darnell Dockett,,,,,,,,Daryl Washington,,,,,,,,,,,,Fred Robbins,Gary Gibson,,Calais Campbell,,,Clark Haggans,Joey Porter,Steven Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2010,September 12,1,Philadelphia Eagles,Green Bay Packers,Andy Reid,Mike McCarthy,0-1,1-0,outdoors,grass ,Green Bay Packers -3.0,48.0 (under),Michael Vick,,Jeremy Maclin,Brent Celek,,,,,,,,,,,,,,,,,Aaron Rodgers,Ryan Grant,Korey Hall,Greg Jennings,Jermichael Finley,,,,,,,,,,,,,Charles Woodson,,,,,,,,,,,,,,Nick Collins,,,,Ellis Hobbs,,,,Quintin Mikell,,,,,,,Akeem Jordan,,,,B.J. Raji,Brad Jones,Mark Tauscher,Mike Patterson,Jason Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2010,September 12,1,Seattle Seahawks,San Francisco 49ers,Pete Carroll,Mike Singletary,1-0,0-1,outdoors,fieldturf ,San Francisco 49ers -3.0,37.0 (push),Matt Hasselbeck,Justin Forsett,Mike Williams,Chris Baker,Tyler Polumbus,Mike Gibson,Chris Spencer,Max Unger,Sean Locklear,Chris Clemons,,,Red Bryant,,Lofa Tatupu,,Marcus Trufant,Kelly Jennings,Lawyer Milloy,Earl Thomas,Alex Smith,Frank Gore,,Josh Morgan,Delanie Walker,Joe Staley,Mike Iupati,David Baas,Chilo Rachal,Anthony Davis,,,Aubrayo Franklin,,,,Shawntae Spencer,,Nate Clements,Michael Lewis,Dashon Goldson,,,,,,,,,,,,Isaac Sopoaga,Justin Smith,,,,,,,,Brandon Mebane,Colin Cole,,,David Hawthorne,,,,,,,,,,Patrick Willis,Manny Lawson,Takeo Spikes,Parys Haralson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2010,September 12,1,Washington Redskins,Dallas Cowboys,Mike Shanahan,Wade Phillips,1-0,0-1,outdoors,grass ,Dallas Cowboys -3.0,40.0 (under),Donovan McNabb,Clinton Portis,Santana Moss,Chris Cooley,Trent Williams,Derrick Dockery,Casey Rabach,Artis Hicks,Jammal Brown,Adam Carriker,,Ma'ake Kemoeatu,Kedric Golston,,,,DeAngelo Hall,Carlos Rogers,LaRon Landry,Reed Doughty,Tony Romo,Marion Barber III,,Roy Williams,Jason Witten,Doug Free,,Andre Gurode,Leonard Davis,Alex Barron,Marcus Spears,,Jay Ratliff,Igor Olshansky,Anthony Spencer,,Terence Newman,,Mike Jenkins,Gerald Sensabaugh,Alan Ball,,,,,,Andre Carter,,Brian Orakpo,,Mike Sellers,,,,DeMarcus Ware,,,,,,Rocky McIntosh,,,,,,,,,,,,,,,,,,,Montrae Holland,Bradie James,Keith Brooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010,September 13,1,New York Jets,Baltimore Ravens,Rex Ryan,John Harbaugh,0-1,1-0,outdoors,fieldturf,New York Jets -1.0,36.5 (under),Mark Sanchez,Shonn Greene,Braylon Edwards,Matthew Mulligan,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Damien Woody,,,Kris Jenkins,,,,,,,,,Joe Flacco,Ray Rice,,Derrick Mason,Todd Heap,Michael Oher,Ben Grubbs,Matt Birk,Chris Chester,Marshal Yanda,,,Kelly Gregg,,,,Chris Carr,,Fabian Washington,Dawan Landry,Tom Zbikowski,Haloti Ngata,,,,,,,,,,,,,,Darrelle Revis,,,,,,,,,Cory Redding,Bryan Thomas,,,,,,,,,,Ray Lewis,Jarret Johnson,,Jameel McClain,,,,Terrell Suggs,Shaun Ellis,David Harris,Jim Leonhard,Sione Pouha,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010,September 13,1,Kansas City Chiefs,San Diego Chargers,Todd Haley,Norv Turner,1-0,0-1,outdoors,grass ,San Diego Chargers -4.0,45.5 (under),Matt Cassel,Thomas Jones,Chris Chambers,Tony Moeaki,Branden Albert,Brian Waters,Casey Wiegmann,Ryan Lilja,Barry Richardson,Tyson Jackson,,Ron Edwards,Glenn Dorsey,,,,Brandon Flowers,Brandon Carr,Eric Berry,Jon McGraw,Philip Rivers,Ryan Mathews,,Malcom Floyd,Antonio Gates,Brandyn Dombrowski,Kris Dielman,Nick Hardwick,Louis Vasquez,Jeromey Clary,,,,,,,Quentin Jammer,,Antoine Cason,Steve Gregory,Eric Weddle,Antonio Garay,Shaun Phillips,,,Jovan Belcher,Mike Vrabel,Derrick Johnson,Tamba Hali,Stephen Cooper,Tim Castille,,,,,,,,,,,,,,Luis Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2010,September 19,2,Cincinnati Bengals,Baltimore Ravens,Marvin Lewis,John Harbaugh,1-1,1-1,outdoors,fieldturf ,Baltimore Ravens -3.0,39.5 (under),Carson Palmer,,Terrell Owens,Dennis Roland,,Nate Livings,Kyle Cook,Bobbie Williams,,Robert Geathers,Tank Johnson,Domata Peko,Antwan Odom,Rey Maualuga,Dhani Jones,Brandon Johnson,Johnathan Joseph,Leon Hall,Roy Williams,Chris Crocker,Joe Flacco,Ray Rice,Le'Ron McClain,Derrick Mason,Todd Heap,Michael Oher,Ben Grubbs,Matt Birk,Chris Chester,Marshal Yanda,,,Kelly Gregg,,,,Chris Carr,,Fabian Washington,Dawan Landry,Tom Zbikowski,Haloti Ngata,,,,,,,,,,,,,,,,,,,,,,,Cory Redding,,,,,Cedric Benson,,,,,,Ray Lewis,Jarret Johnson,,Jameel McClain,,,,Terrell Suggs,,,,,,Andrew Whitworth,Andre Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2010,September 19,2,Green Bay Packers,Buffalo Bills,Mike McCarthy,Chan Gailey,2-0,0-2,outdoors,grass ,Green Bay Packers -13.0,43.0 (under),Aaron Rodgers,Brandon Jackson,Donald Driver,Jermichael Finley,Chad Clifton,Daryn Colledge,Scott Wells,Josh Sitton,Mark Tauscher,Ryan Pickett,,B.J. Raji,Cullen Jenkins,,Nick Barnett,,Charles Woodson,Tramon Williams,Morgan Burnett,Nick Collins,Trent Edwards,Marshawn Lynch,Corey McIntyre,Roscoe Parrish,Jonathan Stupar,Demetress Bell,Andy Levitre,Geoff Hangartner,Eric Wood,Cornell Green,Marcus Stroud,,Kyle Williams,Dwan Edwards,Chris Kelsay,Andra Davis,Terrence McGee,,Drayton Florence,Donte Whitner,Jairus Byrd,,,,,,Clay Matthews,,Brad Jones,,Quinn Johnson,,,,Keith Ellison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggie Torbor,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,,,,
18,2010,September 19,2,Tennessee Titans,Pittsburgh Steelers,Jeff Fisher,Mike Tomlin,1-1,2-0,outdoors,grass ,Tennessee Titans -6.0,37.0 (under),Vince Young,Chris Johnson,Nate Washington,Craig Stevens,Michael Roos,Leroy Harris,Eugene Amano,Jake Scott,David Stewart,Jason Babin,Jason Jones,,Dave Ball,,Stephen Tulloch,,Jason McCourty,Cortland Finnegan,Chris Hope,Michael Griffin,Dennis Dixon,Rashard Mendenhall,,Hines Ward,Heath Miller,Jonathan Scott,Chris Kemoeatu,Maurkice Pouncey,Trai Essex,Flozell Adams,,,Chris Hoke,,,,Ike Taylor,,Bryant McFadden,Troy Polamalu,Ryan Clark,,,,,,,,,,Ahmard Hall,,,,,,,,,,,,,,Aaron Smith,Will Witherspoon,,LaMarr Woodley,James Harrison,,,,,,,,,,,,,,,,,,,,,,,,James Farrior,Lawrence Timmons,,,,,,,,,,,,,,,,,,,,,,
19,2010,September 19,2,Detroit Lions,Philadelphia Eagles,Jim Schwartz,Andy Reid,0-2,1-1,dome,fieldturf ,Philadelphia Eagles -6.5,41.0 (over),Shaun Hill,Jahvid Best,Calvin Johnson,Brandon Pettigrew,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Turk McBride,Ndamukong Suh,,Kyle Vanden Bosch,,Landon Johnson,,Chris Houston,Jonathan Wade,C.C. Brown,Louis Delmas,Michael Vick,LeSean McCoy,,Jason Avant,Brent Celek,Jason Peters,Todd Herremans,Mike McGlynn,Nick Cole,Winston Justice,Juqua Parker,,,Trent Cole,,Omar Gaither,Asante Samuel,Joselio Hanson,Ellis Hobbs,Quintin Mikell,Nate Allen,,,,,,,,,,,,Brandon Graham,Trevor Laws,,Alphonso Smith,,,,,,,,,,Julian Peterson,,,,,,,,,,,,,Ernie Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2010,September 19,2,Cleveland Browns,Kansas City Chiefs,Eric Mangini,Todd Haley,0-2,2-0,outdoors,grass ,Cleveland Browns -3.0,38.0 (under),Seneca Wallace,Jerome Harrison,Mohamed Massaquoi,Evan Moore,Joe Thomas,Eric Steinbach,Alex Mack,Floyd Womack,John St. Clair,Kenyon Coleman,,Ahtyba Rubin,Robaire Smith,,,,Eric Wright,Sheldon Brown,,,Matt Cassel,Thomas Jones,,Dwayne Bowe,Tony Moeaki,Branden Albert,Brian Waters,Casey Wiegmann,Ryan Lilja,Barry Richardson,Shaun Smith,,Ron Edwards,Glenn Dorsey,,,Brandon Flowers,,Brandon Carr,Eric Berry,Kendrick Lewis,,,,,,,,,,,,,,,,,,,,Chris Gocong,,,,,Matt Roth,,Mike Vrabel,Tamba Hali,,,,,,,,,,,,,,,,,T.J. Ward,,,,,,,Jovan Belcher,Derrick Johnson,,,,,,,,,,,,,,,,,,,,,,
21,2010,September 19,2,Atlanta Falcons,Arizona Cardinals,Mike Smith,Ken Whisenhunt,1-1,1-1,dome,fieldturf ,Atlanta Falcons -7.0,43.5 (over),Matt Ryan,Michael Turner,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Harvey Dahl,Tyson Clabo,Kroy Biermann,Corey Peters,,John Abraham,,Curtis Lofton,,Brent Grimes,Dunta Robinson,,,Derek Anderson,Tim Hightower,,Steve Breaston,Stephen Spach,Levi Brown,Alan Faneca,Lyle Sendlein,Deuce Lutui,Brandon Keith,,,Bryan Robinson,,,,Dominique Rodgers-Cromartie,,Greg Toler,Adrian Wilson,Kerry Rhodes,Darnell Dockett,,,,,,,,Paris Lenon,Ovie Mughelli,,,,,Chris Owens,,,,,,,,,Calais Campbell,Sean Weatherspoon,,Clark Haggans,Joey Porter,,,,,,,,,,,,,,,,,William Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2010,September 19,2,Carolina Panthers,Tampa Bay Buccaneers,John Fox,Raheem Morris,0-2,2-0,outdoors,grass ,Carolina Panthers -4.0,37.5 (under),Matt Moore,DeAngelo Williams,Steve Smith,Jeff King,Jordan Gross,Travelle Wharton,Ryan Kalil,Mackenzy Bernadeau,Geoff Schwartz,Charles Johnson,,,Everette Brown,James Anderson,Dan Connor,Jon Beason,Chris Gamble,Richard Marshall,Charles Godfrey,Sherrod Martin,Josh Freeman,Cadillac Williams,,Sammie Stroughter,Jerramy Stevens,Donald Penn,Keydrick Vincent,Jeff Faine,Davin Joseph,Jeremy Trueblood,Gerald McCoy,,,Stylez G. White,Quincy Black,Barrett Ruud,Aqib Talib,,Ronde Barber,Sean Jones,Tanard Jackson,,,,,,,,,,,,Kyle Moore,Roy Miller,Geno Hayes,,,,,,,Edward Johnson,Derek Landri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2010,September 19,2,Minnesota Vikings,Miami Dolphins,Brad Childress,Tony Sparano,0-2,2-0,dome,sportturf,Minnesota Vikings -6.0,41.0 (under),Brett Favre,Adrian Peterson,Greg Lewis,Visanthe Shiancoe,Bryant McKinnie,Steve Hutchinson,John Sullivan,Anthony Herrera,Phil Loadholt,Ray Edwards,,Pat Williams,Jared Allen,Chad Greenway,E.J. Henderson,,Antoine Winfield,Asher Allen,Husain Abdullah,Madieu Williams,Chad Henne,Ronnie Brown,,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Joe Berger,John Jerry,Vernon Carey,Kendall Langford,,Paul Soliai,Randy Starks,,,Vontae Davis,Benny Sapp,Jason Allen,Yeremiah Bell,Chris Clemons,,,,,,,,,Karlos Dansby,,,,,Cameron Wake,Lito Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Williams,,,,,,,,,,,,,,,,,,,,,
24,2010,September 19,2,Dallas Cowboys,Chicago Bears,Wade Phillips,Lovie Smith,0-2,2-0,retractable roof (closed),matrixturf,Dallas Cowboys -7.0,41.5 (over),Tony Romo,Marion Barber III,Miles Austin,Jason Witten,Doug Free,Kyle Kosier,Andre Gurode,Leonard Davis,Marc Colombo,Marcus Spears,,Jay Ratliff,Igor Olshansky,Anthony Spencer,,DeMarcus Ware,Terence Newman,Mike Jenkins,Gerald Sensabaugh,Alan Ball,Jay Cutler,Matt Forte,Brandon Manumaleuna,Devin Hester,Greg Olsen,Chris Williams,Roberto Garza,Olin Kreutz,Lance Louis,Frank Omiyale,Israel Idonije,,Anthony Adams,Julius Peppers,Pisa Tinoisamoa,Brian Urlacher,Zackary Bowman,,Charles Tillman,Danieal Manning,Chris Harris,Tommie Harris,,,,,,,,,Chris Gronkowski,,,,Lance Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradie James,Keith Brooking,,,,,,,,,,,,,,,,,,,
25,2010,September 19,2,Oakland Raiders,St. Louis Rams,Tom Cable,Steve Spagnuolo,1-1,0-2,outdoors,grass ,Oakland Raiders -3.0,37.5 (under),Jason Campbell,Darren McFadden,Louis Murphy,Zach Miller,Mario Henderson,Daniel Loper,Samson Satele,Cooper Carlisle,Langston Walker,,John Henderson,,,,Rolando McClain,,,,Tyvon Branch,Michael Huff,Sam Bradford,,,Danny Amendola,Daniel Fells,Rodger Saffold,Jacob Bell,Jason Brown,Adam Goldberg,Jason Smith,Chris Long,,,James Hall,Na'il Diggs,James Laurinaitis,Ron Bartell,,Bradley Fletcher,Craig Dahl,O.J. Atogwe,,,,Lamarr Houston,,,,,,Marcel Reece,,Fred Robbins,Gary Gibson,Larry Grant,Stanford Routt,Steven Jackson,,,,,,,,,Kamerion Wimbley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2010,September 19,2,Denver Broncos,Seattle Seahawks,Josh McDaniels,Pete Carroll,1-1,1-1,outdoors,grass ,Denver Broncos -3.5,41.0 (over),Kyle Orton,Knowshon Moreno,Brandon Lloyd,Daniel Graham,Ryan Clady,Stanley Daniels,J.D. Walton,Russ Hochstein,Zane Beadles,,,Jamal Williams,,,,,Champ Bailey,Andre' Goodman,,,Matt Hasselbeck,Justin Forsett,Quinton Ganther,Mike Williams,John Carlson,Tyler Polumbus,Ben Hamilton,Chris Spencer,Stacy Andrews,Sean Locklear,Chris Clemons,,,Red Bryant,,Lofa Tatupu,Marcus Trufant,,Kelly Jennings,Lawyer Milloy,Earl Thomas,,David Hawthorne,,Justin Bannan,,,,,,Spencer Larsen,,Brandon Mebane,Colin Cole,,,,,,,D.J. Williams,,,,,Jason Hunter,,,,,,,,,,,,,,,,,,,,Renaldo Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
