,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,over/under
150,November 12,11,1978,59,Minnesota Vikings,Chicago Bears,Bud Grant,Neill Armstrong,7-4,3-8,outdoors,grass,Minnesota Vikings -8.0,Mike Phipps,Fran Tarkenton,15,18,42-186-2,33-90-2,8-18-66-0-3,24-37-245-0-1,3-19,2-22,47,223,233,313,2-1,4-2,4,3,4-40,5-35,
151,November 12,11,1978,59,Seattle Seahawks,Baltimore Colts,Jack Patera,Ted Marchibroda,5-6,5-6,dome,astroturf,Seattle Seahawks -3.5,Bert Jones,Jim Zorn,14,18,40-133-1,31-168-2,13-19-134-1-0,10-24-119-0-1,3-19,3-24,115,95,248,263,5-1,2-2,1,3,10-86,5-35,
152,November 12,11,1978,59,Los Angeles Rams,Pittsburgh Steelers,Ray Malavasi,Chuck Noll,9-2,9-2,outdoors,grass,Los Angeles Rams -3.0,Terry Bradshaw,Pat Haden,12,14,25-59-0,44-192-0,11-25-125-1-3,14-27-140-1-0,1-10,2-19,115,121,174,313,2-0,3-2,3,2,5-48,9-115,
153,November 13,11,1978,59,Cincinnati Bengals,Oakland Raiders,John Madden,,1-10,7-4,outdoors,astroturf,Oakland Raiders -6.0,Ken Stabler,Ken Anderson,11,27,29-98-1,30-93-1,9-19-120-3-0,30-51-388-2-4,2-17,4-33,103,355,201,448,1-0,5-3,0,7,10-84,6-39,
154,November 19,12,1978,59,Tampa Bay Buccaneers,Buffalo Bills,John McKay,Chuck Knox,5-7,3-9,outdoors,grass,Tampa Bay Buccaneers -3.5,Bill Munson,Mike Rae,18,20,26-79-0,46-205-2,18-38-159-1-4,7-14-121-2-1,3-27,2-14,132,107,211,312,1-1,1-1,5,2,5-55,8-100,
155,November 19,12,1978,59,Washington Redskins,St. Louis Cardinals,Jack Pardee,Bud Wilkinson,8-4,4-8,outdoors,grass,Washington Redskins -4.5,Jim Hart,Joe Theismann,18,14,47-166-0,16-18-0,13-29-149-2-2,16-39-267-2-3,1-12,9-74,137,193,303,211,0-0,2-0,2,3,5-55,4-24,
156,November 19,12,1978,59,Minnesota Vikings,San Diego Chargers,Bud Grant,,7-5,6-6,outdoors,grass,Minnesota Vikings -3.5,Dan Fouts,Fran Tarkenton,19,17,43-124-1,21-63-0,13-23-163-1-2,27-42-230-1-2,0-0,2-21,163,209,287,272,3-1,3-2,3,4,4-47,6-53,
157,November 19,12,1978,59,New York Giants,Philadelphia Eagles,John McVay,Dick Vermeil,5-7,7-5,outdoors,astroturf,Philadelphia Eagles -2.0,Ron Jaworski,Joe Pisarcik,23,14,45-150-2,31-100-0,15-31-164-0-3,13-23-181-2-1,0-0,0-0,164,181,314,281,2-0,2-2,3,3,1-5,7-70,
158,November 19,12,1978,59,New York Jets,New England Patriots,Walt Michaels,Chuck Fairbanks,6-6,9-3,outdoors,grass,New England Patriots -6.0,Steve Grogan,Richard Todd,18,12,52-225-2,24-69-1,10-18-99-0-1,14-23-173-1-3,0-0,4-34,99,139,324,208,1-1,0-0,2,3,6-50,5-55,
159,November 19,12,1978,59,Baltimore Colts,Cleveland Browns,Ted Marchibroda,Sam Rutigliano,5-7,6-6,outdoors,grass,Baltimore Colts -6.0,Brian Sipe,Bill Troup,20,22,40-171-1,23-62-1,15-22-309-4-0,24-38-296-2-1,0-0,3-29,309,267,480,329,3-2,2-0,2,1,7-62,4-40,
160,November 19,12,1978,59,Chicago Bears,Atlanta Falcons,Neill Armstrong,Leeman Bennett,4-8,7-5,outdoors,astroturf,Atlanta Falcons -3.0,Steve Bartkowski,Mike Phipps,21,13,42-149-0,42-111-1,16-32-215-1-1,7-14-95-0-0,2-20,2-23,195,72,344,183,3-1,0-0,2,0,8-74,3-30,
161,November 19,12,1978,59,Kansas City Chiefs,Seattle Seahawks,Marv Levy,Jack Patera,2-10,6-6,outdoors,astroturf,Kansas City Chiefs -2.0,Jim Zorn,Mike Livingston,13,20,29-132-1,41-124-0,14-23-142-0-0,18-33-231-1-0,2-17,0-0,125,231,257,355,2-0,7-4,0,4,6-55,7-60,
162,November 19,12,1978,59,Dallas Cowboys,New Orleans Saints,Tom Landry,Dick Nolan,8-4,5-7,outdoors,astroturf,Dallas Cowboys -13.0,Archie Manning,Roger Staubach,15,17,17-62-1,42-198-2,24-39-235-0-3,9-15-141-1-0,2-20,4-35,215,106,277,304,1-1,1-0,4,0,6-50,6-65,
163,November 19,12,1978,59,Denver Broncos,Green Bay Packers,Red Miller,Bart Starr,8-4,7-5,outdoors,grass,Denver Broncos -9.0,David Whitehurst,Craig Morton,13,19,31-84-0,46-215-1,9-17-188-0-1,12-17-174-1-0,2-9,4-30,179,144,263,359,0-0,1-0,1,0,6-45,10-96,
164,November 19,12,1978,59,San Francisco 49ers,Los Angeles Rams,Ray Malavasi,,1-11,10-2,outdoors,astroturf,Los Angeles Rams -10.0,Pat Haden,Scott Bull,21,16,37-131-1,45-165-3,17-25-267-2-0,9-15-113-0-1,2-12,4-30,255,83,386,248,5-3,0-0,3,1,8-49,7-40,
165,November 19,12,1978,59,Pittsburgh Steelers,Cincinnati Bengals,Chuck Noll,,10-2,1-11,outdoors,astroturf,Pittsburgh Steelers -11.0,Ken Anderson,Terry Bradshaw,15,14,31-97-0,34-70-1,14-29-164-0-2,12-30-117-0-4,3-15,2-33,149,84,246,154,4-3,4-1,5,5,5-44,2-34,
166,November 19,12,1978,59,Oakland Raiders,Detroit Lions,John Madden,Monte Clark,8-4,4-8,outdoors,grass,Oakland Raiders -7.0,Gary Danielson,Ken Stabler,18,24,29-120-1,46-161-2,18-31-234-1-2,13-22-149-1-0,3-26,3-30,208,119,328,280,4-2,5-1,4,1,12-75,11-115,
167,November 20,12,1978,59,Houston Oilers,Miami Dolphins,Bum Phillips,Don Shula,8-4,8-4,dome,astroturf,Houston Oilers -2.0,Bob Griese,Dan Pastorini,27,23,32-127-2,42-265-4,23-33-349-2-1,10-15-156-1-1,3-22,2-15,327,141,454,406,2-1,1-0,2,1,9-96,8-58,
168,November 23,13,1978,59,Detroit Lions,Denver Broncos,Monte Clark,Red Miller,5-8,8-5,dome,astroturf,Denver Broncos -3.5,Craig Morton,Gary Danielson,16,15,31-128-1,37-139-2,11-22-146-1-0,10-18-112-0-1,6-41,1-7,105,105,233,244,1-1,1-0,1,1,9-74,3-15,
169,November 23,13,1978,59,Dallas Cowboys,Washington Redskins,Tom Landry,Jack Pardee,9-4,8-5,outdoors,astroturf,Dallas Cowboys -11.5,Joe Theismann,Roger Staubach,11,26,29-81-0,54-289-3,10-24-150-1-0,9-19-218-1-1,3-30,0-0,120,218,201,507,1-1,1-1,1,2,11-100,8-81,
170,November 26,13,1978,59,Cleveland Browns,Los Angeles Rams,Sam Rutigliano,Ray Malavasi,7-6,10-3,outdoors,grass,Los Angeles Rams -4.5,Pat Haden,Brian Sipe,24,16,31-148-0,32-130-3,22-45-223-1-4,15-24-246-1-1,2-8,2-19,215,227,363,357,1-1,5-2,5,3,10-105,10-102,
171,November 26,13,1978,59,Atlanta Falcons,New Orleans Saints,Leeman Bennett,Dick Nolan,8-5,5-8,outdoors,grass,Atlanta Falcons -3.5,Archie Manning,Steve Bartkowski,13,25,33-130-1,35-130-1,13-24-241-1-1,23-44-266-1-3,4-36,2-11,205,255,335,385,3-1,2-1,2,4,6-74,6-45,
172,November 26,13,1978,59,Buffalo Bills,New York Giants,Chuck Knox,John McVay,4-9,5-8,outdoors,astroturf,Buffalo Bills -3.0,Joe Pisarcik,Joe Ferguson,15,27,33-99-0,49-366-5,15-24-230-2-1,9-15-106-1-1,1-8,1-7,222,99,321,465,0-0,3-0,1,1,5-57,6-40,
173,November 26,13,1978,59,Miami Dolphins,New York Jets,Don Shula,Walt Michaels,8-5,7-6,outdoors,grass,Miami Dolphins -7.5,Matt Robinson,Bob Griese,18,18,35-85-2,27-106-0,17-26-257-1-1,20-34-187-1-3,3-35,3-37,222,150,307,256,2-0,2-1,1,4,4-34,4-20,
174,November 26,13,1978,59,Houston Oilers,Cincinnati Bengals,Bum Phillips,,9-4,1-12,dome,astroturf,Houston Oilers -7.5,Ken Anderson,Dan Pastorini,19,17,36-142-0,37-153-1,17-25-141-1-0,9-20-157-1-2,5-46,1-9,95,148,237,301,0-0,1-0,0,2,5-35,6-35,
175,November 26,13,1978,59,St. Louis Cardinals,Philadelphia Eagles,Bud Wilkinson,Dick Vermeil,4-9,8-5,outdoors,astroturf,St. Louis Cardinals -3.5,Ron Jaworski,Jim Hart,15,17,37-95-1,25-102-0,13-25-156-1-0,20-37-197-1-2,1-7,1-5,149,192,244,294,1-0,2-1,0,3,8-74,3-25,
176,November 26,13,1978,59,Green Bay Packers,Minnesota Vikings,Bart Starr,Bud Grant,7-5-1,7-5-1,outdoors,grass,Minnesota Vikings -3.5,Fran Tarkenton,David Whitehurst,15,16,42-111-0,54-154-1,20-37-199-1-4,11-23-175-0-0,3-17,2-11,182,164,293,318,3-1,4-3,5,3,6-40,4-19,
177,November 26,13,1978,59,Chicago Bears,Tampa Bay Buccaneers,Neill Armstrong,John McKay,5-8,5-8,outdoors,astroturf,Chicago Bears -3.5,Mike Rae,Bob Avellini,6,17,22-99-0,60-251-2,5-13-54-0-0,4-7-62-0-1,8-61,1-12,-7,50,92,301,2-1,0-0,1,1,2-20,6-60,
178,November 26,13,1978,59,Kansas City Chiefs,San Diego Chargers,Marv Levy,,3-10,6-7,outdoors,astroturf,San Diego Chargers -4.5,James Harris,Mike Livingston,11,19,20-75-0,47-238-0,15-41-164-0-5,13-21-136-2-0,0-0,1-21,164,115,239,353,3-1,5-3,6,3,4-32,8-70,
179,November 26,13,1978,59,Baltimore Colts,New England Patriots,Ted Marchibroda,Chuck Fairbanks,5-8,10-3,outdoors,grass,New England Patriots -7.0,Steve Grogan,Bill Troup,15,18,36-228-2,34-145-0,9-20-247-2-1,15-28-246-1-2,2-15,8-91,232,155,460,300,3-1,3-1,2,3,1-15,3-19,
180,November 26,13,1978,59,Oakland Raiders,Seattle Seahawks,John Madden,Jack Patera,8-5,7-6,outdoors,grass,Oakland Raiders -8.0,Jim Zorn,Ken Stabler,20,20,34-84-0,34-133-1,23-44-270-2-1,17-31-218-1-0,1-7,2-20,263,198,347,331,1-1,2-1,2,1,3-20,5-45,
