,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,over/under
208,December 10,15,1978,59,Denver Broncos,Kansas City Chiefs,Red Miller,Marv Levy,10-5,4-11,outdoors,grass,Denver Broncos -8.0,Mike Livingston,Craig Morton,13,20,27-99-0,35-190-0,19-29-115-0-1,20-23-297-3-1,2-15,4-26,100,271,199,461,3-2,2-1,3,2,3-25,9-85,
209,December 11,15,1978,59,Los Angeles Rams,Cincinnati Bengals,Ray Malavasi,,11-4,3-12,outdoors,grass,Los Angeles Rams -6.5,Ken Anderson,Pat Haden,18,21,38-161-1,32-136-1,13-27-227-1-2,16-37-283-0-2,3-21,1-4,206,279,367,415,0-0,1-1,2,3,7-49,7-57,
210,December 16,16,1978,59,Washington Redskins,Chicago Bears,Jack Pardee,Neill Armstrong,8-8,7-9,outdoors,grass,Washington Redskins -6.0,Mike Phipps,Joe Theismann,10,16,40-170-1,31-124-0,6-10-44-0-3,21-31-198-1-2,0-0,2-17,44,181,214,305,0-0,1-1,3,3,6-45,5-45,
211,December 16,16,1978,59,Denver Broncos,Pittsburgh Steelers,Red Miller,Chuck Noll,10-6,14-2,outdoors,grass,Denver Broncos -1.5,Terry Bradshaw,Norris Weese,14,19,38-116-1,26-74-0,13-19-160-2-2,15-26-274-2-1,2-16,6-48,144,226,260,300,2-0,2-1,2,2,6-82,10-72,
212,December 17,16,1978,59,Tampa Bay Buccaneers,New Orleans Saints,John McKay,Dick Nolan,5-11,7-9,outdoors,grass,New Orleans Saints -3.5,Archie Manning,Doug Williams,24,10,38-171-1,22-102-0,25-36-250-1-2,7-23-96-1-0,0-0,2-21,250,75,421,177,2-1,1-0,3,0,5-49,5-30,
213,December 17,16,1978,59,Philadelphia Eagles,New York Giants,Dick Vermeil,John McVay,9-7,6-10,outdoors,astroturf,Philadelphia Eagles -6.5,Joe Pisarcik,Ron Jaworski,11,16,18-48-0,52-238-2,18-30-206-0-3,4-13-72-0-1,4-31,1-8,175,64,223,302,5-2,1-1,5,2,7-66,8-67,
214,December 17,16,1978,59,Detroit Lions,San Francisco 49ers,Monte Clark,,7-9,2-14,dome,astroturf,Detroit Lions -10.0,Freddie Solomon,Gary Danielson,20,17,49-231-1,32-69-2,8-21-182-1-3,15-30-180-0-1,4-44,3-28,138,152,369,221,10-4,1-1,7,2,12-106,7-57,
215,December 17,16,1978,59,Cincinnati Bengals,Cleveland Browns,Sam Rutigliano,,4-12,8-8,outdoors,astroturf,Cincinnati Bengals -3.5,Mark Miller,Ken Anderson,17,27,37-222-2,48-245-2,6-23-129-0-2,16-24-261-3-1,3-23,2-12,106,249,328,494,5-4,4-2,6,3,2-15,7-57,
216,December 17,16,1978,59,New York Jets,Dallas Cowboys,Walt Michaels,Tom Landry,8-8,12-4,outdoors,grass,Dallas Cowboys -6.0,Danny White,Matt Robinson,23,11,52-190-3,19-68-0,15-24-156-0-1,8-28-102-1-3,0-0,5-33,156,69,346,137,4-0,3-1,1,4,4-25,1-10,
217,December 17,16,1978,59,St. Louis Cardinals,Atlanta Falcons,Bud Wilkinson,Leeman Bennett,6-10,9-7,outdoors,astroturf,St. Louis Cardinals -1.0,Steve Bartkowski,Jim Hart,18,24,18-41-1,36-79-3,21-42-312-1-3,23-42-362-3-1,4-42,2-14,270,348,311,427,3-3,1-1,6,2,5-27,6-45,
218,December 17,16,1978,59,Baltimore Colts,Buffalo Bills,Ted Marchibroda,Chuck Knox,5-11,5-11,outdoors,grass,Baltimore Colts -3.0,Joe Ferguson,Bill Troup,16,18,45-193-2,46-139-1,3-13-53-1-0,5-16-71-1-1,0-0,4-38,53,33,246,172,2-1,2-1,1,2,13-112,8-55,
219,December 17,16,1978,59,Seattle Seahawks,Kansas City Chiefs,Jack Patera,Marv Levy,9-7,4-12,dome,astroturf,Seattle Seahawks -6.5,Mike Livingston,Jim Zorn,18,26,36-253-2,45-204-2,5-19-66-0-3,19-30-265-1-1,3-22,2-13,44,252,297,456,1-0,3-1,3,2,2-10,4-60,
220,December 17,16,1978,59,Oakland Raiders,Minnesota Vikings,John Madden,Bud Grant,9-7,8-7-1,outdoors,grass,Oakland Raiders -3.0,Fran Tarkenton,Ken Stabler,21,16,21-90-0,50-168-1,23-38-316-3-5,16-27-154-1-0,1-17,1-11,299,143,389,311,2-2,2-2,7,2,5-35,8-55,
221,December 17,16,1978,59,Houston Oilers,San Diego Chargers,Bum Phillips,,10-6,9-7,dome,astroturf,Houston Oilers -3.5,Dan Fouts,Dan Pastorini,24,14,39-149-2,27-117-0,21-41-369-4-2,16-33-165-3-2,1-1,2-12,368,153,517,270,1-1,3-1,3,3,11-90,6-35,
222,December 17,16,1978,59,Los Angeles Rams,Green Bay Packers,Ray Malavasi,Bart Starr,12-4,8-7-1,outdoors,grass,Los Angeles Rams -8.0,David Whitehurst,Pat Haden,17,18,29-75-1,44-178-2,13-27-185-1-3,9-26-140-1-1,2-19,2-19,166,121,241,299,1-1,1-0,4,1,5-23,8-55,
223,December 18,16,1978,59,Miami Dolphins,New England Patriots,Don Shula,"Hank Bullough, Ron Erhardt and Chuck Fairbanks",11-5,11-5,outdoors,grass,Miami Dolphins -3.5,Tom Owen,Bob Griese,16,12,27-77-0,36-114-1,19-34-240-0-3,12-13-171-2-0,3-21,0-0,219,171,296,285,3-1,1-1,4,1,7-50,2-15,
224,December 24,WildCard,1978,59,Atlanta Falcons,Philadelphia Eagles,Leeman Bennett,Dick Vermeil,10-7,9-8,outdoors,grass,Atlanta Falcons -2.5,Ron Jaworski,Steve Bartkowski,15,14,32-53-1,27-75-0,19-35-190-1-0,18-32-243-2-2,3-26,2-20,164,223,217,298,3-2,3-3,2,5,5-60,6-63,
225,December 24,WildCard,1978,59,Miami Dolphins,Houston Oilers,Don Shula,Bum Phillips,11-6,11-6,outdoors,grass,Miami Dolphins -6.5,Dan Pastorini,Bob Griese,23,14,45-165-1,25-91-0,20-30-306-1-0,12-30-137-1-3,2-16,2-19,290,118,455,209,3-1,2-2,1,5,5-37,1-5,
226,December 30,Division,1978,59,Pittsburgh Steelers,Denver Broncos,Chuck Noll,Red Miller,15-2,10-7,outdoors,astroturf,Pittsburgh Steelers -7.0,Norris Weese,Terry Bradshaw,15,24,27-87-1,40-153-2,12-22-168-0-0,16-29-272-2-1,6-37,0-0,131,272,218,425,2-2,4-1,2,2,8-104,11-88,
227,December 30,Division,1978,59,Dallas Cowboys,Atlanta Falcons,Tom Landry,Leeman Bennett,13-4,10-8,outdoors,astroturf,Dallas Cowboys -15.0,Steve Bartkowski,Danny White,16,26,36-164-1,37-148-2,8-23-95-1-3,17-37-232-1-1,5-43,1-11,52,221,216,369,0-0,6-3,3,4,7-69,7-65,
228,December 31,Division,1978,59,New England Patriots,Houston Oilers,Chuck Fairbanks,Bum Phillips,11-6,12-6,outdoors,astroturf,New England Patriots -6.0,Dan Pastorini,Tom Owen,21,15,54-174-1,20-83-0,12-15-200-3-1,16-35-206-2-3,3-30,4-26,170,180,344,263,1-0,2-0,1,3,2-25,8-92,
229,December 31,Division,1978,59,Los Angeles Rams,Minnesota Vikings,Ray Malavasi,Bud Grant,13-4,8-8-1,outdoors,grass,Los Angeles Rams -7.5,Fran Tarkenton,Pat Haden,12,25,16-36-0,48-200-2,18-38-219-1-2,15-29-209-2-1,1-11,0-0,208,209,244,409,2-0,1-0,2,1,2-12,4-35,
230,January 7,ConfChamp,1979,59,Pittsburgh Steelers,Houston Oilers,Chuck Noll,Bum Phillips,16-2,12-7,outdoors,astroturf,Pittsburgh Steelers -7.0,Dan Pastorini,Terry Bradshaw,10,21,26-72-0,47-179-2,12-26-96-0-5,11-19-200-2-2,4-26,0-0,70,200,142,379,6-4,6-3,9,5,5-48,4-32,
231,January 7,ConfChamp,1979,59,Los Angeles Rams,Dallas Cowboys,Ray Malavasi,Tom Landry,13-5,14-4,outdoors,grass,Dallas Cowboys -3.5,Roger Staubach,Pat Haden,16,15,33-126-1,31-81-0,13-25-126-2-2,14-35-206-0-5,3-17,3-10,109,196,235,277,2-1,3-2,3,7,10-85,5-40,
232,January 21,SuperBowl,1979,59,Pittsburgh Steelers,Dallas Cowboys,Tom Landry,Chuck Noll,14-5,17-2,outdoors,grass,Pittsburgh Steelers -3.5,Roger Staubach,Terry Bradshaw,19,20,24-66-1,32-154-0,17-30-318-4-1,17-30-228-3-1,4-27,5-52,291,176,357,330,2-2,3-2,3,3,5-35,9-89,37.0 (over)
