,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeHB,homeFB,homeFL,homeSE,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeDE,homeNT,homeLOLB,homeLILB,homeRILB,homeROLB,homeLCB,homeRCB,homeSS,homeFS,awayOE,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayDT,awayNT,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayLDT,awayLOLB,awayRDE,awayRDT,awayROLB,homeLDE,homeLDT,homeMLB,homeRB,homeRDE,homeRDT,homeWR,awayLLB,awayRLB,homeDT,homeOLB,homeILB,homeSLB,homeWLB,homeUT,awayBLB,awayUT,awayOLB,awayS,homeLLB,homeRLB,awayHB,homeMIKE,homeSAM,homeWILL,awayJLB,awayLILB,awayRILB,awayH-B,awayCB,awayILB,homeCB,homeDB,awayDE,homeLOT,homeROT,awayLB,homeH-B,homeOE,homeBLB,homeDL,homeS,homeJLB,awayFL,awaySE,awayLOT,awayROT,awaySAM,awayWILL,awayDB,awayTB,homeLB,homeNB,awayMIKE,homeXDB,awayDL
10,September 10,1,2006,87,Green Bay Packers,Chicago Bears,0,26,Mike McCarthy,Lovie Smith,0-1,1-0,outdoors,grass,Chicago Bears -3.5,35.0 (under),Brett Favre,,Vonta Leach,,,David Martin,Chad Clifton,Jason Spitz,Scott Wells,Tony Moll,Mark Tauscher,,,,,,,Charles Woodson,Al Harris,Marquand Manuel,Nick Collins,,Rex Grossman,Thomas Jones,Jason McKie,Muhsin Muhammad,Desmond Clark,John Tait,Ruben Brown,Olin Kreutz,Roberto Garza,Fred Miller,Adewale Ogunleye,,,Hunter Hillenmeyer,Brian Urlacher,Lance Briggs,Charles Tillman,,Mike Brown,Chris Harris,18,14,36-109-0,23-103-0,19-27-258-1-1,16-30-186-0-2,1-6,3-22,252,164,361,267,0-0,1-1,1,3,4-25,5-45,4-14,1-11,1-1,2-3,34:05,25:55,Tommie Harris,,Alex Brown,Ian Scott,,Aaron Kampman,Colin Cole,,Ahman Green,Kabeer Gbaja-Biamila,Ryan Pickett,Donald Driver,,,,,,,,,,,,,,,,Nick Barnett,Brady Poppinga,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,September 10,1,2006,87,Jacksonville Jaguars,Dallas Cowboys,24,17,Jack Del Rio,Bill Parcells,1-0,0-1,outdoors,grass,Dallas Cowboys -2.5,36.5 (over),Byron Leftwich,,Derrick Wimbush,,,Kyle Brady,Khalif Barnes,Vince Manuwai,Brad Meester,Chris Naeole,Maurice Williams,,,,,,,Rashean Mathis,Brian Williams,Donovin Darius,Deon Grant,,Drew Bledsoe,Julius Jones,,Terrell Owens,Jason Witten,Flozell Adams,Kyle Kosier,Andre Gurode,Marco Rivera,Marc Colombo,Marcus Spears,,Jason Ferguson,Greg Ellis,Bradie James,DeMarcus Ware,Terence Newman,Anthony Henry,Roy Williams,Pat Watkins,14,22,22-88-1,32-78-2,16-33-246-1-3,23-34-237-1-1,2-11,1-8,235,229,323,307,0-0,1-0,3,1,9-93,2-41,6-15,5-13,1-1,0-0,25:48,34:12,,,Chris Canty,,,Reggie Hayward,Marcus Stroud,Mike Peterson,Fred Taylor,Paul Spicer,John Henderson,Reggie Williams,,,,Daryl Smith,,,,,,,,,,,,,,,Akin Ayodele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,September 10,1,2006,87,Arizona Cardinals,San Francisco 49ers,34,27,Dennis Green,Mike Nolan,1-0,0-1,retractable roof (closed),grass,Arizona Cardinals -9.5,44.0 (over),Kurt Warner,,,,,Fred Wakefield,Leonard Davis,Reggie Wells,Alex Stepanovich,Milford Brown,Chris Liwienski,,Kendrick Clancy,,,,,Antrel Rolle,David Macklin,Adrian Wilson,Robert Griffith,,Alex Smith,Frank Gore,Chris Hetherington,Antonio Bryant,Vernon Davis,Jonas Jennings,Larry Allen,Eric Heitmann,Justin Smiley,Kwame Harris,Bryant Young,,Anthony Adams,,,,Shawntae Spencer,Walt Harris,Tony Parrish,Mike Adams,19,23,18-107-2,29-84-1,23-40-288-1-0,23-37-301-3-0,1-2,3-18,286,283,393,367,2-2,3-1,2,1,8-62,11-85,1-9,7-14,1-1,0-0,24:58,35:02,,Melvin Oliver,Marques Douglas,,Manny Lawson,Chike Okeafor,,Gerald Hayes,Edgerrin James,Bertrand Berry,,Anquan Boldin,,,,,,Calvin Pace,Orlando Huff,Darnell Dockett,,,,,,,,,,,,Derek Smith,Jeff Ulbrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,September 10,1,2006,87,New York Giants,Indianapolis Colts,21,26,Tom Coughlin,Tony Dungy,0-1,1-0,outdoors,fieldturf,Indianapolis Colts -3.0,47.5 (under),Eli Manning,,Jim Finn,,,Jeremy Shockey,Luke Petitgout,David Diehl,Shaun O'Hara,Chris Snee,Kareem McKenzie,,Barry Cofield,,,,,Corey Webster,Sam Madison,Gibril Wilson,Will Demps,,Peyton Manning,Dominic Rhodes,,Reggie Wayne,Dallas Clark,Tarik Glenn,Dylan Gandy,Jeff Saturday,Jake Scott,Ryan Diem,Robert Mathis,,,Gilbert Gardner,Gary Brackett,Cato June,Nick Harper,Jason David,Antoine Bethea,Bob Sanders,22,23,23-55-1,28-186-1,25-41-276-1-1,20-34-247-2-1,1-4,0-0,272,247,327,433,0-0,1-1,1,2,3-20,10-64,11-16,4-8,0-0,0-1,29:57,30:03,Montae Reagor,,Dwight Freeney,Raheem Brock,,Michael Strahan,,Antonio Pierce,Tiki Barber,Osi Umenyiora,,Amani Toomer,,,Fred Robbins,,,LaVar Arrington,Carlos Emmons,,,,,,,,,,,,,,,Ben Utecht,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,September 11,1,2006,87,Washington Redskins,Minnesota Vikings,16,19,Joe Gibbs,Brad Childress,0-1,1-0,outdoors,grass,Washington Redskins -4.0,35.5 (under),Mark Brunell,,Antwaan Randle El,,,Chris Cooley,Chris Samuels,Derrick Dockery,Casey Rabach,Randy Thomas,Jon Jansen,,,,,,,Kenny Wright,Carlos Rogers,Adam Archuleta,Sean Taylor,,Brad Johnson,Chester Taylor,Tony Richardson,Troy Williamson,Jim Kleinsasser,Bryant McKinnie,Steve Hutchinson,Matt Birk,Artis Hicks,Marcus Johnson,Kenechi Udeze,,Pat Williams,,Napoleon Harris,E.J. Henderson,Antoine Winfield,Fred Smoot,Darren Sharper,Greg Blue,18,15,34-86-1,25-103-1,16-30-223-1-0,17-28-163-0-0,1-0,0-0,223,163,309,266,2-0,2-0,0,0,9-60,7-55,9-17,4-13,0-0,0-0,31:44,28:16,,,Erasmus James,,,Phillip Daniels,Cornelius Griffin,Lemar Marshall,Ladell Betts,Andre Carter,Joe Salave'a,Santana Moss,,,,,,Marcus Washington,Warrick Holdman,,,Kevin Williams,,,,,,,,,,,,,Ronyell Whitaker,,,,,,,,,,,,,,,,,,,,,,,,,,
15,September 11,1,2006,87,Oakland Raiders,San Diego Chargers,0,27,Art Shell,Marty Schottenheimer,0-1,1-0,outdoors,grass,San Diego Chargers -3.0,41.5 (under),Aaron Brooks,,Zack Crockett,,,Courtney Anderson,Robert Gallery,Barry Sims,Jake Grove,Paul McQuistan,Langston Walker,Tyler Brayton,,,,,,,,Michael Huff,Stuart Schweigert,,Philip Rivers,LaDainian Tomlinson,Lorenzo Neal,Eric Parker,Antonio Gates,Marcus McNeill,Kris Dielman,Nick Hardwick,Mike Goff,Shane Olivea,Luis Castillo,Jamal Williams,,,,,Quentin Jammer,Drayton Florence,Terrence Kiel,Marlon McCree,14,9,48-194-2,20-87-0,8-11-108-1-0,8-19-96-0-0,0-0,9-54,108,42,302,129,1-0,1-1,0,1,3-25,7-54,7-16,2-12,1-1,0-1,35:48,24:12,,,Igor Olshansky,,,,,Kirk Morrison,LaMont Jordan,,,Randy Moss,,,Warren Sapp,Sam Williams,,,,,,,Shaun Phillips,,,,,,,,,,,,,Donnie Edwards,Nnamdi Asomugha,,,,,,,,,,,,,,,,,,,,,,,,
16,September 17,2,2006,87,Green Bay Packers,New Orleans Saints,27,34,Mike McCarthy,Sean Payton,0-2,2-0,outdoors,grass,New Orleans Saints -1.0,40.5 (over),Brett Favre,,William Henderson,,,Bubba Franks,Chad Clifton,Daryn Colledge,Scott Wells,Tony Moll,Mark Tauscher,,,,,,,Charles Woodson,Al Harris,Marquand Manuel,Nick Collins,,Drew Brees,Deuce McAllister,,Marques Colston,,Jammal Brown,Jamar Nesbit,Jeff Faine,Jahri Evans,Jon Stinchcomb,Charles Grant,Brian Young,Hollis Thomas,Scott Fujita,Mark Simoneau,Scott Shanle,Mike McKenzie,Fred Thomas,Roman Harper,Josh Bullocks,20,21,22-48-2,20-63-0,26-41-353-2-1,31-55-340-3-1,4-21,2-18,332,322,380,385,4-2,2-1,3,2,2-14,5-31,6-15,9-18,1-1,0-1,28:04,31:56,,,Will Smith,,,Aaron Kampman,Cullen Jenkins,,Ahman Green,Kabeer Gbaja-Biamila,Ryan Pickett,Donald Driver,,,,,,,,,,,,,,,,Nick Barnett,,A.J. Hawk,,,,,,,,Ahmad Carroll,,,,,,,,,,,,,,,,,,,,,,,
17,September 17,2,2006,87,Philadelphia Eagles,New York Giants,24,30,Andy Reid,Tom Coughlin,1-1,1-1,outdoors,grass,Philadelphia Eagles -3.0,42.0 (over),Donovan McNabb,,,,,Matt Schobel,Tra Thomas,Todd Herremans,Jamaal Jackson,Shawn Andrews,Jon Runyan,,,,,,,Sheldon Brown,Roderick Hood,Michael Lewis,Brian Dawkins,,Eli Manning,Tiki Barber,Jim Finn,Amani Toomer,Jeremy Shockey,Luke Petitgout,David Diehl,Shaun O'Hara,Chris Snee,Kareem McKenzie,Michael Strahan,Fred Robbins,Barry Cofield,LaVar Arrington,Antonio Pierce,Carlos Emmons,Corey Webster,Sam Madison,Gibril Wilson,Will Demps,24,23,26-86-0,30-107-1,31-43-371-3-1,27-45-350-2-0,8-53,1-6,318,344,404,451,3-0,1-1,1,1,9-75,10-66,6-15,6-14,0-1,0-2,38:47,33:02,,,Osi Umenyiora,,,Jevon Kearse,Mike Patterson,Jeremiah Trotter,Brian Westbrook,Darren Howard,Darwin Walker,Donte' Stallworth,,,,,,Dhani Jones,Matt McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,September 17,2,2006,87,Baltimore Ravens,Oakland Raiders,28,6,Brian Billick,Art Shell,2-0,0-2,outdoors,sportturf,Baltimore Ravens -13.0,34.0 (push),Steve McNair,,,,,Daniel Wilcox,Jonathan Ogden,Edwin Mulitalo,Mike Flynn,Keydrick Vincent,Tony Pashos,,Kelly Gregg,,,,,Chris McAlister,Samari Rolle,Dawan Landry,Ed Reed,,Aaron Brooks,LaMont Jordan,Zack Crockett,Alvis Whitted,Courtney Anderson,Chad Slaughter,Barry Sims,Jake Grove,Paul McQuistan,Langston Walker,,Warren Sapp,,,Kirk Morrison,,,,Michael Huff,Stuart Schweigert,14,14,26-39-0,31-138-1,10-27-162-0-3,16-33-143-1-1,6-39,2-17,123,126,162,264,5-3,0-0,6,1,6-45,10-72,2-12,6-18,1-2,0-0,27:59,32:01,,,,,,Trevor Pryce,,Ray Lewis,Jamal Lewis,Terrell Suggs,,Derrick Mason,,,Haloti Ngata,,,,,,,,Grant Irons,,Adalius Thomas,Bart Scott,,,,,,,,,Tyrone Poole,,,,Tyler Brayton,,,,,,,,,,,,,,,,,,,,,,
19,September 17,2,2006,87,Minnesota Vikings,Carolina Panthers,16,13,Brad Childress,John Fox,2-0,0-2,dome,fieldturf,Minnesota Vikings -2.0,37.5 (under),Brad Johnson,,Tony Richardson,,,Jim Kleinsasser,Bryant McKinnie,Steve Hutchinson,Matt Birk,Artis Hicks,Marcus Johnson,,Pat Williams,,,,,Antoine Winfield,Fred Smoot,Darren Sharper,Dwight Smith,,Jake Delhomme,DeShaun Foster,Brad Hoover,Keyshawn Johnson,Mike Seidman,Jordan Gross,Mike Wahle,Geoff Hangartner,Will Montgomery,Todd Fordham,Julius Peppers,,,Thomas Davis,Adam Seward,Chris Draft,Chris Gamble,Ken Lucas,Shaun Williams,Mike Minter,14,17,27-107-1,33-140-0,17-33-181-0-0,20-32-259-1-1,2-17,5-34,164,225,271,365,1-1,0-0,1,1,6-32,9-54,3-14,2-15,0-0,3-3,29:55,37:40,Ma'ake Kemoeatu,,Mike Rucker,Kris Jenkins,,Kenechi Udeze,,Napoleon Harris,Chester Taylor,Erasmus James,,Troy Williamson,,,,,,Ben Leber,E.J. Henderson,Kevin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
