,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeNT,homeLOLB,homeMLB,homeBLB,homeROLB,homeLCB,homeCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayNT,awayRDE,awaySLB,awayMLB,awayLB,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDE,awayLDT,awayRDT,awayWLB,homeHB,homeLDT,homeRDE,homeRDT,homeSLB,homeWLB,awayLILB,awayLOLB,awayOC,awayRILB,awayROLB,homeDE,homeDT,homeFB,homeMIKE,homeOC,homeRLB,homeILB,awayDT,homeOLB,homeS,awayOLB,awayS,awayHB,awayJLB,homeLILB,homeRILB,homeDB,awayUT,homeJLB,homeEND,homeT,homeWILL,awayMIKE,awayRLB,awayBLB,awayILB,awayDB,homeUT,awayMO,awaySAM,awayWILL,homeLLB,awayT,homeSAM,homeLB,away3CB,homeH-B,awayDL,awayH-B,awayNB,homeRUSH,awayRUSH,homeMO,awayEND,awayWIL,awayDE D,homeDE D,awayOT,awayRB/F,homeLOT,homeROT,homeRB/F,homeG,awayTE/W,awayLOT,awayROT,homeNB,homeDL
10,2011,September 11,1,San Diego Chargers,Minnesota Vikings,Norv Turner,Leslie Frazier,1-0,0-1,outdoors,grass ,San Diego Chargers -8.5,43.0 (under),Philip Rivers,Ryan Mathews,Malcom Floyd,Antonio Gates,Marcus McNeill,Kris Dielman,Nick Hardwick,Louis Vasquez,Jeromey Clary,Luis Castillo,,,,,,Quentin Jammer,,Antoine Cason,Bob Sanders,Eric Weddle,Donovan McNabb,,,Percy Harvin,Jim Kleinsasser,Charlie Johnson,Steve Hutchinson,John Sullivan,Anthony Herrera,Phil Loadholt,Brian Robison,Remi Ayodele,Jared Allen,Chad Greenway,,,Antoine Winfield,,Cedric Griffin,Jamarca Sanford,Husain Abdullah,,,,Erin Henderson,,,Corey Liuget,,,,,,,,,,Antonio Garay,Jacob Hester,,,,Donald Butler,,Travis LaBoy,,,,Adrian Peterson,,,,,Letroy Guion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,September 11,1,San Francisco 49ers,Seattle Seahawks,Jim Harbaugh,Pete Carroll,1-0,0-1,outdoors,grass ,San Francisco 49ers -6.0,38.0 (over),Alex Smith,Frank Gore,Braylon Edwards,Delanie Walker,Joe Staley,Mike Iupati,Jonathan Goodwin,Chilo Rachal,Anthony Davis,,Isaac Sopoaga,,,,,Carlos Rogers,,Tarell Brown,Donte Whitner,Madieu Williams,Tarvaris Jackson,Marshawn Lynch,,Ben Obomanu,Anthony McCoy,Russell Okung,James Carpenter,Max Unger,John Moffitt,Breno Giacomini,Chris Clemons,,Red Bryant,,K.J. Wright,,Marcus Trufant,,Brandon Browner,Kam Chancellor,Earl Thomas,,Alan Branch,Brandon Mebane,,,Ray McDonald,,Justin Smith,,,,,,,,,,,,,,Patrick Willis,,Parys Haralson,,LeRoy Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2011,September 11,1,Washington Redskins,New York Giants,Mike Shanahan,Tom Coughlin,1-0,0-1,outdoors,grass ,New York Giants -2.0,40.0 (over),Rex Grossman,Tim Hightower,Santana Moss,Fred Davis,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Jammal Brown,Adam Carriker,Barry Cofield,Ryan Kerrigan,London Fletcher,,Brian Orakpo,DeAngelo Hall,,Josh Wilson,Reed Doughty,O.J. Atogwe,Eli Manning,Ahmad Bradshaw,,Mario Manningham,Bear Pascoe,Will Beatty,David Diehl,David Baas,Chris Snee,Kareem McKenzie,Dave Tollefson,,Jason Pierre-Paul,Mathias Kiwanuka,Greg Jones,,Corey Webster,,Aaron Ross,Kenny Phillips,Antrel Rolle,,Linval Joseph,Chris Canty,Michael Boley,,,Stephen Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky McIntosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2011,September 11,1,New York Jets,Dallas Cowboys,Rex Ryan,Jason Garrett,1-0,0-1,outdoors,fieldturf,New York Jets -6.0,41.0 (over),Mark Sanchez,Shonn Greene,Plaxico Burress,Matthew Mulligan,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Wayne Hunter,,Sione Pouha,,,,,,Darrelle Revis,,,,Tony Romo,Felix Jones,John Phillips,Dez Bryant,Jason Witten,Doug Free,Bill Nagy,Phil Costa,Kyle Kosier,Tyron Smith,Kenyon Coleman,Jay Ratliff,Jason Hatcher,Anthony Spencer,Bradie James,,Orlando Scandrick,,Mike Jenkins,Abram Elam,Gerald Sensabaugh,,,,Sean Lee,,,,,,,,,,,,,,,David Harris,,,,,Bryan Thomas,Jim Leonhard,,,,DeMarcus Ware,,,,,,Muhammad Wilkerson,Mike DeVito,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2011,September 12,1,Miami Dolphins,New England Patriots,Tony Sparano,Bill Belichick,0-1,1-0,outdoors,grass ,New England Patriots -7.5,47.0 (over),Chad Henne,Reggie Bush,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Mike Pouncey,Vernon Carey,Marc Colombo,,,,,,,Sean Smith,,Vontae Davis,Yeremiah Bell,Reshad Jones,Tom Brady,Aaron Hernandez,,Wes Welker,Rob Gronkowski,Matt Light,Logan Mankins,Dan Koppen,Brian Waters,Nate Solder,Shaun Ellis,,Andre Carter,,Gary Guyton,,,Ras-I Dowling,,,,,Vince Wilfork,Mike Wright,,,,,,Phillip Merling,,,,,,,Cameron Wake,Tony McDaniel,,,,,Kevin Burnett,,,,Rob Ninkovich,Patrick Chung,,,,,Benny Sapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2011,September 12,1,Denver Broncos,Oakland Raiders,John Fox,Hue Jackson,0-1,1-0,outdoors,grass ,Denver Broncos -3.0,42.0 (over),Kyle Orton,Knowshon Moreno,Brandon Lloyd,Julius Thomas,Ryan Clady,Zane Beadles,J.D. Walton,Chris Kuper,Orlando Franklin,Robert Ayers,Brodrick Bunkley,,Joe Mays,,,Champ Bailey,,Andre' Goodman,Brian Dawkins,Rahim Moore,Jason Campbell,Darren McFadden,Marcel Reece,Jacoby Ford,Brandon Myers,Jared Veldheer,Stefen Wisniewski,Samson Satele,Cooper Carlisle,Khalif Barnes,,,,,Rolando McClain,,,Chris Johnson,,Tyvon Branch,Michael Huff,Matt Shaughnessy,,,,,,Elvis Dumervil,,Von Miller,Wesley Woodyard,,,,,,,Kevin Vickerson,,,,,,John Henderson,,,Kamerion Wimbley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2011,September 18,2,Tennessee Titans,Baltimore Ravens,Mike Munchak,John Harbaugh,1-1,1-1,outdoors,grass ,Baltimore Ravens -6.0,39.0 (push),Matt Hasselbeck,Chris Johnson,Nate Washington,Craig Stevens,Michael Roos,Leroy Harris,Eugene Amano,Jake Scott,David Stewart,,,,Barrett Ruud,,,,Jason McCourty,,Jordan Babineaux,Michael Griffin,Joe Flacco,Ray Rice,Vonta Leach,Anquan Boldin,Dennis Pitta,Bryant McKinnie,Mark LeVoir,,Marshal Yanda,Michael Oher,,Terrence Cody,,Jarret Johnson,,,Lardarius Webb,,Cary Williams,Tom Zbikowski,Ed Reed,Cory Redding,,,Jameel McClain,,,,,Akeem Ayers,Will Witherspoon,,,Matt Birk,,,Jason Jones,Jurrell Casey,Quinn Johnson,,,,,Haloti Ngata,,,,,,,,,,,,,,,Ray Lewis,Terrell Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2011,September 18,2,New York Jets,Jacksonville Jaguars,Rex Ryan,Jack Del Rio,2-0,1-1,outdoors,fieldturf,New York Jets -9.0,38.5 (under),Mark Sanchez,Shonn Greene,Santonio Holmes,Dustin Keller,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Wayne Hunter,,Sione Pouha,,,,,,Darrelle Revis,,,,Luke McCown,Maurice Jones-Drew,Greg Jones,Mike Thomas,Zach Potter,Eugene Monroe,Will Rackley,Brad Meester,Uche Nwaneri,Guy Whimper,Matt Roth,,Jeremy Mincey,,Paul Posluszny,,Rashean Mathis,,William Middleton,,,,,,,,,,,,,,,,,,,,John Conner,David Harris,,,,Terrance Knighton,Bryan Thomas,Jim Leonhard,Clint Session,Courtney Greene,,,,,,,,Muhammad Wilkerson,Mike DeVito,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2011,September 18,2,Detroit Lions,Kansas City Chiefs,Jim Schwartz,Todd Haley,2-0,0-2,dome,fieldturf ,Detroit Lions -9.0,45.0 (over),Matthew Stafford,Jahvid Best,Titus Young,Brandon Pettigrew,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Corey Hilliard,Cliff Avril,,,Stephen Tulloch,,,Chris Houston,,Eric Wright,Amari Spievey,Louis Delmas,Matt Cassel,Thomas Jones,,Dexter McCluster,Anthony Becht,Branden Albert,Ryan Lilja,Casey Wiegmann,Jon Asamoah,Barry Richardson,Tyson Jackson,Kelly Gregg,Glenn Dorsey,,,,Brandon Flowers,,Brandon Carr,Jon McGraw,Kendrick Lewis,,,,,,,Kyle Vanden Bosch,,,,Jovan Belcher,Justin Houston,,Derrick Johnson,Tamba Hali,,Ndamukong Suh,,,,,,,DeAndre Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2011,September 18,2,New Orleans Saints,Chicago Bears,Sean Payton,Lovie Smith,1-1,1-1,dome,sportturf,New Orleans Saints -5.0,46.5 (under),Drew Brees,Pierre Thomas,Lance Moore,Jimmy Graham,Jermon Bushrod,Carl Nicks,Olin Kreutz,Jahri Evans,Zach Strief,Turk McBride,Aubrayo Franklin,,Jonathan Vilma,,,Jabari Greer,,Patrick Robinson,Roman Harper,Malcolm Jenkins,Jay Cutler,Matt Forte,,Johnny Knox,Matt Spaeth,J'Marcus Webb,Chris Williams,Roberto Garza,Chris Spencer,Gabe Carimi,Israel Idonije,Matt Toeaina,Julius Peppers,Nick Roach,Brian Urlacher,,Tim Jennings,,Charles Tillman,Major Wright,Brandon Meriweather,,,,Lance Briggs,,,Cameron Jordan,,Jo-Lonn Dunbar,Scott Shanle,,,,,,,Sedrick Ellis,Jed Collins,,,,,Henry Melton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2011,September 18,2,Pittsburgh Steelers,Seattle Seahawks,Mike Tomlin,Pete Carroll,1-1,0-2,outdoors,grass ,Pittsburgh Steelers -14.0,40.0 (under),Ben Roethlisberger,Rashard Mendenhall,Hines Ward,Heath Miller,Jonathan Scott,Ramon Foster,,Doug Legursky,Marcus Gilbert,,Casey Hampton,LaMarr Woodley,,,James Harrison,William Gay,,Ike Taylor,Troy Polamalu,Ryan Clark,Tarvaris Jackson,Marshawn Lynch,,Mike Williams,Anthony McCoy,Russell Okung,Robert Gallery,Max Unger,John Moffitt,James Carpenter,Chris Clemons,,Red Bryant,,David Hawthorne,,Marcus Trufant,,Brandon Browner,Kam Chancellor,Earl Thomas,,Alan Branch,Brandon Mebane,,,,,,,,,,,,,Brett Keisel,,David Johnson,,Maurkice Pouncey,,,,,,LeRoy Hill,,,,James Farrior,Lawrence Timmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2011,September 18,2,Carolina Panthers,Green Bay Packers,Ron Rivera,Mike McCarthy,0-2,2-0,outdoors,grass ,Green Bay Packers -11.0,45.0 (over),Cam Newton,DeAngelo Williams,Legedu Naanee,Jeremy Shockey,Jordan Gross,Travelle Wharton,Ryan Kalil,Geoff Hangartner,Byron Bell,Greg Hardy,Sione Fua,,Dan Connor,,,Chris Gamble,,Captain Munnerlyn,Charles Godfrey,Sherrod Martin,Aaron Rodgers,Ryan Grant,John Kuhn,Greg Jennings,Tom Crabtree,Chad Clifton,T.J. Lang,Scott Wells,Josh Sitton,Bryan Bulaga,Ryan Pickett,B.J. Raji,Jarius Wynn,,Desmond Bishop,,Charles Woodson,,Sam Shields,Morgan Burnett,Nick Collins,,,,,,,Charles Johnson,,Thomas Davis,James Anderson,,Clay Matthews,,,Erik Walden,,Terrell McClain,,,,,,,,,,,,,,,,,,,,,,,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
