,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
10,September 21,1,1975,56,Denver Broncos,Kansas City Chiefs,John Ralston,Paul Wiggin,1-0,0-1,outdoors,grass,Mike Livingston,Charley Johnson,18,15,40-146-1,31-127-1,13-27-221-2-0,12-20-329-3-2,5-55,4-31,166,298,312,425,2-2,3-2,2,4,5-57,9-89,,
11,September 21,1,1975,56,San Diego Chargers,Pittsburgh Steelers,Tommy Prothro,Chuck Noll,0-1,1-0,outdoors,grass,Terry Bradshaw,Dan Fouts,24,9,45-205-1,23-88-0,22-29-246-2-0,12-23-86-0-3,1-8,4-28,238,58,443,146,3-2,2-1,2,4,4-31,8-54,,
12,September 22,1,1975,56,Miami Dolphins,Oakland Raiders,Don Shula,John Madden,0-1,1-0,outdoors,astroturf,Ken Stabler,Bob Griese,17,21,45-159-3,33-118-3,8-15-108-0-3,15-32-191-0-4,1-6,3-27,102,164,261,282,2-2,1-1,5,5,7-51,4-37,,
13,September 28,2,1975,56,New England Patriots,Miami Dolphins,Chuck Fairbanks,Don Shula,0-2,1-1,outdoors,astroturf,Bob Griese,Neil Graff,17,12,43-210-2,33-78-0,9-15-89-0-3,9-19-127-2-3,4-42,2-18,47,109,257,187,1-0,4-1,3,4,9-78,8-56,,
14,September 28,2,1975,56,Atlanta Falcons,Detroit Lions,Marion Campbell,Rick Forzano,0-2,2-0,outdoors,grass,Greg Landry,Steve Bartkowski,20,13,44-184-2,37-156-1,14-27-193-0-0,7-22-104-1-1,3-20,1-10,173,94,357,250,1-1,2-1,1,2,4-40,6-53,,
15,September 28,2,1975,56,Cleveland Browns,Minnesota Vikings,Forrest Gregg,Bud Grant,0-2,2-0,outdoors,grass,Fran Tarkenton,Mike Phipps,26,14,38-137-3,23-130-0,19-32-235-3-2,14-29-156-1-4,2-20,5-36,215,120,352,250,0-0,2-0,2,4,8-56,6-80,,
16,September 28,2,1975,56,Washington Redskins,New York Giants,George Allen,Bill Arnsparger,2-0,1-1,outdoors,grass,Craig Morton,Billy Kilmer,17,25,33-96-1,37-168-1,16-25-133-1-0,20-30-253-4-1,8-68,1-4,65,249,161,417,3-3,1-1,3,2,1-5,6-53,,
17,September 28,2,1975,56,Dallas Cowboys,St. Louis Cardinals,Tom Landry,Don Coryell,2-0,1-1,outdoors,astroturf,Jim Hart,Roger Staubach,19,28,32-118-0,44-160-1,15-32-314-4-2,23-34-307-3-1,0-0,3-19,314,288,432,448,2-1,2-1,3,2,4-50,6-30,,
18,September 28,2,1975,56,New Orleans Saints,Cincinnati Bengals,John North,Paul Brown,0-2,2-0,dome,astroturf,Ken Anderson,Bobby Scott,17,12,33-92-0,24-67-0,18-26-218-3-1,13-32-157-0-2,3-16,4-35,202,122,294,189,2-1,1-0,2,2,6-58,3-18,,
19,September 28,2,1975,56,Chicago Bears,Philadelphia Eagles,Jack Pardee,Mike McCormack,1-1,0-2,outdoors,astroturf,Roman Gabriel,Gary Huff,21,14,29-128-0,33-133-0,24-41-238-1-2,19-28-181-1-2,5-39,2-20,199,161,327,294,2-0,0-0,2,2,5-30,9-75,,
20,September 28,2,1975,56,Kansas City Chiefs,New York Jets,Paul Wiggin,Charley Winner,0-2,1-1,outdoors,astroturf,Joe Namath,Len Dawson,24,25,47-291-3,35-131-2,8-15-127-1-2,20-33-233-1-1,0-0,3-25,127,208,418,339,2-0,1-0,2,1,10-85,7-52,,
21,September 28,2,1975,56,Houston Oilers,San Diego Chargers,Bum Phillips,Tommy Prothro,2-0,0-2,dome,astroturf,Dan Fouts,Dan Pastorini,12,24,25-60-1,56-251-2,13-26-188-1-1,13-25-162-1-1,6-44,1-11,144,151,204,402,3-2,0-0,3,1,5-55,13-130,,
22,September 28,2,1975,56,Baltimore Colts,Oakland Raiders,Ted Marchibroda,John Madden,1-1,2-0,outdoors,grass,Ken Stabler,Bert Jones,18,20,34-143-3,29-77-1,15-28-196-1-2,21-43-307-1-1,5-53,6-55,143,252,286,329,2-1,0-0,3,1,8-83,4-20,,
23,September 28,2,1975,56,Pittsburgh Steelers,Buffalo Bills,Chuck Noll,Lou Saban,1-1,2-0,outdoors,astroturf,Joe Ferguson,Joe Gilliam,21,19,46-310-1,30-122-2,9-20-129-2-0,14-29-269-1-2,1-5,4-38,124,231,434,353,3-1,3-3,1,5,7-47,3-30,,
24,September 28,2,1975,56,San Francisco 49ers,Los Angeles Rams,Dick Nolan,Chuck Knox,0-2,1-1,outdoors,astroturf,James Harris,Norm Snead,15,14,33-115-0,35-129-1,15-26-193-1-1,13-23-135-1-0,1-10,4-28,183,107,298,236,2-1,3-2,2,2,3-25,6-45,,
25,September 29,2,1975,56,Denver Broncos,Green Bay Packers,John Ralston,Bart Starr,2-0,0-2,outdoors,grass,John Hadl,Charley Johnson,22,18,27-71-1,38-162-0,23-36-273-1-2,14-23-184-1-1,4-31,1-9,242,175,313,337,1-1,4-1,3,2,4-35,5-25,,
26,October 5,3,1975,56,New York Jets,New England Patriots,Charley Winner,Chuck Fairbanks,2-1,0-3,outdoors,grass,Jim Plunkett,Joe Namath,15,24,24-72-0,46-173-1,13-32-249-1-3,17-24-219-4-1,1-1,1-12,248,207,320,380,3-2,0-0,5,1,3-25,8-49,,
27,October 5,3,1975,56,Buffalo Bills,Denver Broncos,Lou Saban,John Ralston,3-0,2-1,outdoors,astroturf,Charley Johnson,Joe Ferguson,13,29,15-47-0,60-293-3,15-36-266-2-3,9-18-143-2-0,1-8,0-0,258,143,305,436,3-1,3-1,4,1,4-31,6-46,,
28,October 5,3,1975,56,Atlanta Falcons,New Orleans Saints,Marion Campbell,John North,1-2,0-3,outdoors,grass,Archie Manning,Steve Bartkowski,14,13,31-120-1,39-137-0,15-31-146-0-2,11-23-119-1-1,3-21,2-25,125,94,245,231,1-1,3-1,3,2,8-65,7-62,,
29,October 5,3,1975,56,Cleveland Browns,Pittsburgh Steelers,Forrest Gregg,Chuck Noll,0-3,2-1,outdoors,grass,Joe Gilliam,Mike Phipps,23,19,40-134-3,31-122-1,18-23-372-3-0,16-31-136-0-2,1-5,4-37,367,99,501,221,1-0,2-0,0,2,10-90,7-90,,
30,October 5,3,1975,56,St. Louis Cardinals,New York Giants,Don Coryell,Bill Arnsparger,2-1,1-2,outdoors,astroturf,Craig Morton,Jim Hart,19,18,33-126-2,46-254-2,17-24-168-0-0,8-20-125-1-1,4-30,0-0,138,125,264,379,3-1,2-1,1,2,3-40,7-35,,
31,October 5,3,1975,56,Houston Oilers,Cincinnati Bengals,Bum Phillips,Paul Brown,2-1,3-0,dome,astroturf,Ken Anderson,Dan Pastorini,18,13,37-86-0,34-83-1,19-28-210-3-1,11-23-93-0-2,7-34,1-0,176,93,262,176,2-1,3-3,2,5,7-107,5-49,,
32,October 5,3,1975,56,Minnesota Vikings,Chicago Bears,Bud Grant,Jack Pardee,3-0,1-2,outdoors,grass,Gary Huff,Fran Tarkenton,10,23,31-103-0,38-140-1,15-27-113-0-1,19-31-250-3-1,2-24,5-35,89,215,192,355,6-1,4-1,2,2,9-95,5-48,,
33,October 5,3,1975,56,Green Bay Packers,Miami Dolphins,Bart Starr,Don Shula,0-3,2-1,outdoors,grass,Bob Griese,John Hadl,25,10,58-281-3,23-104-1,7-13-133-1-0,13-19-123-0-0,0-0,2-22,133,101,414,205,1-0,0-0,0,0,6-45,6-45,,
34,October 5,3,1975,56,Kansas City Chiefs,San Francisco 49ers,Paul Wiggin,Dick Nolan,0-3,1-2,outdoors,astroturf,Norm Snead,Len Dawson,15,13,36-107-1,30-89-0,12-20-124-1-0,17-27-184-0-1,2-16,6-61,108,123,215,212,3-2,4-3,2,4,5-41,11-124,,
35,October 5,3,1975,56,Los Angeles Rams,Baltimore Colts,Chuck Knox,Ted Marchibroda,2-1,1-2,outdoors,grass,Bert Jones,James Harris,13,21,28-88-0,38-153-1,14-25-155-2-2,16-22-294-2-1,1-4,3-23,151,271,239,424,1-1,2-1,3,2,4-51,9-116,,
36,October 5,3,1975,56,San Diego Chargers,Oakland Raiders,Tommy Prothro,John Madden,0-3,3-0,outdoors,grass,Larry Lawrence,Dan Fouts,17,5,51-192-0,29-115-0,10-23-96-0-1,3-13-29-0-2,3-24,5-51,72,-22,264,93,3-1,0-0,2,2,3-25,2-12,,
37,October 5,3,1975,56,Philadelphia Eagles,Washington Redskins,Mike McCormack,George Allen,1-2,2-1,outdoors,astroturf,Billy Kilmer,Roman Gabriel,10,21,18-66-0,53-213-1,17-34-135-1-3,11-20-182-2-1,2-8,0-0,127,182,193,395,3-3,4-1,6,2,8-50,6-59,,
38,October 6,3,1975,56,Detroit Lions,Dallas Cowboys,Rick Forzano,Tom Landry,2-1,3-0,dome,astroturf,Roger Staubach,Greg Landry,14,16,26-94-1,40-183-0,12-20-258-3-2,9-23-111-1-0,3-8,11-84,250,27,344,210,2-0,5-3,2,3,12-96,4-74,,
39,October 12,4,1975,56,New York Giants,Dallas Cowboys,Bill Arnsparger,Tom Landry,1-3,4-0,outdoors,grass,Roger Staubach,Craig Morton,14,10,49-196-0,29-96-1,8-22-87-1-0,8-23-99-0-3,3-21,3-22,66,77,262,173,1-1,4-2,1,5,6-45,4-45,,
40,October 12,4,1975,56,Cleveland Browns,Houston Oilers,Forrest Gregg,Bum Phillips,0-4,3-1,outdoors,grass,Dan Pastorini,Mike Phipps,20,15,46-250-0,27-102-1,12-21-124-3-0,17-30-173-0-4,1-5,3-29,119,144,369,246,0-0,2-1,0,5,7-65,6-59,,
41,October 12,4,1975,56,Pittsburgh Steelers,Denver Broncos,Chuck Noll,John Ralston,3-1,2-2,outdoors,astroturf,Charley Johnson,Terry Bradshaw,17,14,36-124-0,39-137-0,12-36-170-0-3,16-26-191-2-0,2-17,1-1,153,190,277,327,2-1,4-2,4,2,5-32,13-99,,
42,October 12,4,1975,56,Cincinnati Bengals,New England Patriots,Paul Brown,Chuck Fairbanks,4-0,0-4,outdoors,astroturf,Jim Plunkett,Ken Anderson,12,26,31-208-1,43-174-2,6-20-59-0-1,17-33-281-1-0,2-17,1-9,42,272,250,446,2-2,1-0,3,0,9-86,5-22,,
43,October 12,4,1975,56,Detroit Lions,Chicago Bears,Rick Forzano,Jack Pardee,3-1,1-3,dome,astroturf,Gary Huff,Bill Munson,16,21,23-45-0,33-127-1,21-37-227-1-3,20-35-218-3-0,4-34,3-25,193,193,238,320,5-2,1-1,5,1,9-61,9-82,,
44,October 12,4,1975,56,New Orleans Saints,Green Bay Packers,John North,Bart Starr,1-3,0-4,dome,astroturf,John Hadl,Archie Manning,8,26,27-98-0,45-223-1,11-20-66-0-0,17-39-189-1-0,1-3,2-20,63,169,161,392,4-3,4-3,3,3,6-61,9-80,,
45,October 12,4,1975,56,Minnesota Vikings,New York Jets,Bud Grant,Charley Winner,4-0,2-2,outdoors,grass,Joe Namath,Fran Tarkenton,17,25,32-115-2,42-174-1,12-21-195-1-2,18-28-244-2-1,1-5,1-11,190,233,305,407,1-0,2-1,2,2,9-91,7-73,,
46,October 12,4,1975,56,Baltimore Colts,Buffalo Bills,Ted Marchibroda,Lou Saban,1-3,4-0,outdoors,grass,Joe Ferguson,Bert Jones,26,19,43-178-3,36-196-2,14-26-253-2-1,11-23-155-2-1,1-7,1-2,246,153,424,349,3-1,0-0,2,1,5-35,8-62,,
47,October 12,4,1975,56,Kansas City Chiefs,Oakland Raiders,Paul Wiggin,John Madden,1-3,3-1,outdoors,astroturf,Ken Stabler,Mike Livingston,23,25,27-91-0,52-224-2,20-42-285-1-3,10-16-170-3-1,2-16,3-24,269,146,360,370,3-3,1-0,6,1,4-48,7-51,,
48,October 12,4,1975,56,Miami Dolphins,Philadelphia Eagles,Don Shula,Mike McCormack,3-1,1-3,outdoors,astroturf,Roman Gabriel,Bob Griese,13,18,24-100-0,45-207-2,18-26-192-2-1,15-21-137-1-0,4-23,1-5,169,132,269,339,2-1,3-1,2,1,6-48,5-40,,
49,October 12,4,1975,56,San Diego Chargers,Los Angeles Rams,Tommy Prothro,Chuck Knox,0-4,3-1,outdoors,grass,James Harris,Dan Fouts,24,16,46-224-1,35-128-1,15-26-226-0-1,17-26-180-0-0,4-27,4-36,199,144,423,272,4-1,2-1,2,1,4-29,5-45,,
50,October 12,4,1975,56,San Francisco 49ers,Atlanta Falcons,Dick Nolan,Marion Campbell,1-3,2-2,outdoors,astroturf,Steve Bartkowski,Norm Snead,14,19,38-140-1,31-107-0,10-22-105-1-0,22-41-262-0-4,1-10,6-31,95,231,235,338,2-0,5-1,0,5,1-5,5-53,,
51,October 13,4,1975,56,Washington Redskins,St. Louis Cardinals,George Allen,Don Coryell,3-1,2-2,outdoors,grass,Jim Hart,Billy Kilmer,13,21,19-68-0,39-158-2,20-41-220-1-3,16-30-198-1-0,0-0,1-9,220,189,288,347,2-2,2-2,5,2,9-69,4-35,,
52,October 19,5,1975,56,Pittsburgh Steelers,Chicago Bears,Chuck Noll,Jack Pardee,4-1,1-4,outdoors,astroturf,Gary Huff,Terry Bradshaw,16,25,30-196-0,47-157-4,8-22-46-0-0,12-23-166-0-0,0-0,2-20,46,146,242,303,1-1,0-0,1,0,7-109,4-38,,
53,October 19,5,1975,56,New England Patriots,Baltimore Colts,Chuck Fairbanks,Ted Marchibroda,1-4,1-4,outdoors,astroturf,Bert Jones,Jim Plunkett,10,18,32-117-1,51-241-3,12-24-70-0-0,6-14-74-0-1,6-57,5-33,13,41,130,282,4-3,2-1,3,2,4-20,4-25,,
54,October 19,5,1975,56,New York Jets,Miami Dolphins,Charley Winner,Don Shula,2-3,4-1,outdoors,grass,Bob Griese,Joe Namath,22,12,51-261-3,22-116-0,13-18-179-3-2,8-33-96-0-6,1-3,4-36,176,60,437,176,1-0,4-2,2,8,4-30,2-13,,
55,October 19,5,1975,56,Houston Oilers,Washington Redskins,Bum Phillips,George Allen,4-1,3-2,dome,astroturf,Billy Kilmer,Dan Pastorini,17,14,30-58-0,41-121-2,12-29-224-1-2,10-17-135-0-1,3-27,3-28,197,107,255,228,2-1,1-0,3,1,6-53,8-64,,
56,October 19,5,1975,56,Dallas Cowboys,Green Bay Packers,Tom Landry,Bart Starr,4-1,1-4,outdoors,astroturf,John Hadl,Roger Staubach,14,20,32-142-1,38-206-2,15-28-174-1-2,16-31-201-0-1,3-25,4-33,149,168,291,374,3-1,4-4,3,5,6-47,4-34,,
57,October 19,5,1975,56,St. Louis Cardinals,Philadelphia Eagles,Don Coryell,Mike McCormack,3-2,1-4,outdoors,astroturf,Roman Gabriel,Jim Hart,16,22,29-102-0,53-278-3,16-40-160-2-1,9-20-125-1-2,1-12,0-0,148,125,250,403,2-2,4-2,3,4,7-50,9-61,,
58,October 19,5,1975,56,Cincinnati Bengals,Oakland Raiders,Paul Brown,John Madden,5-0,3-2,outdoors,astroturf,Ken Stabler,Ken Anderson,18,10,48-188-1,33-109-1,8-24-113-0-4,4-19-75-0-4,1-22,0-0,91,75,279,184,1-0,1-1,4,5,8-57,7-58,,
59,October 19,5,1975,56,Los Angeles Rams,Atlanta Falcons,Chuck Knox,Marion Campbell,4-1,2-3,outdoors,grass,Steve Bartkowski,James Harris,18,25,16-63-0,53-218-0,15-36-175-1-3,14-25-200-2-1,1-12,3-34,163,166,226,384,5-3,1-0,6,1,5-36,9-107,,
60,October 19,5,1975,56,Denver Broncos,Cleveland Browns,John Ralston,Forrest Gregg,3-2,0-5,outdoors,grass,Brian Sipe,Charley Johnson,17,18,45-144-0,26-108-1,14-33-139-0-1,20-35-234-0-1,2-12,2-17,127,217,271,325,2-1,6-5,2,6,7-70,7-63,,
61,October 19,5,1975,56,San Diego Chargers,Kansas City Chiefs,Tommy Prothro,Paul Wiggin,0-5,2-3,outdoors,grass,Mike Livingston,Jesse Freitas,15,16,34-137-0,39-155-0,14-23-224-1-0,10-21-93-1-1,1-5,5-32,219,61,356,216,2-1,4-1,1,2,3-20,4-30,,
62,October 19,5,1975,56,San Francisco 49ers,New Orleans Saints,Dick Nolan,John North,2-3,1-4,outdoors,astroturf,Archie Manning,Norm Snead,18,15,29-127-0,31-89-1,19-33-160-1-2,13-23-185-3-2,7-46,1-7,114,178,241,267,4-3,5-3,5,5,7-56,5-40,,
63,October 19,5,1975,56,Minnesota Vikings,Detroit Lions,Bud Grant,Rick Forzano,5-0,3-2,outdoors,grass,Bill Munson,Fran Tarkenton,21,20,27-104-0,35-158-0,22-37-212-2-1,15-24-148-2-0,3-26,4-27,186,121,290,279,2-2,3-3,3,3,13-96,5-57,,
64,October 20,5,1975,56,Buffalo Bills,New York Giants,Lou Saban,Bill Arnsparger,4-1,2-3,outdoors,astroturf,Craig Morton,Joe Ferguson,16,18,41-135-1,47-171-1,15-21-220-1-1,11-19-147-1-2,1-6,1-9,214,138,349,309,9-2,1-1,3,3,3-20,5-30,,
65,October 25,6,1975,56,New York Giants,St. Louis Cardinals,Bill Arnsparger,Don Coryell,2-4,4-2,outdoors,grass,Jim Hart,Craig Morton,14,22,39-125-0,30-82-0,12-22-206-2-0,19-41-231-2-3,2-17,4-32,189,199,314,281,1-0,2-1,0,4,8-92,4-30,,
66,October 26,6,1975,56,Atlanta Falcons,Cincinnati Bengals,Marion Campbell,Paul Brown,2-4,6-0,outdoors,grass,Ken Anderson,Kim McQuilken,17,17,32-130-1,40-176-0,18-26-193-1-0,10-25-130-2-5,3-23,0-0,170,130,300,306,2-2,3-2,2,7,8-74,9-88,,
67,October 26,6,1975,56,Philadelphia Eagles,Dallas Cowboys,Mike McCormack,Tom Landry,1-5,5-1,outdoors,astroturf,Roger Staubach,Roman Gabriel,21,13,25-78-0,34-111-0,27-50-314-1-1,9-23-166-2-0,2-14,1-10,300,156,378,267,0-0,3-1,1,1,6-55,6-73,,
68,October 26,6,1975,56,Cleveland Browns,Washington Redskins,Forrest Gregg,George Allen,0-6,4-2,outdoors,grass,Billy Kilmer,Brian Sipe,23,12,43-190-1,27-100-0,15-33-207-2-0,11-20-117-1-0,1-2,3-17,205,100,395,200,2-1,4-4,1,4,8-94,8-66,,
69,October 26,6,1975,56,New York Jets,Baltimore Colts,Charley Winner,Ted Marchibroda,2-4,2-4,outdoors,grass,Bert Jones,Joe Namath,24,17,36-212-3,28-82-0,17-25-209-2-0,19-28-333-3-1,2-21,7-74,188,259,400,341,0-0,4-2,0,3,8-104,7-55,,
70,October 26,6,1975,56,New England Patriots,San Francisco 49ers,Chuck Fairbanks,Dick Nolan,2-4,2-4,outdoors,astroturf,Norm Snead,Steve Grogan,14,20,17-31-0,42-155-1,22-42-224-1-2,16-27-162-2-0,1-12,1-11,212,151,243,306,3-2,3-1,4,1,5-33,6-51,,
71,October 26,6,1975,56,Houston Oilers,Detroit Lions,Bum Phillips,Rick Forzano,5-1,3-3,dome,astroturf,Bill Munson,Dan Pastorini,22,14,37-157-0,31-88-0,24-40-192-0-1,9-16-212-2-1,3-13,0-0,179,212,336,300,2-1,4-4,2,5,9-106,7-68,,
72,October 26,6,1975,56,Green Bay Packers,Pittsburgh Steelers,Bart Starr,Chuck Noll,1-5,5-1,outdoors,grass,Terry Bradshaw,John Hadl,23,11,59-248-0,21-63-1,12-23-84-0-0,14-22-128-1-1,0-0,4-30,84,98,332,161,3-3,2-1,3,2,5-52,1-5,,
73,October 26,6,1975,56,Kansas City Chiefs,Denver Broncos,Paul Wiggin,John Ralston,3-3,3-3,outdoors,astroturf,Steve Ramsey,Mike Livingston,22,17,38-151-1,37-197-1,17-32-230-1-3,10-23-113-1-1,4-29,2-7,201,106,352,303,1-1,3-0,4,1,9-79,4-26,,
74,October 26,6,1975,56,Buffalo Bills,Miami Dolphins,Lou Saban,Don Shula,4-2,5-1,outdoors,astroturf,Bob Griese,Joe Ferguson,25,21,45-229-3,33-128-1,13-21-151-2-2,20-29-221-2-2,1-3,1-4,148,217,377,345,2-0,2-2,2,4,3-13,6-37,,
75,October 26,6,1975,56,Oakland Raiders,San Diego Chargers,John Madden,Tommy Prothro,4-2,0-6,outdoors,grass,Bobby Douglass,Ken Stabler,12,23,32-140-0,50-177-2,8-28-58-0-1,14-24-193-1-1,4-41,1-16,17,177,157,354,2-0,0-0,1,1,3-20,11-100,,
76,October 26,6,1975,56,Los Angeles Rams,New Orleans Saints,Chuck Knox,John North,5-1,1-5,outdoors,grass,Archie Manning,James Harris,17,27,29-96-1,53-223-4,11-20-106-1-1,13-22-146-1-0,3-29,2-28,77,118,173,341,2-2,0-0,3,0,4-22,6-112,,
77,October 27,6,1975,56,Chicago Bears,Minnesota Vikings,Jack Pardee,Bud Grant,1-5,6-0,outdoors,astroturf,Fran Tarkenton,Gary Huff,18,11,40-150-0,31-137-1,16-30-234-1-0,10-22-97-0-2,4-53,2-18,181,79,331,216,3-1,2-1,1,3,6-46,4-48,,
78,November 1,7,1975,56,New York Giants,San Diego Chargers,Bill Arnsparger,Tommy Prothro,3-4,0-7,outdoors,grass,Dan Fouts,Craig Morton,18,22,31-182-2,37-165-3,13-25-179-1-1,18-26-191-2-1,2-12,1-8,167,183,349,348,0-0,1-1,1,2,9-65,4-25,,
79,November 2,7,1975,56,Cincinnati Bengals,Pittsburgh Steelers,Paul Brown,Chuck Noll,6-1,6-1,outdoors,astroturf,Terry Bradshaw,Ken Anderson,20,17,47-239-2,20-69-0,13-24-164-2-2,19-43-331-3-3,3-34,4-33,130,298,369,367,2-2,0-0,4,3,11-85,11-90,,
80,November 2,7,1975,56,New York Jets,Buffalo Bills,Charley Winner,Lou Saban,2-5,5-2,outdoors,grass,Joe Ferguson,Joe Namath,22,25,33-148-0,41-199-0,15-29-296-3-2,16-31-208-2-1,1-9,4-41,287,167,435,366,2-1,2-0,3,1,6-47,6-50,,
81,November 2,7,1975,56,Baltimore Colts,Cleveland Browns,Ted Marchibroda,Forrest Gregg,3-4,0-7,outdoors,grass,Mike Phipps,Bert Jones,17,15,29-125-1,33-117-1,17-44-188-0-2,16-26-153-2-1,4-35,5-42,153,111,278,228,0-0,0-0,2,1,6-60,5-45,,
82,November 2,7,1975,56,St. Louis Cardinals,New England Patriots,Don Coryell,Chuck Fairbanks,5-2,2-5,outdoors,astroturf,Steve Grogan,Jim Hart,17,18,32-122-0,44-115-2,14-34-173-1-2,20-32-158-0-1,2-21,0-0,152,158,274,273,2-1,3-2,3,3,11-107,6-69,,
83,November 2,7,1975,56,Green Bay Packers,Minnesota Vikings,Bart Starr,Bud Grant,1-6,7-0,outdoors,grass,Fran Tarkenton,John Hadl,23,15,37-101-1,30-132-1,24-30-285-3-1,14-21-143-1-3,2-19,3-30,266,113,367,245,1-1,0-0,2,3,5-30,4-20,,
84,November 2,7,1975,56,Chicago Bears,Miami Dolphins,Jack Pardee,Don Shula,1-6,6-1,outdoors,astroturf,Bob Griese,Gary Huff,20,16,41-123-1,24-93-1,15-23-316-4-0,19-31-217-0-2,0-0,3-27,316,190,439,283,1-1,1-0,1,2,6-54,5-36,,
85,November 2,7,1975,56,New Orleans Saints,Atlanta Falcons,Marion Campbell,,2-5,2-5,dome,astroturf,Pat Sullivan,Archie Manning,19,19,25-95-0,50-175-1,14-37-241-1-3,8-19-199-1-3,5-31,3-22,210,177,305,352,4-3,1-0,6,3,10-84,8-60,,
86,November 2,7,1975,56,Kansas City Chiefs,Houston Oilers,Paul Wiggin,Bum Phillips,3-4,6-1,outdoors,astroturf,Dan Pastorini,Mike Livingston,13,22,40-144-0,36-137-1,11-19-198-2-1,17-36-220-0-3,2-17,2-12,181,208,325,345,3-1,2-1,2,4,12-99,9-66,,
87,November 2,7,1975,56,San Francisco 49ers,Detroit Lions,Dick Nolan,Rick Forzano,2-5,4-3,outdoors,astroturf,Joe Reed,Steve Spurrier,17,19,41-174-1,32-128-1,9-15-141-2-0,14-32-177-1-2,3-29,2-9,112,168,286,296,1-0,2-1,0,3,8-49,4-40,,
