,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
0,September 21,1,1975,56,Buffalo Bills,New York Jets,Lou Saban,Charley Winner,1-0,0-1,outdoors,astroturf,Joe Namath,Joe Ferguson,17,26,21-111-0,64-309-3,14-36-173-2-4,7-13-67-2-0,2-23,2-15,150,52,261,361,1-1,0-0,5,0,7-58,9-89,,
1,September 21,1,1975,56,New England Patriots,Houston Oilers,Chuck Fairbanks,Bum Phillips,0-1,1-0,outdoors,astroturf,Dan Pastorini,Neil Graff,7,17,33-116-0,52-179-0,6-16-53-0-1,12-24-116-0-1,0-0,2-16,53,100,169,279,2-1,2-2,2,3,7-37,4-28,,
2,September 21,1,1975,56,Washington Redskins,New Orleans Saints,George Allen,John North,1-0,0-1,outdoors,grass,Archie Manning,Billy Kilmer,9,19,21-71-0,35-136-0,18-35-153-0-2,14-26-199-4-1,2-16,5-20,137,179,208,315,1-1,0-0,3,1,3-27,0-0,,
3,September 21,1,1975,56,Philadelphia Eagles,New York Giants,Mike McCormack,Bill Arnsparger,0-1,1-0,outdoors,astroturf,Craig Morton,Mike Boryla,15,24,40-96-2,32-99-0,14-28-240-1-1,28-44-278-2-2,0-0,3-14,240,264,336,363,1-0,2-1,1,3,3-13,5-35,,
4,September 21,1,1975,56,Cincinnati Bengals,Cleveland Browns,Paul Brown,Forrest Gregg,1-0,0-1,outdoors,astroturf,Mike Phipps,Ken Anderson,17,24,32-105-1,40-127-2,14-22-156-0-0,17-27-287-1-0,3-31,3-35,125,252,230,379,6-1,2-2,1,2,2-23,3-20,,
5,September 21,1,1975,56,Chicago Bears,Baltimore Colts,Jack Pardee,Ted Marchibroda,0-1,1-0,outdoors,astroturf,Bert Jones,Bobby Douglass,26,6,49-168-3,18-47-1,15-24-177-2-0,8-20-87-0-2,4-41,2-13,136,74,304,121,0-0,0-0,0,2,7-70,4-49,,
6,September 21,1,1975,56,St. Louis Cardinals,Atlanta Falcons,Don Coryell,Marion Campbell,1-0,0-1,outdoors,astroturf,Steve Bartkowski,Jim Hart,19,18,51-236-3,36-167-1,8-16-81-0-1,12-23-150-1-2,3-23,0-0,58,150,294,317,2-1,1-1,2,3,6-40,1-8,,
7,September 21,1,1975,56,Green Bay Packers,Detroit Lions,Bart Starr,Rick Forzano,0-1,1-0,outdoors,grass,Greg Landry,John Hadl,10,15,40-117-1,31-93-2,8-12-143-0-0,13-33-167-0-2,4-30,6-43,113,124,230,217,3-2,1-1,2,3,4-26,6-40,,
8,September 21,1,1975,56,Minnesota Vikings,San Francisco 49ers,Bud Grant,Dick Nolan,1-0,0-1,outdoors,grass,Norm Snead,Fran Tarkenton,16,17,28-100-0,38-126-1,14-27-173-1-0,14-26-165-1-2,4-28,2-12,145,153,245,279,4-3,0-0,3,2,9-60,6-40,,
9,September 21,1,1975,56,Dallas Cowboys,Los Angeles Rams,Tom Landry,Chuck Knox,1-0,0-1,outdoors,astroturf,James Harris,Roger Staubach,11,18,33-128-1,49-197-1,4-17-41-0-3,10-24-106-0-0,3-21,4-26,20,80,148,277,5-1,1-1,4,1,4-40,8-64,,
