,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeZ,homeX,homeQB,homeRB,homeFB,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeNT,homeRDE,homeLOLB,homeMLB,homeROLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayLOLB,awayMLB,awayROLB,awayLCB,awayRCB,awaySS,awayFS,awayFB,awayHB,awayNT,awayUT,awayXR,awayZR,homeDT,homeSLB,homeWLB,homeWR,awayDT,awaySLB,awayWLB,homeUT,awayOLB,homeHB,homeRDT,awayDB,homeLLB,homeRLB,awayLLB,awayRLB,awayLILB,awayRILB,homeLC,homeLILB,homeRC,homeRILB,homeSAM,homeWILL,homeCB,awayDE,awayDL,homeOLB,awayCB,homeLB,homeDE,homeXTE,homeXR,homeZR,awayS,awayTE/F,awaySAM,awayWILL,awayILB,homeTE/F,homeT,awayLB,awayFL,awaySE,homeDB,homeS,homeFL,homeSE,homeILB,homeH-B,homeXWR,homeSSLB,awaySSLB
61,2001,October 14,5,Minnesota Vikings,Detroit Lions,Dennis Green,Marty Mornhinweg,2-3,0-4,dome,astroturf,Minnesota Vikings -10.0,44.0 (over),,,Daunte Culpepper,Michael Bennett,Jim Kleinsasser,Byron Chamberlain,Brad Badger,Everett Lindsay,Matt Birk,David Dixon,Chris Liwienski,Talance Sawyer,,Fred Robbins,Lance Johnstone,,Kailee Wong,,Eric Kelly,Kenny Wright,Henry Jones,Orlando Thomas,Charlie Batch,,Larry Foster,David Sloan,Jeff Backus,Tony Semple,Eric Beverly,Brendan Stai,Aaron Gibson,Robert Porcher,,,Tracy Scroggins,Allen Aldridge,Stephen Boyd,Chris Claiborne,Todd Lyght,Terry Fair,Ron Rice,Lamar Campbell,,James Stewart,Shaun Rogers,Luther Elliss,Johnnie Morton,Germane Crowell,,Lemanski Hall,Ed McDaniel,Randy Moss,,,,Chris Hovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2001,October 14,5,Cincinnati Bengals,Cleveland Browns,Dick LeBeau,Butch Davis,3-2,3-2,outdoors,grass,Cincinnati Bengals -1.5,35.0 (over),,,Jon Kitna,,Lorenzo Neal,Tony McGee,Richmond Webb,Matt O'Dwyer,Rich Braham,Mike Goff,Willie Anderson,Vaughn Booker,Oliver Gibson,,Reinard Wilson,,Brian Simmons,,Rodney Heath,Artrell Hawkins,JoJuan Armour,Cory Hall,Tim Couch,James Jackson,Kevin Johnson,O.J. Santiago,Roman Oben,Ross Verba,Dave Wohlabaugh,Jeremy McKinney,Roger Chanoine,Keith McKenzie,Gerard Warren,,Tyrone Rogers,,Wali Rainer,,Corey Fuller,Daylon McCutcheon,Earl Little,Percy Ellsworth,,Mike Sellers,,,,,,,,Peter Warrick,,Jamir Miller,Dwayne Rudd,,,Corey Dillon,Bernard Whittington,,Steve Foley,Adrian Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2001,October 14,5,Carolina Panthers,New Orleans Saints,George Seifert,Jim Haslett,1-4,3-1,outdoors,grass,New Orleans Saints -5.0,39.5 (over),,,Chris Weinke,Tim Biakabutuka,,Kris Mangum,Todd Steussie,Jamar Nesbit,Jeff Mitchell,Kevin Donnalley,Chris Terry,Jay Williams,Sean Gilbert,,Mike Rucker,,Lester Towns,,Rashard Anderson,Doug Evans,Mike Minter,Deon Grant,Aaron Brooks,Ricky Williams,Willie Jackson,Cam Cleeland,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,Norman Hand,La'Roi Glover,Joe Johnson,Keith Mitchell,Charlie Clemons,Darrin Smith,Kevin Mathis,Fred Thomas,Sammy Knight,Jay Bellamy,Terrelle Smith,,,,,,,Kory Minor,Nate Hemsley,Muhsin Muhammad,,,,,,,Kris Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2001,October 14,5,Green Bay Packers,Baltimore Ravens,Mike Sherman,Brian Billick,4-1,3-2,outdoors,grass,Pick,34.0 (over),,,Brett Favre,Ahman Green,,Bubba Franks,Chad Clifton,Mike Wahle,Mike Flanagan,Marco Rivera,Mark Tauscher,Vonnie Holliday,,Gilbert Brown,John Thierry,,Bernardo Harris,,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,Elvis Grbac,Terry Allen,Qadry Ismail,Shannon Sharpe,Jonathan Ogden,Kipp Vickers,Mike Flynn,Bennie Anderson,Sammy Williams,Rob Burnett,Sam Adams,Tony Siragusa,Michael McCrary,,Ray Lewis,,Duane Starks,Chris McAlister,Corey Harris,Rod Woodson,Sam Gash,,,,,,Santana Dotson,Na'il Diggs,Nate Wayne,Antonio Freeman,,,,,,,,,,,Peter Boulware,Jamie Sharper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2001,October 14,5,New England Patriots,San Diego Chargers,Bill Belichick,Mike Riley,2-3,3-2,outdoors,grass,San Diego Chargers -3.0,36.0 (over),,,Tom Brady,Antowain Smith,,Rod Rutledge,Matt Light,Damien Woody,Mike Compton,Joe Andruzzi,Greg Randall,Bobby Hamilton,,Brandon Mitchell,Roman Phifer,,Bryan Cox,,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,Doug Flutie,LaDainian Tomlinson,Tim Dwight,Freddie Jones,Damion McIntosh,Raleigh Roundtree,Kendyl Jacox,DeMingo Graham,Vaughn Parker,Marcellus Wiley,Leonardo Carson,John Parrella,Raylee Johnson,,,,Alex Molden,Ryan McNeil,Rodney Harrison,Rogers Beckett,,,,,,,Anthony Pleasant,Mike Vrabel,Ted Johnson,Troy Brown,,Gerald Dixon,Junior Seau,,,,,Tay Cody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2001,October 14,5,Tennessee Titans,Tampa Bay Buccaneers,Jeff Fisher,Tony Dungy,1-3,2-2,outdoors,grass,Tennessee Titans -3.0,33.0 (over),,,Steve McNair,Eddie George,,Frank Wycheck,Brad Hopkins,Zach Piller,Bruce Matthews,Benji Olson,Fred Miller,Kevin Carter,Josh Evans,,Jevon Kearse,,Randall Godfrey,,DeRon Jenkins,Donald Mitchell,Blaine Bishop,Aric Morris,Brad Johnson,Mike Alstott,Jacquez Green,Dave Moore,Kenyatta Walker,Randall McDaniel,Jeff Christy,Cosey Coleman,Jerry Wunsch,Marcus Jones,,,Simeon Rice,,Jamie Duncan,,Donnie Abraham,Ronde Barber,John Lynch,Dexter Jackson,Jameel Cook,,Anthony McFarland,,,,,,,Kevin Dyson,Warren Sapp,Shelton Quarles,Derrick Brooks,,,,Jason Fisk,,Greg Favors,Eddie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2001,October 14,5,Atlanta Falcons,San Francisco 49ers,Dan Reeves,Steve Mariucci,2-3,4-1,dome,astroturf,San Francisco 49ers -3.0,43.5 (over),,,Chris Chandler,Maurice Smith,,Alge Crumpler,Bob Whitfield,Bob Hallen,Todd McClure,Travis Claridge,Ephraim Salaam,Patrick Kerney,Travis Hall,,Brady Smith,,Keith Brooking,,Ray Buchanan,Ashley Ambrose,Marty Carter,Ronnie Bradford,Jeff Garcia,Garrison Hearst,Terrell Owens,Eric Johnson,Derrick Deese,Ray Brown,Jeremy Newberry,Dave Fiore,Scott Gragg,John Engelberger,Bryant Young,Dana Stubblefield,Andre Carter,,Jeff Ulbrich,,Ahmed Plummer,Jason Webster,Lance Schulters,Zack Bronson,,,,,,,,Henri Crockett,Mark Simoneau,Shawn Jefferson,,Jamie Winborn,Julian Peterson,,,,Shane Dronett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2001,October 14,5,New York Jets,Miami Dolphins,Herm Edwards,Dave Wannstedt,3-2,3-2,outdoors,grass,Miami Dolphins -3.0,38.0 (push),,,Vinny Testaverde,Curtis Martin,Richie Anderson,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,Rick Lyle,Shane Burton,Steve Martin,John Abraham,,Marvin Jones,,Aaron Glenn,Marcus Coleman,Victor Green,Damien Robinson,Jay Fiedler,,Oronde Gadsden,Jed Weaver,Spencer Folau,Mark Dixon,Tim Ruddy,Todd Perry,Harry Swayne,Kenny Mixon,Tim Bowens,Daryl Gardener,Jason Taylor,,Zach Thomas,,Patrick Surtain,Sam Madison,Brian Walker,Brock Marion,,Lamar Smith,,,,,,,,Laveranues Coles,,Morlon Greenwood,Derrick Rodgers,,,,,,Mo Lewis,James Farrior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2001,October 14,5,Seattle Seahawks,Denver Broncos,Mike Holmgren,Mike Shanahan,3-2,3-2,outdoors,fieldturf,Denver Broncos -6.0,44.0 (over),,,Trent Dilfer,Shaun Alexander,Mack Strong,Christian Fauria,Walter Jones,Steve Hutchinson,Robbie Tobeck,Chris Gray,Todd Weiner,Michael Sinclair,Chad Eaton,,Lamar King,,Levon Kirkland,,Willie Williams,Shawn Springs,Reggie Tongue,Marcus Robertson,Brian Griese,Mike Anderson,Rod Smith,Dwayne Carswell,Trey Teague,Lennie Friedman,Tom Nalen,Dan Neil,Matt Lepsis,Keith Washington,Chester McGlockton,Trevor Pryce,Kavika Pittman,,Al Wilson,,Deltha O'Neal,Denard Walker,Kenoy Kennedy,Eric Brown,Patrick Hape,,,,,,,,,Darrell Jackson,,Bill Romanowski,John Mobley,,,,John Randle,,,,,,,,,,,,,,,,,Anthony Simmons,,,,,,,,,,,,,,,,,,,,,,,,,
70,2001,October 14,5,Indianapolis Colts,Oakland Raiders,Jim Mora,Jon Gruden,2-2,4-1,dome,astroturf,Indianapolis Colts -3.5,52.0 (under),,,Peyton Manning,Edgerrin James,,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Brad Scioli,Josh Williams,,Chad Bratzke,,Rob Morris,,Jeff Burris,David Macklin,Chad Cota,Idrees Bashir,Rich Gannon,Charlie Garner,Jerry Rice,Roland Williams,Barry Sims,Steve Wisniewski,Adam Treu,Frank Middleton,Lincoln Kennedy,,,,,,Greg Biekert,,,,Marquez Pope,Anthony Dorsett,,,,,,,,,,Reggie Wayne,Grady Jackson,,,,William Thomas,Marcus Pollard,Ellis Johnson,,Marcus Washington,Mike Peterson,,,,,,,,,,,,Regan Upshaw,,,Charles Woodson,,,,,,,,,,,,,,,,,,,,,,,,
71,2001,October 15,5,Dallas Cowboys,Washington Redskins,Dave Campo,Marty Schottenheimer,1-4,0-5,outdoors,astroturf,Dallas Cowboys -3.0,37.0 (under),,,Anthony Wright,Emmitt Smith,Robert Thomas,Jackie Harris,Flozell Adams,Larry Allen,Mark Stepnoski,Kelvin Garmon,Solomon Page,Greg Ellis,,Brandon Noble,Peppi Zellner,,Dat Nguyen,,Kareem Larrimore,Mario Edwards,Darren Woodson,George Teague,Tony Banks,Stephen Davis,Rod Gardner,Stephen Alexander,Chris Samuels,Dave Szott,Cory Raymer,Matt Campbell,Jon Jansen,Kenard Lang,Dan Wilkinson,Jerry DeLoach,Dorian Boose,,Kevin Mitchell,,Champ Bailey,Fred Smoot,Sam Shade,David Terrell,Donnell Bennett,,,,,,Michael Myers,Darren Hambrick,Dexter Coakley,Rocket Ismail,,LaVar Arrington,Antonio Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2001,October 18,6,Jacksonville Jaguars,Buffalo Bills,Tom Coughlin,Gregg Williams,2-3,1-4,outdoors,grass,Jacksonville Jaguars -9.0,38.5 (under),,,Mark Brunell,Stacey Mack,,Damon Jones,Todd Fordham,Brad Meester,Jeff Smith,Zach Wiegert,Maurice Williams,Renaldo Wynn,Gary Walker,,Tony Brackens,,T.J. Slaughter,,Jason Craft,Aaron Beasley,Ainsley Battles,Marlon McCree,Rob Johnson,,Eric Moulds,Jay Riemersma,John Fina,Ruben Brown,Bill Conaty,Corey Hulsey,Jonas Jennings,Bryce Fisher,Shawn Price,Pat Williams,Erik Flowers,,Brandon Spoon,,Antoine Winfield,Nate Clements,Raion Hill,Keion Carpenter,Larry Centers,Travis Henry,,,,,,Kevin Hardy,Eric Westmoreland,Keenan McCardell,,Keith Newman,Jay Foreman,,,,Seth Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2001,October 21,6,New Orleans Saints,Atlanta Falcons,Jim Haslett,Dan Reeves,3-2,3-3,dome,astroturf,New Orleans Saints -8.0,42.0 (under),,,Aaron Brooks,Ricky Williams,Terrelle Smith,Cam Cleeland,Willie Roaf,Daryl Terrell,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,Norman Hand,,Joe Johnson,,,Darrin Smith,Kevin Mathis,Fred Thomas,Sammy Knight,Jay Bellamy,Chris Chandler,Maurice Smith,Shawn Jefferson,Brian Finneran,Bob Whitfield,Bob Hallen,Todd McClure,Travis Claridge,Ephraim Salaam,Patrick Kerney,Travis Hall,Shane Dronett,Brady Smith,,Keith Brooking,,Ray Buchanan,Ashley Ambrose,Gerald McBurrows,Ronnie Bradford,Bob Christian,,,,,,,,,Willie Jackson,,Henri Crockett,Mark Simoneau,,,,La'Roi Glover,,,,,,,,,,,,,,Fred Weary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2001,October 21,6,Detroit Lions,Tennessee Titans,Marty Mornhinweg,Jeff Fisher,0-5,2-3,dome,astroturf,Tennessee Titans -5.5,38.5 (over),,,Charlie Batch,,,Pete Mitchell,Jeff Backus,Tony Semple,Eric Beverly,Brendan Stai,Matt Joyce,Robert Porcher,,Shaun Rogers,Tracy Scroggins,Allen Aldridge,Chris Claiborne,Barrett Green,Todd Lyght,Terry Fair,Ron Rice,Lamar Campbell,Steve McNair,Eddie George,Kevin Dyson,Frank Wycheck,Brad Hopkins,Zach Piller,Bruce Matthews,Benji Olson,Fred Miller,Kevin Carter,Josh Evans,Jason Fisk,Jevon Kearse,,Randall Godfrey,,Andre Dyson,Donald Mitchell,Aric Morris,Joe Walker,,,,,,,,,,,,,,Luther Elliss,,James Stewart,,,,,Greg Favors,Eddie Robinson,,,,,,,,,,,,,,,,,Johnnie Morton,Germane Crowell,,Erron Kinney,,,,,,,,,,,,,,,,,
75,2001,October 21,6,Indianapolis Colts,New England Patriots,Jim Mora,Bill Belichick,2-3,3-3,dome,astroturf,Indianapolis Colts -10.5,48.0 (over),,,Peyton Manning,Edgerrin James,,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Ryan Diem,Brad Scioli,Josh Williams,,Chad Bratzke,,Rob Morris,,Jeff Burris,David Macklin,Chad Cota,Idrees Bashir,Tom Brady,Antowain Smith,David Patten,Rod Rutledge,Matt Light,Mike Compton,Damien Woody,Joe Andruzzi,Greg Randall,Bobby Hamilton,,,Roman Phifer,,Bryan Cox,,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,,,Brandon Mitchell,,,,,,,Reggie Wayne,Anthony Pleasant,Mike Vrabel,Ted Johnson,,,Marcus Pollard,Ellis Johnson,,Marcus Washington,Mike Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2001,October 21,6,Tampa Bay Buccaneers,Pittsburgh Steelers,Tony Dungy,Bill Cowher,2-3,4-1,outdoors,grass,Tampa Bay Buccaneers -5.0,33.5 (under),,,Brad Johnson,Warrick Dunn,Mike Alstott,Dave Moore,Kenyatta Walker,Randall McDaniel,Jeff Christy,Cosey Coleman,Jerry Wunsch,Marcus Jones,,Anthony McFarland,Simeon Rice,,Jamie Duncan,,Donnie Abraham,Ronde Barber,John Lynch,John Howell,Kordell Stewart,Jerome Bettis,Plaxico Burress,Mark Bruener,Wayne Gandy,Alan Faneca,Jeff Hartings,Rich Tylski,Marvel Smith,Aaron Smith,,,Kimo von Oelhoffen,Jason Gildon,,Joey Porter,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,Jon Witman,,Kendrick Clancy,,,,Warren Sapp,Shelton Quarles,Derrick Brooks,Jacquez Green,,,,,,,,,,,,,Earl Holmes,Kendrell Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2001,October 21,6,Washington Redskins,Carolina Panthers,Marty Schottenheimer,George Seifert,1-5,1-5,outdoors,grass,Carolina Panthers -3.5,36.0 (under),,,Tony Banks,Stephen Davis,Donnell Bennett,Walter Rasby,Chris Samuels,Dave Szott,Cory Raymer,Ben Coleman,Jon Jansen,Kenard Lang,Dan Wilkinson,,Dorian Boose,,Kevin Mitchell,,Champ Bailey,Darrell Green,Sam Shade,David Terrell,Chris Weinke,Tim Biakabutuka,Isaac Byrd,Wesley Walls,Todd Steussie,Jamar Nesbit,Jeff Mitchell,Kevin Donnalley,Chris Terry,Jay Williams,Sean Gilbert,Kris Jenkins,Mike Rucker,,Lester Towns,,Rashard Anderson,Doug Evans,Mike Minter,Deon Grant,,,,,,,,LaVar Arrington,Antonio Pierce,Rod Gardner,,Hannibal Navies,Dean Wells,,,,Jerry DeLoach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2001,October 21,6,Cincinnati Bengals,Chicago Bears,Dick LeBeau,Dick Jauron,3-3,4-1,outdoors,grass,Cincinnati Bengals -1.0,36.0 (under),,,Jon Kitna,,,Marco Battaglia,Richmond Webb,Matt O'Dwyer,Rich Braham,Mike Goff,Willie Anderson,Bernard Whittington,Oliver Gibson,,Justin Smith,,Brian Simmons,,Mark Roman,Artrell Hawkins,JoJuan Armour,Cory Hall,Jim Miller,James Allen,Marcus Robinson,Fred Baxter,Blake Brockermeyer,Rex Tucker,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Ted Washington,Keith Traylor,Phillip Daniels,,Brian Urlacher,,Walt Harris,R.W. McQuarters,Tony Parrish,Mike Brown,,,,,,,,,,Darnay Scott,,Rosevelt Colvin,Warrick Holdman,,,Corey Dillon,Glen Steele,,Steve Foley,Takeo Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2001,October 21,6,Cleveland Browns,Baltimore Ravens,Butch Davis,Brian Billick,4-2,3-3,outdoors,grass,Baltimore Ravens -7.5,33.0 (over),,,Tim Couch,James Jackson,,O.J. Santiago,Roman Oben,Ross Verba,Dave Wohlabaugh,Jeremy McKinney,Roger Chanoine,Greg Spires,Gerard Warren,,Tyrone Rogers,,Wali Rainer,,Corey Fuller,Daylon McCutcheon,Earl Little,Percy Ellsworth,Elvis Grbac,Terry Allen,Qadry Ismail,,Jonathan Ogden,Kipp Vickers,Mike Flynn,Bennie Anderson,Sammy Williams,Rob Burnett,Sam Adams,Tony Siragusa,Michael McCrary,,Ray Lewis,,Duane Starks,Chris McAlister,Corey Harris,Rod Woodson,Obafemi Ayanbadejo,,,,,,,Jamir Miller,Dwayne Rudd,Kevin Johnson,,,,,,Mike Sellers,Orpheus Roye,,,,Peter Boulware,Jamie Sharper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2001,October 21,6,New York Jets,St. Louis Rams,Herm Edwards,Mike Martz,3-3,6-0,outdoors,grass,St. Louis Rams -7.0,46.5 (over),,,Vinny Testaverde,Curtis Martin,Richie Anderson,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,Shaun Ellis,Shane Burton,Steve Martin,John Abraham,,Marvin Jones,,Aaron Glenn,Marcus Coleman,Victor Green,Damien Robinson,Kurt Warner,Trung Canidate,Torry Holt,Ernie Conwell,Orlando Pace,Tom Nutten,Andy McCollum,Adam Timmerman,Rod Jones,Chidi Ahanotu,Damione Lewis,Brian Young,Grant Wistrom,,London Fletcher,,Aeneas Williams,Dexter McCleon,Adam Archuleta,Kim Herring,,,,,,,,,,Laveranues Coles,,Don Davis,Mark Fields,,,,,,Mo Lewis,James Farrior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2001,October 21,6,San Diego Chargers,Denver Broncos,Mike Riley,Mike Shanahan,4-2,3-3,outdoors,grass,Denver Broncos -2.5,43.5 (under),,,Doug Flutie,LaDainian Tomlinson,Fred McCrary,,Damion McIntosh,Raleigh Roundtree,Kendyl Jacox,DeMingo Graham,Vaughn Parker,Marcellus Wiley,Leonardo Carson,,Raylee Johnson,,Orlando Ruff,,Tay Cody,Ryan McNeil,Rodney Harrison,Rogers Beckett,Brian Griese,Mike Anderson,Rod Smith,Dwayne Carswell,Trey Teague,Lennie Friedman,Tom Nalen,Steve Herndon,Matt Lepsis,Keith Washington,Chester McGlockton,Trevor Pryce,Kavika Pittman,,Al Wilson,,Deltha O'Neal,Denard Walker,Kenoy Kennedy,Eric Brown,Patrick Hape,,,,,,,Gerald Dixon,Junior Seau,Tim Dwight,,Bill Romanowski,John Mobley,,,,John Parrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2001,October 21,6,Minnesota Vikings,Green Bay Packers,Dennis Green,Mike Sherman,3-3,4-2,dome,astroturf,Green Bay Packers -3.0,47.5 (over),,,Daunte Culpepper,Doug Chapman,Jim Kleinsasser,Byron Chamberlain,Brad Badger,Everett Lindsay,Matt Birk,David Dixon,Chris Liwienski,,,Winfield Garnett,Talance Sawyer,,Kailee Wong,,Eric Kelly,Kenny Wright,Henry Jones,Orlando Thomas,Brett Favre,Ahman Green,Antonio Freeman,Bubba Franks,Chad Clifton,Mike Wahle,Mike Flanagan,Marco Rivera,Mark Tauscher,Vonnie Holliday,,,John Thierry,,Bernardo Harris,,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,William Henderson,,Gilbert Brown,,,,,Lemanski Hall,Ed McDaniel,Cris Carter,Santana Dotson,Na'il Diggs,Nate Wayne,Chris Hovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2001,October 21,6,Arizona Cardinals,Kansas City Chiefs,Dave McGinnis,Dick Vermeil,2-3,1-5,outdoors,grass,Kansas City Chiefs -2.0,41.0 (under),,,Jake Plummer,Michael Pittman,Joel Makovicka,Terry Hardy,L.J. Shelton,Pete Kendall,Mike Gruttadauria,Leonard Davis,Anthony Clement,Fred Wakefield,Russell Davis,,Tom Burke,,Ronald McKinnon,,Tom Knight,Corey Chavous,Justin Lucas,Kwamie Lassiter,Trent Green,Priest Holmes,Chris Thomas,Jason Dunn,John Tait,Donald Willis,Casey Wiegmann,Will Shields,Marcus Spears,Eric Hicks,John Browning,,Duane Clemons,Lewis Bush,Marvcus Patton,Donnie Edwards,William Bartee,Eric Warfield,Greg Wesley,Jerome Woods,,,Derrick Ransom,,,,,,,Frank Sanders,,,,,,,Barron Tanner,,Raynoch Thompson,Rob Fredrickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2001,October 22,6,New York Giants,Philadelphia Eagles,Jim Fassel,Andy Reid,3-3,3-2,outdoors,grass,New York Giants -3.0,35.5 (under),,,Kerry Collins,Ron Dayne,Greg Comella,Howard Cross,Lomas Brown,Glenn Parker,Dusty Zeigler,Ron Stone,Luke Petitgout,Michael Strahan,Cornelius Griffin,,Kenny Holmes,,Micheal Barrow,,Will Peterson,Jason Sehorn,Sam Garnes,Shaun Williams,Donovan McNabb,Correll Buckhalter,Todd Pinkston,Chad Lewis,Tra Thomas,John Welbourn,Hank Fraley,Jermane Mayberry,Jon Runyan,Brandon Whiting,Corey Simon,Hollis Thomas,Hugh Douglas,,Jeremiah Trotter,,Troy Vincent,Bobby Taylor,Damon Moore,Brian Dawkins,Cecil Martin,,,,,,,,,Ike Hilliard,,,,,,,Keith Hamilton,,,,,,,,,,,,,,,,,Brandon Short,,,,,,,,,Carlos Emmons,Mike Caldwell,,,,,,,,,,,,,,,
85,2001,October 25,7,Kansas City Chiefs,Indianapolis Colts,Dick Vermeil,Jim Mora,1-6,3-3,outdoors,grass,Indianapolis Colts -3.0,47.5 (over),Larry Parker,Chris Thomas,Trent Green,Priest Holmes,Tony Richardson,Tony Gonzalez,John Tait,Donald Willis,Casey Wiegmann,Will Shields,Marcus Spears,Eric Hicks,Nate Hobgood-Chittick,Derrick Ransom,Duane Clemons,Lewis Bush,Marvcus Patton,Donnie Edwards,William Bartee,Eric Warfield,Greg Wesley,Jerome Woods,Peyton Manning,Edgerrin James,Marvin Harrison,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Brad Scioli,Josh Williams,Ellis Johnson,Chukie Nwokorie,Marcus Washington,Rob Morris,Mike Peterson,Jeff Burris,David Macklin,Chad Cota,Idrees Bashir,,Marcus Pollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2001,October 28,7,Detroit Lions,Cincinnati Bengals,Marty Mornhinweg,Dick LeBeau,0-6,4-3,dome,astroturf,Detroit Lions -3.0,39.5 (over),,,Charlie Batch,,Cory Schlesinger,David Sloan,Jeff Backus,Matt Joyce,Eric Beverly,Brendan Stai,Aaron Gibson,Robert Porcher,,Shaun Rogers,Tracy Scroggins,Allen Aldridge,Chris Claiborne,Barrett Green,Todd Lyght,Terry Fair,Ron Rice,Lamar Campbell,Jon Kitna,,Darnay Scott,Tony McGee,Richmond Webb,Matt O'Dwyer,Rich Braham,Mike Goff,Willie Anderson,Vaughn Booker,Oliver Gibson,Bernard Whittington,Justin Smith,,Brian Simmons,,Mark Roman,Artrell Hawkins,JoJuan Armour,Cory Hall,Lorenzo Neal,Corey Dillon,,,,,,,,,,,,Luther Elliss,,Lamont Warren,,,,,Steve Foley,Takeo Spikes,,,,,,,,,,,,,,,,,Johnnie Morton,Larry Foster,,,,,,,,,,,,,,,,,,,
87,2001,October 28,7,Baltimore Ravens,Jacksonville Jaguars,Brian Billick,Tom Coughlin,4-3,2-4,outdoors,grass,Baltimore Ravens -7.5,33.0 (over),,,Randall Cunningham,Jason Brookins,Sam Gash,Shannon Sharpe,Jonathan Ogden,Edwin Mulitalo,Mike Flynn,Bennie Anderson,Kipp Vickers,Rob Burnett,Sam Adams,,Michael McCrary,,Ray Lewis,,Duane Starks,Chris McAlister,Corey Harris,Rod Woodson,Mark Brunell,Elvis Joseph,Keenan McCardell,Kyle Brady,Todd Fordham,Brad Meester,Jeff Smith,Zach Wiegert,Maurice Williams,Renaldo Wynn,Gary Walker,Seth Payne,Tony Brackens,,Hardy Nickerson,,Fernando Bryant,Aaron Beasley,Ainsley Battles,Marlon McCree,,,,,,,,,,Travis Taylor,,Kevin Hardy,Danny Clark,,,,Tony Siragusa,,,Jamie Sharper,,,,,,,,,,,James Trapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
