,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeDE,homeDT,homeLB,homeCB,homeS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDE,awayDT,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayLDE,awayLDT,awayRDE,awayRDT,homeLCB,homeLDE,homeLILB,homeLOLB,homeLS,homeNT,homeRCB,homeRDE,homeRILB,homeROLB,homeRS,awayLLB,awayRLB,homeFB,homeFS,homeLDT,homeMLB,homeRDT,homeSLB,homeSS,homeWLB,awayG,awayT,homeLLB,homeRLB,awayL,awayLILB,awayLOLB,awayNT,awayRILB,awayROLB,homeT,awayCB,awayLB,awayS,awayUT,homeOLB,awayOLB,awayILB,homeL,homeUT,awayHB,homeXR,homeZR,awayFL,homeFL,homeSE,awayLS,awayRS,awayXR,awayZR,homeG,homeILB,awaySE,homeHB,awayDB,homeDB,awayEOLB,homeSB,awayREC,homeRD,awayOT
53,October 3,4,1999,80,San Diego Chargers,Kansas City Chiefs,Mike Riley,Gunther Cunningham,2-1,2-2,outdoors,grass,San Diego Chargers -1.0,38.5 (under),Jim Harbaugh,Natrone Means,Mikhael Ricks,Freddie Jones,John Jackson,Aaron Taylor,Roman Fortin,Raleigh Roundtree,Vaughn Parker,,,,,,Elvis Grbac,,,Tony Gonzalez,Glenn Parker,Jeff Smith,Tim Grunhard,Will Shields,Victor Riley,,,,Marvcus Patton,,Cris Dishman,James Hasty,Reggie Tongue,Bracy Walker,19,8,38-121-0,17-40-1,19-40-200-2-4,14-29-110-2-2,1-7,2-18,193,92,314,132,2-0,1-0,4,2,13-113,6-54,6-18,1-12,2-4,0-0,36:59,23:01,Tony Richardson,Eric Hicks,Chester McGlockton,Dan Williams,Tom Barndt,Charles Dimry,Albert Fontenot,,,,,Darryll Lewis,Raylee Johnson,,,,,,Fred McCrary,Mike Dumas,Norman Hand,,John Parrella,,Rodney Harrison,,,,,,,,Derrick Thomas,,,Donnie Edwards,,,,,,Lewis Bush,,,,,Rashaan Shehee,,,Derrick Alexander,,,,,,,,Eric Hill,Andre Rison,,,,,,,,
54,October 3,4,1999,80,Denver Broncos,New York Jets,Mike Shanahan,Bill Parcells,0-4,1-3,outdoors,grass,Denver Broncos -5.5,40.0 (under),Brian Griese,Terrell Davis,Rod Smith,Shannon Sharpe,Tony Jones,Mark Schlereth,Tom Nalen,Dan Neil,Matt Lepsis,,,,Chris Watson,,Rick Mirer,Curtis Martin,Keyshawn Johnson,Eric Green,Jumbo Elliott,Kerry Jenkins,Kevin Mawae,Randy Thomas,Jason Fabini,,,,,,Aaron Glenn,Otis Smith,,,23,17,35-110-1,29-108-1,17-28-242-2-2,18-36-234-0-5,4-18,1-16,224,218,334,326,0-0,2-1,2,6,4-43,7-82,3-11,7-14,0-1,0-1,33:18,26:42,,Rick Lyle,,Anthony Pleasant,,Ray Crockett,Maa Tanuvasa,,,,,Dale Carter,Alfred Williams,,,,,,Howard Griffith,Eric Brown,Mike Lodish,,Trevor Pryce,Bill Romanowski,Tyrone Braxton,Glenn Cadrez,,,,,,Bryan Cox,Mo Lewis,Ernie Logan,Marvin Jones,Roman Phifer,,,,,,,,,,,,,,,,,Victor Green,Steve Atwater,,,,,,,,,,,,,
55,October 3,4,1999,80,San Francisco 49ers,Tennessee Titans,Steve Mariucci,Jeff Fisher,3-1,3-1,outdoors,grass,San Francisco 49ers -1.5,40.5 (over),Jeff Garcia,Charlie Garner,Jerry Rice,Greg Clark,Dave Fiore,Ray Brown,Chris Dalman,Derrick Deese,Jeremy Newberry,,,,,,Neil O'Donnell,Eddie George,Yancey Thigpen,Frank Wycheck,Brad Hopkins,Jason Layman,Bruce Matthews,Benji Olson,Jon Runyan,,,,Barron Wortham,,Denard Walker,Samari Rolle,Blaine Bishop,Marcus Robertson,17,17,21-55-0,26-86-1,20-40-355-2-1,21-33-243-2-0,3-18,1-0,337,243,392,329,0-0,0-0,1,0,4-30,8-67,8-17,5-13,1-1,0-0,27:33,32:27,Lorenzo Neal,Jevon Kearse,John Thornton,Henry Ford,Jason Fisk,Craig Newsome,Marvin Washington,Winfred Tubbs,Lee Woodall,,,Mark McMillian,Gabe Wilkins,Ken Norton Jr.,,,Eddie Robinson,Terry Killens,Tommy Vardell,Lance Schulters,Bryant Young,,Junior Bryant,,Tim McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,October 3,4,1999,80,Seattle Seahawks,Oakland Raiders,Mike Holmgren,Jon Gruden,3-1,2-2,dome,astroturf,Seattle Seahawks -3.5,40.5 (over),Jon Kitna,Ricky Watters,Derrick Mayes,Christian Fauria,Walter Jones,Pete Kendall,Kevin Glover,Brian Habib,Grant Williams,,,,,,Rich Gannon,Zack Crockett,Tim Brown,Rickey Dudley,Mo Collins,Steve Wisniewski,Barret Robbins,Gennaro DiNapoli,Lincoln Kennedy,James Harris,Russell Maryland,,Greg Biekert,,,,Anthony Newman,Eric Turner,21,15,32-166-1,26-75-0,19-34-220-2-1,15-30-213-2-1,2-3,2-12,217,201,383,276,0-0,2-0,1,1,9-88,5-40,8-15,8-15,1-1,0-0,32:20,27:40,Jon Ritchie,,,,,Shawn Springs,Michael Sinclair,,Darrin Smith,,,Willie Williams,Phillip Daniels,,Chad Brown,,,,Reggie Brown,Jay Bellamy,Sam Adams,Anthony Simmons,Cortez Kennedy,,Darryl Williams,,,,,,,,,,,,,Charles Woodson,,,,,Richard Harvey,,,,,,,,,,,,,,,,,,,,,,,,
57,October 4,4,1999,80,Miami Dolphins,Buffalo Bills,Jimmy Johnson,Wade Phillips,2-1,3-1,outdoors,grass,Miami Dolphins -4.5,40.5 (over),Dan Marino,Karim Abdul-Jabbar,O.J. McDuffie,Troy Drayton,Richmond Webb,Kevin Gogan,Tim Ruddy,Kevin Donnalley,James Brown,,,,,,Doug Flutie,Antowain Smith,Eric Moulds,Jay Riemersma,,,Jerry Ostroski,,,Bruce Smith,Ted Washington,,,,,,,,11,18,27-73-0,24-59-0,12-25-186-1-0,22-44-251-1-2,1-9,2-18,177,233,250,292,1-1,3-1,1,3,8-74,7-50,3-13,1-14,0-0,1-2,28:00,32:00,Sam Gash,,,,,Terrell Buckley,Kenny Mixon,,,,,Sam Madison,Jason Taylor,,,,,,Rob Konrad,Brock Marion,Tim Bowens,Zach Thomas,Daryl Gardener,Robert Jones,Calvin Jackson,Derrick Rodgers,Dusty Zeigler,John Fina,,,,,,,,,,Ken Irvin,Sam Rogers,Henry Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,October 10,5,1999,80,Minnesota Vikings,Chicago Bears,Dennis Green,Dick Jauron,2-3,3-2,dome,astroturf,Minnesota Vikings -13.0,43.5 (over),Randall Cunningham,Robert Smith,Randy Moss,,Todd Steussie,Randall McDaniel,Jeff Christy,David Dixon,Korey Stringer,,,,,,Shane Matthews,Curtis Enis,Bobby Engram,Alonzo Mayes,Blake Brockermeyer,Todd Perry,Olin Kreutz,Chris Villarrial,James Williams,,,Ricardo McDonald,Sean Harris,Barry Minter,Walt Harris,Tom Carter,Tony Parrish,Chris Hudson,23,26,33-101-0,20-166-0,28-42-281-2-0,25-47-309-1-3,1-3,4-30,278,279,379,445,0-0,2-2,0,5,3-23,5-40,6-16,3-13,0-1,1-1,33:26,26:34,Edgar Bennett,Bryan Robinson,Jim Flanigan,Russell Davis,Mike Wells,Ramos McDonald,Duane Clemons,,,,Jerry Ball,Jimmy Hitchcock,John Randle,,,,,,Jim Kleinsasser,Orlando Thomas,,Ed McDaniel,,Corey Miller,Robert Griffith,Dwayne Rudd,,,,,,,,,,,,,,,,,,,,Tony Williams,,,,,,,,,,,,,,,,,,,,,
59,October 10,5,1999,80,Detroit Lions,San Diego Chargers,Bobby Ross,Mike Riley,2-2,3-1,dome,astroturf,Detroit Lions -3.5,40.0 (under),Charlie Batch,,,David Sloan,Ray Roberts,Kerlin Blaise,Mike Compton,Jeff Hartings,Tony Ramirez,,Luther Elliss,,,,Erik Kramer,Kenny Bynum,Chris Penn,Freddie Jones,Raleigh Roundtree,Aaron Taylor,Roman Fortin,DeMingo Graham,Vaughn Parker,,,,,,Jimmy Spencer,Darryll Lewis,Rodney Harrison,Mike Dumas,15,14,24-64-1,24-37-0,20-34-208-0-1,21-38-230-1-1,2-16,6-38,192,192,256,229,1-1,3-2,2,3,4-20,1-5,7-15,7-17,0-0,1-3,30:25,29:35,Terrell Fletcher,Albert Fontenot,Norman Hand,Raylee Johnson,John Parrella,Robert Bailey,,,,,,Terry Fair,Travis Kirschke,,,,,,Cory Schlesinger,Mark Carrier,Tracy Scroggins,Stephen Boyd,,Allen Aldridge,Ron Rice,Chris Claiborne,,,,,,,,,,,,,,,,,Lewis Bush,Eric Hill,,,,Johnnie Morton,Germane Crowell,,,,,,,,,,,Ron Rivers,,,,,,,
60,October 10,5,1999,80,Kansas City Chiefs,New England Patriots,Gunther Cunningham,Pete Carroll,3-2,4-1,outdoors,grass,Kansas City Chiefs -2.5,41.0 (under),Elvis Grbac,,,Tony Gonzalez,Marcus Spears,Dave Szott,Tim Grunhard,Will Shields,Victor Riley,,,,,,Drew Bledsoe,Terry Allen,Terry Glenn,Ben Coates,Bruce Armstrong,Heath Irwin,Damien Woody,Todd Rucci,Zefross Moss,,,Chris Slade,Andy Katzenmoyer,Tedy Bruschi,Ty Law,Steve Israel,Lawyer Milloy,Chris Carter,18,20,19-62-0,42-140-1,23-45-334-2-2,18-26-198-0-1,3-18,2-9,316,189,378,329,5-2,2-1,4,2,7-35,4-24,9-16,7-16,0-0,0-0,24:23,35:37,Tony Carter,Brandon Mitchell,Chad Eaton,Willie McGinest,Henry Thomas,Cris Dishman,Eric Hicks,,Derrick Thomas,,,James Hasty,Dan Williams,,Donnie Edwards,,,,Tony Richardson,Jerome Woods,Chester McGlockton,Marvcus Patton,Tom Barndt,,Reggie Tongue,,,,,,,,,,,,,,,,,,,,,,,,,,Derrick Alexander,Andre Rison,,,,,,,,Rashaan Shehee,,,,,,,
61,October 10,5,1999,80,Buffalo Bills,Pittsburgh Steelers,Wade Phillips,Bill Cowher,4-1,2-3,outdoors,astroturf,Buffalo Bills -6.5,38.0 (over),Doug Flutie,Antowain Smith,Eric Moulds,Jay Riemersma,,,Jerry Ostroski,,,Bruce Smith,Ted Washington,Sam Rogers,Ken Irvin,Henry Jones,Kordell Stewart,Jerome Bettis,Courtney Hawkins,Mark Bruener,Wayne Gandy,Roger Duffy,Dermontti Dawson,Brendan Stai,Anthony Brown,,,,,,Chad Scott,Dewayne Washington,Travis Davis,Lee Flowers,17,24,23-48-1,33-111-0,21-29-216-2-1,21-32-261-3-0,2-9,2-7,207,254,255,365,0-0,1-1,1,1,2-20,4-40,6-13,4-12,0-0,2-2,27:20,32:40,Jon Witman,Orpheus Roye,,Kevin Henry,,,,,,,,,,,,,,,Sam Gash,,,,,,,,,,,,,Levon Kirkland,Jason Gildon,Joel Steed,Earl Holmes,Carlos Emmons,John Fina,,,,,,,,,,,,,,,,,,,,Dusty Zeigler,,,,,,,,,,
62,October 10,5,1999,80,St. Louis Rams,San Francisco 49ers,Dick Vermeil,Steve Mariucci,4-0,3-2,dome,astroturf,St. Louis Rams -3.0,45.5 (over),Kurt Warner,Marshall Faulk,Torry Holt,Roland Williams,Orlando Pace,Tom Nutten,Mike Gruttadauria,Adam Timmerman,Fred Miller,,,,,,Jeff Garcia,Charlie Garner,Jerry Rice,Greg Clark,Dave Fiore,Ray Brown,Chris Dalman,Derrick Deese,Jeremy Newberry,,,,,,Darnell Walker,Mark McMillian,Tim McDonald,Lance Schulters,21,20,21-72-1,28-109-0,22-36-233-0-3,20-23-323-5-1,0-0,1-9,233,314,305,423,0-0,3-1,3,2,7-70,11-73,4-11,6-8,0-0,0-0,29:11,30:49,Fred Beasley,Marvin Washington,Bryant Young,Gabe Wilkins,Junior Bryant,Todd Lyght,Kevin Carter,,,,,Dexter McCleon,Grant Wistrom,,,,,,Robert Holcombe,Keith Lyle,Ray Agnew,London Fletcher,D'Marco Farr,,Billy Jenkins,,,,Mike Jones,Todd Collins,,Winfred Tubbs,Lee Woodall,,Ken Norton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,October 10,5,1999,80,Cleveland Browns,Cincinnati Bengals,Chris Palmer,Bruce Coslet,0-5,1-4,outdoors,grass,Cincinnati Bengals -3.0,36.0 (under),Tim Couch,Terry Kirby,Leslie Shepherd,Mark Campbell,Lomas Brown,Jim Pyne,Dave Wohlabaugh,Scott Rehberg,Orlando Brown,,Darius Holland,,,,Akili Smith,Corey Dillon,Darnay Scott,Tony McGee,Rod Jones,Matt O'Dwyer,Rich Braham,Brian DeMarco,Willie Anderson,,,,,,Rodney Heath,Artrell Hawkins,Myron Bell,Cory Hall,25,13,36-215-0,23-80-2,25-42-221-2-0,15-27-164-0-1,4-17,3-20,204,144,419,224,2-1,2-0,1,1,4-70,8-81,8-19,2-13,1-2,1-1,36:49,23:11,Clif Groce,John Copeland,,Jevon Langford,,Ryan McNeil,Roy Barker,Rahim Abdullah,,,,Daylon McCutcheon,Derrick Alexander,Wali Rainer,,,,,Marc Edwards,Corey Fuller,,,John Jurkovic,,Marquez Pope,,,,,Jamir Miller,,Brian Simmons,Steve Foley,Oliver Gibson,Takeo Spikes,Adrian Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,October 10,5,1999,80,Philadelphia Eagles,Dallas Cowboys,Andy Reid,Chan Gailey,1-4,3-1,outdoors,astroturf,Dallas Cowboys -9.5,37.0 (under),Doug Pederson,Duce Staley,Torrance Small,Jed Weaver,Tra Thomas,Doug Brzezinski,Steve Everitt,Jeff Dellenbach,Lonnie Palelei,Mike Mamula,Steve Martin,William Thomas,Bobby Taylor,Brian Dawkins,Troy Aikman,Emmitt Smith,Rocket Ismail,David LaFleur,Flozell Adams,Larry Allen,Mark Stepnoski,Tom Myslinski,Erik Williams,Greg Ellis,Alonzo Spellman,Darren Hambrick,Randall Godfrey,Dexter Coakley,Kevin Smith,Deion Sanders,Izell Reese,George Teague,19,12,32-130-0,27-105-0,21-39-177-1-2,11-30-145-1-1,1-7,2-6,170,139,300,244,2-1,0-0,3,1,6-65,7-82,7-16,3-15,0-0,0-1,36:11,23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,October 10,5,1999,80,New Orleans Saints,Atlanta Falcons,Mike Ditka,Dan Reeves,1-3,1-4,dome,astroturf,New Orleans Saints -3.0,35.5 (over),Billy Joe Hobert,Ricky Williams,Keith Poole,Cam Cleeland,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,,,,,,Tony Graziani,Ken Oxendine,Terance Mathis,O.J. Santiago,Bob Whitfield,Bob Hallen,Robbie Tobeck,Gene Williams,Ephraim Salaam,,,Henri Crockett,Jessie Tuggle,Keith Brooking,Ray Buchanan,Ronnie Bradford,Marty Carter,Eugene Robinson,12,18,33-104-1,24-71-0,11-20-162-1-0,22-40-338-2-2,3-15,3-19,147,319,251,390,3-2,3-0,2,2,9-68,7-64,3-12,4-16,0-0,2-3,29:39,30:21,Bob Christian,Lester Archambeau,Travis Hall,Chuck Smith,Shane Dronett,Ashley Ambrose,Jared Tomich,,,,,Tyronne Drakeford,Brady Smith,,,,,,Aaron Craver,Rob Kelly,Wayne Martin,Chris Bordano,La'Roi Glover,Keith Mitchell,Sammy Knight,Mark Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,October 10,5,1999,80,Arizona Cardinals,New York Giants,Vince Tobin,Jim Fassel,2-3,2-3,outdoors,grass,Arizona Cardinals -3.0,37.5 (under),Jake Plummer,Adrian Murrell,Frank Sanders,Terry Hardy,Matt Joyce,Chris Dishman,Aaron Graham,Lester Holmes,Anthony Clement,,,,,,Kerry Collins,Gary Brown,Ike Hilliard,Howard Cross,Roman Oben,Luke Petitgout,Derek Engler,Ron Stone,Scott Gragg,,,,Corey Widmer,,Jason Sehorn,Phillippi Sparks,Sam Garnes,Percy Ellsworth,15,13,28-107-0,27-31-1,24-38-202-0-1,17-27-197-1-0,3-24,4-22,178,175,285,206,2-1,1-0,2,0,8-52,3-14,5-17,2-13,1-3,0-0,31:51,28:09,Charles Way,Michael Strahan,Robert Harris,Cedric Jones,Keith Hamilton,Aeneas Williams,Andre Wadsworth,,,,,Tom Knight,Simeon Rice,,,,,,Joel Makovicka,Kwamie Lassiter,Rashod Swinger,Ronald McKinnon,Jerry Drake,,Tommy Bennett,,,,Rob Fredrickson,Zack Walz,,,,,,,,,,,,,Ryan Phillips,,,,,,,,,,,,,,,,,,,,,,,,
67,October 10,5,1999,80,Indianapolis Colts,Miami Dolphins,Jim Mora,Jimmy Johnson,2-2,3-1,dome,astroturf,Miami Dolphins -1.5,44.5 (over),Peyton Manning,Edgerrin James,Terrence Wilkins,Ken Dilger,Tarik Glenn,Steve McKinney,Larry Moore,Waverly Jackson,Adam Meadows,,,,,,Dan Marino,Cecil Collins,O.J. McDuffie,,Brent Smith,Kevin Gogan,Tim Ruddy,Kevin Donnalley,James Brown,,,Robert Jones,Zach Thomas,Derrick Rodgers,Terrell Buckley,Sam Madison,Calvin Jackson,Brock Marion,19,18,28-76-1,24-68-0,25-38-393-2-0,17-24-274-3-1,0-0,2-10,393,264,469,332,2-0,2-1,0,2,6-62,4-30,5-14,3-8,1-2,1-2,34:07,25:53,Rob Konrad,Rich Owens,Tim Bowens,Jason Taylor,Daryl Gardener,Jeff Burris,Shawn King,,,,,Tyrone Poole,Chad Bratzke,,,,,,,Jason Belser,Bernard Whittington,Mike Barber,Ellis Johnson,,Tito Wooten,,,,Cornelius Bennett,Mike Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,October 10,5,1999,80,Tennessee Titans,Baltimore Ravens,Jeff Fisher,Brian Billick,4-1,2-3,outdoors,grass,Tennessee Titans -7.0,38.5 (under),Neil O'Donnell,Eddie George,Kevin Dyson,Frank Wycheck,Brad Hopkins,Bruce Matthews,Kevin Long,Benji Olson,Jon Runyan,,,,,,Stoney Case,Errict Rhett,Jermaine Lewis,A.J. Ofodile,Jonathan Ogden,Everett Lindsay,Jeff Mitchell,Jeff Blackshear,Spencer Folau,Rob Burnett,Larry Webster,,,,,,,,16,16,26-68-0,24-56-1,15-37-207-0-0,24-35-216-1-0,3-29,0-0,178,216,246,272,1-1,0-0,1,0,9-81,15-212,6-17,4-13,0-0,0-0,28:59,31:01,Charles Evans,,,,,Denard Walker,Jevon Kearse,,,,,Samari Rolle,Henry Ford,,,,,,Lorenzo Neal,Marcus Robertson,John Thornton,Barron Wortham,Jason Fisk,,Blaine Bishop,,,,Eddie Robinson,Joe Bowden,,,,,,,,Chris McAlister,Jamie Sharper,Rod Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,October 10,5,1999,80,Oakland Raiders,Denver Broncos,Jon Gruden,Mike Shanahan,2-3,1-4,outdoors,grass,Oakland Raiders -7.0,38.0 (under),Rich Gannon,Tyrone Wheatley,Jeremy Brigham,Rickey Dudley,Mo Collins,Steve Wisniewski,Barret Robbins,Gennaro DiNapoli,Lincoln Kennedy,James Harris,Russell Maryland,,Charles Woodson,,Brian Griese,Olandis Gary,Rod Smith,Shannon Sharpe,Tony Jones,Mark Schlereth,Tom Nalen,Dan Neil,Matt Lepsis,,,Bill Romanowski,Al Wilson,Glenn Cadrez,Ray Crockett,Dale Carter,Tyrone Braxton,Eric Brown,16,17,28-81-0,24-55-0,17-30-234-1-1,25-36-248-1-2,2-13,6-38,221,210,302,265,2-1,1-0,2,2,3-17,3-30,2-12,3-13,0-0,1-2,27:19,32:41,Howard Griffith,Maa Tanuvasa,Keith Traylor,Alfred Williams,Trevor Pryce,,,,,,,,,,,,,,Jon Ritchie,Eric Turner,,Greg Biekert,,,Anthony Newman,,,,,,,,,,,,,,,,,Richard Harvey,,,,,,,,,,,,,,,,,,,,,,,,,
70,October 10,5,1999,80,Green Bay Packers,Tampa Bay Buccaneers,Ray Rhodes,Tony Dungy,3-1,2-3,outdoors,grass,Green Bay Packers -6.0,40.5 (over),Brett Favre,Dorsey Levens,Bill Schroeder,Tyrone Davis,Ross Verba,Mike Wahle,Frank Winters,Marco Rivera,Earl Dotson,,,,,,Trent Dilfer,Warrick Dunn,Bert Emanuel,Dave Moore,Paul Gruber,Jorge Diaz,Tony Mayberry,Frank Middleton,Jerry Wunsch,,Warren Sapp,Shelton Quarles,Hardy Nickerson,Derrick Brooks,Donnie Abraham,Ronde Barber,John Lynch,Damien Robinson,21,18,32-173-1,23-98-0,16-26-110-1-3,22-40-390-2-0,2-10,5-38,100,352,273,450,1-1,3-1,4,1,3-40,9-88,4-12,7-16,0-0,0-0,29:53,30:07,Mike Alstott,Chidi Ahanotu,,Marcus Jones,,Mike McKenzie,Vaughn Booker,,George Koonce,,Gilbert Brown,Tyrone Williams,Vonnie Holliday,,Brian Williams,,,,William Henderson,Darren Sharper,,Bernardo Harris,,,LeRoy Butler,,,,,,,,,Brad Culpepper,,,Billy Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,October 11,5,1999,80,New York Jets,Jacksonville Jaguars,Bill Parcells,Tom Coughlin,1-4,4-1,outdoors,astroturf,Jacksonville Jaguars -3.0,40.0 (under),Rick Mirer,Curtis Martin,Dedric Ward,Eric Green,Jumbo Elliott,Kerry Jenkins,Kevin Mawae,Randy Thomas,Jason Fabini,,,,,,Mark Brunell,James Stewart,Damon Jones,Kyle Brady,Tony Boselli,Ben Coleman,John Wade,Rich Tylski,Leon Searcy,,,Bryce Paup,Lonnie Marts,Kevin Hardy,Fernando Bryant,Aaron Beasley,Donovin Darius,Carnell Lake,16,13,34-125-1,24-89-0,21-35-215-0-0,19-38-164-0-2,2-18,4-23,197,141,322,230,2-1,1-0,1,2,7-67,2-15,7-17,3-16,0-0,1-3,32:48,27:12,Daimon Shelton,Tony Brackens,Gary Walker,Joel Smeenge,Seth Payne,Aaron Glenn,Rick Lyle,Bryan Cox,Mo Lewis,Victor Green,Jason Ferguson,Marcus Coleman,Anthony Pleasant,Marvin Jones,Roman Phifer,Steve Atwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,October 17,6,1999,80,Cincinnati Bengals,Pittsburgh Steelers,Bruce Coslet,Bill Cowher,1-5,3-3,outdoors,astroturf,Pittsburgh Steelers -5.0,37.5 (under),Akili Smith,Corey Dillon,Darnay Scott,Tony McGee,Rod Jones,Matt O'Dwyer,Rich Braham,Brian DeMarco,Willie Anderson,,,,,,Kordell Stewart,Jerome Bettis,Courtney Hawkins,Mark Bruener,Wayne Gandy,Alan Faneca,Dermontti Dawson,Brendan Stai,Anthony Brown,,,,,,Chad Scott,Dewayne Washington,Travis Davis,Lee Flowers,18,14,37-130-2,20-84-0,17-29-134-0-0,19-38-207-0-2,2-9,4-30,125,177,255,261,0-0,2-1,0,3,7-41,8-60,5-16,7-15,1-3,0-0,31:48,28:12,Jon Witman,Orpheus Roye,,Kevin Henry,,Roosevelt Blackmon,John Copeland,Brian Simmons,Steve Foley,,Oliver Gibson,Artrell Hawkins,Jevon Langford,Takeo Spikes,Adrian Ross,,,,Clif Groce,Cory Hall,,,,,Myron Bell,,,,,,,Levon Kirkland,Jason Gildon,Joel Steed,Earl Holmes,Carlos Emmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,October 17,6,1999,80,Detroit Lions,Minnesota Vikings,Bobby Ross,Dennis Green,3-2,2-4,dome,astroturf,Minnesota Vikings -3.5,45.0 (over),Charlie Batch,,Johnnie Morton,David Sloan,Ray Roberts,Kerlin Blaise,Mike Compton,Jeff Hartings,Barrett Brooks,,James Jones,,,,Randall Cunningham,Robert Smith,Randy Moss,Carlester Crumpler,Todd Steussie,Randall McDaniel,Jeff Christy,David Dixon,Korey Stringer,,,,Ed McDaniel,Dwayne Rudd,Kenny Wright,Jimmy Hitchcock,Robert Griffith,Orlando Thomas,17,19,19-60-1,25-110-0,20-27-292-2-2,24-40-210-0-0,5-25,4-21,267,189,327,299,3-3,1-1,5,1,3-61,7-50,4-9,3-14,0-0,1-2,24:44,35:16,,Duane Clemons,,Chris Doleman,,Robert Bailey,,,,,,Terry Fair,Travis Kirschke,,,,,,,Mark Carrier,Tracy Scroggins,Scott Kowalkowski,,Allen Aldridge,Ron Rice,Chris Claiborne,,,,,,,,Joe Phillips,,,,,,,John Randle,,,,,,,,,,,,,,,,,,,Ron Rivers,Chris Rogers,,,,,,
74,October 17,6,1999,80,Buffalo Bills,Oakland Raiders,Wade Phillips,Jon Gruden,4-2,3-3,outdoors,astroturf,Buffalo Bills -3.5,40.5 (under),Doug Flutie,Antowain Smith,Andre Reed,,,,Jerry Ostroski,,,Bruce Smith,Ted Washington,Sam Rogers,Ken Irvin,Henry Jones,Rich Gannon,Tyrone Wheatley,James Jett,Rickey Dudley,Barry Sims,Steve Wisniewski,Barret Robbins,Gennaro DiNapoli,Lincoln Kennedy,James Harris,Russell Maryland,,Greg Biekert,,,,Darrien Gordon,Eric Turner,23,14,48-195-2,13-109-1,15-22-155-0-0,19-41-210-1-3,2-7,1-9,148,201,343,310,0-0,0-0,0,3,9-60,6-46,6-15,2-11,0-0,2-3,39:35,20:25,Jon Ritchie,,,,,,,,,,,,,,,,,,Sam Gash,,,,,,,,,,,,,,,,,,John Fina,Charles Woodson,,,,,Richard Harvey,,,,,,,,,,,,,,Dusty Zeigler,,,,,,,,,,
75,October 17,6,1999,80,New England Patriots,Miami Dolphins,Pete Carroll,Jimmy Johnson,4-2,4-1,outdoors,grass,New England Patriots -2.5,42.5 (over),Drew Bledsoe,Terry Allen,Terry Glenn,Ben Coates,Bruce Armstrong,Heath Irwin,Damien Woody,Todd Rucci,Zefross Moss,,,,,,Dan Marino,Cecil Collins,O.J. McDuffie,Troy Drayton,Brent Smith,Mark Dixon,Tim Ruddy,Kevin Gogan,James Brown,,,Robert Jones,Zach Thomas,Derrick Rodgers,Patrick Surtain,Sam Madison,Calvin Jackson,Brock Marion,22,14,32-122-0,14-46-0,25-45-248-2-2,17-36-225-1-1,9-53,2-12,195,213,317,259,0-0,1-1,2,2,13-99,6-45,9-21,2-11,2-2,0-0,40:07,19:53,Rob Konrad,Rich Owens,Tim Bowens,Jason Taylor,Daryl Gardener,Ty Law,Brandon Mitchell,,,,,Steve Israel,Willie McGinest,,,,,,Tony Carter,Chris Carter,Chad Eaton,Andy Katzenmoyer,Henry Thomas,Chris Slade,Lawyer Milloy,Marty Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
