,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeDE,homeDT,homeLB,homeCB,homeS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDE,awayDT,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayLDE,awayLDT,awayRDE,awayRDT,homeLCB,homeLDE,homeLILB,homeLOLB,homeLS,homeNT,homeRCB,homeRDE,homeRILB,homeROLB,homeRS,awayLLB,awayRLB,homeFB,homeFS,homeLDT,homeMLB,homeRDT,homeSLB,homeSS,homeWLB,awayG,awayT,homeLLB,homeRLB,awayL,awayLILB,awayLOLB,awayNT,awayRILB,awayROLB,homeT,awayCB,awayLB,awayS,awayUT,homeOLB,awayOLB,awayILB,homeL,homeUT,awayHB,homeXR,homeZR,awayFL,homeFL,homeSE,awayLS,awayRS,awayXR,awayZR,homeG,homeILB,awaySE,homeHB,awayDB,homeDB,awayEOLB,homeSB,awayREC,homeRD,awayOT
10,September 12,1,1999,80,Seattle Seahawks,Detroit Lions,Mike Holmgren,Bobby Ross,0-1,1-0,dome,astroturf,Seattle Seahawks -9.5,42.0 (over),Jon Kitna,Ricky Watters,Sean Dawkins,Reggie Brown,Walter Jones,Pete Kendall,Kevin Glover,Brian Habib,Todd Weiner,,,,,,Charlie Batch,Ron Rivers,Johnnie Morton,David Sloan,Ray Roberts,Tony Semple,Eric Beverly,Jeff Hartings,Juan Roque,,,Allen Aldridge,Stephen Boyd,Chris Claiborne,Bryant Westbrook,Terry Fair,Ron Rice,Mark Carrier,19,16,36-167-0,16-31-0,16-26-216-3-1,20-30-202-2-0,5-14,6-28,202,174,369,205,1-0,4-2,1,2,11-123,5-34,5-14,1-10,0-0,0-2,34:45,25:15,Cory Schlesinger,Robert Porcher,,Travis Kirschke,,Shawn Springs,Michael Sinclair,,,,,Willie Williams,Phillip Daniels,,,,,,,Jay Bellamy,Sam Adams,Anthony Simmons,Cortez Kennedy,,Darryl Williams,,,,,,,,,James Jones,,,,,,,Luther Elliss,Chad Brown,,,,,,,,,,,,,,,,,,,,,,,,,
11,September 12,1,1999,80,Tampa Bay Buccaneers,New York Giants,Tony Dungy,Jim Fassel,0-1,1-0,outdoors,grass,Tampa Bay Buccaneers -5.5,37.5 (under),Trent Dilfer,Warrick Dunn,Bert Emanuel,Dave Moore,Paul Gruber,Jorge Diaz,Tony Mayberry,Frank Middleton,Jason Odom,,Warren Sapp,,,,Kent Graham,Sean Bennett,Amani Toomer,Howard Cross,Roman Oben,Luke Petitgout,Brian Williams,Ron Stone,Scott Gragg,,,,Corey Widmer,,Jeremy Lincoln,Phillippi Sparks,Sam Garnes,Percy Ellsworth,4,15,25-28-0,27-77-0,12-24-91-0-0,18-42-188-1-4,2-12,2-11,79,177,107,254,0-0,2-1,0,5,9-59,3-20,1-13,4-17,0-0,0-1,27:01,32:59,Charles Way,Michael Strahan,Christian Peter,Cedric Jones,Keith Hamilton,Donnie Abraham,Chidi Ahanotu,,,,Brad Culpepper,Ronde Barber,Steve White,,,,,,Mike Alstott,Damien Robinson,,Hardy Nickerson,,Shelton Quarles,John Lynch,Derrick Brooks,,,,,,,,,,,,,,,,,Ryan Phillips,,,,,,,,,,,,,,,,,,,,,,,,
12,September 12,1,1999,80,Jacksonville Jaguars,San Francisco 49ers,Tom Coughlin,Steve Mariucci,1-0,0-1,outdoors,grass,Jacksonville Jaguars -5.5,49.0 (under),Mark Brunell,Fred Taylor,Jimmy Smith,Kyle Brady,Tony Boselli,Rich Tylski,John Wade,Zach Wiegert,Leon Searcy,,,,,,Steve Young,Charlie Garner,Jerry Rice,Chad Fann,Dave Fiore,Ray Brown,Chris Dalman,Derrick Deese,Jeremy Newberry,,,,,,Darnell Walker,Mark McMillian,Tim McDonald,,11,18,20-94-0,34-97-1,14-35-141-0-3,22-31-265-1-0,4-32,2-18,109,247,203,344,3-2,0-0,5,0,2-10,6-57,1-14,2-12,1-2,0-1,24:58,35:02,Tommy Vardell,Marvin Washington,Bryant Young,Gabe Wilkins,Junior Bryant,Fernando Bryant,Renaldo Wynn,,,,,Aaron Beasley,Tony Brackens,,,,,,Daimon Shelton,Carnell Lake,Gary Walker,Tom McManus,Seth Payne,Lonnie Marts,Donovin Darius,Kevin Hardy,,,,,,Winfred Tubbs,Lee Woodall,,Ken Norton Jr.,,,,,Lance Schulters,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,September 12,1,1999,80,Cleveland Browns,Pittsburgh Steelers,Chris Palmer,Bill Cowher,0-1,1-0,outdoors,grass,Pittsburgh Steelers -6.0,37.0 (over),Ty Detmer,Terry Kirby,Leslie Shepherd,Irv Smith,Lomas Brown,,Dave Wohlabaugh,Scott Rehberg,Orlando Brown,,,Wali Rainer,,,Kordell Stewart,Jerome Bettis,Courtney Hawkins,Mark Bruener,,,Dermontti Dawson,,,Orpheus Roye,,,,,,,Lee Flowers,,33,2,57-217-2,9-9-0,24-32-259-3-0,6-16-52-0-2,1-12,3-21,247,31,464,40,0-0,2-2,0,4,4-26,4-23,15-21,0-7,0-1,0-0,47:49,12:11,Jon Witman,,,,,Corey Fuller,Derrick Alexander,,,,,Antonio Langham,Hurvin McCormack,,,,,,Marc Edwards,Tim McTyer,John Jurkovic,,Jerry Ball,,Marquez Pope,,Brendan Stai,Chris Conrad,John Thierry,Jamir Miller,,,,Joel Steed,,,,Chad Scott,,Travis Davis,,,Jason Gildon,Earl Holmes,Jim Pyne,,,,,,,,,,,,,,,,,,,,,,
14,September 13,1,1999,80,Denver Broncos,Miami Dolphins,Mike Shanahan,Jimmy Johnson,0-1,1-0,outdoors,grass,Denver Broncos -6.0,43.0 (over),Brian Griese,Terrell Davis,Rod Smith,Shannon Sharpe,Tony Jones,Mark Schlereth,Tom Nalen,Dan Neil,Matt Lepsis,,,,,,Dan Marino,Karim Abdul-Jabbar,O.J. McDuffie,Troy Drayton,Richmond Webb,Mark Dixon,Tim Ruddy,Kevin Gogan,James Brown,,,Robert Jones,Zach Thomas,Derrick Rodgers,Terrell Buckley,Sam Madison,Calvin Jackson,Brock Marion,22,25,33-111-2,26-113-0,15-23-215-2-0,24-40-270-3-0,0-0,2-30,215,240,326,353,1-0,2-1,0,1,8-60,4-30,4-9,6-13,0-0,1-2,28:43,31:17,Rob Konrad,Kenny Mixon,Tim Bowens,Jason Taylor,Daryl Gardener,Ray Crockett,Maa Tanuvasa,,,,,Dale Carter,Alfred Williams,,,,,,Howard Griffith,Eric Brown,Keith Traylor,Glenn Cadrez,Trevor Pryce,Bill Romanowski,Tyrone Braxton,John Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,September 19,2,1999,80,Minnesota Vikings,Oakland Raiders,Dennis Green,Jon Gruden,1-1,1-1,dome,astroturf,Minnesota Vikings -11.0,47.5 (under),Randall Cunningham,Robert Smith,Cris Carter,Jim Kleinsasser,Todd Steussie,Randall McDaniel,Jeff Christy,David Dixon,Korey Stringer,,,,,,Rich Gannon,Napoleon Kaufman,James Jett,Rickey Dudley,Mo Collins,Steve Wisniewski,Barret Robbins,Gennaro DiNapoli,Lincoln Kennedy,James Harris,Darrell Russell,,Greg Biekert,,,,Anthony Newman,Eric Turner,22,19,33-162-1,15-34-0,21-33-248-1-0,23-39-364-2-2,1-8,6-44,240,320,402,354,2-1,2-1,1,3,9-78,7-42,4-13,6-13,0-0,0-1,33:17,26:43,Jon Ritchie,,,,,Ramos McDonald,John Burrough,,,,Tony Williams,Jimmy Hitchcock,Duane Clemons,,,,,,,Orlando Thomas,,Ed McDaniel,,Kailee Wong,Robert Griffith,Dwayne Rudd,,,,,,,,,,,,Charles Woodson,,,,,Richard Harvey,,,John Randle,,,,,,,,,,,,,,,,,,,,,
16,September 19,2,1999,80,Cincinnati Bengals,San Diego Chargers,Bruce Coslet,Mike Riley,0-2,1-0,outdoors,astroturf,Cincinnati Bengals -1.0,40.5 (over),Jeff Blake,Corey Dillon,Willie Jackson,Tony McGee,Rod Jones,Matt O'Dwyer,Rich Braham,Brian DeMarco,Willie Anderson,,,,,,Jim Harbaugh,Natrone Means,Jeff Graham,Freddie Jones,John Jackson,Aaron Taylor,Roman Fortin,Raleigh Roundtree,Vaughn Parker,,,,,,Charles Dimry,Terrance Shaw,Rodney Harrison,Mike Dumas,14,10,35-91-0,17-47-0,18-31-201-2-0,17-33-168-1-1,4-26,3-35,175,133,266,180,2-0,7-4,0,5,6-47,6-40,9-20,5-14,0-0,0-0,38:30,21:30,Fred McCrary,Albert Fontenot,Norman Hand,Raylee Johnson,John Parrella,Rodney Heath,John Copeland,Brian Simmons,Steve Foley,,Oliver Gibson,Artrell Hawkins,Jevon Langford,Takeo Spikes,,,,,Clif Groce,Greg Myers,,,,,Myron Bell,Adrian Ross,,,,,,,,,,,,,,,,,Lewis Bush,Eric Hill,,,,,,,,,,,,,,,,,,,,,,,
17,September 19,2,1999,80,Miami Dolphins,Arizona Cardinals,Jimmy Johnson,Vince Tobin,2-0,1-1,outdoors,grass,Miami Dolphins -9.0,41.0 (under),Dan Marino,Karim Abdul-Jabbar,O.J. McDuffie,Troy Drayton,Richmond Webb,Mark Dixon,Tim Ruddy,Kevin Donnalley,James Brown,,,,,,Jake Plummer,,Frank Sanders,Johnny McWilliams,Matt Joyce,Chris Dishman,Aaron Graham,Lester Holmes,Anthony Clement,,,,Ronald McKinnon,,Aeneas Williams,Corey Chavous,Tommy Bennett,Kwamie Lassiter,13,14,28-64-0,31-83-0,12-28-138-0-4,21-35-221-1-2,2-18,0-0,120,221,184,304,0-0,3-2,4,4,2-15,9-81,3-13,4-14,0-1,1-1,28:08,31:52,,Andre Wadsworth,Brad Ottis,Simeon Rice,Jerry Drake,Terrell Buckley,Rich Owens,,,,,Sam Madison,Jason Taylor,,,,Rob Fredrickson,Zack Walz,Rob Konrad,Brock Marion,Tim Bowens,Zach Thomas,Daryl Gardener,Robert Jones,Calvin Jackson,Derrick Rodgers,,,,,,,,,,,,,,,,,,,,,Adrian Murrell,,,,,,,,,,,,,,,,,,,,
18,September 19,2,1999,80,Carolina Panthers,Jacksonville Jaguars,George Seifert,Tom Coughlin,0-2,2-0,outdoors,grass,Jacksonville Jaguars -9.5,44.0 (under),Steve Beuerlein,Tim Biakabutuka,Muhsin Muhammad,Wesley Walls,Clarence Jones,Matt Campbell,Frank Garcia,Anthony Redmon,Chris Terry,,,,,,Mark Brunell,Fred Taylor,Jimmy Smith,Kyle Brady,Tony Boselli,Rich Tylski,John Wade,Zach Wiegert,Leon Searcy,,,Lonnie Marts,Tom McManus,Kevin Hardy,Fernando Bryant,Aaron Beasley,Donovin Darius,Carnell Lake,27,16,46-214-2,18-87-0,20-32-214-0-0,16-26-216-3-1,2-14,4-20,200,196,414,283,1-1,0-0,1,1,5-35,5-37,7-16,2-9,1-1,1-2,38:09,21:51,Daimon Shelton,Renaldo Wynn,Gary Walker,Tony Brackens,Seth Payne,Eric Davis,Jason Peter,,,,,Doug Evans,Chuck Wiley,,,,,,William Floyd,Mike Minter,Tim Morabito,Steve Tovar,Sean Gilbert,Kevin Greene,Brent Alexander,Micheal Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,September 19,2,1999,80,Detroit Lions,Green Bay Packers,Bobby Ross,Ray Rhodes,2-0,1-1,dome,astroturf,Green Bay Packers -6.5,43.0 (under),Charlie Batch,,Brian Stablein,David Sloan,Ray Roberts,Tony Semple,Mike Compton,Jeff Hartings,Juan Roque,,,,,,Brett Favre,Dorsey Levens,Bill Schroeder,Mark Chmura,Ross Verba,Mike Wahle,Frank Winters,Marco Rivera,Earl Dotson,,,,Bernardo Harris,,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,21,9,31-154-1,32-82-1,20-41-288-0-1,9-16-219-2-2,1-5,4-23,283,196,437,278,2-2,3-0,3,2,5-25,6-52,6-15,4-13,0-1,0-1,33:43,26:17,,Vaughn Booker,,Vonnie Holliday,,Bryant Westbrook,Robert Porcher,,,,James Jones,Terry Fair,Travis Kirschke,,,,,,Cory Schlesinger,Mark Carrier,,Stephen Boyd,,Allen Aldridge,Ron Rice,Chris Claiborne,,Santana Dotson,,,,,George Koonce,Gilbert Brown,,Brian Williams,,,,,,,,,,Luther Elliss,,Johnnie Morton,Germane Crowell,,,,,,,,,,,,,,,,,,
