,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
19,1977,September 25,2,St. Louis Cardinals,Chicago Bears,Don Coryell,Jack Pardee,1-1,1-1,outdoors,astroturf,Bob Avellini,Jim Hart,18,17,25-101-0,40-133-0,19-39-184-1-2,16-24-215-1-2,0-0,0-0,184,215,285,348,0-0,3-2,2,4,7-47,5-55,,
20,1977,September 25,2,Detroit Lions,New Orleans Saints,Tommy Hudspeth,Hank Stram,1-1,0-2,dome,astroturf,Archie Manning,Greg Landry,9,26,17-39-1,53-306-1,10-22-85-0-1,13-28-183-2-0,6-32,5-60,53,123,92,429,0-0,2-1,1,1,7-61,10-84,,
21,1977,September 25,2,Dallas Cowboys,New York Giants,Tom Landry,John McVay,2-0,1-1,outdoors,astroturf,Joe Pisarcik,Roger Staubach,14,25,27-69-2,45-185-4,10-26-133-0-3,21-36-265-1-0,5-41,1-6,92,259,161,444,3-2,2-1,5,1,7-59,11-95,,
22,1977,September 25,2,Kansas City Chiefs,San Diego Chargers,Paul Wiggin,Tommy Prothro,0-2,1-1,outdoors,astroturf,James Harris,Mike Livingston,20,9,48-214-1,27-75-0,11-25-85-1-3,8-23-115-1-3,1-12,5-41,73,74,287,149,2-0,0-0,3,3,9-70,7-61,,
23,1977,September 25,2,Green Bay Packers,Houston Oilers,Bart Starr,Bum Phillips,1-1,2-0,outdoors,grass,Dan Pastorini,Lynn Dickey,18,15,34-90-1,32-95-0,18-30-152-0-0,16-26-193-1-3,2-15,1-9,137,184,227,279,2-0,1-1,0,4,8-40,6-38,,
24,1977,September 25,2,San Francisco 49ers,Miami Dolphins,Ken Meyer,Don Shula,0-2,2-0,outdoors,astroturf,Bob Griese,Jim Plunkett,22,13,45-208-1,34-162-1,10-17-169-2-0,11-21-123-0-1,2-16,1-5,153,118,361,280,0-0,3-0,0,1,6-50,8-50,,
25,1977,September 25,2,Denver Broncos,Buffalo Bills,Red Miller,Jim Ringo,2-0,0-2,outdoors,grass,Joe Ferguson,Craig Morton,8,17,24-66-0,46-203-2,13-28-111-0-3,9-20-131-1-0,4-48,4-38,63,93,129,296,1-0,2-2,3,2,6-53,5-60,,
26,1977,September 25,2,Los Angeles Rams,Philadelphia Eagles,Chuck Knox,Dick Vermeil,1-1,1-1,outdoors,grass,Ron Jaworski,Joe Namath,6,21,16-31-0,56-220-0,13-29-99-0-3,12-23-136-2-1,2-18,0-0,81,136,112,356,2-1,2-1,4,2,1-10,6-55,,
27,1977,September 26,2,Cleveland Browns,New England Patriots,Forrest Gregg,Chuck Fairbanks,2-0,1-1,outdoors,grass,Steve Grogan,Brian Sipe,21,25,40-141-1,44-198-0,15-23-172-2-1,19-27-204-3-2,3-50,2-9,122,195,263,393,4-1,2-1,2,3,12-80,5-35,,
28,1977,October 2,3,Dallas Cowboys,Tampa Bay Buccaneers,Tom Landry,John McKay,3-0,0-3,outdoors,astroturf,Gary Huff,Roger Staubach,10,23,32-76-0,42-205-1,8-23-107-0-2,15-24-212-0-1,2-20,1-2,87,210,163,415,2-0,2-2,2,3,4-25,8-60,,
29,1977,October 2,3,Atlanta Falcons,New York Giants,Leeman Bennett,John McVay,2-1,1-2,outdoors,grass,Jerry Golsteyn,Scott Hunter,10,18,29-105-0,48-151-1,7-23-153-0-2,16-24-164-1-0,9-81,2-20,72,144,177,295,3-2,4-3,4,3,9-69,5-30,,
30,1977,October 2,3,Cleveland Browns,Pittsburgh Steelers,Forrest Gregg,Chuck Noll,2-1,2-1,outdoors,grass,Terry Bradshaw,Brian Sipe,21,16,56-218-1,29-80-1,10-17-143-3-2,10-24-85-1-3,0-0,0-0,143,85,361,165,1-0,2-2,2,5,12-104,9-82,,
31,1977,October 2,3,New York Jets,New England Patriots,Walt Michaels,Chuck Fairbanks,1-2,1-2,outdoors,grass,Steve Grogan,Richard Todd,20,10,38-125-1,37-107-1,16-34-231-1-3,12-21-154-2-3,0-0,1-10,231,144,356,251,4-2,0-0,5,3,10-100,3-25,,
32,1977,October 2,3,Minnesota Vikings,Green Bay Packers,Bud Grant,Bart Starr,2-1,1-2,outdoors,grass,Lynn Dickey,Fran Tarkenton,8,24,21-81-0,49-194-2,8-20-143-1-0,19-27-184-1-0,2-16,4-53,127,131,208,325,1-0,2-0,0,0,4-40,6-55,,
33,1977,October 2,3,Chicago Bears,New Orleans Saints,Jack Pardee,Hank Stram,1-2,1-2,outdoors,astroturf,Archie Manning,Bob Avellini,18,19,46-146-3,31-197-2,8-17-168-1-0,18-38-238-1-2,0-0,1-20,168,218,314,415,0-0,1-1,0,3,6-60,11-111,,
