,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeDT,homeNT,homeRDE,homeMLB,homeWLB,homeLCB,homeCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDE,awayNT,awayRUSH,awayWILL,awayMIKE,awaySAM,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDT,awayMLB,awaySLB,awayWLB,homeDE,homeLILB,homeLOLB,homeRILB,homeROLB,awayHB,awayLDE,awayRDE,homeOLB,awayLB,awayS,homeILB,awayDB,homeSLB,homeFB,homeMIKE,homeRUSH,homeWILL,awayLILB,awayLOLB,awayRILB,awayROLB,awayOLB,homeNB,homeS,homeEND,homeLB,homeT,awayLDT,awayRDT,homeLDT,homeRDT,awayILB,homeLLB,homeRLB,awayBLB,homeJLB,awayEND,awayT,homeDB,awayJLB,homeBLB,homeSAM,awayLLB,awayRLB,homeHB,homeTE/F,homeUT,awayG,awayWIL,awayLOT,awayROT,homeLOT,homeROT,awayNB,homeWIL,awayILBV,awayUT,awayOL,home2,homeDL,awayOT,homeH-B
0,2013,September 5,1,Denver Broncos,Baltimore Ravens,John Fox,John Harbaugh,1-0,0-1,outdoors,grass ,Denver Broncos -7.5,48.0 (over),Peyton Manning,Knowshon Moreno,Demaryius Thomas,Julius Thomas,Ryan Clady,Zane Beadles,Manuel Ramirez,Louis Vasquez,Orlando Franklin,Derek Wolfe,Kevin Vickerson,Terrance Knighton,Robert Ayers,Wesley Woodyard,Danny Trevathan,Tony Carter,Chris Harris Jr.,Dominique Rodgers-Cromartie,Duke Ihenacho,Rahim Moore,Joe Flacco,Ray Rice,Vonta Leach,Torrey Smith,Ed Dickson,Bryant McKinnie,Kelechi Osemele,Gino Gradkowski,Marshal Yanda,Michael Oher,Chris Canty,Haloti Ngata,Terrell Suggs,Josh Bynes,Daryl Smith,Elvis Dumervil,Lardarius Webb,Corey Graham,Jimmy Smith,James Ihedigbo,Michael Huff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,September 8,1,Pittsburgh Steelers,Tennessee Titans,Mike Tomlin,Mike Munchak,0-1,1-0,outdoors,grass ,Pittsburgh Steelers -6.0,42.0 (under),Ben Roethlisberger,Isaac Redman,Emmanuel Sanders,David Paulson,Mike Adams,Ramon Foster,Maurkice Pouncey,David DeCastro,Marcus Gilbert,,,Steve McLendon,,,,Cortez Allen,,Ike Taylor,Troy Polamalu,Ryan Clark,Jake Locker,Chris Johnson,Collin Mooney,Nate Washington,Craig Stevens,Michael Roos,Andy Levitre,Robert Turner,Chance Warmack,David Stewart,Derrick Morgan,,,,,,,Jason McCourty,,Bernard Pollard,Michael Griffin,Jurrell Casey,Moise Fokou,Akeem Ayers,Zach Brown,Evander Hood,Larry Foote,LaMarr Woodley,Lawrence Timmons,Jason Worilds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,September 8,1,Detroit Lions,Minnesota Vikings,Jim Schwartz,Leslie Frazier,1-0,0-1,dome,fieldturf ,Detroit Lions -4.5,46.0 (over),Matthew Stafford,Reggie Bush,Calvin Johnson,Brandon Pettigrew,Riley Reiff,Rob Sims,Dominic Raiola,Larry Warford,Jason Fox,,Ndamukong Suh,,,Stephen Tulloch,,Chris Houston,,Darius Slay,Glover Quin,Louis Delmas,Christian Ponder,,Rhett Ellison,Greg Jennings,Kyle Rudolph,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Fred Evans,,,,,Josh Robinson,Xavier Rhodes,Chris Cook,Jamarca Sanford,Harrison Smith,,Erin Henderson,Chad Greenway,,Willie Young,,,,,Adrian Peterson,Brian Robison,Jared Allen,DeAndre Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013,September 8,1,Cleveland Browns,Miami Dolphins,Rob Chudzinski,Joe Philbin,0-1,1-0,outdoors,grass ,Cleveland Browns -2.5,40.5 (under),Brandon Weeden,Trent Richardson,Travis Benjamin,Gary Barnidge,Joe Thomas,John Greco,Alex Mack,Oniel Cousins,Mitchell Schwartz,Billy Winn,,Phil Taylor,Desmond Bryant,,,Joe Haden,,Chris Owens,T.J. Ward,Tashaun Gipson,Ryan Tannehill,Lamar Miller,,Mike Wallace,Dion Sims,Jonathan Martin,Richie Incognito,Mike Pouncey,John Jerry,Tyson Clabo,,,,,,,,Brent Grimes,,,,Jared Odrick,,,,,,,,,,Cameron Wake,Olivier Vernon,Paul Kruger,Philip Wheeler,Chris Clemons,D'Qwell Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013,September 8,1,Buffalo Bills,New England Patriots,Doug Marrone,Bill Belichick,0-1,1-0,outdoors,a_turf,New England Patriots -10.5,50.5 (under),EJ Manuel,C.J. Spiller,Robert Woods,Scott Chandler,Cordy Glenn,Colin Brown,Eric Wood,Kraig Urbik,Erik Pears,Alex Carrington,Kyle Williams,,Mario Williams,Kiko Alonso,Arthur Moats,Leodis McKelvin,,Justin Rogers,Aaron Williams,Da'Norris Searcy,Tom Brady,James Develin,,Kenbrell Thompkins,Michael Hoomanawanui,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,,,,,,,Aqib Talib,,Alfonzo Dennard,,,Tommy Kelly,,,,,,,,,,Rob Ninkovich,Chandler Jones,,Jerod Mayo,Devin McCourty,,Kyle Arrington,Manny Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013,September 8,1,Chicago Bears,Cincinnati Bengals,Marc Trestman,Marvin Lewis,1-0,0-1,outdoors,grass ,Chicago Bears -3.0,41.5 (over),Jay Cutler,Matt Forte,Brandon Marshall,Steve Maneri,Jermon Bushrod,Matt Slauson,Roberto Garza,Kyle Long,Jordan Mills,Corey Wootton,Henry Melton,Stephen Paea,Julius Peppers,D.J. Williams,Lance Briggs,Tim Jennings,,Charles Tillman,Major Wright,Chris Conte,Andy Dalton,,,A.J. Green,Tyler Eifert,Anthony Collins,Clint Boling,Kyle Cook,Kevin Zeitler,Andre Smith,,Domata Peko,,,,,Terence Newman,,Leon Hall,George Iloka,Reggie Nelson,Geno Atkins,Rey Maualuga,James Harrison,Vontaze Burfict,,,,,,BenJarvus Green-Ellis,Carlos Dunlap,Michael Johnson,,,,,,James Anderson,Tony Fiammetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013,September 8,1,Indianapolis Colts,Oakland Raiders,Chuck Pagano,Dennis Allen,1-0,0-1,retractable roof (closed),fieldturf ,Indianapolis Colts -11.5,45.0 (under),Andrew Luck,Vick Ballard,Darrius Heyward-Bey,Dwayne Allen,Anthony Castonzo,Donald Thomas,Samson Satele,Mike McGlynn,Gosder Cherilus,,Ricky Jean-Francois,Aubrayo Franklin,,,,Greg Toler,,Vontae Davis,Antoine Bethea,LaRon Landry,Terrelle Pryor,Darren McFadden,Marcel Reece,Rod Streater,Jeron Mastrud,Khalif Barnes,Lucas Nix,Stefen Wisniewski,Mike Brisiel,Tony Pashos,,Pat Sims,,,,,Mike Jenkins,,Tracy Porter,Tyvon Branch,Charles Woodson,Vance Walker,Nick Roach,Kevin Burnett,Kaluka Maiava,Cory Redding,,,,,,Jason Hunter,Lamarr Houston,,,,,,Erik Walden,Stanley Havili,Kelvin Sheppard,Robert Mathis,Jerrell Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013,September 8,1,Jacksonville Jaguars,Kansas City Chiefs,Gus Bradley,Andy Reid,0-1,1-0,outdoors,grass ,Kansas City Chiefs -4.5,42.5 (under),Blaine Gabbert,Maurice Jones-Drew,Cecil Shorts,Clay Harbor,Eugene Monroe,Will Rackley,Brad Meester,Uche Nwaneri,Luke Joeckel,Tyson Alualu,Sen'Derrick Marks,,,Paul Posluszny,,Dwayne Gratz,,Alan Ball,Johnathan Cyprien,Dwight Lowery,Alex Smith,Jamaal Charles,,Donnie Avery,Sean McGrath,Branden Albert,Jeff Allen,Rodney Hudson,Geoff Schwartz,Eric Fisher,,Dontari Poe,,,,,Brandon Flowers,,Sean Smith,Eric Berry,Kendrick Lewis,,,,,Jason Babin,,,,,,Tyson Jackson,Mike DeVito,Geno Hayes,,,,,,Will Ta'ufo'ou,,,,Akeem Jordan,Justin Houston,Derrick Johnson,Tamba Hali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,September 8,1,New Orleans Saints,Atlanta Falcons,Sean Payton,Mike Smith,1-0,0-1,dome,sportturf,New Orleans Saints -3.5,54.5 (under),Drew Brees,Mark Ingram,Lance Moore,Jimmy Graham,Charles Brown,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Akiem Hicks,,Brodrick Bunkley,Cameron Jordan,,,Jabari Greer,,Keenan Lewis,,,Matt Ryan,Steven Jackson,Bradie Ewing,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Peter Konz,Garrett Reynolds,Lamar Holmes,,,,,,,,Desmond Trufant,,,,Corey Peters,Akeem Dent,,,,,,,,,Jonathan Babineaux,Osi Umenyiora,Parys Haralson,,William Moore,David Hawthorne,,,Jed Collins,,,,,,,,Kroy Biermann,Kenny Vaccaro,Malcolm Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013,September 8,1,New York Jets,Tampa Bay Buccaneers,Rex Ryan,Greg Schiano,1-0,0-1,outdoors,fieldturf,Tampa Bay Buccaneers -6.0,40.0 (under),Geno Smith,Bilal Powell,Stephen Hill,Jeff Cumberland,D'Brickashaw Ferguson,Vlad Ducasse,Nick Mangold,Willie Colon,Austin Howard,,,Damon Harrison,,,,,Antonio Cromartie,,,,Josh Freeman,Doug Martin,Nate Byham,Mike Williams,Luke Stocker,Donald Penn,Gabe Carimi,Jeremy Zuttah,Davin Joseph,Demar Dotson,,,,,,,Darrelle Revis,Johnthan Banks,Leonard Johnson,Mark Barron,Dashon Goldson,Gerald McCoy,Mason Foster,,Lavonte David,,,,,,,Daniel Te'o-Nesheim,Adrian Clayborn,Garrett McIntyre,,,,,,,David Harris,,Demario Davis,,,,,,,Dawan Landry,Muhammad Wilkerson,Calvin Pace,Sheldon Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2013,September 8,1,Carolina Panthers,Seattle Seahawks,Ron Rivera,Pete Carroll,0-1,1-0,outdoors,grass ,Seattle Seahawks -3.5,44.5 (under),Cam Newton,DeAngelo Williams,Steve Smith,Greg Olsen,Jordan Gross,Chris Scott,Ryan Kalil,Garry Williams,Byron Bell,Charles Johnson,,,Greg Hardy,Luke Kuechly,Jon Beason,Josh Thomas,,Captain Munnerlyn,Quintin Mikell,Charles Godfrey,Russell Wilson,Marshawn Lynch,,Sidney Rice,Zach Miller,Russell Okung,Paul McQuistan,Max Unger,J.R. Sweezy,Breno Giacomini,,,,,,,Richard Sherman,,Walter Thurmond,Kam Chancellor,Earl Thomas,,Bobby Wagner,,,,,,,,,Red Bryant,O'Brien Schofield,,,,,,Thomas Davis,Mike Tolbert,,,,,,,,Malcolm Smith,,,,,,Tony McDaniel,Brandon Mebane,Dwan Edwards,Star Lotulelei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2013,September 8,1,St. Louis Rams,Arizona Cardinals,Jeff Fisher,Bruce Arians,1-0,0-1,dome,astroplay,St. Louis Rams -3.5,41.5 (over),Sam Bradford,Daryl Richardson,Austin Pettis,Jared Cook,Jake Long,Chris Williams,Scott Wells,Harvey Dahl,Rodger Saffold,Chris Long,,,Robert Quinn,James Laurinaitis,,Cortland Finnegan,,Janoris Jenkins,T.J. McDonald,Rodney McLeod,Carson Palmer,Rashard Mendenhall,,Michael Floyd,Jim Dray,Levi Brown,Daryn Colledge,Lyle Sendlein,Paul Fanaika,Eric Winston,Calais Campbell,Dan Williams,,Lorenzo Alexander,,Sam Acho,Patrick Peterson,,Jerraud Powers,Yeremiah Bell,Rashad Johnson,Darnell Dockett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kendall Langford,Michael Brockers,Karlos Dansby,Alec Ogletree,Will Witherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2013,September 8,1,San Francisco 49ers,Green Bay Packers,Jim Harbaugh,Mike McCarthy,1-0,0-1,outdoors,grass ,San Francisco 49ers -5.0,48.0 (over),Colin Kaepernick,Frank Gore,Anquan Boldin,Vernon Davis,Joe Staley,Mike Iupati,Jonathan Goodwin,Alex Boone,Anthony Davis,,,,,,,Carlos Rogers,,Tarell Brown,Donte Whitner,Eric Reid,Aaron Rodgers,Eddie Lacy,,James Jones,Jermichael Finley,David Bakhtiari,Josh Sitton,Evan Dietrich-Smith,T.J. Lang,Don Barclay,,Ryan Pickett,,,,,Tramon Williams,,Sam Shields,Jerron McMillian,M.D. Jennings,,Brad Jones,,,,,,,,,Johnny Jolly,B.J. Raji,Ahmad Brooks,,,Patrick Willis,,,Bruce Miller,,,,,Nick Perry,,Clay Matthews,,Nnamdi Asomugha,,,,,,,Ray McDonald,Justin Smith,,,,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,September 8,1,Dallas Cowboys,New York Giants,Jason Garrett,Tom Coughlin,1-0,0-1,retractable roof (closed),matrixturf,Dallas Cowboys -3.5,49.5 (over),Tony Romo,DeMarco Murray,Miles Austin,Jason Witten,Tyron Smith,Ronald Leary,Travis Frederick,Mackenzy Bernadeau,Doug Free,George Selvie,Nick Hayden,,DeMarcus Ware,Sean Lee,Bruce Carter,Brandon Carr,,Morris Claiborne,Will Allen,Barry Church,Eli Manning,David Wilson,,Hakeem Nicks,Larry Donnell,Will Beatty,James Brewer,Kevin Boothe,Chris Snee,Justin Pugh,,,,,,,Corey Webster,Terrell Thomas,Prince Amukamara,Antrel Rolle,Ryan Mundy,,,Jacquian Williams,Spencer Paysinger,,,,,,,Justin Tuck,Mathias Kiwanuka,,,,,,Justin Durant,,,,,,,,,,,,,,,Linval Joseph,Cullen Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2013,September 9,1,Washington Redskins,Philadelphia Eagles,Mike Shanahan,Chip Kelly,0-1,1-0,outdoors,grass ,Washington Redskins -4.5,52.0 (over),Robert Griffin III,Alfred Morris,Pierre Garcon,Fred Davis,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,,,Barry Cofield,Stephen Bowen,London Fletcher,,DeAngelo Hall,E.J. Biggers,Josh Wilson,,Bacarri Rambo,Michael Vick,LeSean McCoy,,Jason Avant,Brent Celek,Jason Peters,Evan Mathis,Jason Kelce,Todd Herremans,Lane Johnson,,Isaac Sopoaga,,,,,Bradley Fletcher,,Cary Williams,Nate Allen,Patrick Chung,,,,,,,Ryan Kerrigan,,Brian Orakpo,,Cedric Thornton,Fletcher Cox,,,,,,,,,,,,Connor Barwin,,Trent Cole,,,,,,,,,,,DeMeco Ryans,,,,Perry Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2013,September 9,1,San Diego Chargers,Houston Texans,Mike McCoy,Gary Kubiak,0-1,1-0,outdoors,grass ,Houston Texans -6.5,44.0 (over),Philip Rivers,Ryan Mathews,Vincent Brown,Antonio Gates,King Dunlap,Chad Rinehart,Nick Hardwick,Jeromey Clary,D.J. Fluker,Kendall Reyes,Cam Thomas,,Corey Liuget,,,Derek Cox,,Shareece Wright,Marcus Gilchrist,Eric Weddle,Matt Schaub,Arian Foster,,Andre Johnson,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Brandon Brooks,Derek Newton,Jared Crick,Earl Mitchell,,,,,Kareem Jackson,,Johnathan Joseph,Danieal Manning,Shiloh Keo,,Joe Mays,Brooks Reed,Whitney Mercilus,,,,,,,,,Jarret Johnson,,,Donald Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2013,September 12,2,New England Patriots,New York Jets,Bill Belichick,Rex Ryan,2-0,1-1,outdoors,fieldturf ,New England Patriots -11.5,43.0 (under),Tom Brady,Stevan Ridley,Kenbrell Thompkins,Michael Hoomanawanui,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,Rob Ninkovich,Vince Wilfork,,Chandler Jones,,,Aqib Talib,,Alfonzo Dennard,,,Geno Smith,Bilal Powell,,Stephen Hill,Kellen Winslow,D'Brickashaw Ferguson,Vlad Ducasse,Nick Mangold,Willie Colon,Austin Howard,,Damon Harrison,,Demario Davis,David Harris,,,Dee Milliner,,,,,,,,,,,,,,,,,,Dawan Landry,,,,,,,,,,,,Garrett McIntyre,,Devin McCourty,,Jerod Mayo,,,,,,,,,,,Muhammad Wilkerson,Sheldon Richardson,Kyle Arrington,,,,,,,,,,,,,,,,,,,,,,,
17,2013,September 15,2,Philadelphia Eagles,San Diego Chargers,Chip Kelly,Mike McCoy,1-1,1-1,outdoors,grass ,Philadelphia Eagles -7.5,51.0 (over),Michael Vick,LeSean McCoy,Jason Avant,Brent Celek,Jason Peters,Evan Mathis,Jason Kelce,Todd Herremans,Lane Johnson,Cedric Thornton,,Isaac Sopoaga,Fletcher Cox,,,Brandon Boykin,,Cary Williams,Nate Allen,Patrick Chung,Philip Rivers,Ryan Mathews,,Eddie Royal,Antonio Gates,King Dunlap,Chad Rinehart,Nick Hardwick,Jeromey Clary,D.J. Fluker,,,,,,,Derek Cox,Johnny Patrick,Shareece Wright,Marcus Gilchrist,Eric Weddle,,,,,,,Connor Barwin,,Trent Cole,,Kendall Reyes,Corey Liuget,,,,DeMeco Ryans,,,,,,,,,,,Jarret Johnson,,,,,,,,,,Donald Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2013,September 15,2,Indianapolis Colts,Miami Dolphins,Chuck Pagano,Joe Philbin,1-1,2-0,retractable roof (open),fieldturf ,Indianapolis Colts -3.0,43.5 (over),Andrew Luck,Ahmad Bradshaw,Darrius Heyward-Bey,Dominique Jones,Anthony Castonzo,Donald Thomas,Samson Satele,Mike McGlynn,Gosder Cherilus,,Ricky Jean-Francois,Aubrayo Franklin,,,,Greg Toler,,Vontae Davis,Antoine Bethea,LaRon Landry,Ryan Tannehill,Lamar Miller,,Mike Wallace,Dion Sims,Jonathan Martin,Richie Incognito,Mike Pouncey,John Jerry,Tyson Clabo,,,,,,,,Brent Grimes,,,,Jared Odrick,,,,Cory Redding,,,,,,Cameron Wake,Olivier Vernon,,Koa Misi,Reshad Jones,,,Erik Walden,,Pat Angerer,Robert Mathis,Jerrell Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2013,September 15,2,Green Bay Packers,Washington Redskins,Mike McCarthy,Mike Shanahan,1-1,0-2,outdoors,grass ,Green Bay Packers -8.0,48.5 (over),Aaron Rodgers,Eddie Lacy,James Jones,Andrew Quarless,David Bakhtiari,Josh Sitton,Evan Dietrich-Smith,T.J. Lang,Don Barclay,Johnny Jolly,,Ryan Pickett,B.J. Raji,Brad Jones,,Tramon Williams,,Sam Shields,Jerron McMillian,M.D. Jennings,Robert Griffin III,Alfred Morris,Darrel Young,Leonard Hankerson,Fred Davis,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,,Barry Cofield,,,,,DeAngelo Hall,,Josh Wilson,Brandon Meriweather,Bacarri Rambo,,London Fletcher,,,,,Nick Perry,,Clay Matthews,,Kedric Golston,Stephen Bowen,,,,,,,John Kuhn,,,,,Ryan Kerrigan,,Brian Orakpo,,,,,,,,,,,,,,,,,,,Perry Riley,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,
20,2013,September 15,2,Kansas City Chiefs,Dallas Cowboys,Andy Reid,Jason Garrett,2-0,1-1,outdoors,grass ,Kansas City Chiefs -3.0,45.0 (under),Alex Smith,Jamaal Charles,Dexter McCluster,Sean McGrath,Branden Albert,Jeff Allen,Rodney Hudson,Jon Asamoah,Eric Fisher,Tyson Jackson,,Dontari Poe,Mike DeVito,,,Brandon Flowers,,Sean Smith,Eric Berry,Kendrick Lewis,Tony Romo,DeMarco Murray,,Miles Austin,Jason Witten,Tyron Smith,Ronald Leary,Travis Frederick,Mackenzy Bernadeau,Doug Free,,,,,,,Brandon Carr,,Orlando Scandrick,Will Allen,Barry Church,Nick Hayden,Sean Lee,Justin Durant,Bruce Carter,,Akeem Jordan,Justin Houston,Derrick Johnson,Tamba Hali,,George Selvie,DeMarcus Ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2013,September 15,2,Baltimore Ravens,Cleveland Browns,John Harbaugh,Rob Chudzinski,1-1,0-2,outdoors,sportturf,Baltimore Ravens -7.0,43.5 (under),Joe Flacco,Ray Rice,Torrey Smith,Ed Dickson,Bryant McKinnie,Kelechi Osemele,Gino Gradkowski,Marshal Yanda,Michael Oher,,Arthur Jones,Haloti Ngata,,,,Lardarius Webb,,Jimmy Smith,James Ihedigbo,Matt Elam,Brandon Weeden,Trent Richardson,,Travis Benjamin,Gary Barnidge,Joe Thomas,John Greco,Alex Mack,Oniel Cousins,Mitchell Schwartz,,Phil Taylor,,,,,Joe Haden,,Buster Skrine,T.J. Ward,Tashaun Gipson,,,,,Chris Canty,,,,,,Billy Winn,Desmond Bryant,,,,,,,Vonta Leach,Daryl Smith,Terrell Suggs,Josh Bynes,,,,,Paul Kruger,,,,,,,,,,D'Qwell Jackson,,,,,,,,,,Courtney Upshaw,,,,,,,,,,,,,,,,,,,,
22,2013,September 15,2,Buffalo Bills,Carolina Panthers,Doug Marrone,Ron Rivera,1-1,0-2,outdoors,a_turf,Carolina Panthers -3.5,43.5 (over),EJ Manuel,C.J. Spiller,Robert Woods,Scott Chandler,Cordy Glenn,Colin Brown,Eric Wood,Kraig Urbik,Erik Pears,Alex Carrington,Kyle Williams,,Mario Williams,Kiko Alonso,Arthur Moats,Leodis McKelvin,,Justin Rogers,Aaron Williams,Da'Norris Searcy,Cam Newton,DeAngelo Williams,Mike Tolbert,Steve Smith,Greg Olsen,Jordan Gross,Amini Silatolu,Ryan Kalil,Chris Scott,Byron Bell,,,,,,,Josh Thomas,,Captain Munnerlyn,Quintin Mikell,Charles Godfrey,,Luke Kuechly,Thomas Davis,Jon Beason,,,,,,,Charles Johnson,Frank Alexander,,,,,,Manny Lawson,Frank Summers,,,,,,,,,,,,,,Dwan Edwards,Star Lotulelei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2013,September 15,2,Chicago Bears,Minnesota Vikings,Marc Trestman,Leslie Frazier,2-0,0-2,outdoors,grass ,Chicago Bears -6.5,41.0 (over),Jay Cutler,Matt Forte,Alshon Jeffery,Martellus Bennett,Jermon Bushrod,Matt Slauson,Roberto Garza,Kyle Long,Jordan Mills,Shea McClellin,Henry Melton,Stephen Paea,Julius Peppers,D.J. Williams,Lance Briggs,Tim Jennings,,Charles Tillman,Major Wright,Chris Conte,Christian Ponder,,,Jarius Wright,Kyle Rudolph,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Kevin Williams,,,,,Josh Robinson,,Chris Cook,Jamarca Sanford,Harrison Smith,,Erin Henderson,Chad Greenway,Marvin Mitchell,,,,,,Adrian Peterson,Brian Robison,Jared Allen,,,,,,James Anderson,Tony Fiammetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2013,September 15,2,Atlanta Falcons,St. Louis Rams,Mike Smith,Jeff Fisher,1-1,1-1,dome,fieldturf ,Atlanta Falcons -5.5,47.5 (over),Matt Ryan,Steven Jackson,Roddy White,Tony Gonzalez,Sam Baker,Justin Blalock,Peter Konz,Garrett Reynolds,Lamar Holmes,Kroy Biermann,Corey Peters,,Osi Umenyiora,,,,Robert McClain,,,,Sam Bradford,Daryl Richardson,,Austin Pettis,Jared Cook,Jake Long,Chris Williams,Scott Wells,Harvey Dahl,Rodger Saffold,,,,,,,Cortland Finnegan,,Janoris Jenkins,T.J. McDonald,Rodney McLeod,,James Laurinaitis,,,,,,,,,Chris Long,Robert Quinn,Joplo Bartu,,,,,,Bradie Ewing,,,,,,,,,,Thomas DeCoud,,,,Kendall Langford,Michael Brockers,,,,,,,,,,,,,,Alec Ogletree,Will Witherspoon,,,,,,,,,,,,,,,,,,
25,2013,September 15,2,Houston Texans,Tennessee Titans,Gary Kubiak,Mike Munchak,2-0,1-1,retractable roof (closed),grass ,Houston Texans -9.0,42.5 (over),Matt Schaub,Arian Foster,Andre Johnson,Garrett Graham,Duane Brown,Wade Smith,Chris Myers,Brandon Brooks,Derek Newton,,,Earl Mitchell,,Joe Mays,Whitney Mercilus,Kareem Jackson,,Johnathan Joseph,Danieal Manning,Shiloh Keo,Jake Locker,Chris Johnson,Collin Mooney,Nate Washington,Craig Stevens,Michael Roos,Andy Levitre,Robert Turner,Chance Warmack,David Stewart,Derrick Morgan,,,,,,,Coty Sensabaugh,,Bernard Pollard,Michael Griffin,Karl Klug,Moise Fokou,Akeem Ayers,Zach Brown,J.J. Watt,,,,,,,,,,,,,Brooks Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2013,September 15,2,Tampa Bay Buccaneers,New Orleans Saints,Greg Schiano,Sean Payton,0-2,2-0,outdoors,grass ,New Orleans Saints -4.0,48.5 (under),Josh Freeman,Doug Martin,Mike Williams,Luke Stocker,Donald Penn,Gabe Carimi,Jeremy Zuttah,Davin Joseph,Demar Dotson,,Gerald McCoy,,Adrian Clayborn,,Lavonte David,Darrelle Revis,Johnthan Banks,Leonard Johnson,Mark Barron,Dashon Goldson,Drew Brees,Darren Sproles,,Marques Colston,Jimmy Graham,Charles Brown,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,,John Jenkins,,,,,Jabari Greer,,Keenan Lewis,Roman Harper,Malcolm Jenkins,,,,,,,,,,,Akiem Hicks,Cameron Jordan,,,,,Kenny Vaccaro,,,,,,,,,,Junior Galette,,,,,,,,,,David Hawthorne,,,,,,,Ahmad Black,,,,,,,,,,,,,,,,,,,,,,,
27,2013,September 15,2,Arizona Cardinals,Detroit Lions,Bruce Arians,Jim Schwartz,1-1,1-1,retractable roof (closed),grass ,Detroit Lions -2.0,47.5 (under),Carson Palmer,Rashard Mendenhall,Michael Floyd,Jim Dray,Levi Brown,Daryn Colledge,Lyle Sendlein,Paul Fanaika,Eric Winston,,Darnell Dockett,,,,,Patrick Peterson,,Jerraud Powers,Yeremiah Bell,Rashad Johnson,Matthew Stafford,Reggie Bush,,Calvin Johnson,Tony Scheffler,Riley Reiff,Rob Sims,Dominic Raiola,Larry Warford,Corey Hilliard,Willie Young,,,,,,Chris Houston,,Darius Slay,Glover Quin,Louis Delmas,Ndamukong Suh,Stephen Tulloch,,,Calais Campbell,,,,,,,,,,,John Abraham,,,,,,Lorenzo Alexander,,,,,Ashlee Palmer,,Tony Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
