,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeDT,homeNT,homeRDE,homeMLB,homeWLB,homeLCB,homeCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDE,awayNT,awayRUSH,awayWILL,awayMIKE,awaySAM,awayLCB,awayCB,awayRCB,awaySS,awayFS,awayDT,awayMLB,awaySLB,awayWLB,homeDE,homeLILB,homeLOLB,homeRILB,homeROLB,awayHB,awayLDE,awayRDE,homeOLB,awayLB,awayS,homeILB,awayDB,homeSLB,homeFB,homeMIKE,homeRUSH,homeWILL,awayLILB,awayLOLB,awayRILB,awayROLB,awayOLB,homeNB,homeS,homeEND,homeLB,homeT,awayLDT,awayRDT,homeLDT,homeRDT,awayILB,homeLLB,homeRLB,awayBLB,homeJLB,awayEND,awayT,homeDB,awayJLB,homeBLB,homeSAM,awayLLB,awayRLB,homeHB,homeTE/F,homeUT,awayG,awayWIL,awayLOT,awayROT,homeLOT,homeROT,awayNB,homeWIL,awayILBV,awayUT,awayOL,home2,homeDL,awayOT,homeH-B
104,2013,October 20,7,Kansas City Chiefs,Houston Texans,Andy Reid,Gary Kubiak,7-0,2-5,outdoors,grass ,Kansas City Chiefs -6.0,38.5 (under),Alex Smith,Jamaal Charles,Dwayne Bowe,Anthony Fasano,Branden Albert,Jeff Allen,Rodney Hudson,Jon Asamoah,Eric Fisher,Tyson Jackson,,Dontari Poe,Mike DeVito,,,Brandon Flowers,,Sean Smith,Eric Berry,Kendrick Lewis,Case Keenum,Arian Foster,,Andre Johnson,Ryan Griffin,Duane Brown,Wade Smith,Chris Myers,Brandon Brooks,Derek Newton,Antonio Smith,Earl Mitchell,,,,,Kareem Jackson,,Johnathan Joseph,D.J. Swearinger,Ed Reed,,Brian Cushing,Brooks Reed,Whitney Mercilus,,Akeem Jordan,Justin Houston,Derrick Johnson,Tamba Hali,,,,,,,,,,Anthony Sherman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2013,October 20,7,Indianapolis Colts,Denver Broncos,Chuck Pagano,John Fox,5-2,6-1,retractable roof (open),fieldturf ,Denver Broncos -6.0,54.5 (over),Andrew Luck,Trent Richardson,T.Y. Hilton,Coby Fleener,Anthony Castonzo,Hugh Thornton,Samson Satele,Mike McGlynn,Gosder Cherilus,,Ricky Jean-Francois,,,,,Greg Toler,Darius Butler,Vontae Davis,Antoine Bethea,LaRon Landry,Peyton Manning,Knowshon Moreno,,Demaryius Thomas,Julius Thomas,Chris Clark,Zane Beadles,Manuel Ramirez,Chris Kuper,Louis Vasquez,,Terrance Knighton,,,,,Champ Bailey,Chris Harris Jr.,Dominique Rodgers-Cromartie,Duke Ihenacho,Rahim Moore,Kevin Vickerson,Paris Lenon,Von Miller,Danny Trevathan,Cory Redding,,,,,,Derek Wolfe,,,,,,,Erik Walden,,Pat Angerer,Robert Mathis,Jerrell Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2013,October 21,7,New York Giants,Minnesota Vikings,Tom Coughlin,Leslie Frazier,1-6,1-5,outdoors,fieldturf,New York Giants -3.5,47.5 (under),Eli Manning,Peyton Hillis,Hakeem Nicks,Brandon Myers,Will Beatty,Kevin Boothe,David Baas,David Diehl,Justin Pugh,Justin Tuck,,,Mathias Kiwanuka,Jon Beason,Spencer Paysinger,Trumaine McBride,,Prince Amukamara,Antrel Rolle,Ryan Mundy,Josh Freeman,,,Greg Jennings,Kyle Rudolph,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Letroy Guion,,,,,Josh Robinson,,Chris Cook,Jamarca Sanford,Andrew Sendejo,,Erin Henderson,Chad Greenway,Marvin Mitchell,,,,,,Adrian Peterson,Brian Robison,Jared Allen,,,,,,Keith Rivers,John Conner,,,,,,,,,,,,,,,,Linval Joseph,Cullen Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Williams,,,,,
107,2013,October 24,8,Tampa Bay Buccaneers,Carolina Panthers,Greg Schiano,Ron Rivera,0-7,4-3,outdoors,grass ,Carolina Panthers -6.5,39.0 (over),Mike Glennon,Mike James,Vincent Jackson,Tom Crabtree,Donald Penn,Jeremy Zuttah,Ted Larsen,Davin Joseph,Demar Dotson,Daniel Te'o-Nesheim,Gerald McCoy,,Adrian Clayborn,Mason Foster,Lavonte David,Darrelle Revis,,Johnthan Banks,Mark Barron,Keith Tandy,Cam Newton,DeAngelo Williams,Mike Tolbert,Brandon LaFell,Greg Olsen,Jordan Gross,Travelle Wharton,Ryan Kalil,Chris Scott,Byron Bell,,,,,,,Melvin White,,Captain Munnerlyn,Quintin Mikell,Mike Mitchell,,Luke Kuechly,Thomas Davis,Chase Blackburn,,,,,,,Charles Johnson,Greg Hardy,,,,,,Jonathan Casillas,Erik Lorig,,,,,,,,,,,,,,Colin Cole,Star Lotulelei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2013,October 27,8,New England Patriots,Miami Dolphins,Bill Belichick,Joe Philbin,6-2,3-4,outdoors,fieldturf ,New England Patriots -5.5,46.5 (under),Tom Brady,LeGarrette Blount,Aaron Dobson,Michael Hoomanawanui,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,Rob Ninkovich,Chris Jones,,Chandler Jones,,,Kyle Arrington,,Alfonzo Dennard,,,Ryan Tannehill,Lamar Miller,,Brian Hartline,Dion Sims,Bryant McKinnie,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,,,,,,,,Dimitri Patterson,,,,Randy Starks,,,,,,,,,,Cameron Wake,Olivier Vernon,,Dannell Ellerbe,Chris Clemons,,Jimmy Wilson,,,,,,,,,,,,Steve Gregory,,Brandon Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2013,October 27,8,New Orleans Saints,Buffalo Bills,Sean Payton,Doug Marrone,6-1,3-5,dome,sportturf,New Orleans Saints -10.5,48.5 (over),Drew Brees,Pierre Thomas,Kenny Stills,Ben Watson,Charles Brown,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Akiem Hicks,,Brodrick Bunkley,Cameron Jordan,,,Jabari Greer,,Keenan Lewis,,,Thaddeus Lewis,Fred Jackson,,Steve Johnson,Lee Smith,Cordy Glenn,Doug Legursky,Eric Wood,Kraig Urbik,Erik Pears,,,,,,,Leodis McKelvin,,Stephon Gilmore,Aaron Williams,Jairus Byrd,Kyle Williams,Kiko Alonso,Jerry Hughes,Arthur Moats,,,,,,,Alan Branch,Mario Williams,Junior Galette,,,David Hawthorne,,,Jed Collins,,,,,,,,,,Kenny Vaccaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2013,October 27,8,Kansas City Chiefs,Cleveland Browns,Andy Reid,Rob Chudzinski,8-0,3-5,outdoors,grass ,Kansas City Chiefs -7.0,39.0 (over),Alex Smith,Jamaal Charles,Dwayne Bowe,Anthony Fasano,Branden Albert,Jeff Allen,Rodney Hudson,Jon Asamoah,Eric Fisher,,,Dontari Poe,Mike DeVito,,,Brandon Flowers,Marcus Cooper,Sean Smith,Eric Berry,Kendrick Lewis,Jason Campbell,Willis McGahee,,Josh Gordon,Jordan Cameron,Joe Thomas,John Greco,Alex Mack,Shawn Lauvao,Mitchell Schwartz,,Phil Taylor,,,,,Joe Haden,,Buster Skrine,T.J. Ward,Tashaun Gipson,,,,,,,Justin Houston,Derrick Johnson,Tamba Hali,,Ahtyba Rubin,Desmond Bryant,,,,,,,Anthony Sherman,,,,,,,,Paul Kruger,,Quintin Demps,,,,,,,,D'Qwell Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2013,October 27,8,Philadelphia Eagles,New York Giants,Chip Kelly,Tom Coughlin,3-5,2-6,outdoors,grass ,Philadelphia Eagles -5.5,49.0 (under),Michael Vick,LeSean McCoy,DeSean Jackson,Brent Celek,Jason Peters,Evan Mathis,Jason Kelce,Todd Herremans,Lane Johnson,Cedric Thornton,,Isaac Sopoaga,Fletcher Cox,,,Bradley Fletcher,,Cary Williams,Nate Allen,Earl Wolff,Eli Manning,Michael Cox,John Conner,Hakeem Nicks,Bear Pascoe,Will Beatty,Kevin Boothe,Jim Cordle,David Diehl,Justin Pugh,,,,,,,Trumaine McBride,,Prince Amukamara,Terrell Thomas,Antrel Rolle,,Jacquian Williams,Jon Beason,,,,Connor Barwin,,Trent Cole,,Justin Tuck,Jason Pierre-Paul,,,Will Hill,Mychal Kendricks,,,,,,,,,,,,,,,,,Linval Joseph,Cullen Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Brewer,,,,
112,2013,October 27,8,Detroit Lions,Dallas Cowboys,Jim Schwartz,Jason Garrett,5-3,4-4,dome,fieldturf ,Detroit Lions -3.0,51.0 (over),Matthew Stafford,Reggie Bush,Ryan Broyles,Brandon Pettigrew,Riley Reiff,Rob Sims,Dominic Raiola,Larry Warford,LaAdrian Waddle,,Ndamukong Suh,,,Stephen Tulloch,,Chris Houston,Bill Bentley,Rashean Mathis,Glover Quin,Louis Delmas,Tony Romo,Joseph Randle,,Dez Bryant,Jason Witten,Tyron Smith,Ronald Leary,Travis Frederick,Brian Waters,Doug Free,,,,,,,Brandon Carr,Orlando Scandrick,Morris Claiborne,Jeff Heath,Barry Church,Nick Hayden,Sean Lee,,Bruce Carter,Willie Young,,,,,,George Selvie,Kyle Wilber,DeAndre Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2013,October 27,8,Jacksonville Jaguars,San Francisco 49ers,Gus Bradley,Jim Harbaugh,0-8,6-2,outdoors,grass ,San Francisco 49ers -14.5,40.0 (over),Chad Henne,Maurice Jones-Drew,Cecil Shorts,Marcedes Lewis,Cameron Bradfield,Will Rackley,Brad Meester,Uche Nwaneri,Austin Pasztor,Tyson Alualu,Roy Miller,,,Paul Posluszny,,Will Blackmon,,Alan Ball,Johnathan Cyprien,Josh Evans,Colin Kaepernick,Frank Gore,Bruce Miller,Kyle Williams,Vernon Davis,Joe Staley,Mike Iupati,Jonathan Goodwin,Alex Boone,Anthony Davis,,Glenn Dorsey,,,,,Carlos Rogers,,Tarell Brown,Donte Whitner,Eric Reid,,,,,Jason Babin,,,,,,,,Geno Hayes,,,,,,Will Ta'ufo'ou,,,,,,,,Dan Skuta,,,,,,Ray McDonald,Justin Smith,,,NaVorro Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
