,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
79,October 17,6,1976,57,Denver Broncos,Oakland Raiders,10,17,John Ralston,John Madden,3-3,5-1,outdoors,grass,Ken Stabler,Steve Ramsey,20,16,43-131-1,27-88-0,16-20-175-1-1,15-29-186-1-0,2-17,3-13,158,173,289,261,1-0,0-0,1,0,11-111,14-132,,
80,October 17,6,1976,57,Los Angeles Rams,Chicago Bears,20,12,Chuck Knox,Jack Pardee,4-1-1,3-3,outdoors,grass,Bob Avellini,Ron Jaworski,14,17,41-173-1,46-185-1,14-31-152-0-3,8-22-127-1-2,0-0,3-33,152,94,325,279,1-1,2-2,4,4,13-98,5-34,,
81,October 17,6,1976,57,St. Louis Cardinals,Dallas Cowboys,21,17,Don Coryell,Tom Landry,5-1,5-1,outdoors,astroturf,Roger Staubach,Jim Hart,23,26,30-151-0,40-90-0,21-42-250-2-1,22-34-346-3-2,4-21,0-0,229,346,380,436,1-0,4-2,1,4,9-60,2-15,,
82,October 17,6,1976,57,San Diego Chargers,Houston Oilers,30,27,Tommy Prothro,Bum Phillips,4-2,4-2,outdoors,grass,Dan Pastorini,Dan Fouts,16,24,23-51-0,41-223-2,25-39-329-3-1,19-24-279-2-0,0-0,8-34,329,245,380,468,1-0,5-2,1,2,9-80,6-55,,
83,October 18,6,1976,57,New England Patriots,New York Jets,41,7,Chuck Fairbanks,Lou Holtz,4-2,1-5,outdoors,astroturf,Joe Namath,Steve Grogan,20,29,25-116-0,47-330-4,25-46-222-1-1,14-25-182-1-1,4-29,3-37,193,145,309,475,3-1,1-0,2,1,4-30,10-76,,
84,October 23,7,1976,57,San Francisco 49ers,Atlanta Falcons,15,0,Monte Clark,,6-1,1-6,outdoors,astroturf,Kim McQuilken,Jim Plunkett,7,14,28-83-0,47-169-1,8-29-46-0-2,11-20-107-0-1,8-85,4-31,-39,76,44,245,4-1,4-3,3,4,10-83,9-88,,
85,October 24,7,1976,57,Philadelphia Eagles,Minnesota Vikings,12,31,Dick Vermeil,Bud Grant,2-5,6-0-1,outdoors,astroturf,Fran Tarkenton,Mike Boryla,27,17,43-242-2,31-161-0,23-33-249-2-1,11-25-142-1-0,0-0,3-21,249,121,491,282,2-1,0-0,2,0,8-60,6-45,,
86,October 24,7,1976,57,New York Giants,Pittsburgh Steelers,0,27,Bill Arnsparger,Chuck Noll,0-7,3-4,outdoors,astroturf,Mike Kruczek,Craig Morton,18,10,47-230-3,29-88-0,12-19-120-0-0,11-26-97-0-1,3-19,5-34,101,63,331,151,1-0,2-1,0,2,15-120,6-41,,
87,October 24,7,1976,57,Cleveland Browns,San Diego Chargers,21,17,Forrest Gregg,Tommy Prothro,4-3,4-3,outdoors,grass,Dan Fouts,Brian Sipe,19,22,27-78-0,34-137-1,24-36-246-2-1,23-28-246-2-2,2-14,1-9,232,237,310,374,0-0,1-0,1,2,9-50,8-78,,
88,October 24,7,1976,57,Buffalo Bills,New England Patriots,22,26,Chuck Fairbanks,,2-5,5-2,outdoors,astroturf,Steve Grogan,Gary Marangi,18,21,41-184-2,42-209-2,8-21-122-1-1,11-29-100-1-1,3-29,0-0,93,100,277,309,5-3,6-4,4,5,8-57,6-68,,
89,October 24,7,1976,57,New York Jets,Baltimore Colts,0,20,Lou Holtz,Ted Marchibroda,1-6,6-1,outdoors,grass,Bert Jones,Joe Namath,18,15,42-136-0,19-123-0,16-27-297-2-1,17-37-206-0-2,1-16,6-52,281,154,417,277,0-0,2-0,1,2,6-42,2-18,,
90,October 24,7,1976,57,New Orleans Saints,Los Angeles Rams,10,16,Hank Stram,Chuck Knox,2-5,5-1-1,dome,astroturf,Ron Jaworski,Bobby Douglass,14,20,42-122-1,31-114-0,5-15-92-1-2,24-40-292-1-0,5-35,9-78,57,214,179,328,4-3,7-5,5,5,6-59,8-103,,
91,October 24,7,1976,57,Kansas City Chiefs,Denver Broncos,26,35,Paul Wiggin,John Ralston,2-5,4-3,outdoors,astroturf,Steve Ramsey,Mike Livingston,24,29,38-192-2,42-169-2,16-25-203-2-2,25-39-334-1-1,0-0,3-36,203,298,395,467,3-3,2-1,5,2,6-64,4-35,,
92,October 24,7,1976,57,Dallas Cowboys,Chicago Bears,31,21,Tom Landry,Jack Pardee,6-1,3-4,outdoors,astroturf,Bob Avellini,Roger Staubach,8,29,28-93-2,55-241-1,6-16-54-0-0,19-31-307-3-2,4-37,2-19,17,288,110,529,1-0,1-1,0,3,8-83,9-86,,
93,October 24,7,1976,57,Oakland Raiders,Green Bay Packers,18,14,John Madden,Bart Starr,6-1,3-4,outdoors,grass,Lynn Dickey,Ken Stabler,21,15,30-108-1,33-115-0,22-34-303-1-2,13-21-220-3-1,4-39,5-59,264,161,372,276,3-2,3-1,4,2,13-151,13-119,,
94,October 24,7,1976,57,Houston Oilers,Cincinnati Bengals,7,27,Bum Phillips,Bill Johnson,4-3,5-2,dome,astroturf,Ken Anderson,Dan Pastorini,18,12,40-162-0,9-28-0,16-24-187-2-0,23-42-198-0-3,3-21,6-50,166,148,328,176,3-1,1-1,1,4,9-84,7-50,,
95,October 24,7,1976,57,Seattle Seahawks,Detroit Lions,14,41,Jack Patera,,1-6,3-4,dome,astroturf,Greg Landry,Jim Zorn,22,20,38-152-0,30-97-2,19-31-235-3-0,18-38-249-0-6,2-18,2-7,217,242,369,339,4-1,3-2,1,8,5-55,5-30,,
96,October 24,7,1976,57,Tampa Bay Buccaneers,Miami Dolphins,20,23,John McKay,Don Shula,0-7,3-4,outdoors,grass,Bob Griese,Steve Spurrier,19,20,42-200-2,30-143-0,8-15-132-0-1,19-28-203-3-1,6-42,1-12,90,191,290,334,0-0,1-0,1,1,2-20,8-58,,
97,October 25,7,1976,57,Washington Redskins,St. Louis Cardinals,20,10,George Allen,Don Coryell,5-2,5-2,outdoors,grass,Jim Hart,Joe Theismann,15,15,32-100-0,39-117-1,17-31-215-1-2,9-18-85-0-1,1-9,8-62,206,23,306,140,9-8,4-2,10,3,3-40,1-15,,
98,October 31,8,1976,57,Pittsburgh Steelers,San Diego Chargers,23,0,Chuck Noll,Tommy Prothro,4-4,4-4,outdoors,astroturf,Dan Fouts,Terry Bradshaw,7,20,26-44-0,52-255-2,10-28-122-0-1,11-25-124-1-1,5-32,2-18,90,106,134,361,5-4,5-2,5,3,1-5,6-49,,
99,October 31,8,1976,57,Buffalo Bills,New York Jets,14,19,Lou Holtz,,2-6,2-6,outdoors,astroturf,Richard Todd,Gary Marangi,16,17,33-155-0,48-224-0,6-20-87-1-2,10-30-116-2-3,1-8,3-29,79,87,234,311,5-2,3-2,4,5,4-35,7-68,,
100,October 31,8,1976,57,Atlanta Falcons,New Orleans Saints,23,20,Hank Stram,,2-6,2-6,outdoors,grass,Bobby Douglass,Scott Hunter,18,18,42-138-2,38-105-1,12-21-127-1-2,14-21-162-2-1,2-12,1-12,115,150,253,255,2-0,2-2,2,3,9-61,6-64,,
101,October 31,8,1976,57,New York Giants,Philadelphia Eagles,0,10,Dick Vermeil,,0-8,3-5,outdoors,astroturf,Mike Boryla,Craig Morton,14,14,39-150-0,30-114-0,13-23-113-1-0,17-28-215-0-0,2-18,6-38,95,177,245,291,2-0,1-0,0,0,7-44,6-50,,
102,October 31,8,1976,57,Tampa Bay Buccaneers,Kansas City Chiefs,19,28,John McKay,Paul Wiggin,0-8,3-5,outdoors,grass,Mike Livingston,Steve Spurrier,22,16,43-136-1,21-14-1,17-30-183-2-2,20-36-212-2-0,1-1,4-30,182,182,318,196,3-1,2-1,3,1,10-85,7-49,,
103,October 31,8,1976,57,Cincinnati Bengals,Cleveland Browns,21,6,Bill Johnson,Forrest Gregg,6-2,4-4,outdoors,astroturf,Brian Sipe,Ken Anderson,19,24,31-182-0,41-203-2,12-27-171-0-1,15-24-182-1-2,3-34,0-0,137,182,319,385,4-1,2-1,2,3,7-52,6-52,,
104,October 31,8,1976,57,Chicago Bears,Minnesota Vikings,14,13,Jack Pardee,Bud Grant,4-4,6-1-1,outdoors,astroturf,Fran Tarkenton,Bob Avellini,23,7,38-106-1,33-135-2,24-46-272-0-2,4-13-59-0-0,3-24,2-21,248,38,354,173,1-0,4-1,2,1,5-47,8-66,,
105,October 31,8,1976,57,Detroit Lions,Green Bay Packers,27,6,Bart Starr,,4-4,3-5,dome,astroturf,Lynn Dickey,Greg Landry,11,21,25-87-0,43-222-1,11-26-102-0-2,12-20-211-2-1,4-26,4-24,76,187,163,409,4-3,3-2,5,3,9-69,8-68,,
106,October 31,8,1976,57,Miami Dolphins,New England Patriots,10,3,Don Shula,Chuck Fairbanks,4-4,5-3,outdoors,grass,Steve Grogan,Bob Griese,11,18,27-130-0,37-157-0,10-31-112-0-1,12-22-132-1-0,1-16,3-32,96,100,226,257,1-0,0-0,1,0,11-80,5-33,,
107,October 31,8,1976,57,St. Louis Cardinals,San Francisco 49ers,23,20,Don Coryell,Monte Clark,6-2,6-2,outdoors,astroturf,Jim Plunkett,Jim Hart,23,17,54-265-3,34-148-0,8-17-125-0-1,16-31-271-3-1,1-8,4-46,117,225,382,373,3-1,2-0,2,1,5-35,5-35,,
108,October 31,8,1976,57,Oakland Raiders,Denver Broncos,19,6,John Madden,John Ralston,7-1,4-4,outdoors,grass,Steve Ramsey,Ken Stabler,16,20,29-131-0,45-160-1,13-30-196-0-1,16-27-245-1-2,10-62,2-23,134,222,265,382,2-1,0-0,2,2,7-55,4-35,,
109,October 31,8,1976,57,Washington Redskins,Dallas Cowboys,7,20,George Allen,Tom Landry,5-3,7-1,outdoors,grass,Roger Staubach,Billy Kilmer,18,10,49-135-2,23-88-0,13-25-152-0-0,12-24-110-1-2,4-34,7-52,118,58,253,146,2-0,3-1,0,3,5-35,2-15,,
110,October 31,8,1976,57,Los Angeles Rams,Seattle Seahawks,45,6,Chuck Knox,Jack Patera,6-1-1,1-7,outdoors,grass,Bill Munson,James Harris,9,25,19-50-0,46-206-2,13-32-186-0-2,16-28-234-3-0,5-42,1-11,144,223,194,429,1-0,2-1,2,1,5-50,3-31,,
111,November 1,8,1976,57,Baltimore Colts,Houston Oilers,38,14,Ted Marchibroda,Bum Phillips,7-1,4-4,outdoors,grass,Dan Pastorini,Bert Jones,12,25,14-83-1,53-268-5,11-31-170-1-1,19-30-197-0-0,6-63,1-7,107,190,190,458,3-2,3-1,3,1,4-32,8-114,,
112,November 7,9,1976,57,New York Jets,Miami Dolphins,7,27,Lou Holtz,Don Shula,2-7,5-4,outdoors,grass,Bob Griese,Richard Todd,18,16,42-142-1,28-116-1,16-21-181-2-0,12-24-183-0-1,0-0,2-29,181,154,323,270,0-0,4-3,0,4,3-31,5-43,,
113,November 7,9,1976,57,Philadelphia Eagles,St. Louis Cardinals,14,17,Dick Vermeil,Don Coryell,3-6,7-2,outdoors,astroturf,Jim Hart,Mike Boryla,20,14,47-185-2,32-127-1,14-25-139-0-0,15-28-169-1-1,1-7,3-26,132,143,317,270,5-2,4-3,2,4,6-51,2-57,,
114,November 7,9,1976,57,New England Patriots,Buffalo Bills,20,10,Chuck Fairbanks,,6-3,2-7,outdoors,astroturf,Gary Marangi,Steve Grogan,20,16,42-149-1,39-172-1,15-34-241-0-4,8-18-137-0-2,3-17,2-11,224,126,373,298,5-4,4-3,8,5,5-45,6-60,,
115,November 7,9,1976,57,Houston Oilers,Cleveland Browns,7,21,Bum Phillips,Forrest Gregg,4-5,5-4,dome,astroturf,Mike Phipps,John Hadl,13,11,44-200-0,31-125-0,9-19-68-2-0,13-21-102-1-1,1-6,4-39,62,63,262,188,2-1,4-2,1,3,5-40,4-30,,
116,November 7,9,1976,57,Dallas Cowboys,New York Giants,9,3,Tom Landry,,8-1,0-9,outdoors,astroturf,Craig Morton,Roger Staubach,18,12,53-186-0,30-96-0,9-16-96-0-1,13-25-161-0-1,4-13,0-0,83,161,269,257,3-2,0-0,3,1,3-35,4-25,,
117,November 7,9,1976,57,Green Bay Packers,New Orleans Saints,32,27,Bart Starr,Hank Stram,4-5,2-7,outdoors,grass,Bobby Douglass,Lynn Dickey,21,19,33-136-2,47-175-2,15-35-173-0-2,10-25-138-1-1,2-12,2-15,161,123,297,298,1-1,3-2,3,3,8-56,5-35,,
118,November 7,9,1976,57,Kansas City Chiefs,Pittsburgh Steelers,0,45,Paul Wiggin,Chuck Noll,3-6,5-4,outdoors,astroturf,Terry Bradshaw,Mike Livingston,26,14,54-330-5,22-34-0,8-17-152-1-1,15-35-244-0-4,2-31,2-21,121,223,451,257,3-0,4-2,1,6,10-62,5-31,,
119,November 7,9,1976,57,Chicago Bears,Oakland Raiders,27,28,Jack Pardee,John Madden,4-5,8-1,outdoors,astroturf,Ken Stabler,Bob Avellini,13,20,27-118-1,55-181-3,11-17-234-3-0,10-18-204-1-1,3-30,2-20,204,184,322,365,2-2,1-1,2,2,5-55,6-51,,
120,November 7,9,1976,57,Minnesota Vikings,Detroit Lions,31,23,Bud Grant,,7-1-1,4-5,outdoors,grass,Greg Landry,Fran Tarkenton,26,19,39-208-2,34-83-2,19-27-213-1-0,17-25-347-2-1,4-22,0-0,191,347,399,430,1-1,5-3,1,4,7-56,4-36,,
121,November 7,9,1976,57,Seattle Seahawks,Atlanta Falcons,30,13,Jack Patera,,2-7,2-7,dome,astroturf,Scott Hunter,Jim Zorn,12,19,33-148-0,39-196-1,10-32-108-1-4,15-28-180-2-0,2-18,3-27,90,153,238,349,3-2,5-4,6,4,5-25,6-39,,
122,November 7,9,1976,57,San Diego Chargers,Baltimore Colts,21,37,Tommy Prothro,Ted Marchibroda,4-5,8-1,outdoors,grass,Bert Jones,Dan Fouts,26,23,39-181-2,21-63-1,19-26-300-3-1,22-36-261-2-0,0-0,5-31,300,230,481,293,1-0,1-1,1,1,12-110,6-50,,
123,November 7,9,1976,57,Denver Broncos,Tampa Bay Buccaneers,48,13,John Ralston,John McKay,5-4,0-9,outdoors,grass,Steve Spurrier,Steve Ramsey,17,18,33-112-1,40-193-1,16-37-131-0-2,10-21-228-2-2,2-9,1-6,122,222,234,415,3-2,2-1,4,3,9-75,15-160,,
124,November 7,9,1976,57,San Francisco 49ers,Washington Redskins,21,24,Monte Clark,George Allen,6-3,6-3,outdoors,astroturf,Joe Theismann,Jim Plunkett,23,19,35-120-0,41-273-2,20-32-302-3-2,8-21-138-1-2,2-19,3-26,283,112,403,385,0-0,3-0,2,2,10-132,7-64,,
125,November 8,9,1976,57,Cincinnati Bengals,Los Angeles Rams,20,12,Bill Johnson,Chuck Knox,7-2,6-2-1,outdoors,astroturf,James Harris,Ken Anderson,21,15,41-182-0,31-167-1,16-28-193-1-1,11-26-132-2-1,2-33,0-0,160,132,342,299,4-3,1-1,4,2,4-57,6-55,,
126,November 14,10,1976,57,Cincinnati Bengals,Houston Oilers,31,27,Bill Johnson,Bum Phillips,8-2,4-6,outdoors,astroturf,John Hadl,Ken Anderson,20,15,48-141-1,28-85-1,12-25-125-2-2,14-30-253-3-0,2-14,5-38,111,215,252,300,1-1,4-3,3,3,13-77,11-83,,
127,November 14,10,1976,57,Cleveland Browns,Philadelphia Eagles,24,3,Forrest Gregg,Dick Vermeil,6-4,3-7,outdoors,grass,Mike Boryla,Brian Sipe,12,18,26-143-0,37-131-0,14-24-73-0-4,17-25-205-2-0,6-52,0-0,21,205,164,336,1-0,2-0,4,0,4-28,10-71,,
128,November 14,10,1976,57,New York Jets,Tampa Bay Buccaneers,34,0,Lou Holtz,John McKay,3-7,0-10,outdoors,grass,Steve Spurrier,Joe Namath,18,24,28-106-0,47-211-2,18-40-202-0-2,10-22-144-1-0,4-31,1-11,171,133,277,344,4-4,4-1,6,1,6-53,3-20,,
129,November 14,10,1976,57,Atlanta Falcons,San Francisco 49ers,21,16,Monte Clark,,3-7,6-4,outdoors,grass,Jim Plunkett,Scott Hunter,21,15,32-159-0,52-199-1,14-31-175-2-2,7-15-97-2-0,3-32,1-7,143,90,302,289,3-2,3-0,4,0,5-30,11-90,,
130,November 14,10,1976,57,New York Giants,Washington Redskins,12,9,George Allen,,1-9,6-4,outdoors,astroturf,Joe Theismann,Norm Snead,20,10,36-174-0,49-144-0,12-30-153-0-1,3-14-26-0-2,2-12,2-2,141,24,315,168,4-3,2-1,4,3,6-45,5-33,,
131,November 14,10,1976,57,Chicago Bears,Green Bay Packers,24,13,Jack Pardee,Bart Starr,5-5,4-6,outdoors,astroturf,Lynn Dickey,Bob Avellini,16,16,33-82-0,45-202-2,15-28-205-1-1,9-19-79-1-2,3-26,3-32,179,47,261,249,5-3,0-0,4,2,6-54,12-96,,
132,November 14,10,1976,57,New Orleans Saints,Detroit Lions,17,16,Hank Stram,,3-7,4-6,dome,astroturf,Greg Landry,Bobby Douglass,26,6,39-171-0,24-79-0,27-38-310-2-0,8-19-132-1-0,3-26,3-28,284,104,455,183,5-3,0-0,3,0,6-72,3-14,,
133,November 14,10,1976,57,Minnesota Vikings,Seattle Seahawks,27,21,Bud Grant,Jack Patera,8-1-1,2-8,outdoors,grass,Jim Zorn,Fran Tarkenton,15,29,23-108-1,43-180-1,17-29-278-2-3,26-31-274-2-0,0-0,2-30,278,244,386,424,1-1,1-0,4,0,3-29,6-46,,
134,November 14,10,1976,57,Baltimore Colts,New England Patriots,14,21,Ted Marchibroda,Chuck Fairbanks,8-2,7-3,outdoors,grass,Steve Grogan,Bert Jones,19,13,51-205-2,29-107-1,12-17-137-1-0,10-25-139-1-2,1-16,5-44,121,95,326,202,2-2,1-1,2,3,3-24,7-58,,
135,November 14,10,1976,57,Oakland Raiders,Kansas City Chiefs,21,10,John Madden,Paul Wiggin,9-1,3-7,outdoors,grass,Mike Livingston,Ken Stabler,17,20,34-115-0,40-211-1,16-29-217-1-0,10-18-138-2-4,5-43,1-10,174,128,289,339,3-1,0-0,1,4,7-57,3-25,,
136,November 14,10,1976,57,San Diego Chargers,Denver Broncos,0,17,Tommy Prothro,John Ralston,4-6,6-4,outdoors,grass,Steve Ramsey,Dan Fouts,13,8,33-61-0,22-33-0,19-34-224-1-1,13-29-130-0-5,4-30,6-35,194,95,255,128,3-1,1-1,2,6,7-75,5-27,,
137,November 14,10,1976,57,Pittsburgh Steelers,Miami Dolphins,14,3,Chuck Noll,Don Shula,6-4,5-5,outdoors,astroturf,Bob Griese,Mike Kruczek,14,19,32-116-0,48-258-2,9-21-144-0-0,4-8-102-0-0,5-36,1-6,108,96,224,354,0-0,1-0,0,0,5-33,4-28,,
138,November 14,10,1976,57,Los Angeles Rams,St. Louis Cardinals,28,30,Chuck Knox,Don Coryell,6-3-1,8-2,outdoors,grass,Jim Hart,Pat Haden,23,15,36-93-2,32-122-2,20-33-324-1-2,10-17-172-1-1,0-0,1-11,324,161,417,283,1-0,0-0,2,1,6-57,5-40,,
139,November 15,10,1976,57,Dallas Cowboys,Buffalo Bills,17,10,Tom Landry,,9-1,2-8,outdoors,astroturf,Gary Marangi,Roger Staubach,19,14,42-147-0,26-63-1,10-28-132-1-1,15-34-202-1-0,5-29,3-37,103,165,250,228,4-0,3-1,1,1,4-21,7-65,,
140,November 21,11,1976,57,Pittsburgh Steelers,Houston Oilers,32,16,Chuck Noll,Bum Phillips,7-4,4-7,outdoors,astroturf,John Hadl,Mike Kruczek,12,17,33-101-0,48-143-3,9-23-134-2-2,8-13-132-0-1,1-10,2-27,124,105,225,248,3-2,3-1,4,2,10-77,10-84,,
141,November 21,11,1976,57,New York Jets,New England Patriots,24,38,Lou Holtz,Chuck Fairbanks,3-8,8-3,outdoors,grass,Steve Grogan,Joe Namath,13,20,41-154-0,30-103-0,10-22-83-3-1,18-42-214-2-7,0-0,3-30,83,184,237,287,3-2,4-3,3,10,7-89,5-49,,
142,November 21,11,1976,57,Tampa Bay Buccaneers,Cleveland Browns,7,24,John McKay,Forrest Gregg,0-11,7-4,outdoors,grass,Brian Sipe,Steve Spurrier,21,18,41-149-1,28-102-0,12-23-142-1-0,18-32-157-1-1,1-9,3-32,133,125,282,227,0-0,1-1,0,2,10-70,7-57,,
143,November 21,11,1976,57,Buffalo Bills,San Diego Chargers,13,34,Tommy Prothro,,2-9,5-6,outdoors,astroturf,Dan Fouts,Gary Marangi,20,14,35-184-2,38-148-0,19-29-200-2-3,8-30-83-0-3,1-2,2-12,198,71,382,219,1-1,1-0,4,3,8-65,4-81,,
144,November 21,11,1976,57,Philadelphia Eagles,Oakland Raiders,7,26,Dick Vermeil,John Madden,3-8,10-1,outdoors,astroturf,Ken Stabler,Roman Gabriel,23,14,47-250-2,33-97-0,14-18-133-1-0,12-25-146-1-1,0-0,4-36,133,110,383,207,2-2,5-0,2,1,4-49,4-32,,
145,November 21,11,1976,57,Atlanta Falcons,Dallas Cowboys,17,10,Tom Landry,,4-7,9-2,outdoors,grass,Roger Staubach,Scott Hunter,15,13,36-182-1,43-141-2,13-28-157-0-3,8-20-99-0-1,4-32,1-10,125,89,307,230,1-1,1-1,4,2,8-70,4-39,,
146,November 21,11,1976,57,Kansas City Chiefs,Cincinnati Bengals,24,27,Paul Wiggin,Bill Johnson,3-8,9-2,outdoors,astroturf,Ken Anderson,Mike Livingston,21,16,41-269-4,39-126-2,9-17-123-0-1,12-25-179-1-0,2-19,6-54,104,125,373,251,7-5,3-0,6,0,2-10,5-50,,
147,November 21,11,1976,57,Detroit Lions,Chicago Bears,14,10,Jack Pardee,,5-6,5-6,dome,astroturf,Bob Avellini,Greg Landry,11,23,29-111-0,41-203-0,8-29-133-1-1,15-26-187-2-2,3-23,6-41,110,146,221,349,1-0,2-2,1,4,11-79,4-32,,
148,November 21,11,1976,57,Green Bay Packers,Minnesota Vikings,10,17,Bart Starr,Bud Grant,4-7,9-1-1,outdoors,grass,Fran Tarkenton,Carlos Brown,17,13,30-100-0,38-146-1,23-43-180-2-0,12-27-100-0-4,3-29,4-18,151,82,251,228,4-2,0-0,2,4,2-25,4-25,,
149,November 21,11,1976,57,San Francisco 49ers,Los Angeles Rams,3,23,Monte Clark,Chuck Knox,6-5,7-3-1,outdoors,astroturf,Pat Haden,Jim Plunkett,8,7,47-120-1,29-70-0,3-8-61-1-0,9-28-65-0-4,5-35,4-47,26,18,146,88,4-2,3-2,2,6,2-20,3-25,,
150,November 21,11,1976,57,Denver Broncos,New York Giants,14,13,John Ralston,,7-4,1-10,outdoors,grass,Craig Morton,Steve Ramsey,13,15,38-121-1,44-136-0,11-24-137-0-2,10-16-128-2-0,2-15,4-25,122,103,243,239,2-1,4-1,3,1,7-55,9-93,,
151,November 21,11,1976,57,Seattle Seahawks,New Orleans Saints,27,51,Jack Patera,Hank Stram,2-9,4-7,dome,astroturf,Bobby Douglass,Jim Zorn,28,18,52-258-4,24-105-3,14-24-149-0-2,17-34-172-1-3,1-8,1-8,141,164,399,269,1-0,2-2,2,5,7-58,4-35,,
152,November 21,11,1976,57,St. Louis Cardinals,Washington Redskins,10,16,Don Coryell,George Allen,8-3,7-4,outdoors,astroturf,Billy Kilmer,Jim Hart,20,16,56-247-1,31-152-0,9-20-110-0-1,9-31-181-1-1,0-0,4-26,110,155,357,307,3-2,5-3,3,4,6-76,3-18,,
153,November 22,11,1976,57,Miami Dolphins,Baltimore Colts,16,17,Don Shula,Ted Marchibroda,5-6,9-2,outdoors,grass,Bert Jones,Bob Griese,20,16,44-163-1,26-87-1,13-20-234-1-0,17-28-286-1-2,5-57,3-35,177,251,340,338,2-2,0-0,2,2,6-36,9-75,,
154,November 25,12,1976,57,Detroit Lions,Buffalo Bills,27,14,,,6-6,2-10,dome,astroturf,Gary Marangi,Greg Landry,19,17,41-307-2,41-193-1,4-21-29-0-1,8-20-143-2-1,2-14,4-32,15,111,322,304,4-2,3-2,3,3,8-75,6-48,,
155,November 25,12,1976,57,Dallas Cowboys,St. Louis Cardinals,19,14,Tom Landry,Don Coryell,10-2,8-4,outdoors,astroturf,Jim Hart,Roger Staubach,24,16,31-128-1,41-169-1,20-46-259-1-2,11-22-126-1-2,1-10,0-0,249,126,377,295,3-0,1-1,2,3,5-59,9-56,,
156,November 28,12,1976,57,New York Giants,Seattle Seahawks,28,16,Jack Patera,,2-10,2-10,outdoors,astroturf,Jim Zorn,Craig Morton,15,20,35-128-2,45-164-2,14-32-137-0-3,15-21-169-2-2,3-21,5-54,116,115,244,279,1-0,2-2,3,4,9-60,6-57,,
157,November 28,12,1976,57,Washington Redskins,Philadelphia Eagles,24,0,George Allen,Dick Vermeil,8-4,3-9,outdoors,grass,Roman Gabriel,Billy Kilmer,13,8,32-88-0,38-87-0,14-35-143-0-2,10-18-119-3-0,5-37,0-0,106,119,194,206,4-2,0-0,4,0,4-19,6-55,,
158,November 28,12,1976,57,New England Patriots,Denver Broncos,38,14,Chuck Fairbanks,John Ralston,9-3,7-5,outdoors,astroturf,Steve Ramsey,Steve Grogan,12,25,13-44-1,62-332-3,15-34-204-1-3,8-14-84-1-1,9-59,1-2,145,82,189,414,0-0,1-1,3,2,6-52,3-25,,
159,November 28,12,1976,57,Cleveland Browns,Miami Dolphins,17,13,Forrest Gregg,Don Shula,8-4,5-7,outdoors,grass,Bob Griese,Brian Sipe,23,18,33-134-0,30-133-0,22-33-209-2-0,15-23-191-2-3,2-19,1-13,190,178,324,311,3-0,4-2,0,5,8-70,3-49,,
160,November 28,12,1976,57,Houston Oilers,Atlanta Falcons,20,14,Bum Phillips,,5-7,4-8,dome,astroturf,Scott Hunter,John Hadl,15,17,36-118-0,40-159-0,10-19-181-2-2,18-26-212-2-1,2-16,3-12,165,200,283,359,1-1,1-1,3,2,7-53,8-94,,
161,November 28,12,1976,57,Baltimore Colts,New York Jets,33,16,Ted Marchibroda,Lou Holtz,10-2,3-9,outdoors,grass,Richard Todd,Bert Jones,14,19,32-159-1,41-198-0,9-23-111-1-1,23-35-189-3-0,3-15,0-0,96,189,255,387,3-3,2-1,4,1,2-10,5-30,,
162,November 28,12,1976,57,Green Bay Packers,Chicago Bears,10,16,Bart Starr,Jack Pardee,4-8,6-6,outdoors,grass,Bob Avellini,Carlos Brown,16,11,53-201-0,31-82-0,7-12-97-1-0,9-25-189-1-2,3-25,1-12,72,177,273,259,4-3,5-2,3,4,4-40,5-40,,
163,November 28,12,1976,57,Oakland Raiders,Tampa Bay Buccaneers,49,16,John Madden,John McKay,11-1,0-12,outdoors,grass,Steve Spurrier,Ken Stabler,16,28,29-111-1,42-179-4,13-30-151-1-2,19-31-317-3-1,5-44,1-10,107,307,218,486,1-1,3-2,3,3,3-18,10-55,,
164,November 28,12,1976,57,San Diego Chargers,Kansas City Chiefs,20,23,Tommy Prothro,Paul Wiggin,5-7,4-8,outdoors,grass,Mike Livingston,Dan Fouts,20,24,38-177-2,37-210-0,14-27-195-0-1,18-32-218-3-3,2-4,3-28,191,190,368,400,1-1,1-1,2,4,3-15,4-27,,
165,November 28,12,1976,57,Cincinnati Bengals,Pittsburgh Steelers,3,7,Bill Johnson,Chuck Noll,9-3,8-4,outdoors,astroturf,Mike Kruczek,Ken Anderson,20,9,49-204-1,30-110-0,10-15-163-0-1,10-26-145-0-1,2-20,4-30,143,115,347,225,3-1,3-1,2,2,6-40,4-25,,
166,November 28,12,1976,57,Los Angeles Rams,New Orleans Saints,33,14,Chuck Knox,Hank Stram,8-3-1,4-8,outdoors,grass,Bobby Douglass,Pat Haden,18,25,23-116-2,49-323-2,11-30-169-0-2,17-27-160-2-1,3-23,2-10,146,150,262,473,3-2,2-2,4,3,7-65,12-107,,
