,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
18,September 19,2,1976,57,Philadelphia Eagles,New York Giants,20,7,Dick Vermeil,Bill Arnsparger,1-1,0-2,outdoors,astroturf,Craig Morton,Mike Boryla,11,17,28-82-0,50-211-1,17-31-140-1-0,10-14-108-1-1,1-8,2-19,132,89,214,300,5-2,2-1,2,2,11-93,4-35,,
19,September 19,2,1976,57,New England Patriots,Miami Dolphins,30,14,Chuck Fairbanks,Don Shula,1-1,1-1,outdoors,astroturf,Bob Griese,Steve Grogan,17,23,22-108-1,51-278-1,17-32-198-1-3,16-27-166-3-0,5-52,2-14,146,152,254,430,1-1,3-2,4,2,7-68,9-70,,
20,September 19,2,1976,57,Pittsburgh Steelers,Cleveland Browns,31,14,Chuck Noll,Forrest Gregg,1-1,1-1,outdoors,astroturf,Brian Sipe,Terry Bradshaw,16,16,36-145-0,45-221-2,15-34-193-2-0,7-23-77-2-0,1-8,0-0,185,77,330,298,6-4,2-1,4,1,6-52,5-27,,
21,September 19,2,1976,57,New Orleans Saints,Dallas Cowboys,6,24,Hank Stram,Tom Landry,0-2,2-0,dome,astroturf,Roger Staubach,Bobby Scott,22,11,41-198-2,20-69-1,15-22-239-0-0,16-29-135-0-1,2-14,5-41,225,94,423,163,5-4,1-0,4,1,6-30,5-36,,
22,September 19,2,1976,57,St. Louis Cardinals,Green Bay Packers,29,0,Don Coryell,Bart Starr,2-0,0-2,outdoors,astroturf,Lynn Dickey,Jim Hart,7,22,24-62-0,46-208-2,10-26-104-0-3,16-30-216-0-0,3-35,1-4,69,212,131,420,4-4,1-0,7,0,7-59,10-75,,
23,September 19,2,1976,57,Baltimore Colts,Cincinnati Bengals,28,27,Ted Marchibroda,Bill Johnson,2-0,1-1,outdoors,grass,Ken Anderson,Bert Jones,14,21,25-126-0,43-129-1,15-29-215-2-2,14-29-301-3-3,7-38,4-31,177,270,303,399,3-1,2-2,3,5,6-64,2-20,,
24,September 19,2,1976,57,Minnesota Vikings,Los Angeles Rams,10,10,Bud Grant,Chuck Knox,1-0-1,1-0-1,outdoors,grass,Pat Haden,Fran Tarkenton,25,20,65-261-1,26-74-0,11-22-136-0-2,27-43-294-1-2,1-3,2-5,133,289,394,363,1-1,2-1,3,3,5-55,5-41,,
25,September 19,2,1976,57,Denver Broncos,New York Jets,46,3,John Ralston,Lou Holtz,1-1,0-2,outdoors,grass,Joe Namath,Steve Ramsey,11,31,26-92-0,44-251-4,15-26-113-0-2,16-28-292-1-0,2-20,0-0,93,292,185,543,1-0,1-1,2,1,8-52,12-103,,
26,September 19,2,1976,57,San Francisco 49ers,Chicago Bears,12,19,Monte Clark,Jack Pardee,1-1,2-0,outdoors,astroturf,Bob Avellini,Jim Plunkett,15,16,43-167-2,35-78-0,8-16-92-0-1,19-29-173-1-2,0-0,6-61,92,112,259,190,1-1,4-1,2,3,3-13,10-72,,
27,September 20,2,1976,57,Kansas City Chiefs,Oakland Raiders,21,24,Paul Wiggin,John Madden,0-2,2-0,outdoors,astroturf,Ken Stabler,Mike Livingston,25,18,47-211-0,25-115-2,23-29-235-3-1,12-21-190-1-0,0-0,3-25,235,165,446,280,3-1,1-1,2,1,11-104,8-67,,
28,September 26,3,1976,57,Cincinnati Bengals,Green Bay Packers,28,7,Bill Johnson,Bart Starr,2-1,0-3,outdoors,astroturf,Lynn Dickey,Ken Anderson,7,19,25-71-1,48-222-1,5-23-45-0-3,11-24-86-1-0,6-80,3-22,-35,64,36,286,2-1,2-1,4,1,5-47,5-53,,
29,September 26,3,1976,57,Tampa Bay Buccaneers,Buffalo Bills,9,14,John McKay,Lou Saban,0-3,1-2,outdoors,grass,Joe Ferguson,Steve Spurrier,14,15,35-109-0,40-170-0,12-22-188-2-0,13-28-170-0-1,1-2,1-2,186,168,295,338,3-2,2-1,2,2,4-30,10-59,,
30,September 26,3,1976,57,Pittsburgh Steelers,New England Patriots,27,30,Chuck Noll,Chuck Fairbanks,1-2,2-1,outdoors,astroturf,Steve Grogan,Terry Bradshaw,18,24,40-142-1,37-169-2,13-32-257-2-2,20-39-291-1-0,0-0,3-44,257,247,399,416,4-2,7-6,4,6,4-52,8-70,,
31,September 26,3,1976,57,Miami Dolphins,New York Jets,16,0,Don Shula,Lou Holtz,2-1,0-3,outdoors,grass,Joe Namath,Bob Griese,10,23,20-65-0,47-211-0,16-26-171-0-1,12-24-127-1-0,1-12,1-4,159,123,224,334,4-4,3-1,5,1,6-54,3-25,,
32,September 26,3,1976,57,Detroit Lions,Minnesota Vikings,9,10,Rick Forzano,Bud Grant,1-2,2-0-1,dome,astroturf,Fran Tarkenton,Greg Landry,10,14,35-116-1,33-101-0,10-20-72-0-0,13-24-198-1-0,2-20,7-48,52,150,168,251,1-0,3-2,0,2,6-36,5-39,,
33,September 26,3,1976,57,Houston Oilers,Oakland Raiders,13,14,Bum Phillips,John Madden,2-1,3-0,dome,astroturf,Mike Rae,Dan Pastorini,13,17,36-106-0,32-79-0,13-22-170-2-1,16-36-216-1-1,5-42,2-27,128,189,234,268,1-0,0-0,1,1,6-68,2-15,,
34,September 26,3,1976,57,Chicago Bears,Atlanta Falcons,0,10,Jack Pardee,Marion Campbell,2-1,1-2,outdoors,astroturf,Steve Bartkowski,Bob Avellini,19,10,43-137-1,32-116-0,14-32-164-0-0,10-22-110-0-3,5-31,0-0,133,110,270,226,0-0,3-3,0,6,2-25,4-30,,
35,September 26,3,1976,57,Kansas City Chiefs,New Orleans Saints,17,27,Paul Wiggin,Hank Stram,0-3,1-2,outdoors,astroturf,Bobby Scott,Mike Livingston,19,18,44-299-2,44-165-1,12-21-126-1-2,10-20-149-1-0,0-0,5-44,126,105,425,270,1-0,1-0,2,0,10-95,8-80,,
