,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeUT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayDB,awayDE,awayLLB,awayRLB,homeFB,homeFL,homeLDT,homeLLB,homeRDT,homeRLB,awayDT,awayFB,awayLB,awayS,homeDE,homeHB,homeLC,homeLILB,homeLOLB,homeRC,homeRILB,homeROLB,homeSE,awayCB,homeDB,awayNT,homeCB,homeOLB,awayWILB,awayILB,awayOLB,homeDT,homeILB,awayLILB,awayLOLB,awayRILB,awayROLB,awayG,awayT,homeSILB,homeSOLB,homeWILB,homeWOLB,homeG,homeT,awayHB,homeLB,homeLS,homeRS,awayDL,awayLC,awayRC,awayD,awaySILB,awaySOLB,homeXR,homeZR,awayUT,homeDL,awaySAM,awayWILL,awayLS,awayRS,homeM,awayWOLB,homeS,awayB,awayZ,awayWIL,homeSAM,homeWIL,homeOT,awayFL,awaySE,homeNG,awayOT,homeOL,homeWILL,awayOG,awayOL
10,September 3,1,2000,81,Oakland Raiders,San Diego Chargers,9,6,Jon Gruden,Mike Riley,1-0,0-1,outdoors,grass,Oakland Raiders -6.5,39.5 (under),Rich Gannon,Tyrone Wheatley,James Jett,Rickey Dudley,Matt Stinchcomb,Steve Wisniewski,Barret Robbins,Mo Collins,Lincoln Kennedy,,,,,,,,,,Marquez Pope,Anthony Dorsett,Ryan Leaf,Robert Chancey,Curtis Conway,Freddie Jones,Ben Coleman,Raleigh Roundtree,Roman Fortin,Kevin Gogan,Vaughn Parker,,,,,,,,,,Rodney Harrison,Mike Dumas,17,13,28-76-1,25-67-0,19-42-197-0-3,20-35-176-1-0,2-18,4-10,179,166,255,233,2-1,2-0,4,0,4-35,8-60,8-18,3-16,0-1,0-0,28:30,31:30,,Albert Fontenot,,,Jon Ritchie,,,,,,Jamal Williams,Fred McCrary,,,Lance Johnstone,,,,,,,,,Darryll Lewis,,,Charles Woodson,William Thomas,,Orlando Ruff,Junior Seau,Grady Jackson,Greg Biekert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,September 3,1,2000,81,Miami Dolphins,Seattle Seahawks,23,0,Dave Wannstedt,Mike Holmgren,1-0,0-1,outdoors,grass,Miami Dolphins -2.0,36.0 (under),Jay Fiedler,Lamar Smith,Tony Martin,Hunter Goodwin,,Mark Dixon,Tim Ruddy,Kevin Donnalley,Richmond Webb,Kenny Mixon,,,Jason Taylor,Robert Jones,Zach Thomas,Derrick Rodgers,Patrick Surtain,Sam Madison,Brian Walker,Brock Marion,Jon Kitna,Ricky Watters,Derrick Mayes,Itula Mili,Walter Jones,Pete Kendall,Chris Gray,Floyd Wedderburn,Todd Weiner,Michael Sinclair,Riddick Parker,Cortez Kennedy,Lamar King,,George Koonce,,Shawn Springs,Willie Williams,Reggie Tongue,Jay Bellamy,8,16,19-71-0,41-181-1,10-24-84-0-4,15-24-134-1-0,4-12,2-7,72,127,143,308,3-2,1-1,6,1,2-10,6-36,1-11,3-13,0-1,0-0,21:40,38:20,,,,,Rob Konrad,,Tim Bowens,,Daryl Gardener,,,Reggie Brown,,,,,,,,,,,,,,,,,,,Anthony Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,September 3,1,2000,81,Green Bay Packers,New York Jets,16,20,Mike Sherman,Al Groh,0-1,1-0,outdoors,grass,Green Bay Packers -2.5,44.0 (under),Brett Favre,Ahman Green,Bill Schroeder,Tyrone Davis,Mike Wahle,Ross Verba,Frank Winters,Marco Rivera,Earl Dotson,Vonnie Holliday,,Russell Maryland,John Thierry,Na'il Diggs,Bernardo Harris,Nate Wayne,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,Vinny Testaverde,Curtis Martin,Vincent Brisby,,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,Rick Lyle,,,Shane Burton,,,,Aaron Glenn,Marcus Coleman,Victor Green,Kevin Williams,24,13,34-118-1,16-62-0,23-44-261-1-1,14-34-152-1-1,0-0,1-3,261,149,379,211,0-0,3-1,1,2,10-75,10-81,12-20,4-11,0-0,0-0,37:50,22:10,,,,,,,,,,,,Richie Anderson,,,,,,,,,,,,,,Jason Ferguson,,,,,,Santana Dotson,,Bryan Cox,Mo Lewis,Marvin Jones,Roman Phifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,September 3,1,2000,81,Buffalo Bills,Tennessee Titans,16,13,Wade Phillips,Jeff Fisher,1-0,0-1,outdoors,astroturf,Buffalo Bills -1.0,40.0 (under),Rob Johnson,Antowain Smith,Peerless Price,Sheldon Jackson,John Fina,Ruben Brown,Jerry Ostroski,Jamie Nails,Robert Hicks,Phil Hansen,,Ted Washington,Marcellus Wiley,,,,Antoine Winfield,Ken Irvin,Henry Jones,Keion Carpenter,Steve McNair,Eddie George,Carl Pickens,Michael Roan,,,Kevin Long,,,Jevon Kearse,John Thornton,Jason Fisk,Kenny Holmes,,Randall Godfrey,,Dainon Sidney,Samari Rolle,Blaine Bishop,Marcus Robertson,9,17,20-53-1,35-129-0,17-31-152-0-1,13-26-174-1-0,4-33,5-37,119,137,172,266,1-0,0-0,1,0,12-112,6-91,2-14,3-16,0-1,0-0,26:49,33:11,,,Greg Favors,Eddie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benji Olson,Fred Miller,John Holecek,Keith Newman,Sam Cowart,Sam Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,September 4,1,2000,81,St. Louis Rams,Denver Broncos,41,36,Mike Martz,Mike Shanahan,1-0,0-1,dome,astroturf,St. Louis Rams -6.5,48.5 (over),Kurt Warner,Marshall Faulk,Torry Holt,Roland Williams,,,Ryan Tucker,,,Kevin Carter,,,Grant Wistrom,,London Fletcher,,Todd Lyght,Dexter McCleon,Devin Bush Sr.,Keith Lyle,Brian Griese,Terrell Davis,Rod Smith,Dwayne Carswell,Tony Jones,Mark Schlereth,Tom Nalen,Dan Neil,Matt Lepsis,Maa Tanuvasa,Keith Traylor,Trevor Pryce,Kavika Pittman,Bill Romanowski,Al Wilson,Glenn Cadrez,Ray Crockett,Terrell Buckley,Billy Jenkins,Eric Brown,25,23,28-150-1,18-80-2,19-29-307-2-0,25-35-441-3-3,4-33,2-8,274,433,424,513,1-0,0-0,0,3,5-27,5-56,5-11,6-7,0-1,0-0,32:13,27:47,,,,,,,Ray Agnew,Mike Jones,D'Marco Farr,Todd Collins,,Howard Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Nutten,Orlando Pace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,September 10,2,2000,81,Minnesota Vikings,Miami Dolphins,13,7,Dennis Green,Dave Wannstedt,2-0,1-1,dome,astroturf,Minnesota Vikings -3.0,42.5 (under),Daunte Culpepper,Robert Smith,Cris Carter,Andrew Jordan,Todd Steussie,,Matt Birk,David Dixon,Korey Stringer,John Burrough,John Randle,Tony Williams,Talance Sawyer,Dwayne Rudd,Kailee Wong,Ed McDaniel,,Robert Tate,Robert Griffith,Orlando Thomas,Jay Fiedler,,Tony Martin,Hunter Goodwin,Richmond Webb,Mark Dixon,Tim Ruddy,Kevin Donnalley,Todd Wade,Kenny Mixon,Tim Bowens,Daryl Gardener,Jason Taylor,Robert Jones,Zach Thomas,Derrick Rodgers,Patrick Surtain,Sam Madison,Brian Walker,Brock Marion,10,24,16-49-0,28-125-0,12-31-175-1-1,23-37-355-1-3,3-15,3-12,160,343,209,468,0-0,3-1,1,4,7-40,7-60,3-13,5-11,0-0,0-0,22:41,37:19,,,,,Jim Kleinsasser,,,,,,,Rob Konrad,,,,,,,,,,,,,,,Cris Dishman,,,,,,,,,,,,,,,,,Corbin Lacina,,Lamar Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,September 10,2,2000,81,Cincinnati Bengals,Cleveland Browns,7,24,Bruce Coslet,Chris Palmer,0-1,1-1,outdoors,grass,Cincinnati Bengals -6.0,40.5 (under),Akili Smith,,Peter Warrick,Tony McGee,Rod Jones,Scott Rehberg,Rich Braham,Mike Goff,Willie Anderson,Vaughn Booker,,,John Copeland,,Brian Simmons,,Tom Carter,Artrell Hawkins,Cory Hall,Darryl Williams,Tim Couch,Errict Rhett,JaJuan Dawson,Aaron Shea,Roman Oben,Jim Pyne,Dave Wohlabaugh,Everett Lindsay,Steve Zahursky,Courtney Brown,Orpheus Roye,Stalin Colinet,Keith McKenzie,Rahim Abdullah,Wali Rainer,Jamir Miller,Corey Fuller,Daylon McCutcheon,Marquis Smith,Percy Ellsworth,17,17,33-105-1,19-111-0,19-31-259-2-1,15-43-250-1-2,1-10,7-43,249,207,354,318,1-0,3-1,1,3,6-60,7-65,5-15,6-16,0-2,2-3,34:03,25:57,,,,,Clif Groce,,Oliver Gibson,Steve Foley,Tom Barndt,Takeo Spikes,,,,,,Corey Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,September 10,2,2000,81,Indianapolis Colts,Oakland Raiders,31,38,Jim Mora,Jon Gruden,1-1,2-0,dome,astroturf,Indianapolis Colts -6.5,44.0 (over),Peyton Manning,Edgerrin James,Marvin Harrison,Marcus Pollard,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,,,,,Dwight Hollier,,,Tyrone Poole,Chad Cota,Jason Belser,Rich Gannon,Tyrone Wheatley,James Jett,Rickey Dudley,Matt Stinchcomb,Steve Wisniewski,Barret Robbins,Mo Collins,Lincoln Kennedy,,,,,,,,,,Marquez Pope,Anthony Dorsett,21,28,38-152-5,20-111-1,15-22-207-0-0,33-48-367-3-2,0-0,2-16,207,351,359,462,1-0,1-1,0,3,5-35,7-41,6-12,5-10,0-0,0-1,30:59,29:01,,Lance Johnstone,,,,,Bernard Whittington,Cornelius Bennett,Ellis Johnson,Mike Peterson,Grady Jackson,Jon Ritchie,,,Chad Bratzke,,,,,,,,,Charles Woodson,Jeff Burris,,,,,Greg Biekert,William Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,September 10,2,2000,81,Tampa Bay Buccaneers,Chicago Bears,41,0,Tony Dungy,Dick Jauron,2-0,0-2,outdoors,grass,Tampa Bay Buccaneers -7.0,36.5 (over),Shaun King,Warrick Dunn,Keyshawn Johnson,Patrick Hape,Pete Pierson,Randall McDaniel,Jeff Christy,Frank Middleton,Jerry Wunsch,Chidi Ahanotu,,,Marcus Jones,Shelton Quarles,Jamie Duncan,Derrick Brooks,Donnie Abraham,Ronde Barber,John Lynch,Damien Robinson,Cade McNown,James Allen,Marcus Robinson,Alonzo Mayes,Blake Brockermeyer,Todd Perry,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Jim Flanigan,Mike Wells,Phillip Daniels,Rosevelt Colvin,Barry Minter,Warrick Holdman,Walt Harris,Thomas Smith,Tony Parrish,Mike Brown,9,21,22-116-0,36-156-2,15-29-96-0-2,13-24-186-2-0,5-47,2-15,49,171,165,327,3-2,0-0,4,0,9-64,3-20,1-11,5-13,1-1,0-0,26:24,33:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony McFarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,September 10,2,2000,81,Buffalo Bills,Green Bay Packers,27,18,Wade Phillips,Mike Sherman,2-0,0-2,outdoors,astroturf,Buffalo Bills -6.0,38.5 (over),Rob Johnson,Shawn Bryson,Eric Moulds,Jay Riemersma,John Fina,Ruben Brown,Jerry Ostroski,Jamie Nails,Robert Hicks,Phil Hansen,,Ted Washington,Marcellus Wiley,,,,Antoine Winfield,Ken Irvin,Henry Jones,Keion Carpenter,Brett Favre,Ahman Green,Bill Schroeder,Tyrone Davis,Mike Wahle,Ross Verba,Frank Winters,Marco Rivera,Earl Dotson,Vonnie Holliday,,,John Thierry,Na'il Diggs,Bernardo Harris,Nate Wayne,Antuan Edwards,Tyrone Williams,LeRoy Butler,Darren Sharper,14,20,16-40-0,34-89-0,25-35-269-2-0,18-26-259-3-1,4-35,5-39,234,220,274,309,4-3,0-0,3,1,2-12,5-33,2-12,6-15,2-2,0-0,26:37,33:23,,,,,,,,,,,Santana Dotson,William Henderson,,,,,,,,,,,,,,Russell Maryland,,,,,,,,,,,,,,John Holecek,Keith Newman,Sam Cowart,Sam Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
