,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeUT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayDB,awayDE,awayLLB,awayRLB,homeFB,homeFL,homeLDT,homeLLB,homeRDT,homeRLB,awayDT,awayFB,awayLB,awayS,homeDE,homeHB,homeLC,homeLILB,homeLOLB,homeRC,homeRILB,homeROLB,homeSE,awayCB,homeDB,awayNT,homeCB,homeOLB,awayWILB,awayILB,awayOLB,homeDT,homeILB,awayLILB,awayLOLB,awayRILB,awayROLB,awayG,awayT,homeSILB,homeSOLB,homeWILB,homeWOLB,homeG,homeT,awayHB,homeLB,homeLS,homeRS,awayDL,awayLC,awayRC,awayD,awaySILB,awaySOLB,homeXR,homeZR,awayUT,homeDL,awaySAM,awayWILL,awayLS,awayRS,homeM,awayWOLB,homeS,awayB,awayZ,awayWIL,homeSAM,homeWIL,homeOT,awayFL,awaySE,homeNG,awayOT,homeOL,homeWILL,awayOG,awayOL
56,September 24,4,2000,81,New York Giants,Washington Redskins,6,16,Jim Fassel,Norv Turner,3-1,2-2,outdoors,grass,New York Giants -1.0,42.0 (under),Kerry Collins,Tiki Barber,Ike Hilliard,Howard Cross,Lomas Brown,Glenn Parker,Dusty Zeigler,Ron Stone,Luke Petitgout,Michael Strahan,,,Cedric Jones,,Micheal Barrow,,Dave Thomas,Jason Sehorn,Sam Garnes,Shaun Williams,Brad Johnson,Stephen Davis,Irving Fryar,Stephen Alexander,Chris Samuels,Keith Sims,Mark Fischer,Tre' Johnson,Jon Jansen,Marco Coleman,Dan Wilkinson,Dana Stubblefield,Bruce Smith,LaVar Arrington,Derek Smith,Shawn Barber,Champ Bailey,Deion Sanders,Sam Shade,Mark Carrier,17,21,39-110-0,22-93-0,14-20-289-2-0,21-44-210-1-1,1-5,4-42,284,168,394,261,1-0,0-0,0,1,4-25,6-59,5-14,7-16,0-0,1-1,31:22,28:38,,,,,Greg Comella,,Christian Peter,,Keith Hamilton,,,Mike Sellers,,,,,,,,,,,,,,,,Ryan Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,September 25,4,2000,81,Indianapolis Colts,Jacksonville Jaguars,43,14,Jim Mora,Tom Coughlin,2-1,2-2,dome,astroturf,Indianapolis Colts -3.5,45.0 (over),Peyton Manning,Edgerrin James,Terrence Wilkins,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,,,Chad Bratzke,,,,,Tyrone Poole,Chad Cota,Jason Belser,Mark Brunell,Fred Taylor,Keenan McCardell,Greg DeLong,Tony Boselli,Brad Meester,John Wade,Brendan Stai,Zach Wiegert,Renaldo Wynn,Gary Walker,Seth Payne,Tony Brackens,,Hardy Nickerson,Kevin Hardy,Fernando Bryant,Aaron Beasley,Donovin Darius,Rayna Stewart,18,21,24-97-0,28-93-1,21-36-229-2-2,23-36-440-4-0,5-40,0-0,189,440,286,533,1-0,1-1,2,1,4-40,11-90,5-14,5-12,0-0,0-0,27:38,32:22,,,,,,,Bernard Whittington,Cornelius Bennett,Ellis Johnson,Mike Peterson,,,,,,,,,,,,,,Kiwaukee Thomas,Jeff Burris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight Hollier,,,,,,,,,,,,,,,,
58,October 1,5,2000,81,Buffalo Bills,Indianapolis Colts,16,18,Wade Phillips,Jim Mora,2-2,3-1,outdoors,astroturf,Buffalo Bills -1.5,44.0 (under),Rob Johnson,Sammy Morris,Peerless Price,Bobby Collins,John Fina,Ruben Brown,Jerry Ostroski,Jamie Nails,Robert Hicks,Phil Hansen,,Ted Washington,Marcellus Wiley,,,,Antoine Winfield,Ken Irvin,Henry Jones,Keion Carpenter,Peyton Manning,Edgerrin James,Terrence Wilkins,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,Bernard Whittington,Ellis Johnson,Chad Bratzke,,Dwight Hollier,,,Tyrone Poole,Chad Cota,Jason Belser,14,21,24-81-0,33-170-0,16-27-187-2-1,21-32-246-1-0,1-3,4-31,184,215,265,385,0-0,1-0,1,0,3-20,8-60,6-11,7-16,0-0,1-1,24:01,35:59,Jeff Burris,,Cornelius Bennett,Mike Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Holecek,Keith Newman,Sam Cowart,,,,,Sam Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,October 1,5,2000,81,Detroit Lions,Minnesota Vikings,24,31,Bobby Ross,Dennis Green,3-2,4-0,dome,astroturf,Detroit Lions -1.0,42.5 (over),Charlie Batch,James Stewart,Herman Moore,David Sloan,Ray Roberts,Mike Compton,Eric Beverly,Jeff Hartings,Aaron Gibson,Robert Porcher,Luther Elliss,James Jones,Tracy Scroggins,Allen Aldridge,Stephen Boyd,Chris Claiborne,Bryant Westbrook,Terry Fair,Ron Rice,Kurt Schulz,Daunte Culpepper,Robert Smith,Cris Carter,John Davis,Todd Steussie,Corbin Lacina,Matt Birk,David Dixon,Korey Stringer,John Burrough,,,Talance Sawyer,Dwayne Rudd,Kailee Wong,Ed McDaniel,Cris Dishman,Robert Tate,Robert Griffith,Orlando Thomas,19,27,29-178-1,25-129-2,17-29-269-3-0,25-44-239-1-1,2-8,2-13,261,226,439,355,0-0,0-0,0,1,10-72,9-55,5-12,2-11,0-1,1-2,28:42,31:18,,,,,,,,,,,,,,,,,,,,,,,,,,Tony Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Randle,,,,,,,,,,,,,,,,,,,,,,
60,October 1,5,2000,81,Carolina Panthers,Dallas Cowboys,13,16,George Seifert,Dave Campo,1-3,2-3,outdoors,grass,Carolina Panthers -6.5,47.5 (under),Steve Beuerlein,Tim Biakabutuka,Muhsin Muhammad,Wesley Walls,Clarence Jones,Matt Campbell,Frank Garcia,Jamar Nesbit,Chris Terry,Reggie White,,,Jay Williams,Dean Wells,Lester Towns,Lee Woodall,Eric Davis,Doug Evans,Mike Minter,Eugene Robinson,Troy Aikman,Emmitt Smith,James McKnight,David LaFleur,Flozell Adams,Larry Allen,Mark Stepnoski,Solomon Page,Erik Williams,Alonzo Spellman,Brandon Noble,Chad Hennings,Greg Ellis,Darren Hambrick,Barron Wortham,Dexter Coakley,Phillippi Sparks,Ryan McNeil,Darren Woodson,George Teague,20,13,38-173-1,29-119-1,15-23-131-0-2,17-29-161-0-0,2-13,1-8,118,153,291,272,0-0,5-2,2,2,4-45,5-55,7-14,6-14,0-1,2-4,36:03,27:49,,,,,William Floyd,,Tim Morabito,,Sean Gilbert,,,Robert Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,October 1,5,2000,81,St. Louis Rams,San Diego Chargers,57,31,Mike Martz,Mike Riley,5-0,0-5,dome,astroturf,St. Louis Rams -17.0,53.5 (over),Kurt Warner,Marshall Faulk,Isaac Bruce,Roland Williams,Orlando Pace,Tom Nutten,Andy McCollum,Adam Timmerman,Ryan Tucker,,,,Grant Wistrom,,London Fletcher,,Todd Lyght,Dexter McCleon,Matt Bowen,Keith Lyle,Jim Harbaugh,Jermaine Fazande,Reggie Jones,Steve Heiden,Ben Coleman,Raleigh Roundtree,Roman Fortin,Kevin Gogan,Vaughn Parker,Albert Fontenot,Jamal Williams,John Parrella,Darren Mickell,Gerald Dixon,Orlando Ruff,Junior Seau,Darryll Lewis,,Rodney Harrison,Greg Jackson,23,29,15-48-2,26-163-1,27-40-348-2-1,27-34-465-5-0,3-15,2-14,333,451,381,614,1-1,0-0,2,0,3-15,4-36,5-11,5-11,0-0,1-1,29:35,30:25,,,,,,,Ray Agnew,Mike Jones,Jeff Zgonina,Lorenzo Styles,,,,,Kevin Carter,,,,,,,,,DeRon Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,October 1,5,2000,81,Tennessee Titans,New York Giants,28,14,Jeff Fisher,Jim Fassel,3-1,3-2,outdoors,grass,Tennessee Titans -5.0,38.0 (over),Steve McNair,Eddie George,Carl Pickens,Erron Kinney,Brad Hopkins,Bruce Matthews,Kevin Long,Benji Olson,Fred Miller,Jevon Kearse,,,Kenny Holmes,,Randall Godfrey,,,Samari Rolle,Blaine Bishop,Marcus Robertson,Kerry Collins,Tiki Barber,Ike Hilliard,Dan Campbell,Lomas Brown,Glenn Parker,Dusty Zeigler,Ron Stone,Luke Petitgout,Michael Strahan,Christian Peter,Keith Hamilton,Cedric Jones,,Micheal Barrow,,Dave Thomas,Jason Sehorn,Sam Garnes,Shaun Williams,14,28,12-24-0,43-152-1,17-36-197-2-3,24-35-293-3-0,1-6,2-9,191,284,215,436,2-1,1-1,4,1,7-48,6-64,2-11,14-20,1-1,0-1,17:14,42:46,,,,,,,John Thornton,Greg Favors,Jason Fisk,Eddie Robinson,,Greg Comella,,,,,,,,,,,,,,,,,,,Ryan Phillips,,,,,,,,,,,,,,,,Keith Bulluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,October 1,5,2000,81,Cleveland Browns,Baltimore Ravens,0,12,Chris Palmer,Brian Billick,2-3,4-1,outdoors,grass,Baltimore Ravens -8.5,37.0 (under),Tim Couch,Errict Rhett,David Patten,,Roman Oben,Jim Bundren,Dave Wohlabaugh,Everett Lindsay,Steve Zahursky,Courtney Brown,,,Keith McKenzie,,Wali Rainer,Jamir Miller,Corey Fuller,Daylon McCutcheon,Marquis Smith,Percy Ellsworth,Tony Banks,Jamal Lewis,Travis Taylor,Ben Coates,Jonathan Ogden,Edwin Mulitalo,Jeff Mitchell,Mike Flynn,Harry Swayne,Rob Burnett,Sam Adams,Tony Siragusa,Michael McCrary,,Ray Lewis,,Duane Starks,Chris McAlister,Kim Herring,Rod Woodson,22,11,37-188-0,13-23-0,18-34-169-0-1,21-36-207-0-3,1-9,0-0,160,207,348,230,0-0,3-1,1,4,6-62,8-60,5-13,4-11,0-0,1-2,36:44,23:16,,,Peter Boulware,Jamie Sharper,Marc Edwards,,Orpheus Roye,,Stalin Colinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marty Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,October 1,5,2000,81,Jacksonville Jaguars,Pittsburgh Steelers,13,24,Tom Coughlin,Bill Cowher,2-3,1-3,outdoors,grass,Jacksonville Jaguars -11.0,38.5 (under),Mark Brunell,Fred Taylor,Keenan McCardell,Kyle Brady,Tony Boselli,Brad Meester,Jeff Smith,Brendan Stai,Zach Wiegert,Renaldo Wynn,,,Tony Brackens,Kevin Hardy,T.J. Slaughter,Hardy Nickerson,Fernando Bryant,Aaron Beasley,Donovin Darius,Mike Logan,Kordell Stewart,,Hines Ward,Mark Bruener,Wayne Gandy,Alan Faneca,Dermontti Dawson,Rich Tylski,Shar Pourdanesh,Aaron Smith,,,Kevin Henry,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,22,17,44-209-3,16-26-0,10-16-132-0-1,23-45-225-1-1,2-9,7-45,123,180,332,206,2-2,1-1,3,2,7-55,10-75,4-11,5-15,0-0,2-4,35:10,24:50,,,,,Daimon Shelton,,Gary Walker,,Seth Payne,,,Jon Witman,,,,,,,,,,,,,,Kimo von Oelhoffen,,,,,,,,Levon Kirkland,Jason Gildon,Earl Holmes,Joey Porter,,,,,,,,,Jerome Bettis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,October 1,5,2000,81,Cincinnati Bengals,Miami Dolphins,16,31,Dick LeBeau,Dave Wannstedt,0-4,4-1,outdoors,grass,Miami Dolphins -7.0,33.0 (over),Akili Smith,,Peter Warrick,Tony McGee,Rod Jones,Matt O'Dwyer,Brock Gutierrez,Mike Goff,Willie Anderson,Michael Bankston,,,John Copeland,,Armegis Spearman,,Tom Carter,Artrell Hawkins,Cory Hall,Darryl Williams,Jay Fiedler,Lamar Smith,Leslie Shepherd,Hunter Goodwin,Brent Smith,Mark Dixon,Tim Ruddy,Kevin Donnalley,Todd Wade,Rich Owens,Tim Bowens,Kenny Mixon,Jason Taylor,Robert Jones,Scott Galyon,Derrick Rodgers,Patrick Surtain,Sam Madison,Brian Walker,Brock Marion,18,24,29-159-1,35-191-0,14-21-155-2-1,20-38-178-1-0,2-12,3-19,143,159,302,350,1-1,1-1,2,1,8-61,10-123,6-11,6-15,0-0,1-2,26:20,33:40,,,,,,,Oliver Gibson,Steve Foley,Tom Barndt,Takeo Spikes,,Rob Konrad,,,,Corey Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,October 1,5,2000,81,Denver Broncos,New England Patriots,19,28,Mike Shanahan,Bill Belichick,2-3,1-4,outdoors,grass,Denver Broncos -8.5,41.0 (over),Brian Griese,Terrell Davis,Rod Smith,Dwayne Carswell,Tony Jones,Mark Schlereth,Tom Nalen,Dan Neil,Matt Lepsis,Maa Tanuvasa,,,,Bill Romanowski,Al Wilson,John Mobley,Ray Crockett,Terrell Buckley,Billy Jenkins,Eric Brown,Drew Bledsoe,Kevin Faulk,Terry Glenn,Eric Bjornson,Bruce Armstrong,Joe Andruzzi,Damien Woody,Sale Isaia,Grant Williams,Brandon Mitchell,,,Bobby Hamilton,,,,Ty Law,Antonio Langham,Lawyer Milloy,,19,26,27-54-0,21-79-0,18-27-271-4-1,31-50-361-1-1,3-11,4-35,260,326,314,405,0-0,2-1,1,2,5-17,7-50,5-13,7-17,0-1,1-2,27:12,32:48,,Willie McGinest,,,Howard Griffith,,Keith Traylor,,Trevor Pryce,,,,,,Kavika Pittman,,,,,,,,,Otis Smith,,Chad Eaton,,,,,,,,Ted Johnson,Chris Slade,,Tedy Bruschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,October 1,5,2000,81,San Francisco 49ers,Arizona Cardinals,27,20,Steve Mariucci,Dave McGinnis,2-3,1-3,outdoors,grass,San Francisco 49ers -3.5,47.5 (under),Jeff Garcia,,J.J. Stokes,Greg Clark,Derrick Deese,Ray Brown,Jeremy Newberry,Dave Fiore,Scott Gragg,Anthony Pleasant,,,John Engelberger,,,,Ahmed Plummer,,John Keith,Lance Schulters,Jake Plummer,Thomas Jones,Frank Sanders,Terry Hardy,L.J. Shelton,Matt Joyce,Mike Gruttadauria,Lester Holmes,Anthony Clement,Brad Ottis,Tony McCoy,Mark Smith,Simeon Rice,,Ronald McKinnon,,Aeneas Williams,Tom Knight,Pat Tillman,Kwamie Lassiter,16,18,24-126-1,32-130-2,24-41-239-1-0,22-33-220-1-0,0-0,1-5,239,215,365,345,4-2,1-1,2,1,4-40,6-40,3-13,7-16,2-3,0-0,27:50,32:10,,,,Johnny Rutledge,Fred Beasley,,Bryant Young,,Brentson Buckner,,,Joel Makovicka,,,,,,Ken Norton Jr.,Jeff Posey,,Winfred Tubbs,,,,,,Monty Montgomery,,,,Raynoch Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,October 1,5,2000,81,Green Bay Packers,Chicago Bears,24,27,Mike Sherman,Dick Jauron,2-3,1-4,outdoors,grass,Green Bay Packers -5.5,41.0 (over),Brett Favre,Dorsey Levens,Bill Schroeder,Bubba Franks,Mike Wahle,Ross Verba,Mike Flanagan,Marco Rivera,Mark Tauscher,Cletidus Hunt,,Russell Maryland,John Thierry,Na'il Diggs,Bernardo Harris,Nate Wayne,Tod McBride,Tyrone Williams,LeRoy Butler,Darren Sharper,Cade McNown,James Allen,Marcus Robinson,John Allred,Jimmy Herndon,Todd Perry,Casey Wiegmann,Chris Villarrial,James Williams,Bryan Robinson,Jim Flanigan,Mike Wells,Phillip Daniels,Sean Harris,Brian Urlacher,Warrick Holdman,Walt Harris,Thomas Smith,Tony Parrish,Mike Brown,13,22,36-178-1,14-44-0,11-20-203-2-0,31-48-333-3-1,5-11,2-13,192,320,370,364,2-0,2-2,0,3,8-65,4-35,4-15,4-12,0-0,0-1,31:50,28:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santana Dotson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,October 1,5,2000,81,Washington Redskins,Tampa Bay Buccaneers,20,17,Norv Turner,Tony Dungy,3-2,3-2,outdoors,grass,Washington Redskins -1.5,36.0 (over),Brad Johnson,Larry Centers,Albert Connell,Stephen Alexander,Chris Samuels,Keith Sims,Mark Fischer,Tre' Johnson,Jon Jansen,Marco Coleman,,,Bruce Smith,LaVar Arrington,Derek Smith,Shawn Barber,Champ Bailey,Deion Sanders,Sam Shade,Mark Carrier,Shaun King,,Jacquez Green,Patrick Hape,Pete Pierson,Randall McDaniel,Jeff Christy,Frank Middleton,Jerry Wunsch,Chidi Ahanotu,,,Marcus Jones,Shelton Quarles,Jamie Duncan,Derrick Brooks,Donnie Abraham,Ronde Barber,John Lynch,Damien Robinson,16,14,28-72-1,32-145-1,19-38-202-1-1,20-32-207-1-0,4-19,3-22,183,185,255,330,3-1,3-1,2,1,4-40,8-48,3-14,5-18,0-0,0-0,31:32,32:37,,,,,,,Dan Wilkinson,,Dana Stubblefield,,Tyoka Jackson,Mike Alstott,,,,,,,,,,,,,,Anthony McFarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,October 1,5,2000,81,Philadelphia Eagles,Atlanta Falcons,38,10,Andy Reid,Dan Reeves,3-2,2-3,outdoors,astroturf,Philadelphia Eagles -3.0,41.5 (over),Donovan McNabb,Duce Staley,Charles Johnson,Chad Lewis,Tra Thomas,John Welbourn,Bubba Miller,Jermane Mayberry,Jon Runyan,Mike Mamula,,,Hugh Douglas,Carlos Emmons,Jeremiah Trotter,Barry Gardner,Troy Vincent,Bobby Taylor,Tim Hauck,Damon Moore,Chris Chandler,Jamal Anderson,Shawn Jefferson,Reggie Kelly,Bob Whitfield,Chris Banks,Calvin Collins,Travis Claridge,Michael Thompson,Patrick Kerney,Travis Hall,Ed Jasper,Brady Smith,Henri Crockett,Jessie Tuggle,Keith Brooking,Ray Buchanan,Ashley Ambrose,Marty Carter,Gerald McBurrows,13,22,22-61-0,21-195-1,15-35-156-0-1,30-45-311-2-2,2-17,1-4,139,307,200,502,0-0,1-1,1,3,2-10,9-110,2-13,8-14,1-2,0-0,28:08,31:52,,,,,,,Corey Simon,,Hollis Thomas,,,Bob Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,October 2,5,2000,81,Kansas City Chiefs,Seattle Seahawks,24,17,Gunther Cunningham,Mike Holmgren,3-2,2-3,outdoors,grass,Kansas City Chiefs -4.0,38.5 (over),Elvis Grbac,Mike Cloud,Sylvester Morris,Tony Gonzalez,John Tait,Jeff Blackshear,Tim Grunhard,Will Shields,Victor Riley,Eric Hicks,,,John Browning,,Marvcus Patton,,Pat Dennis,James Hasty,Greg Wesley,Jerome Woods,Jon Kitna,Ricky Watters,Sean Dawkins,Christian Fauria,Walter Jones,Pete Kendall,Chris Gray,Floyd Wedderburn,Todd Weiner,Michael Sinclair,Riddick Parker,Cortez Kennedy,Lamar King,,George Koonce,,Shawn Springs,Willie Williams,Reggie Tongue,Jay Bellamy,20,18,34-186-1,26-136-1,17-28-140-1-1,16-27-256-2-0,5-37,2-14,103,242,289,378,4-1,0-0,2,0,7-45,12-77,5-13,3-11,0-0,0-0,34:52,25:08,,,,,Tony Richardson,,Chester McGlockton,Lewis Bush,Dan Williams,Donnie Edwards,,,,,,,,,,,,,,,,,,,,,Chad Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,October 8,6,2000,81,Cincinnati Bengals,Tennessee Titans,14,23,Dick LeBeau,Jeff Fisher,0-5,4-1,outdoors,grass,Tennessee Titans -10.0,38.0 (under),Akili Smith,,Peter Warrick,Tony McGee,Rod Jones,Matt O'Dwyer,Brock Gutierrez,Mike Goff,Willie Anderson,Michael Bankston,,,John Copeland,,Adrian Ross,,Tom Carter,Rodney Heath,Cory Hall,Darryl Williams,Steve McNair,Eddie George,Chris Sanders,Frank Wycheck,Jason Mathews,Bruce Matthews,Kevin Long,Benji Olson,Fred Miller,Jevon Kearse,John Thornton,Jason Fisk,Kenny Holmes,,Randall Godfrey,,Denard Walker,Samari Rolle,Blaine Bishop,Marcus Robertson,21,7,44-203-1,20-129-1,19-31-230-1-1,10-23-85-0-0,2-16,1-1,214,84,417,213,1-1,3-2,2,2,6-50,2-10,6-16,2-12,1-1,0-0,41:22,18:38,,,Greg Favors,Eddie Robinson,Clif Groce,,Oliver Gibson,Steve Foley,Tom Barndt,Takeo Spikes,,Lorenzo Neal,,,,Corey Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,October 8,6,2000,81,New York Jets,Pittsburgh Steelers,3,20,Al Groh,Bill Cowher,4-1,2-3,outdoors,grass,New York Jets -8.0,37.5 (under),Vinny Testaverde,Curtis Martin,Wayne Chrebet,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,Rick Lyle,,Ernie Logan,Shane Burton,,,,Aaron Glenn,Marcus Coleman,,,Kordell Stewart,,Hines Ward,Mark Bruener,Wayne Gandy,Alan Faneca,Dermontti Dawson,Rich Tylski,Shar Pourdanesh,Aaron Smith,,,Kevin Henry,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,21,12,41-193-1,21-112-0,17-26-140-1-0,13-26-99-0-2,1-3,1-5,137,94,330,206,0-0,2-2,0,4,7-57,6-45,10-18,4-9,0-0,0-0,37:43,22:17,,,,,,,,,,,,,,,,,,Bryan Cox,Mo Lewis,,Marvin Jones,Roman Phifer,,,,Kimo von Oelhoffen,,,,,,,,Levon Kirkland,Jason Gildon,Earl Holmes,Joey Porter,,,,,,,,,Jerome Bettis,,Victor Green,Kevin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,October 8,6,2000,81,Detroit Lions,Green Bay Packers,31,24,Bobby Ross,Mike Sherman,4-2,2-4,dome,astroturf,Detroit Lions -3.0,43.0 (over),Charlie Batch,,,David Sloan,Ray Roberts,Mike Compton,Eric Beverly,Jeff Hartings,Aaron Gibson,Robert Porcher,Luther Elliss,James Jones,Tracy Scroggins,Allen Aldridge,Stephen Boyd,Chris Claiborne,Bryant Westbrook,Terry Fair,Corwin Brown,Kurt Schulz,Brett Favre,Ahman Green,Antonio Freeman,Bubba Franks,Mike Wahle,Ross Verba,Frank Winters,Marco Rivera,Mark Tauscher,Cletidus Hunt,,,John Thierry,Na'il Diggs,Bernardo Harris,Brian Williams,Tod McBride,Tyrone Williams,LeRoy Butler,Darren Sharper,19,11,22-69-0,24-74-0,27-43-293-2-3,13-26-199-3-1,4-23,3-20,270,179,339,253,5-2,0-0,5,1,4-29,6-50,7-16,4-13,1-1,0-0,34:36,25:24,,,,,Cory Schlesinger,,,,,,Santana Dotson,William Henderson,,,,James Stewart,,,,,,,,,,Russell Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnnie Morton,Germane Crowell,,,,,,,,,,,,,,,,,,,,,,,
75,October 8,6,2000,81,New England Patriots,Indianapolis Colts,24,16,Bill Belichick,Jim Mora,2-4,3-2,outdoors,grass,Indianapolis Colts -3.5,43.5 (under),Drew Bledsoe,Kevin Faulk,Terry Glenn,Eric Bjornson,Bruce Armstrong,Joe Andruzzi,Damien Woody,Grant Williams,Max Lane,,,Chad Eaton,,,,,Ty Law,Otis Smith,Lawyer Milloy,Larry Whigham,Peyton Manning,Edgerrin James,Terrence Wilkins,Ken Dilger,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,Bernard Whittington,Ellis Johnson,Chad Bratzke,,Dwight Hollier,,Jeff Burris,Tyrone Poole,Chad Cota,Jason Belser,27,19,26-84-0,29-118-0,31-54-334-1-3,17-25-204-3-0,2-10,3-21,324,183,408,301,1-0,0-0,3,0,5-52,7-34,9-17,5-13,1-1,1-1,33:10,26:50,,,Cornelius Bennett,Mike Peterson,,,,,,,,,,,Willie McGinest,,,Ted Johnson,Chris Slade,,,Tedy Bruschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Mitchell,,,,,,,,,,,,,,,,,,,,,
76,October 8,6,2000,81,Miami Dolphins,Buffalo Bills,22,13,Dave Wannstedt,Wade Phillips,5-1,2-3,outdoors,grass,Miami Dolphins -2.0,34.5 (over),Jay Fiedler,,Oronde Gadsden,Hunter Goodwin,Richmond Webb,Mark Dixon,Tim Ruddy,Kevin Donnalley,Todd Wade,Kenny Mixon,,,Jason Taylor,Robert Jones,Zach Thomas,,Patrick Surtain,Sam Madison,Brian Walker,Brock Marion,Rob Johnson,Sammy Morris,Jeremy McDaniel,,John Fina,Ruben Brown,Jerry Ostroski,Jamie Nails,Robert Hicks,Phil Hansen,,,Marcellus Wiley,,,,Antoine Winfield,Ken Irvin,Henry Jones,Keion Carpenter,15,15,21-76-1,37-120-0,14-32-222-0-1,14-24-142-1-1,6-44,1-8,178,134,254,254,4-1,0-0,2,1,3-40,5-64,4-13,6-15,1-1,0-0,25:38,34:22,,,,,Deon Dyer,,Tim Bowens,,Jermaine Haley,,Ted Washington,,,,,Lamar Smith,,,,,,,,,Terrance Shaw,,,,Sam Cowart,,,,,,,,,,,,,,,,,,,,,,,,,John Holecek,Keith Newman,,,,,,,,,,Sam Rogers,,,,,,,,,,,,,,,
