,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDT,awayNT,awaySLB,awayMLB,awayWLB,awayJLB,awayLCB,awayRCB,awaySS,awayFS,awayDE,awayMIKE,awayRUSH,awayWILL,homeDT,homeFB,homeNT,awayLDE,awayLOLB,awayRDE,awayROLB,awayS,homeDE,homeILB,awayCB,awayOLB,homeLILB,homeLOLB,homeRILB,homeROLB,homeCB,homeEND,homeMIKE,homeOLB,homeS,homeWILL,awayLB,homeDB,awayLDT,awayRDT,awaySAM,awayHB,homeHB,homeUT,awayILB,homeBLB,awayLILB,awayRILB,awayDB,awayLOT,awayROT,homeRUSH,homeSAM,homeLB,homeLOT,homeROT,awayUT,awayEND,awayT,homeJLB,homeNB,awayBLB,homeT,awayNB,homeF,awayF,homeWR W,awayWR W,awayLLB,awayRLB,awayFSW,awayTE/F,awayNDB,homeDL
0,2012,September 5,1,New York Giants,Dallas Cowboys,Tom Coughlin,Jason Garrett,0-1,1-0,outdoors,fieldturf,New York Giants -4.0,46.0 (under),Eli Manning,Ahmad Bradshaw,Victor Cruz,Martellus Bennett,Sean Locklear,Kevin Boothe,David Baas,Chris Snee,David Diehl,Justin Tuck,Linval Joseph,Rocky Bernard,Jason Pierre-Paul,Mathias Kiwanuka,Chase Blackburn,Keith Rivers,Corey Webster,Michael Coe,Kenny Phillips,Antrel Rolle,Tony Romo,DeMarco Murray,Lawrence Vickers,Miles Austin,Jason Witten,Tyron Smith,Nate Livings,Phil Costa,Mackenzy Bernadeau,Doug Free,Kenyon Coleman,Josh Brent,Anthony Spencer,Bruce Carter,Sean Lee,DeMarcus Ware,Brandon Carr,Morris Claiborne,Barry Church,Gerald Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2012,September 9,1,Chicago Bears,Indianapolis Colts,Lovie Smith,Chuck Pagano,1-0,0-1,outdoors,grass ,Chicago Bears -10.0,42.5 (over),Jay Cutler,Matt Forte,Brandon Marshall,Kellen Davis,J'Marcus Webb,Chris Spencer,Roberto Garza,Lance Louis,Gabe Carimi,Israel Idonije,,,Julius Peppers,Nick Roach,Brian Urlacher,Lance Briggs,Tim Jennings,Charles Tillman,Major Wright,Chris Conte,Andrew Luck,Donald Brown,,Donnie Avery,Dominique Jones,Anthony Castonzo,Seth Olsen,Samson Satele,Mike McGlynn,Winston Justice,Fili Moala,Antonio Johnson,Robert Mathis,,,,Vontae Davis,Jerraud Powers,Tom Zbikowski,Antoine Bethea,Cory Redding,Kavell Conner,Dwight Freeney,Jerrell Freeman,Henry Melton,Evan Rodriguez,Matt Toeaina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012,September 9,1,Houston Texans,Miami Dolphins,Gary Kubiak,Joe Philbin,1-0,0-1,retractable roof (closed),grass ,Houston Texans -13.5,41.5 (under),Matt Schaub,Arian Foster,Kevin Walter,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Antoine Caldwell,Derek Newton,,,,,Brooks Reed,,Connor Barwin,Kareem Jackson,Johnathan Joseph,Danieal Manning,Glover Quin,Ryan Tannehill,Reggie Bush,Charles Clay,Legedu Naanee,Anthony Fasano,Jake Long,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,Paul Soliai,,,Karlos Dansby,,,Sean Smith,Richard Marshall,,,,,,,,James Casey,Shaun Cody,Jared Odrick,Kevin Burnett,Cameron Wake,Koa Misi,Reshad Jones,Antonio Smith,Bradie James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2012,September 9,1,Kansas City Chiefs,Atlanta Falcons,Romeo Crennel,Mike Smith,0-1,1-0,outdoors,grass ,Atlanta Falcons -2.5,43.0 (over),Matt Cassel,Peyton Hillis,Dexter McCluster,Kevin Boss,Branden Albert,Ryan Lilja,Rodney Hudson,Jon Asamoah,Eric Winston,Tyson Jackson,,,Glenn Dorsey,,,,Jacques Reeves,Stanford Routt,Eric Berry,Abram Elam,Matt Ryan,Michael Turner,,Roddy White,Michael Palmer,Sam Baker,Justin Blalock,Todd McClure,Garrett Reynolds,Tyson Clabo,Peria Jerry,,,,,,,,,,,,,,,,Dontari Poe,Kroy Biermann,,John Abraham,,William Moore,,,Asante Samuel,Sean Weatherspoon,Jovan Belcher,Justin Houston,Derrick Johnson,Andy Studebaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012,September 9,1,New York Jets,Buffalo Bills,Rex Ryan,Chan Gailey,1-0,0-1,outdoors,fieldturf,New York Jets -3.0,39.0 (over),Mark Sanchez,Shonn Greene,Santonio Holmes,Dustin Keller,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Austin Howard,,,,,,,,,,,,Ryan Fitzpatrick,Fred Jackson,,Donald Jones,Scott Chandler,Cordy Glenn,Andy Levitre,Eric Wood,Kraig Urbik,Erik Pears,Kyle Williams,,Arthur Moats,Kelvin Sheppard,Nick Barnett,,Aaron Williams,Stephon Gilmore,George Wilson,Jairus Byrd,,,,,,,Kenrick Ellis,Mario Williams,,Chris Kelsay,,,,,,,,,,,Kyle Wilson,Muhammad Wilkerson,David Harris,Calvin Pace,LaRon Landry,Bart Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2012,September 9,1,New Orleans Saints,Washington Redskins,Aaron Kromer,Mike Shanahan,0-1,1-0,dome,sportturf,New Orleans Saints -9.0,50.5 (over),Drew Brees,Darren Sproles,Lance Moore,Jimmy Graham,Jermon Bushrod,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Cameron Jordan,,,Will Smith,,Curtis Lofton,David Hawthorne,Corey White,Patrick Robinson,Roman Harper,Malcolm Jenkins,Robert Griffin III,Alfred Morris,,Santana Moss,Fred Davis,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,,Barry Cofield,,London Fletcher,,Perry Riley,DeAngelo Hall,Josh Wilson,DeJon Gomes,Madieu Williams,,,,,Sedrick Ellis,,,Adam Carriker,Ryan Kerrigan,Stephen Bowen,Brian Orakpo,,,,,,,,,,Johnny Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2012,September 9,1,Tennessee Titans,New England Patriots,Mike Munchak,Bill Belichick,0-1,1-0,outdoors,grass ,New England Patriots -6.5,48.0 (under),Jake Locker,Chris Johnson,Damian Williams,Craig Stevens,Michael Roos,Steve Hutchinson,Fernando Velasco,Leroy Harris,David Stewart,,,,,Akeem Ayers,Colin McCarthy,,,,Robert Johnson,Michael Griffin,Tom Brady,Stevan Ridley,,Brandon Lloyd,Rob Gronkowski,Nate Solder,Logan Mankins,Ryan Wendell,Dan Connolly,Sebastian Vollmer,Vince Wilfork,,,,,,Devin McCourty,Kyle Arrington,,,,,,,Karl Klug,,,Rob Ninkovich,,Chandler Jones,,Patrick Chung,Derrick Morgan,,,,,,,,Jason McCourty,,,,,,Jerod Mayo,Ryan Mouton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2012,September 9,1,Cleveland Browns,Philadelphia Eagles,Pat Shurmur,Andy Reid,0-1,1-0,outdoors,grass ,Philadelphia Eagles -9.5,42.0 (under),Brandon Weeden,Trent Richardson,Josh Gordon,,Joe Thomas,Jason Pinkston,Alex Mack,Shawn Lauvao,Mitchell Schwartz,Jabaal Sheard,,,Frostee Rucker,L.J. Fort,D'Qwell Jackson,Kaluka Maiava,Joe Haden,Sheldon Brown,T.J. Ward,Eric Hagg,Michael Vick,LeSean McCoy,Stanley Havili,Jeremy Maclin,Brent Celek,King Dunlap,Evan Mathis,Jason Kelce,Danny Watkins,Todd Herremans,,,,DeMeco Ryans,,,Dominique Rodgers-Cromartie,Nnamdi Asomugha,Nate Allen,Kurt Coleman,,,,,Billy Winn,Owen Marecic,,Jason Babin,,Trent Cole,,,,,Brandon Boykin,,,,,,,,,,,,,,Cullen Jenkins,Derek Landri,Mychal Kendricks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2012,September 9,1,Detroit Lions,St. Louis Rams,Jim Schwartz,Jeff Fisher,1-0,0-1,dome,fieldturf ,Detroit Lions -9.0,46.5 (over),Matthew Stafford,Kevin Smith,Titus Young,Brandon Pettigrew,Jeff Backus,Rob Sims,Dominic Raiola,Stephen Peterman,Gosder Cherilus,Cliff Avril,,,Kyle Vanden Bosch,,Stephen Tulloch,,Jacob Lacey,Bill Bentley,Erik Coleman,John Wendling,Sam Bradford,Steven Jackson,,Brandon Gibson,Lance Kendricks,Rodger Saffold,Robert Turner,Scott Wells,Harvey Dahl,Barry Richardson,,,,James Laurinaitis,Jo-Lonn Dunbar,,Cortland Finnegan,Janoris Jenkins,Craig Dahl,Quintin Mikell,,,,,Corey Williams,,,Chris Long,,Robert Quinn,,,,,Bradley Fletcher,,,,,,,,,DeAndre Levy,,,,,Kendall Langford,Jermelle Cudjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2012,September 9,1,Minnesota Vikings,Jacksonville Jaguars,Leslie Frazier,Mike Mularkey,1-0,0-1,dome,sportturf,Minnesota Vikings -3.5,38.0 (over),Christian Ponder,,Michael Jenkins,John Carlson,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,Brian Robison,,,Jared Allen,Chad Greenway,Jasper Brinkley,Erin Henderson,Antoine Winfield,Chris Cook,Mistral Raymond,Harrison Smith,Blaine Gabbert,,Greg Jones,Justin Blackmon,Marcedes Lewis,Eugene Monroe,Eben Britton,Brad Meester,Uche Nwaneri,Cameron Bradfield,Terrance Knighton,,,Paul Posluszny,,,Aaron Ross,William Middleton,Dawan Landry,Dwight Lowery,,,,,,,Letroy Guion,Tyson Alualu,,Jeremy Mincey,,,,,,Russell Allen,,,,,,,,,,,,,,,,Rashad Jennings,Adrian Peterson,Kevin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2012,September 9,1,Arizona Cardinals,Seattle Seahawks,Ken Whisenhunt,Pete Carroll,1-0,0-1,retractable roof (closed),grass ,Seattle Seahawks -3.0,41.0 (under),John Skelton,Ryan Williams,Larry Fitzgerald,Jeff King,D'Anthony Batiste,Daryn Colledge,Lyle Sendlein,Adam Snyder,Bobby Massie,,,,,,,,Patrick Peterson,William Gay,Adrian Wilson,Kerry Rhodes,Russell Wilson,Marshawn Lynch,Michael Robinson,Braylon Edwards,Zach Miller,Russell Okung,Paul McQuistan,Max Unger,J.R. Sweezy,Breno Giacomini,,,,Bobby Wagner,,,Richard Sherman,Brandon Browner,Kam Chancellor,Earl Thomas,,,,,Darnell Dockett,,Dan Williams,Red Bryant,,Chris Clemons,,,Calais Campbell,Paris Lenon,,K.J. Wright,,O'Brien Schofield,,Sam Acho,,,,,,,,,Alan Branch,Brandon Mebane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2012,September 9,1,Green Bay Packers,San Francisco 49ers,Mike McCarthy,Jim Harbaugh,0-1,1-0,outdoors,grass ,Green Bay Packers -5.5,46.5 (over),Aaron Rodgers,Cedric Benson,James Jones,Jermichael Finley,Marshall Newhouse,T.J. Lang,Jeff Saturday,Josh Sitton,Bryan Bulaga,Ryan Pickett,,,C.J. Wilson,,D.J. Smith,,Tramon Williams,Jarrett Bush,Charles Woodson,Morgan Burnett,Alex Smith,Frank Gore,Bruce Miller,Kyle Williams,Vernon Davis,Joe Staley,Mike Iupati,Jonathan Goodwin,Alex Boone,Anthony Davis,,,,,,,Carlos Rogers,Tarell Brown,Donte Whitner,Dashon Goldson,,,,,,,B.J. Raji,,,,,,,,Chris Culliver,Ahmad Brooks,,Nick Perry,,Clay Matthews,,,,,,,,,Ray McDonald,Justin Smith,,,,,Patrick Willis,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,September 9,1,Tampa Bay Buccaneers,Carolina Panthers,Greg Schiano,Ron Rivera,1-0,0-1,outdoors,grass ,Carolina Panthers -3.0,45.5 (under),Josh Freeman,Doug Martin,Vincent Jackson,Dallas Clark,Donald Penn,Carl Nicks,Jeremy Zuttah,Ted Larsen,Jeremy Trueblood,Michael Bennett,,,Adrian Clayborn,,Mason Foster,Lavonte David,,,Mark Barron,Ahmad Black,Cam Newton,DeAngelo Williams,,Louis Murphy,Greg Olsen,Jordan Gross,Amini Silatolu,Ryan Kalil,Geoff Hangartner,Byron Bell,Dwan Edwards,Ron Edwards,James Anderson,Jon Beason,Luke Kuechly,,Chris Gamble,Josh Norman,Charles Godfrey,Haruki Nakamura,,,,,Gerald McCoy,,,Antwan Applewhite,,Charles Johnson,,,,,,,,,,,Aqib Talib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2012,September 9,1,Denver Broncos,Pittsburgh Steelers,John Fox,Mike Tomlin,1-0,0-1,outdoors,grass ,Denver Broncos -2.0,45.5 (over),Peyton Manning,Willis McGahee,Eric Decker,Jacob Tamme,Ryan Clady,Zane Beadles,J.D. Walton,Manuel Ramirez,Orlando Franklin,Derek Wolfe,,,Elvis Dumervil,Von Miller,Joe Mays,Wesley Woodyard,Champ Bailey,Tracy Porter,Mike Adams,Rahim Moore,Ben Roethlisberger,Isaac Redman,Will Johnson,Mike Wallace,Heath Miller,Max Starks,Willie Colon,Maurkice Pouncey,Ramon Foster,Marcus Gilbert,,Casey Hampton,,,,,Keenan Lewis,Ike Taylor,Troy Polamalu,Ryan Mundy,Brett Keisel,,,,Ty Warren,,Justin Bannan,,LaMarr Woodley,,Chris Carter,,,,,,,,,,,,,,,,,,,,,,,,,,Larry Foote,Lawrence Timmons,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2012,September 10,1,Baltimore Ravens,Cincinnati Bengals,John Harbaugh,Marvin Lewis,1-0,0-1,outdoors,sportturf,Baltimore Ravens -7.0,43.0 (over),Joe Flacco,Ray Rice,Torrey Smith,Dennis Pitta,Michael Oher,Ramon Harewood,Matt Birk,Marshal Yanda,Kelechi Osemele,,,,,,,,Lardarius Webb,Cary Williams,Bernard Pollard,Ed Reed,Andy Dalton,,,A.J. Green,Jermaine Gresham,,Clint Boling,Jeff Faine,Kevin Zeitler,,Geno Atkins,Domata Peko,,,,,Nate Clements,Leon Hall,Taylor Mays,Reggie Nelson,,,,,Haloti Ngata,,Ma'ake Kemoeatu,Robert Geathers,,Michael Johnson,,,,,,,,,,,,,Ray Lewis,,,Jameel McClain,Thomas Howard,,,,,BenJarvus Green-Ellis,,,,,,,Terence Newman,Andrew Whitworth,Andre Smith,Albert McClellan,Paul Kruger,,,,,,,,,,,,,,,,,,,,,
15,2012,September 10,1,Oakland Raiders,San Diego Chargers,Dennis Allen,Norv Turner,0-1,1-0,outdoors,grass ,Oakland Raiders -1.0,47.5 (under),Carson Palmer,Darren McFadden,Rod Streater,Brandon Myers,Jared Veldheer,Cooper Carlisle,Alex Parsons,Mike Brisiel,Khalif Barnes,Lamarr Houston,,,Matt Shaughnessy,Philip Wheeler,Rolando McClain,Miles Burris,Ron Bartell,Shawntae Spencer,Tyvon Branch,Michael Huff,Philip Rivers,,Le'Ron McClain,Malcom Floyd,Antonio Gates,Mike Harris,Tyronne Green,Nick Hardwick,Louis Vasquez,Jeromey Clary,Aubrayo Franklin,,,,,,Quentin Jammer,Antoine Cason,Atari Bigby,Eric Weddle,,,,,Richard Seymour,Marcel Reece,Tommy Kelly,Vaughn Martin,,Corey Liuget,,,,,,Jarret Johnson,,,,,,,,,,,,,,,,Ronnie Brown,,,Donald Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2012,September 13,2,Green Bay Packers,Chicago Bears,Mike McCarthy,Lovie Smith,1-1,1-1,outdoors,grass ,Green Bay Packers -5.5,51.0 (under),Aaron Rodgers,Cedric Benson,Jordy Nelson,Jermichael Finley,Marshall Newhouse,T.J. Lang,Jeff Saturday,Josh Sitton,Bryan Bulaga,Ryan Pickett,,,Jerel Worthy,,D.J. Smith,,Tramon Williams,Sam Shields,Charles Woodson,Morgan Burnett,Jay Cutler,Matt Forte,,Brandon Marshall,Kellen Davis,J'Marcus Webb,Chris Spencer,Roberto Garza,Lance Louis,Gabe Carimi,Henry Melton,Stephen Paea,Nick Roach,Brian Urlacher,Lance Briggs,,Tim Jennings,Charles Tillman,Major Wright,Chris Conte,,,,,,,B.J. Raji,Israel Idonije,,Julius Peppers,,,,,,,,Nick Perry,,Clay Matthews,,,,,,,,,,,,,,,,A.J. Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2012,September 16,2,Miami Dolphins,Oakland Raiders,Joe Philbin,Dennis Allen,1-1,0-2,outdoors,grass ,Oakland Raiders -2.0,41.0 (over),Ryan Tannehill,Reggie Bush,Davone Bess,Anthony Fasano,Jake Long,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,Jared Odrick,,,Cameron Wake,,,,,,,,Carson Palmer,Darren McFadden,,Denarius Moore,Richard Gordon,Jared Veldheer,Cooper Carlisle,Stefen Wisniewski,Mike Brisiel,Khalif Barnes,Richard Seymour,Tommy Kelly,Philip Wheeler,Rolando McClain,Miles Burris,,Pat Lee,Shawntae Spencer,Tyvon Branch,Michael Huff,,,,,Paul Soliai,Jorvorskie Lane,,Lamarr Houston,,Matt Shaughnessy,,,,,,,,,,,Richard Marshall,,,,Reshad Jones,,,,,,,,,,,,,,,,,,,Koa Misi,,,,,,,,,,,,,,,,,,,,
18,2012,September 16,2,Cincinnati Bengals,Cleveland Browns,Marvin Lewis,Pat Shurmur,1-1,0-2,outdoors,fieldturf ,Cincinnati Bengals -7.0,39.5 (over),Andy Dalton,,Armon Binns,Jermaine Gresham,,Clint Boling,Jeff Faine,Kevin Zeitler,,Robert Geathers,,,Michael Johnson,,,,Nate Clements,Leon Hall,Jeromy Miles,Reggie Nelson,Brandon Weeden,Trent Richardson,,Greg Little,Ben Watson,Joe Thomas,Jason Pinkston,Alex Mack,Shawn Lauvao,Mitchell Schwartz,Ahtyba Rubin,,Scott Fujita,D'Qwell Jackson,Kaluka Maiava,,Dimitri Patterson,Buster Skrine,T.J. Ward,Eric Hagg,,,,,Geno Atkins,Chris Pressley,Domata Peko,Jabaal Sheard,,Frostee Rucker,,,,,,,,,,,,,,,,,,Terence Newman,,,,,BenJarvus Green-Ellis,,,,,,,,,,,Rey Maualuga,Andrew Whitworth,Andre Smith,,,,,,,,,,,,,,,,,,
19,2012,September 16,2,Buffalo Bills,Kansas City Chiefs,Chan Gailey,Romeo Crennel,1-1,0-2,outdoors,a_turf,Buffalo Bills -3.0,45.0 (over),Ryan Fitzpatrick,C.J. Spiller,Donald Jones,Lee Smith,Cordy Glenn,Andy Levitre,Eric Wood,Kraig Urbik,Erik Pears,Mario Williams,Marcell Dareus,Keith Williams,Mark Anderson,Arthur Moats,Kelvin Sheppard,Nick Barnett,Aaron Williams,Stephon Gilmore,George Wilson,Jairus Byrd,Matt Cassel,Jamaal Charles,,Dwayne Bowe,Kevin Boss,Branden Albert,Ryan Lilja,Rodney Hudson,Jon Asamoah,Eric Winston,,Dontari Poe,,,,,Brandon Flowers,Stanford Routt,Eric Berry,Abram Elam,,,,,,,Kyle Williams,Tyson Jackson,Justin Houston,Glenn Dorsey,Tamba Hali,,,,,,,,,,,,,,,,,,,,,,,,,,Jovan Belcher,Derrick Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2012,September 16,2,New England Patriots,Arizona Cardinals,Bill Belichick,Ken Whisenhunt,1-1,2-0,outdoors,fieldturf ,New England Patriots -13.5,47.0 (under),Tom Brady,Stevan Ridley,Brandon Lloyd,Rob Gronkowski,Nate Solder,Logan Mankins,Ryan Wendell,Donald Thomas,Sebastian Vollmer,Rob Ninkovich,,,Chandler Jones,,,,Devin McCourty,Kyle Arrington,,,Kevin Kolb,Beanie Wells,Anthony Sherman,Larry Fitzgerald,Jeff King,D'Anthony Batiste,Daryn Colledge,Lyle Sendlein,Adam Snyder,Bobby Massie,Darnell Dockett,,,,,,Patrick Peterson,William Gay,Adrian Wilson,Kerry Rhodes,Calais Campbell,,,,Vince Wilfork,,,,O'Brien Schofield,,Sam Acho,,,,,,,,,,,,,,Patrick Chung,,,,,,,,,,Paris Lenon,,,,Jamell Fleming,,,,,Jerod Mayo,,,,,,,,,,,,,,,,,,,,
21,2012,September 16,2,Indianapolis Colts,Minnesota Vikings,Chuck Pagano,Leslie Frazier,1-1,1-1,retractable roof (open),fieldturf ,Minnesota Vikings -3.0,45.5 (under),Andrew Luck,Donald Brown,Donnie Avery,Coby Fleener,Anthony Castonzo,Seth Olsen,Samson Satele,Mike McGlynn,Jeff Linkenbach,,,,,Robert Mathis,,,Vontae Davis,Jerraud Powers,Tom Zbikowski,Antoine Bethea,Christian Ponder,,Jerome Felton,Percy Harvin,John Carlson,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Letroy Guion,Chad Greenway,Jasper Brinkley,Erin Henderson,,Antoine Winfield,Chris Cook,Mistral Raymond,Harrison Smith,,,,,Fili Moala,,Antonio Johnson,Brian Robison,,Jared Allen,,,Cory Redding,,,,,,,,,,Kavell Conner,,,Jerrell Freeman,,,,,,Adrian Peterson,,,,,,,,,,Jerry Hughes,,,,,Kevin Williams,,,,,,,,,,,,,,,,,
22,2012,September 16,2,Philadelphia Eagles,Baltimore Ravens,Andy Reid,John Harbaugh,2-0,1-1,outdoors,grass ,Philadelphia Eagles -3.0,47.0 (push),Michael Vick,LeSean McCoy,Jeremy Maclin,Clay Harbor,King Dunlap,Evan Mathis,Jason Kelce,Danny Watkins,Todd Herremans,Jason Babin,Cullen Jenkins,Derek Landri,Trent Cole,,DeMeco Ryans,,Dominique Rodgers-Cromartie,Nnamdi Asomugha,Nate Allen,Kurt Coleman,Joe Flacco,Ray Rice,,Torrey Smith,Dennis Pitta,Michael Oher,Ramon Harewood,Matt Birk,Marshal Yanda,Kelechi Osemele,Haloti Ngata,Ma'ake Kemoeatu,,,,,Lardarius Webb,Cary Williams,Bernard Pollard,Ed Reed,Pernell McPhee,Ray Lewis,Albert McClellan,Jameel McClain,,,,,,,,,,,,,,,,,Brandon Boykin,,,,,,,,,,Courtney Upshaw,,,,,,,,,,,,Mychal Kendricks,,,,,,,,,,,,,,,,,,,,,
23,2012,September 16,2,Jacksonville Jaguars,Houston Texans,Mike Mularkey,Gary Kubiak,0-2,2-0,outdoors,grass ,Houston Texans -7.0,40.0 (under),Blaine Gabbert,Maurice Jones-Drew,Laurent Robinson,Marcedes Lewis,Eugene Monroe,Herbert Taylor,Brad Meester,Uche Nwaneri,Guy Whimper,Jeremy Mincey,,,Andre Branch,,Paul Posluszny,,Aaron Ross,William Middleton,Dawan Landry,Dwight Lowery,Matt Schaub,Arian Foster,James Casey,Kevin Walter,Owen Daniels,Duane Brown,Wade Smith,Chris Myers,Antoine Caldwell,Derek Newton,,Shaun Cody,Brooks Reed,Bradie James,Connor Barwin,,,Johnathan Joseph,Danieal Manning,Glover Quin,Antonio Smith,,,,Tyson Alualu,Greg Jones,,,,,,,,,,,,,,,,,,Kyle Bosworth,,,,,,,,,,,Tim Dobbins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2012,September 16,2,New York Giants,Tampa Bay Buccaneers,Tom Coughlin,Greg Schiano,1-1,1-1,outdoors,fieldturf,New York Giants -8.0,43.5 (over),Eli Manning,Ahmad Bradshaw,Hakeem Nicks,Martellus Bennett,Sean Locklear,Kevin Boothe,David Baas,Chris Snee,David Diehl,Justin Tuck,Linval Joseph,Rocky Bernard,Jason Pierre-Paul,Mathias Kiwanuka,Chase Blackburn,Michael Boley,Corey Webster,Jayron Hosley,Kenny Phillips,Antrel Rolle,Josh Freeman,Doug Martin,Erik Lorig,Vincent Jackson,Luke Stocker,Donald Penn,Carl Nicks,Jeremy Zuttah,Ted Larsen,Demar Dotson,Roy Miller,,Quincy Black,Mason Foster,Lavonte David,,,,Mark Barron,Ronde Barber,,,,,,Henry Hynoski,,Michael Bennett,,Adrian Clayborn,,,,,Aqib Talib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2012,September 16,2,Carolina Panthers,New Orleans Saints,Ron Rivera,Aaron Kromer,1-1,0-2,outdoors,grass ,New Orleans Saints -3.0,54.0 (over),Cam Newton,DeAngelo Williams,Brandon LaFell,Greg Olsen,Jordan Gross,Amini Silatolu,Ryan Kalil,Geoff Hangartner,Byron Bell,Antwan Applewhite,,,Charles Johnson,James Anderson,Jon Beason,Luke Kuechly,Chris Gamble,Josh Norman,Charles Godfrey,Haruki Nakamura,Drew Brees,Pierre Thomas,Jed Collins,Lance Moore,Jimmy Graham,Jermon Bushrod,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Brodrick Bunkley,,Scott Shanle,Curtis Lofton,David Hawthorne,,Corey White,Patrick Robinson,Roman Harper,Malcolm Jenkins,,,,,Dwan Edwards,,Ron Edwards,Cameron Jordan,,Will Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2012,September 16,2,St. Louis Rams,Washington Redskins,Jeff Fisher,Mike Shanahan,1-1,1-1,dome,astroplay,Washington Redskins -3.5,42.5 (over),Sam Bradford,Steven Jackson,Steve Smith,,Rodger Saffold,Quinn Ojinnaka,Robert Turner,Harvey Dahl,Barry Richardson,Chris Long,Kendall Langford,Jermelle Cudjo,Robert Quinn,Rocky McIntosh,James Laurinaitis,Jo-Lonn Dunbar,Cortland Finnegan,Janoris Jenkins,Craig Dahl,Quintin Mikell,Robert Griffin III,Alfred Morris,,Josh Morgan,Niles Paul,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,,Barry Cofield,,London Fletcher,,Perry Riley,DeAngelo Hall,Josh Wilson,DeJon Gomes,Madieu Williams,,,,,,,,Adam Carriker,Ryan Kerrigan,Stephen Bowen,Brian Orakpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2012,September 16,2,Seattle Seahawks,Dallas Cowboys,Pete Carroll,Jason Garrett,1-1,1-1,outdoors,fieldturf ,Dallas Cowboys -3.0,43.0 (under),Russell Wilson,Marshawn Lynch,Sidney Rice,Zach Miller,Frank Omiyale,Paul McQuistan,Max Unger,John Moffitt,Breno Giacomini,Red Bryant,Alan Branch,Brandon Mebane,Chris Clemons,,Bobby Wagner,,Richard Sherman,Brandon Browner,Kam Chancellor,Earl Thomas,Tony Romo,DeMarco Murray,,Miles Austin,John Phillips,Tyron Smith,Nate Livings,Ryan Cook,Mackenzy Bernadeau,Doug Free,Kenyon Coleman,Josh Brent,Anthony Spencer,Bruce Carter,Sean Lee,DeMarcus Ware,Brandon Carr,Morris Claiborne,Barry Church,Gerald Sensabaugh,,,,,,Michael Robinson,,,,,,,,,,,,,,,,,,K.J. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
