,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayFB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayDT,awayNT,awaySLB,awayMLB,awayWLB,awayJLB,awayLCB,awayRCB,awaySS,awayFS,awayDE,awayMIKE,awayRUSH,awayWILL,homeDT,homeFB,homeNT,awayLDE,awayLOLB,awayRDE,awayROLB,awayS,homeDE,homeILB,awayCB,awayOLB,homeLILB,homeLOLB,homeRILB,homeROLB,homeCB,homeEND,homeMIKE,homeOLB,homeS,homeWILL,awayLB,homeDB,awayLDT,awayRDT,awaySAM,awayHB,homeHB,homeUT,awayILB,homeBLB,awayLILB,awayRILB,awayDB,awayLOT,awayROT,homeRUSH,homeSAM,homeLB,homeLOT,homeROT,awayUT,awayEND,awayT,homeJLB,homeNB,awayBLB,homeT,awayNB,homeF,awayF,homeWR W,awayWR W,awayLLB,awayRLB,awayFSW,awayTE/F,awayNDB,homeDL
161,2012,November 22,12,Dallas Cowboys,Washington Redskins,Jason Garrett,Mike Shanahan,5-6,5-6,retractable roof (closed),matrixturf,Dallas Cowboys -3.5,47.5 (over),Tony Romo,Felix Jones,Miles Austin,John Phillips,Jermey Parnell,Nate Livings,Mackenzy Bernadeau,Derrick Dockery,Doug Free,,,,,Anthony Spencer,Bruce Carter,Dan Connor,Brandon Carr,Morris Claiborne,Danny McCray,Gerald Sensabaugh,Robert Griffin III,Alfred Morris,Darrel Young,Pierre Garcon,Logan Paulsen,Trent Williams,Kory Lichtensteiger,Will Montgomery,Chris Chester,Tyler Polumbus,,Barry Cofield,,London Fletcher,,Perry Riley,DeAngelo Hall,Josh Wilson,,Madieu Williams,,,,,Marcus Spears,,Josh Brent,Jarvis Jenkins,Ryan Kerrigan,Stephen Bowen,Rob Jackson,,,,Cedric Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeMarcus Ware,,,,,,,,,,,,,,
162,2012,November 22,12,New York Jets,New England Patriots,Rex Ryan,Bill Belichick,4-7,8-3,outdoors,fieldturf,New England Patriots -7.0,48.5 (over),Mark Sanchez,Shonn Greene,Chaz Schilens,Jeff Cumberland,D'Brickashaw Ferguson,Matt Slauson,Nick Mangold,Brandon Moore,Austin Howard,,,,,,,,,,,,Tom Brady,Stevan Ridley,,Brandon Lloyd,Daniel Fells,Nate Solder,Donald Thomas,Ryan Wendell,Dan Connolly,Marcus Cannon,Vince Wilfork,,,,,,Aqib Talib,Alfonzo Dennard,,,,,,,,Lex Hilliard,,Rob Ninkovich,,Jermaine Cunningham,,Devin McCourty,Muhammad Wilkerson,,,,,,,,Kyle Wilson,,David Harris,Calvin Pace,Eric Smith,Bart Scott,Dont'a Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,Mike DeVito,,,,,,,,,,,
163,2012,November 25,12,Chicago Bears,Minnesota Vikings,Lovie Smith,Leslie Frazier,8-3,6-5,outdoors,grass ,Chicago Bears -6.5,39.0 (under),Jay Cutler,Matt Forte,Brandon Marshall,Evan Rodriguez,J'Marcus Webb,Chris Spencer,Roberto Garza,Lance Louis,Jonathan Scott,Corey Wootton,,,Julius Peppers,Nick Roach,Brian Urlacher,Lance Briggs,Tim Jennings,Charles Tillman,Major Wright,Chris Conte,Christian Ponder,,,Jerome Felton,Kyle Rudolph,Matt Kalil,Charlie Johnson,John Sullivan,Brandon Fusco,Phil Loadholt,,Letroy Guion,Chad Greenway,Jasper Brinkley,Erin Henderson,,Antoine Winfield,A.J. Jefferson,Jamarca Sanford,Harrison Smith,,,,,Henry Melton,,Stephen Paea,Brian Robison,,Jared Allen,,,,,,,,,,,,,,,,,,,,,,Adrian Peterson,,,,,,,,,,,,,,,Kevin Williams,,,,,,,,,,,,,,,,,
164,2012,November 25,12,Cleveland Browns,Pittsburgh Steelers,Pat Shurmur,Mike Tomlin,3-8,6-5,outdoors,grass ,Pittsburgh Steelers -2.0,33.5 (over),Brandon Weeden,Trent Richardson,Greg Little,Jordan Cameron,Joe Thomas,John Greco,Alex Mack,Shawn Lauvao,Mitchell Schwartz,Jabaal Sheard,,,Frostee Rucker,,D'Qwell Jackson,Craig Robertson,Joe Haden,Sheldon Brown,T.J. Ward,Tashaun Gipson,Charlie Batch,Rashard Mendenhall,,Mike Wallace,Heath Miller,Max Starks,Doug Legursky,Maurkice Pouncey,Ramon Foster,Mike Adams,,Casey Hampton,,,,,Keenan Lewis,Ike Taylor,Will Allen,Ryan Clark,Evander Hood,,,,Ahtyba Rubin,,,,LaMarr Woodley,,James Harrison,,,,,,,,,,,,,,,,,Buster Skrine,,,,,,,,,Larry Foote,Lawrence Timmons,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2012,November 25,12,Cincinnati Bengals,Oakland Raiders,Marvin Lewis,Dennis Allen,6-5,3-8,outdoors,fieldturf ,Cincinnati Bengals -8.0,51.0 (under),Andy Dalton,,Mohamed Sanu,Jermaine Gresham,Andrew Whitworth,Clint Boling,Trevor Robinson,Kevin Zeitler,Andre Smith,Robert Geathers,,,Michael Johnson,Manny Lawson,Rey Maualuga,Vontaze Burfict,Terence Newman,Leon Hall,Chris Crocker,Reggie Nelson,Carson Palmer,Marcel Reece,Owen Schmitt,Darrius Heyward-Bey,Brandon Myers,Jared Veldheer,Cooper Carlisle,Stefen Wisniewski,Mike Brisiel,Khalif Barnes,Desmond Bryant,Tommy Kelly,Philip Wheeler,Rolando McClain,Miles Burris,,Michael Huff,Ron Bartell,Tyvon Branch,Matt Giordano,,,,,Geno Atkins,,Domata Peko,Lamarr Houston,,,,,,,,,,,,,,,,,,,,,,,,,BenJarvus Green-Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2012,November 25,12,Tampa Bay Buccaneers,Atlanta Falcons,Greg Schiano,Mike Smith,6-5,10-1,outdoors,grass ,Atlanta Falcons -1.5,51.5 (under),Josh Freeman,Doug Martin,Mike Williams,Luke Stocker,Donald Penn,Jeremy Zuttah,Ted Larsen,Jamon Meredith,Demar Dotson,Michael Bennett,,,Daniel Te'o-Nesheim,Adam Hayward,Mason Foster,Lavonte David,E.J. Biggers,Leonard Johnson,Mark Barron,Ronde Barber,Matt Ryan,Michael Turner,Mike Cox,Julio Jones,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Peter Konz,Tyson Clabo,Corey Peters,,,Akeem Dent,,,Asante Samuel,Dunta Robinson,William Moore,Thomas DeCoud,,,,,Gerald McCoy,,,Vance Walker,,John Abraham,,,,,,Sean Weatherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2012,November 25,12,Indianapolis Colts,Buffalo Bills,Chuck Pagano,Chan Gailey,7-4,4-7,retractable roof (closed),fieldturf ,Indianapolis Colts -3.0,51.5 (under),Andrew Luck,Vick Ballard,Donnie Avery,Dwayne Allen,Anthony Castonzo,Joe Reitz,Samson Satele,Mike McGlynn,Winston Justice,,,,,Robert Mathis,,,Cassius Vaughn,Darius Butler,Tom Zbikowski,Antoine Bethea,Ryan Fitzpatrick,C.J. Spiller,Corey McIntyre,Steve Johnson,Scott Chandler,Cordy Glenn,Andy Levitre,Eric Wood,Kraig Urbik,Chris Hairston,Keith Williams,Kyle Williams,Nigel Bradham,Kelvin Sheppard,Nick Barnett,,Leodis McKelvin,Stephon Gilmore,George Wilson,Jairus Byrd,,,,,Fili Moala,Robert Hughes,Antonio Johnson,Mario Williams,,Kyle Moore,,,Cory Redding,,,,,,,,,,Kavell Conner,,,Jerrell Freeman,,,,,,,,,,,,,,,,Dwight Freeney,,,,,,,,,,,,,,,,,,,,,,
168,2012,November 25,12,Jacksonville Jaguars,Tennessee Titans,Mike Mularkey,Mike Munchak,2-9,4-7,outdoors,grass ,Tennessee Titans -3.5,45.0 (under),Chad Henne,Jalen Parmele,Justin Blackmon,Marcedes Lewis,Eugene Monroe,Mike Brewster,Brad Meester,Uche Nwaneri,Cameron Bradfield,Jeremy Mincey,,,Austen Lane,,Paul Posluszny,,Aaron Ross,Derek Cox,Dawan Landry,Dwight Lowery,Jake Locker,,Quinn Johnson,Kenny Britt,Craig Stevens,Michael Roos,Steve Hutchinson,Fernando Velasco,Deuce Lutui,David Stewart,Sen'Derrick Marks,,Akeem Ayers,Colin McCarthy,Zach Brown,,,,Jordan Babineaux,Michael Griffin,Kamerion Wimbley,,,,C.J. Mosley,Will Ta'ufo'ou,,,,,,,,,Jason McCourty,,,,,,,,,Julian Stanford,,,,,,,,Chris Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2012,November 25,12,Miami Dolphins,Seattle Seahawks,Joe Philbin,Pete Carroll,5-6,6-5,outdoors,grass ,Seattle Seahawks -3.0,38.0 (over),Ryan Tannehill,Reggie Bush,Brian Hartline,Anthony Fasano,Jake Long,Richie Incognito,Mike Pouncey,John Jerry,Jonathan Martin,,,,Cameron Wake,,,,,,,,Russell Wilson,Marshawn Lynch,,Golden Tate,Zach Miller,Russell Okung,James Carpenter,Max Unger,Paul McQuistan,Breno Giacomini,,,,Bobby Wagner,,,Richard Sherman,Brandon Browner,Kam Chancellor,Earl Thomas,,,,,Randy Starks,Jorvorskie Lane,,Red Bryant,,Chris Clemons,,,,,,K.J. Wright,,,,,Sean Smith,,,,Jimmy Wilson,,,,Alan Branch,Brandon Mebane,,,,,,,,,,,,,,Karlos Dansby,,,,,,,,,,,,,,Sidney Rice,,,,,,
170,2012,November 25,12,Kansas City Chiefs,Denver Broncos,Romeo Crennel,John Fox,1-10,8-3,outdoors,grass ,Denver Broncos -10.5,42.5 (under),Brady Quinn,Jamaal Charles,Dwayne Bowe,Tony Moeaki,Donald Stephenson,Jeff Allen,Ryan Lilja,Jon Asamoah,Eric Winston,Tyson Jackson,,,,,,,Brandon Flowers,Jalil Brown,Eric Berry,Kendrick Lewis,Peyton Manning,Knowshon Moreno,,Demaryius Thomas,Jacob Tamme,Ryan Clady,Zane Beadles,Dan Koppen,Chris Kuper,Orlando Franklin,Kevin Vickerson,Justin Bannan,Von Miller,Keith Brooking,Wesley Woodyard,,Champ Bailey,Chris Harris Jr.,Mike Adams,Rahim Moore,,,,,,Nate Eachus,Dontari Poe,Derek Wolfe,,Elvis Dumervil,,,,,,,,Justin Houston,Derrick Johnson,Tamba Hali,Javier Arenas,,,,Abram Elam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2012,November 25,12,San Diego Chargers,Baltimore Ravens,Norv Turner,John Harbaugh,4-7,9-2,outdoors,grass ,Baltimore Ravens -1.0,47.0 (under),Philip Rivers,Ryan Mathews,Malcom Floyd,Ladarius Green,Mike Harris,Rex Hadnot,Nick Hardwick,Louis Vasquez,Jeromey Clary,Vaughn Martin,,,Corey Liuget,,,,Quentin Jammer,Antoine Cason,Atari Bigby,Eric Weddle,Joe Flacco,Ray Rice,Vonta Leach,Torrey Smith,Ed Dickson,Michael Oher,Jah Reid,Matt Birk,Marshal Yanda,Kelechi Osemele,Haloti Ngata,Ma'ake Kemoeatu,,,,,Corey Graham,Cary Williams,Bernard Pollard,Ed Reed,,Jameel McClain,Terrell Suggs,Dannell Ellerbe,Cam Thomas,,,,,,,,,Takeo Spikes,,Courtney Upshaw,,,,,,,,Jarret Johnson,,,,,,,Albert McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2012,November 25,12,Arizona Cardinals,St. Louis Rams,Ken Whisenhunt,Jeff Fisher,4-7,4-6-1,retractable roof (closed),grass ,Arizona Cardinals -1.0,36.5 (over),Ryan Lindley,Beanie Wells,Andre Roberts,Jeff King,Nate Potter,Daryn Colledge,Lyle Sendlein,Adam Snyder,Bobby Massie,,,,,,,,Patrick Peterson,William Gay,Adrian Wilson,Kerry Rhodes,Sam Bradford,,,Chris Givens,Lance Kendricks,Rodger Saffold,Robert Turner,Scott Wells,Harvey Dahl,Barry Richardson,,,Rocky McIntosh,James Laurinaitis,Jo-Lonn Dunbar,,Cortland Finnegan,Janoris Jenkins,Quintin Mikell,Craig Dahl,,,,,Darnell Dockett,,Dan Williams,Chris Long,,Robert Quinn,,,David Carter,Paris Lenon,,,,Quentin Groves,,Sam Acho,,,,,,,,,Kendall Langford,Michael Brockers,,Steven Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2012,November 25,12,New Orleans Saints,San Francisco 49ers,Joe Vitt,Jim Harbaugh,5-6,8-2-1,dome,sportturf,San Francisco 49ers -1.5,50.0 (over),Drew Brees,Chris Ivory,Devery Henderson,David Thomas,Jermon Bushrod,Ben Grubbs,Brian De La Puente,Jahri Evans,Bryce Harris,Cameron Jordan,,,Will Smith,David Hawthorne,Curtis Lofton,Jonathan Vilma,Jabari Greer,Patrick Robinson,Roman Harper,Malcolm Jenkins,Colin Kaepernick,Frank Gore,Bruce Miller,Mario Manningham,Vernon Davis,Joe Staley,Mike Iupati,Jonathan Goodwin,Alex Boone,Anthony Davis,,Isaac Sopoaga,,,,,Carlos Rogers,Tarell Brown,Donte Whitner,Dashon Goldson,,,,,Sedrick Ellis,,,,,,,,,,,Ahmad Brooks,,,,,,,,,,,,,Ray McDonald,Justin Smith,,,,,Patrick Willis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2012,November 25,12,New York Giants,Green Bay Packers,Tom Coughlin,Mike McCarthy,7-4,7-4,outdoors,fieldturf,New York Giants -2.5,51.5 (under),Eli Manning,Ahmad Bradshaw,Victor Cruz,Bear Pascoe,Will Beatty,Kevin Boothe,David Baas,Chris Snee,David Diehl,Justin Tuck,Linval Joseph,Chris Canty,Jason Pierre-Paul,,Chase Blackburn,Michael Boley,Corey Webster,Prince Amukamara,Stevie Brown,Antrel Rolle,Aaron Rodgers,James Starks,John Kuhn,Jordy Nelson,Jermichael Finley,Marshall Newhouse,Evan Dietrich-Smith,Jeff Saturday,Josh Sitton,T.J. Lang,,B.J. Raji,,Brad Jones,,,Tramon Williams,Davon House,Morgan Burnett,M.D. Jennings,,,,,,Henry Hynoski,,Ryan Pickett,Erik Walden,C.J. Wilson,Dezman Moses,,,,,,,,,,,,,,,,,Kenny Phillips,,,,,,,,,,,,,,,,,,,,,,,,A.J. Hawk,,,,,,,,,,,,
175,2012,November 26,12,Philadelphia Eagles,Carolina Panthers,Andy Reid,Ron Rivera,3-8,3-8,outdoors,grass ,Carolina Panthers -3.0,42.0 (over),Nick Foles,Bryce Brown,DeSean Jackson,Brent Celek,King Dunlap,Evan Mathis,Dallas Reynolds,Jake Scott,Dennis Kelly,Jason Babin,Cullen Jenkins,Fletcher Cox,Trent Cole,,DeMeco Ryans,,Dominique Rodgers-Cromartie,Nnamdi Asomugha,Nate Allen,Kurt Coleman,Cam Newton,Jonathan Stewart,,Brandon LaFell,Ben Hartsock,Jordan Gross,Amini Silatolu,Geoff Hangartner,Garry Williams,Byron Bell,Dwan Edwards,Ron Edwards,James Anderson,Luke Kuechly,Thomas Davis,,Captain Munnerlyn,Josh Norman,Charles Godfrey,Haruki Nakamura,,,,,,Stanley Havili,,Greg Hardy,,Charles Johnson,,,Brandon Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mychal Kendricks,,,,,,,,,,,,,,,,,,,,,
176,2012,November 29,13,Atlanta Falcons,New Orleans Saints,Mike Smith,Joe Vitt,11-1,5-7,dome,fieldturf ,Atlanta Falcons -3.5,55.0 (under),Matt Ryan,Michael Turner,Julio Jones,Tony Gonzalez,Sam Baker,Justin Blalock,Todd McClure,Peter Konz,Tyson Clabo,Jonathan Babineaux,,,John Abraham,,Akeem Dent,,,,,,Drew Brees,Mark Ingram,,Devery Henderson,Michael Higgins,Jermon Bushrod,Ben Grubbs,Brian De La Puente,Jahri Evans,Zach Strief,Sedrick Ellis,,David Hawthorne,Curtis Lofton,Jonathan Vilma,,Jabari Greer,Patrick Robinson,Roman Harper,Malcolm Jenkins,,,,,Corey Peters,Mike Cox,,Cameron Jordan,,Will Smith,,,,,,,,,,,Dunta Robinson,,,Sean Weatherspoon,William Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
