,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeOLB,homeMLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayLOLB,awayLILB,awayRILB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayILB,awayNT,awayOLB,homeDT,homeFB,homeNT,homeSLB,homeWLB,awayMLB,awaySLB,awayWLB,homeDB,homeHB,homeLLB,homeRLB,homeLOT,homeROT,awayHB,awayUT,awayROLB,awayX,awayZ,awayLLB,awayRLB,awaySAM,awayWILL,awayDB,awayDT,awayS,homeCB,homeDE,homeBLB,homeLOLB,homeROLB,awayDE,homeZ,homeLILB,homeRILB,awayLOT,awayROT,homeILB,awayCB,awayBLB,homeUT,homeSAM,homeWIL,homeX,awayFL,awaySE,homeLB,homeFL,homeSE,homeS,awayWIL,awayLB,awayE,awayT,homeDL
0,September 5,1,2002,83,New York Giants,San Francisco 49ers,13,16,Jim Fassel,Steve Mariucci,0-1,1-0,outdoors,grass,San Francisco 49ers -4.0,39.0 (under),Kerry Collins,Tiki Barber,Ike Hilliard,Jeremy Shockey,Luke Petitgout,Rich Seubert,Chris Bober,Jason Whittle,Mike Rosenthal,Michael Strahan,Cornelius Griffin,Keith Hamilton,Kenny Holmes,Daryl Jones,Micheal Barrow,Will Allen,Will Peterson,Shaun Williams,Omar Stoutmire,Jeff Garcia,Garrison Hearst,J.J. Stokes,Eric Johnson,Derrick Deese,Dave Fiore,Jeremy Newberry,Ron Stone,Scott Gragg,Chike Okeafor,Bryant Young,Dana Stubblefield,Andre Carter,Julian Peterson,Derek Smith,Jamie Winborn,Ahmed Plummer,Jason Webster,Tony Parrish,Zack Bronson,13,21,25-113-0,22-43-1,16-26-166-1-1,28-45-342-0-3,0-0,3-24,166,318,279,361,0-0,0-0,1,3,5-29,10-80,4-12,9-16,0-0,0-1,27:32,32:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,September 8,1,2002,83,Green Bay Packers,Atlanta Falcons,37,34,Mike Sherman,Dan Reeves,1-0,0-1,outdoors,grass,Green Bay Packers -7.0,42.5 (over),Brett Favre,Ahman Green,Terry Glenn,Bubba Franks,Chad Clifton,Mike Wahle,Frank Winters,Marco Rivera,Mark Tauscher,Vonnie Holliday,,,Joe Johnson,,Hardy Nickerson,Mike McKenzie,Tyrone Williams,Antuan Edwards,Darren Sharper,Michael Vick,Warrick Dunn,Brian Finneran,Reggie Kelly,Bob Whitfield,Travis Claridge,Todd McClure,Roberto Garza,Todd Weiner,Patrick Kerney,,,Brady Smith,,,,Ray Buchanan,Ashley Ambrose,Gerald McBurrows,Keion Carpenter,22,29,30-180-3,38-211-2,15-23-209-1-0,25-36-284-2-0,4-15,2-11,194,273,374,484,2-1,3-1,1,1,4-82,3-15,4-8,8-15,0-0,1-1,30:55,38:50,Bob Christian,John Holecek,Ed Jasper,John Thierry,Cletidus Hunt,William Henderson,Gilbert Brown,Na'il Diggs,Nate Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,September 8,1,2002,83,Buffalo Bills,New York Jets,31,37,Gregg Williams,Herm Edwards,0-1,1-0,outdoors,astroturf,New York Jets -3.0,43.0 (over),Drew Bledsoe,,Eric Moulds,Jay Riemersma,Jonas Jennings,Ruben Brown,Trey Teague,Marques Sullivan,Mike Williams,Chidi Ahanotu,Ron Edwards,Pat Williams,Aaron Schobel,,,Antoine Winfield,Nate Clements,Coy Wire,Pierson Prioleau,Vinny Testaverde,Curtis Martin,Santana Moss,,Jason Fabini,J.P. Machado,Kevin Mawae,Randy Thomas,Kareem McKenzie,Shaun Ellis,Josh Evans,,John Abraham,,,,Donnie Abraham,Aaron Beasley,Sam Garnes,Damien Robinson,18,26,14-73-0,32-142-3,24-30-210-2-0,26-39-271-1-2,3-17,4-29,193,242,266,384,1-1,1-1,1,3,10-90,10-82,2-8,7-17,0-0,2-2,21:06,39:08,Richie Anderson,,Jason Ferguson,,,Larry Centers,,,,Marvin Jones,Mo Lewis,Sam Cowart,Chris Watson,Travis Henry,London Fletcher,Eddie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,September 8,1,2002,83,Cincinnati Bengals,San Diego Chargers,6,34,Dick LeBeau,Marty Schottenheimer,0-1,1-0,outdoors,grass,Cincinnati Bengals -3.0,37.0 (over),Gus Frerotte,,T.J. Houshmandzadeh,Levi Jones,,Matt O'Dwyer,Rich Braham,Mike Goff,,Vaughn Booker,Oliver Gibson,Tony Williams,Justin Smith,,Brian Simmons,Jeff Burris,Artrell Hawkins,Cory Hall,Mark Roman,Drew Brees,LaDainian Tomlinson,Tim Dwight,Stephen Alexander,Damion McIntosh,Bob Hallen,Cory Raymer,Toniu Fonoti,Vaughn Parker,Marcellus Wiley,Jamal Williams,Jason Fisk,Raylee Johnson,,,,Alex Molden,Ryan McNeil,Rodney Harrison,Rogers Beckett,27,13,45-241-2,13-36-0,15-19-160-2-0,18-31-198-0-1,1-0,4-31,160,167,401,203,0-0,0-0,0,1,4-39,9-57,6-10,4-11,0-0,0-0,37:48,22:12,Fred McCrary,,,,,,,,,Donnie Edwards,Ben Leber,Junior Seau,,Corey Dillon,Canute Curtis,Takeo Spikes,Richmond Webb,Willie Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,September 8,1,2002,83,Miami Dolphins,Detroit Lions,49,21,Dave Wannstedt,Marty Mornhinweg,1-0,0-1,outdoors,grass,Miami Dolphins -9.5,35.5 (over),Jay Fiedler,Ricky Williams,Chris Chambers,Randy McMichael,Mark Dixon,Jamie Nails,Tim Ruddy,Todd Perry,Todd Wade,Adewale Ogunleye,Tim Bowens,Larry Chester,Jason Taylor,,Zach Thomas,Patrick Surtain,Sam Madison,Arturo Freeman,Brock Marion,Mike McMahon,Lamont Warren,Az-Zahir Hakim,Mikhael Ricks,Jeff Backus,Tony Semple,Dominic Raiola,Ray Brown,Kerlin Blaise,Robert Porcher,Luther Elliss,Shaun Rogers,James Hall,,,,Eric Davis,Todd Lyght,Corey Harris,Brian Walker,15,27,19-51-2,41-182-3,17-36-220-1-1,18-27-207-3-0,3-14,0-0,206,207,257,389,2-1,2-0,2,0,6-68,4-54,7-14,6-12,0-1,1-1,25:36,34:24,Aveion Cason,,,,,Rob Konrad,,Morlon Greenwood,Derrick Rodgers,Chris Claiborne,Brian Williams,Barrett Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,September 8,1,2002,83,Jacksonville Jaguars,Indianapolis Colts,25,28,Tom Coughlin,Tony Dungy,0-1,1-0,outdoors,grass,Indianapolis Colts -3.5,44.0 (over),Mark Brunell,Fred Taylor,Patrick Johnson,Kyle Brady,Zach Wiegert,Brad Meester,John Wade,Chris Naeole,Maurice Williams,Marco Coleman,Marcus Stroud,Larry Smith,Tony Brackens,,Wali Rainer,Fernando Bryant,Jason Craft,Donovin Darius,Marlon McCree,Peyton Manning,Edgerrin James,Marvin Harrison,Marcus Pollard,Tarik Glenn,Rick DeMulling,Jeff Saturday,Ryan Diem,Adam Meadows,Brad Scioli,Larry Tripplett,James Cannida,Chad Bratzke,,,,Walt Harris,David Macklin,Cory Bird,Idrees Bashir,18,19,28-104-0,32-118-1,19-31-211-3-0,22-36-228-2-1,1-8,1-3,203,225,307,343,2-2,3-1,2,2,2-14,5-40,9-14,8-16,0-0,3-3,27:27,32:33,,,,,,Patrick Washington,,Danny Clark,Eric Westmoreland,Rob Morris,Mike Peterson,Marcus Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,September 8,1,2002,83,Chicago Bears,Minnesota Vikings,27,23,Dick Jauron,Mike Tice,1-0,0-1,outdoors,astroplay,Chicago Bears -4.5,41.0 (over),Jim Miller,Anthony Thomas,Marty Booker,Fred Baxter,Bernard Robertson,Rex Tucker,Olin Kreutz,Chris Villarrial,James Williams,Bryan Robinson,Ted Washington,Keith Traylor,Phillip Daniels,,Brian Urlacher,R.W. McQuarters,Jerry Azumah,Michael Green,Mike Brown,Daunte Culpepper,Michael Bennett,D'Wayne Bates,Byron Chamberlain,Everett Lindsay,Corbin Lacina,Matt Birk,David Dixon,Chris Liwienski,Kenny Mixon,,,Lance Johnstone,,,,Corey Chavous,Eric Kelly,Willie Offord,Ronnie Bradford,19,20,33-140-1,26-80-1,16-28-234-1-2,20-33-297-2-1,1-6,1-9,228,288,368,368,2-1,1-1,3,2,8-52,4-33,5-13,7-13,0-0,0-0,31:31,28:29,,,Fred Robbins,,,Stanley Pritchett,,Rosevelt Colvin,Warrick Holdman,Greg Biekert,Patrick Chukwurah,Henri Crockett,,,,,,,Jim Kleinsasser,Chris Hovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,September 8,1,2002,83,Carolina Panthers,Baltimore Ravens,10,7,John Fox,Brian Billick,1-0,0-1,outdoors,grass,Pick,33.0 (under),Rodney Peete,Lamar Smith,Muhsin Muhammad,Wesley Walls,Todd Steussie,Jeno James,Jeff Mitchell,Kevin Donnalley,Chris Terry,Julius Peppers,Brentson Buckner,Kris Jenkins,Mike Rucker,,Dan Morgan,Terry Cousin,Reggie Howard,Mike Minter,Deon Grant,Chris Redman,Jamal Lewis,Brandon Stokley,Todd Heap,,Casey Rabach,Mike Flynn,Bennie Anderson,Edwin Mulitalo,Ma'ake Kemoeatu,,,Anthony Weaver,Shannon Taylor,Ed Hartwell,Ray Lewis,Chris McAlister,Alvin Porter,Anthony Mitchell,Ed Reed,15,15,19-77-0,36-145-0,20-34-218-1-1,12-19-136-1-0,2-6,2-16,212,120,289,265,0-0,1-0,1,0,6-45,6-35,5-14,5-14,0-0,0-0,26:09,33:51,Alan Ricard,,Kelly Gregg,,,,,Mark Fields,Hannibal Navies,,,,,,,,,,,,Peter Boulware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,September 8,1,2002,83,Cleveland Browns,Kansas City Chiefs,39,40,Butch Davis,Dick Vermeil,0-1,1-0,outdoors,grass,Cleveland Browns -2.0,36.0 (over),Kelly Holcomb,Jamel White,Quincy Morgan,Darnell Sanders,Ross Verba,Barry Stokes,Dave Wohlabaugh,Shaun O'Hara,Ryan Tucker,Tyrone Rogers,Gerard Warren,Orpheus Roye,Courtney Brown,,Earl Holmes,Corey Fuller,Daylon McCutcheon,Robert Griffith,Devin Bush Sr.,Trent Green,Priest Holmes,,Jason Dunn,Willie Roaf,Brian Waters,Casey Wiegmann,Will Shields,John Tait,Eric Hicks,John Browning,,Duane Clemons,Lewis Bush,,,Eric Warfield,William Bartee,Greg Wesley,Jason Belser,24,24,30-194-4,20-59-0,20-29-276-1-1,28-40-359-4-0,0-0,1-7,276,352,470,411,0-0,1-1,1,1,9-87,4-38,5-11,4-11,0-0,0-0,30:16,29:44,,,Derrick Ransom,,,,,Darren Hambrick,Dwayne Rudd,Marvcus Patton,,,,Steve Heiden,,,,,,,Mike Maslowski,Eddie Kennison,Johnnie Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,September 8,1,2002,83,Washington Redskins,Arizona Cardinals,31,23,Steve Spurrier,Dave McGinnis,1-0,0-1,outdoors,grass,Washington Redskins -6.0,44.5 (over),Shane Matthews,Stephen Davis,Derrius Thompson,Zeron Flemister,Chris Samuels,David Loverne,Larry Moore,Brendan Stai,Jon Jansen,Renaldo Wynn,Dan Wilkinson,Daryl Gardener,Bruce Smith,,Jeremiah Trotter,Champ Bailey,Fred Smoot,Sam Shade,David Terrell,Jake Plummer,Thomas Jones,David Boston,Freddie Jones,L.J. Shelton,Pete Kendall,Mike Gruttadauria,Chris Dishman,Leonard Davis,Fred Wakefield,Russell Davis,Marcus Bell,Kyle Vanden Bosch,,,,Duane Starks,David Barrett,Justin Lucas,Kwamie Lassiter,14,21,20-70-1,32-122-1,14-36-187-1-1,28-40-327-3-1,1-0,1-7,187,320,257,442,1-0,0-0,1,1,1-5,7-56,4-13,9-16,0-0,1-2,25:36,34:24,Joel Makovicka,,,,,Bryan Johnson,,LaVar Arrington,Jessie Armstead,Ronald McKinnon,,,,,,,,,,,,,,Raynoch Thompson,Rob Fredrickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,September 8,1,2002,83,Tennessee Titans,Philadelphia Eagles,27,24,Jeff Fisher,Andy Reid,1-0,0-1,outdoors,grass,Tennessee Titans -2.0,37.0 (over),Steve McNair,Eddie George,Kevin Dyson,Frank Wycheck,Brad Hopkins,Zach Piller,Gennaro DiNapoli,Benji Olson,Fred Miller,Kevin Carter,John Thornton,Henry Ford,Jevon Kearse,,Randall Godfrey,Andre Dyson,Samari Rolle,Tank Williams,Lance Schulters,Donovan McNabb,Duce Staley,Todd Pinkston,Chad Lewis,Tra Thomas,John Welbourn,Hank Fraley,Jermane Mayberry,Jon Runyan,Brandon Whiting,Corey Simon,Darwin Walker,Hugh Douglas,,,,Bobby Taylor,Al Harris,Blaine Bishop,Brian Dawkins,17,22,22-80-0,25-61-1,18-36-212-3-2,24-34-269-2-1,6-31,1-2,181,267,261,328,1-1,4-3,3,4,10-113,6-50,7-15,6-10,1-1,0-0,29:12,30:48,Cecil Martin,,,,,Greg Comella,,Peter Sirmon,Keith Bulluck,Levon Kirkland,,,,,,,,,,,,,,,,Carlos Emmons,Shawn Barber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,September 8,1,2002,83,Tampa Bay Buccaneers,New Orleans Saints,20,26,Jon Gruden,Jim Haslett,0-1,1-0,outdoors,grass,Tampa Bay Buccaneers -6.0,37.5 (over),Brad Johnson,Michael Pittman,Karl Williams,,Roman Oben,Kerry Jenkins,Jeff Christy,Todd Washington,Cornell Green,Greg Spires,Warren Sapp,Anthony McFarland,Simeon Rice,,Shelton Quarles,Brian Kelly,Ronde Barber,John Lynch,Dexter Jackson,Aaron Brooks,Deuce McAllister,Joe Horn,David Sloan,Kyle Turley,Kendyl Jacox,Jerry Fontenot,LeCharles Bentley,Spencer Folau,Charles Grant,,,Darren Howard,,,,Michael Hawthorne,Fred Thomas,,,21,19,34-118-0,21-72-0,24-42-260-2-1,28-53-278-2-1,2-10,3-17,250,261,368,333,0-0,1-0,1,1,5-45,8-85,10-20,7-19,0-0,0-1,40:41,31:29,,,,Darrin Smith,,,,,Derrick Brooks,,,,Dwight Smith,,,,,,,,,,,,,,,Ken Irvin,Grady Jackson,Sammy Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,September 8,1,2002,83,Oakland Raiders,Seattle Seahawks,31,17,Bill Callahan,Mike Holmgren,1-0,0-1,outdoors,grass,Oakland Raiders -7.5,40.0 (over),Rich Gannon,Charlie Garner,Jerry Rice,Roland Williams,Barry Sims,Frank Middleton,Barret Robbins,Matt Stinchcomb,Lincoln Kennedy,,,,,Bill Romanowski,,,,Derrick Gibson,Rod Woodson,Matt Hasselbeck,Shaun Alexander,Darrell Jackson,,Floyd Womack,Steve Hutchinson,Robbie Tobeck,Chris Gray,Jerry Wunsch,Lamar King,Chad Eaton,Brandon Mitchell,Antonio Cochran,,,,Shawn Springs,Ken Lucas,Reggie Tongue,Marcus Robertson,14,27,16-43-0,40-221-2,23-32-155-2-0,19-28-214-2-1,3-12,2-12,143,202,186,423,2-0,1-1,0,2,13-105,5-45,1-11,7-12,2-2,1-1,25:09,34:51,,,,Chad Brown,John Parrella,Jon Ritchie,,,,Isaiah Kacyvenski,,,,,,,,,,,,,,,,,,,,,Tory James,Trace Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,September 8,1,2002,83,Denver Broncos,St. Louis Rams,23,16,Mike Shanahan,Mike Martz,1-0,0-1,outdoors,grass,St. Louis Rams -3.0,51.0 (under),Brian Griese,Olandis Gary,Ed McCaffrey,Shannon Sharpe,Ephraim Salaam,Ben Hamilton,Tom Nalen,Dan Neil,Matt Lepsis,Trevor Pryce,Lional Dalton,Chester McGlockton,Kavika Pittman,,Al Wilson,Deltha O'Neal,Denard Walker,Kenoy Kennedy,Izell Reese,Kurt Warner,Marshall Faulk,Brandon Manumaleuna,Ernie Conwell,Orlando Pace,Tom Nutten,Andy McCollum,Adam Timmerman,John St. Clair,Brian Young,Ryan Pickett,Jeff Zgonina,Grant Wistrom,Don Davis,,,Aeneas Williams,Dre' Bly,Adam Archuleta,Kim Herring,15,18,13-32-1,26-104-0,32-41-315-0-1,18-27-202-2-2,3-20,4-15,295,187,327,291,2-1,1-0,2,2,6-44,3-31,3-12,2-10,0-1,1-1,31:46,28:14,Chris Hetherington,,,,,Mike Anderson,,John Mobley,Ian Gold,Jamie Duncan,,,,,,,,,,,Tommy Polley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,September 8,1,2002,83,Houston Texans,Dallas Cowboys,19,10,Dom Capers,Dave Campo,1-0,0-1,retractable roof (closed),grass,Dallas Cowboys -8.5,33.5 (under),David Carr,James Allen,Corey Bradford,Rod Rutledge,Chester Pitts,DeMingo Graham,Steve McKinney,Fred Weary,Jimmy Herndon,Gary Walker,,,Jerry DeLoach,,Jamie Sharper,Aaron Glenn,Marcus Coleman,Eric Brown,Matt Stevens,Quincy Carter,Emmitt Smith,Antonio Bryant,Tony McGee,Flozell Adams,Larry Allen,Andre Gurode,Kelvin Garmon,Solomon Page,Greg Ellis,,,Ebenezer Ekuban,,,,Bryant Westbrook,Mario Edwards,Darren Woodson,,11,13,24-155-1,35-87-0,13-30-131-0-1,10-22-145-2-1,3-19,6-22,112,123,267,210,3-1,1-0,2,1,9-117,11-80,2-13,2-15,0-0,0-0,26:05,33:55,Robert Thomas,,Brandon Noble,,,Jarrod Baxter,Seth Payne,,,Dat Nguyen,Kevin Hardy,Dexter Coakley,,,,,,,,,,,,,,,,,La'Roi Glover,,,,Jay Foreman,Kailee Wong,Jeff Posey,,,,,,,,,,,,,,,,,,,,,,,,
15,September 9,1,2002,83,New England Patriots,Pittsburgh Steelers,30,14,Bill Belichick,Bill Cowher,1-0,0-1,outdoors,grass,Pittsburgh Steelers -2.5,37.5 (over),Tom Brady,Antowain Smith,Troy Brown,Daniel Graham,Matt Light,Joe Andruzzi,Mike Compton,Damien Woody,Kenyatta Jones,Willie McGinest,,,Anthony Pleasant,Roman Phifer,Tedy Bruschi,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,Kordell Stewart,Jerome Bettis,Hines Ward,Jerame Tuman,Wayne Gandy,Alan Faneca,Jeff Hartings,Oliver Ross,Marvel Smith,,,,,Jason Gildon,James Farrior,Kendrell Bell,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,20,20,24-74-1,18-63-0,25-38-247-1-3,29-43-294-3-0,5-38,2-14,209,280,283,343,2-2,1-1,5,1,13-112,7-88,4-14,5-13,2-2,0-0,30:31,29:29,Dan Kreider,,Casey Hampton,,Steve Martin,Marc Edwards,,,,,,,,,,,,,,,Joey Porter,,,,,,,,,,,,,,,Aaron Smith,,,,,,,,,,,,,,,,,,,,,,,
16,September 15,2,2002,83,Kansas City Chiefs,Jacksonville Jaguars,16,23,Dick Vermeil,Tom Coughlin,1-1,1-1,outdoors,grass,Kansas City Chiefs -3.5,46.0 (under),Trent Green,Priest Holmes,,Jason Dunn,Willie Roaf,Brian Waters,Casey Wiegmann,Will Shields,John Tait,Eric Hicks,John Browning,,Duane Clemons,,Marvcus Patton,Eric Warfield,William Bartee,Greg Wesley,Jason Belser,Mark Brunell,Fred Taylor,Patrick Johnson,Pete Mitchell,Zach Wiegert,Brad Meester,John Wade,Chris Naeole,Maurice Williams,Marco Coleman,Marcus Stroud,Larry Smith,Tony Brackens,Akin Ayodele,,,Fernando Bryant,Jason Craft,Donovin Darius,Marlon McCree,19,18,29-130-1,28-140-0,25-36-320-2-0,16-32-199-1-2,0-0,1-3,320,196,450,336,1-1,0-0,1,2,5-45,5-48,7-15,6-13,1-1,0-0,31:44,28:16,,,,,,Tony Richardson,Derrick Ransom,,,Wali Rainer,,,,,,,,,,,Danny Clark,,,,,,,,,,,,,Lewis Bush,Mike Maslowski,,Johnnie Morton,,,,,,,,,,,,,,,,,,,,,,
17,September 15,2,2002,83,Indianapolis Colts,Miami Dolphins,13,21,Tony Dungy,Dave Wannstedt,1-1,2-0,dome,astroturf,Pick,47.0 (under),Peyton Manning,Edgerrin James,Qadry Ismail,,Tarik Glenn,Rick DeMulling,Jeff Saturday,Ryan Diem,Adam Meadows,Raheem Brock,Brad Scioli,Larry Tripplett,Chad Bratzke,,Rob Morris,Walt Harris,David Macklin,Cory Bird,Idrees Bashir,Jay Fiedler,Ricky Williams,Chris Chambers,Randy McMichael,Mark Dixon,Jamie Nails,Tim Ruddy,Todd Perry,Todd Wade,Adewale Ogunleye,Tim Bowens,Larry Chester,Jason Taylor,,,,Patrick Surtain,Sam Madison,Arturo Freeman,Brock Marion,17,29,34-163-1,31-143-0,13-18-187-2-1,26-45-289-1-3,1-8,0-0,179,289,342,432,2-0,0-0,1,3,11-68,5-35,5-10,4-11,0-0,1-2,28:47,31:13,,,,,,,,Mike Peterson,Marcus Washington,Zach Thomas,,,,,,,,,,,,,,,,,,Shawn Wooden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,September 15,2,2002,83,Dallas Cowboys,Tennessee Titans,21,13,Dave Campo,Jeff Fisher,1-1,1-1,outdoors,astroturf,Tennessee Titans -3.5,37.5 (under),Quincy Carter,Emmitt Smith,Joey Galloway,Tony McGee,Flozell Adams,Larry Allen,Andre Gurode,Kelvin Garmon,Solomon Page,Greg Ellis,,,Ebenezer Ekuban,,Keith Adams,Duane Hawthorne,Mario Edwards,Darren Woodson,,Steve McNair,Eddie George,Derrick Mason,Frank Wycheck,Brad Hopkins,Zach Piller,Gennaro DiNapoli,Benji Olson,Fred Miller,Carlos Hall,Henry Ford,John Thornton,Kevin Carter,,,,Andre Dyson,Samari Rolle,Tank Williams,Lance Schulters,19,14,26-98-0,26-67-0,23-43-259-1-1,14-24-240-2-0,3-24,1-10,235,230,333,297,1-0,0-0,1,0,6-55,2-15,7-17,4-12,1-2,0-0,35:45,24:15,Greg Comella,,,,La'Roi Glover,,Brandon Noble,Kevin Hardy,Dexter Coakley,Frank Chamberlin,,,,,,,,,,,,,,,Keith Bulluck,,,Donald Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,September 15,2,2002,83,Baltimore Ravens,Tampa Bay Buccaneers,0,25,Brian Billick,Jon Gruden,0-2,1-1,outdoors,grass,Tampa Bay Buccaneers -4.5,32.0 (under),Chris Redman,Jamal Lewis,Ron Johnson,Todd Heap,,Casey Rabach,Mike Flynn,Bennie Anderson,Edwin Mulitalo,Michael McCrary,,,Anthony Weaver,,,Alvin Porter,Chris McAlister,Anthony Mitchell,Ed Reed,Brad Johnson,Michael Pittman,Keyshawn Johnson,Ken Dilger,Roman Oben,Kerry Jenkins,Jeff Christy,Cosey Coleman,Kenyatta Walker,Greg Spires,Warren Sapp,Anthony McFarland,Simeon Rice,,,,Brian Kelly,Ronde Barber,John Lynch,Dexter Jackson,17,12,30-74-0,20-55-0,24-31-211-0-0,16-38-141-0-1,1-6,3-23,205,118,279,173,1-0,1-0,0,1,10-74,3-25,6-14,4-15,0-0,1-2,35:31,24:29,Mike Alstott,,,,,Alan Ricard,Kelly Gregg,,,Shelton Quarles,Alshermond Singleton,Derrick Brooks,,,,,,,,,,,,,,,,,,,,,,Shannon Taylor,Peter Boulware,,,Ed Hartwell,Ray Lewis,,,,,,,,,,,,,,,,,,,,
20,September 15,2,2002,83,New York Jets,New England Patriots,7,44,Herm Edwards,Bill Belichick,1-1,2-0,outdoors,grass,New York Jets -1.0,41.0 (over),Vinny Testaverde,Curtis Martin,Wayne Chrebet,,Jason Fabini,J.P. Machado,Kevin Mawae,Randy Thomas,Kareem McKenzie,Shaun Ellis,Josh Evans,,John Abraham,,Marvin Jones,Donnie Abraham,Aaron Beasley,Sam Garnes,Damien Robinson,Tom Brady,Antowain Smith,David Patten,Christian Fauria,Matt Light,Mike Compton,Damien Woody,Joe Andruzzi,Kenyatta Jones,Bobby Hamilton,,,Anthony Pleasant,,,,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,24,9,40-163-1,9-32-0,25-35-269-2-1,18-33-189-1-1,0-0,5-21,269,168,432,200,1-1,1-1,2,2,3-36,7-55,10-16,1-12,2-2,1-3,38:04,21:56,Marc Edwards,,,Mike Vrabel,,Richie Anderson,Jason Ferguson,Mo Lewis,Sam Cowart,Ted Johnson,,,,,,,,,,,,,,,,,,,Richard Seymour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,September 15,2,2002,83,Cleveland Browns,Cincinnati Bengals,20,7,Butch Davis,Dick LeBeau,1-1,0-2,outdoors,grass,Cleveland Browns -3.5,39.0 (under),Kelly Holcomb,William Green,Kevin Johnson,Mark Campbell,Ross Verba,Barry Stokes,Shaun O'Hara,Paul Zukauskas,Roger Chanoine,Kenard Lang,Gerard Warren,Orpheus Roye,Mark Word,,Earl Holmes,Corey Fuller,Daylon McCutcheon,Robert Griffith,Devin Bush Sr.,Gus Frerotte,,Peter Warrick,Sean Brewer,,Matt O'Dwyer,Rich Braham,Mike Goff,,Bernard Whittington,Oliver Gibson,Tony Williams,Justin Smith,,,,Jeff Burris,Artrell Hawkins,JoJuan Armour,Cory Hall,28,15,31-156-0,27-75-0,26-47-239-1-3,17-30-198-2-0,5-38,1-8,201,190,357,265,2-0,0-0,3,0,3-30,12-87,9-17,4-12,0-2,0-1,31:18,28:42,Lorenzo Neal,,,,,,,Darren Hambrick,Dwayne Rudd,Brian Simmons,,,,,,,,,Corey Dillon,,,,,Adrian Ross,Takeo Spikes,,,,,,,,,,,,,,,Richmond Webb,Willie Anderson,,,,,,,,,,,,,,,,,,
