,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeLDT,homeRDT,homeRDE,homeOLB,homeMLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awayLOLB,awayLILB,awayRILB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayFB,awayILB,awayNT,awayOLB,homeDT,homeFB,homeNT,homeSLB,homeWLB,awayMLB,awaySLB,awayWLB,homeDB,homeHB,homeLLB,homeRLB,homeLOT,homeROT,awayHB,awayUT,awayROLB,awayX,awayZ,awayLLB,awayRLB,awaySAM,awayWILL,awayDB,awayDT,awayS,homeCB,homeDE,homeBLB,homeLOLB,homeROLB,awayDE,homeZ,homeLILB,homeRILB,awayLOT,awayROT,homeILB,awayCB,awayBLB,homeUT,homeSAM,homeWIL,homeX,awayFL,awaySE,homeLB,homeFL,homeSE,homeS,awayWIL,awayLB,awayE,awayT,homeDL
179,December 1,13,2002,83,Kansas City Chiefs,Arizona Cardinals,49,0,Dick Vermeil,Dave McGinnis,6-6,4-8,outdoors,grass,Kansas City Chiefs -9.0,47.0 (over),Trent Green,Priest Holmes,,Tony Gonzalez,Willie Roaf,Brian Waters,Casey Wiegmann,Will Shields,John Tait,Eric Hicks,John Browning,,Duane Clemons,,Marvcus Patton,Eric Warfield,Ray Crockett,Greg Wesley,Shaunard Harts,Jake Plummer,Marcel Shipp,Jason McAddley,Steve Bush,L.J. Shelton,Pete Kendall,Jason Starkey,Chris Dishman,Leonard Davis,Fred Wakefield,Russell Davis,Barron Tanner,Kyle Vanden Bosch,Raynoch Thompson,,,Renaldo Hill,David Barrett,Adrian Wilson,Kwamie Lassiter,10,27,15-26-0,38-216-3,18-43-133-0-4,18-25-266-3-0,5-37,1-5,96,261,122,477,1-0,1-1,4,1,6-50,4-51,5-16,7-12,0-2,0-0,26:25,33:35,,,,,,Tony Richardson,Eric Downing,,,Ronald McKinnon,,,,,,,,,,,LeVar Woods,,,,,,,,,,,,,Scott Fujita,Mike Maslowski,,Johnnie Morton,,,,,,,,,,,Eddie Kennison,,,,,,,,,,,
180,December 1,13,2002,83,Cincinnati Bengals,Baltimore Ravens,23,27,Dick LeBeau,Brian Billick,1-11,6-6,outdoors,grass,Baltimore Ravens -2.5,37.5 (over),Jon Kitna,,Chad Johnson,Nick Luchey,,Matt O'Dwyer,Brock Gutierrez,Mike Goff,,Bernard Whittington,Glen Steele,Tony Williams,Justin Smith,,Brian Simmons,Jeff Burris,Artrell Hawkins,JoJuan Armour,Cory Hall,Jeff Blake,Jamal Lewis,Javin Hunter,Todd Heap,Jonathan Ogden,Edwin Mulitalo,Mike Flynn,Bennie Anderson,Ethan Brooks,Anthony Weaver,,,Adalius Thomas,Cornell Brown,Ed Hartwell,Bernardo Harris,Robert Tate,Gary Baxter,Ed Reed,Will Demps,15,25,31-148-0,29-78-1,10-19-115-2-0,30-46-308-2-1,3-16,1-5,99,303,247,381,1-0,2-1,0,2,8-79,3-30,6-13,6-16,1-1,4-5,27:34,32:26,,,Kelly Gregg,,,,,,,,,,,Corey Dillon,Canute Curtis,Takeo Spikes,Levi Jones,Willie Anderson,,,Peter Boulware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,December 1,13,2002,83,Green Bay Packers,Chicago Bears,30,20,Mike Sherman,Dick Jauron,9-3,3-9,outdoors,grass,Green Bay Packers -9.5,37.5 (over),Brett Favre,Ahman Green,Terry Glenn,Bubba Franks,Mike Flanagan,Mike Wahle,Frank Winters,Marco Rivera,Earl Dotson,Vonnie Holliday,,,Kabeer Gbaja-Biamila,,Hardy Nickerson,Mike McKenzie,Tyrone Williams,Marques Anderson,Darren Sharper,Jim Miller,Anthony Thomas,Marty Booker,Dustin Lyman,Mike Gandy,Kevin Dogins,Olin Kreutz,Chris Villarrial,James Williams,Phillip Daniels,Bryan Robinson,Keith Traylor,Alex Brown,,,,R.W. McQuarters,Jerry Azumah,Michael Green,Mike Brown,19,26,17-74-0,32-181-1,27-38-248-3-1,24-42-221-2-1,3-18,1-6,230,215,304,396,5-3,2-1,4,2,5-39,2-33,3-11,6-14,2-2,0-1,27:22,32:38,Daimon Shelton,,,,Cletidus Hunt,William Henderson,Rod Walker,Na'il Diggs,Nate Wayne,Brian Urlacher,Rosevelt Colvin,Bobbie Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,December 1,13,2002,83,Buffalo Bills,Miami Dolphins,38,21,Gregg Williams,Dave Wannstedt,6-6,7-5,outdoors,astroturf,Miami Dolphins -2.0,37.0 (over),Drew Bledsoe,Travis Henry,Eric Moulds,Dave Moore,Jonas Jennings,Ruben Brown,Trey Teague,Marques Sullivan,Mike Williams,Kendrick Office,Ron Edwards,Pat Williams,Aaron Schobel,,London Fletcher,Antoine Winfield,Nate Clements,Billy Jenkins,Pierson Prioleau,Ray Lucas,,Chris Chambers,Randy McMichael,Mark Dixon,Jamie Nails,Tim Ruddy,Todd Perry,Todd Wade,Adewale Ogunleye,Tim Bowens,Larry Chester,Jason Taylor,,,,Patrick Surtain,Sam Madison,Arturo Freeman,Brock Marion,14,21,34-270-2,37-161-2,11-20-55-1-1,15-27-306-3-0,2-25,4-36,30,270,300,431,3-2,0-0,3,0,5-38,7-56,4-11,8-15,0-2,0-2,27:19,32:41,Rob Konrad,,,,,,,Keith Newman,Eddie Robinson,Zach Thomas,Morlon Greenwood,Derrick Rodgers,,,,,,,Ricky Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,December 1,13,2002,83,New York Giants,Tennessee Titans,29,32,Jim Fassel,Jeff Fisher,6-6,7-5,outdoors,grass,New York Giants -3.0,34.0 (over),Kerry Collins,Tiki Barber,Amani Toomer,Jeremy Shockey,Luke Petitgout,Rich Seubert,Chris Bober,Jason Whittle,Mike Rosenthal,Michael Strahan,Dwight Johnson,Lance Legree,Kenny Holmes,Dhani Jones,Micheal Barrow,Will Allen,Jason Sehorn,Shaun Williams,Omar Stoutmire,Steve McNair,Eddie George,Derrick Mason,Frank Wycheck,Brad Hopkins,Zach Piller,Gennaro DiNapoli,Benji Olson,Fred Miller,Kevin Carter,,Henry Ford,Carlos Hall,,,,Andre Dyson,Samari Rolle,Tank Williams,Lance Schulters,31,24,32-142-1,25-62-1,30-43-334-3-0,22-36-283-2-0,1-0,1-0,334,283,476,345,1-1,0-0,1,0,12-121,6-55,7-14,4-10,2-2,0-0,35:47,29:13,Greg Comella,,,,,,,,,Randall Godfrey,,,,,,,,,,,,,,Peter Sirmon,Keith Bulluck,,,,John Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,December 1,13,2002,83,Cleveland Browns,Carolina Panthers,6,13,Butch Davis,John Fox,6-6,4-8,outdoors,grass,Cleveland Browns -7.5,34.5 (under),Tim Couch,William Green,Kevin Johnson,Mark Campbell,Ross Verba,Barry Stokes,Dave Wohlabaugh,Shaun O'Hara,Ryan Tucker,Kenard Lang,Gerard Warren,Orpheus Roye,Courtney Brown,,Earl Holmes,Corey Fuller,Anthony Henry,Robert Griffith,Earl Little,Rodney Peete,Dee Brown,Muhsin Muhammad,Wesley Walls,Todd Steussie,Jamar Nesbit,Jeff Mitchell,Kevin Donnalley,Melvin Tuten,Julius Peppers,Shane Burton,Kris Jenkins,Mike Rucker,,,,Terry Cousin,Reggie Howard,Mike Minter,Deon Grant,11,14,38-145-0,28-140-0,8-19-89-1-2,12-27-130-0-3,0-0,3-12,89,118,234,258,1-0,2-2,2,5,3-25,2-10,5-15,4-12,1-1,0-0,32:23,27:37,Brad Hoover,,,,,,,Darren Hambrick,Dwayne Rudd,Will Witherspoon,Mark Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dante Wesley,,,,,,,,,,,,,,,,
185,December 1,13,2002,83,Jacksonville Jaguars,Pittsburgh Steelers,23,25,Tom Coughlin,Bill Cowher,5-7,7-4-1,outdoors,grass,Pittsburgh Steelers -3.0,44.0 (over),Mark Brunell,Fred Taylor,Jimmy Smith,Pete Mitchell,Mike Pearson,Brad Meester,John Wade,Chris Naeole,Todd Fordham,Marco Coleman,John Henderson,Marcus Stroud,Rob Meier,,Wali Rainer,Fernando Bryant,Jason Craft,Ainsley Battles,Marlon McCree,Kordell Stewart,Jerome Bettis,Hines Ward,Jerame Tuman,Wayne Gandy,Alan Faneca,Chukky Okobi,Keydrick Vincent,Marvel Smith,Kimo von Oelhoffen,,,Aaron Smith,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,23,13,40-219-1,21-102-1,17-27-201-0-1,12-23-146-2-0,2-17,3-22,184,124,403,226,0-0,0-0,1,0,4-25,0-0,2-11,3-11,1-1,1-1,38:41,21:19,,Kendrell Bell,Casey Hampton,Jason Gildon,,,,Danny Clark,T.J. Slaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,December 1,13,2002,83,Indianapolis Colts,Houston Texans,19,3,Tony Dungy,Dom Capers,8-4,3-9,dome,astroturf,Indianapolis Colts -11.5,39.5 (under),Peyton Manning,Edgerrin James,Marvin Harrison,Joe Davenport,Tarik Glenn,Rick DeMulling,Jeff Saturday,Ryan Diem,Adam Meadows,Chad Bratzke,Brad Scioli,Larry Tripplett,Dwight Freeney,,Rob Morris,Walt Harris,Jason Doering,David Gibson,Idrees Bashir,David Carr,Jonathan Wells,Jabari Holloway,Billy Miller,Chester Pitts,Cameron Spikes,Steve McKinney,Fred Weary,Ryan Young,Gary Walker,,,Jerry DeLoach,Kailee Wong,,,Aaron Glenn,Marcus Coleman,Eric Brown,Matt Stevens,10,13,20-65-0,32-88-1,20-35-137-0-0,15-28-190-1-0,6-37,0-0,100,190,165,278,3-2,3-1,2,1,14-92,9-75,2-15,4-15,0-1,0-0,27:52,32:08,Jarrod Baxter,,Seth Payne,,,,,,,Jamie Sharper,,,,,Mike Peterson,Marcus Washington,,,,,Jeff Posey,,,,,,,,,,,,,,,,,,,,,,,Jay Foreman,,,,,,,,,,,,,,,
187,December 1,13,2002,83,San Diego Chargers,Denver Broncos,30,27,Marty Schottenheimer,Mike Shanahan,8-4,7-5,outdoors,grass,Denver Broncos -3.0,40.0 (over),Drew Brees,LaDainian Tomlinson,Justin Peelle,Stephen Alexander,Damion McIntosh,Kelvin Garmon,Jason Ball,Toniu Fonoti,Sammy Williams,Marcellus Wiley,Jamal Williams,Jason Fisk,Raylee Johnson,,Donnie Edwards,Alex Molden,Quentin Jammer,Rodney Harrison,Keith Lyle,Steve Beuerlein,Clinton Portis,Rod Smith,Mike Anderson,Ephraim Salaam,Steve Herndon,Ben Hamilton,Dan Neil,Matt Lepsis,Trevor Pryce,Lional Dalton,Chester McGlockton,Kavika Pittman,,,,Deltha O'Neal,Denard Walker,Kenoy Kennedy,Izell Reese,20,25,27-156-2,38-220-3,22-39-288-1-2,27-41-217-0-0,4-27,1-3,261,214,417,434,2-1,0-0,3,0,9-57,1-5,2-13,7-18,1-1,0-1,32:13,39:46,,,,,,Fred McCrary,,Ben Leber,Junior Seau,Keith Burns,John Mobley,Ian Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,December 1,13,2002,83,Philadelphia Eagles,St. Louis Rams,10,3,Andy Reid,Mike Martz,9-3,5-7,outdoors,fieldturf,St. Louis Rams -2.0,38.0 (under),A.J. Feeley,Duce Staley,Todd Pinkston,Chad Lewis,Tra Thomas,John Welbourn,Hank Fraley,Jermane Mayberry,Jon Runyan,Darwin Walker,Corey Simon,Paul Grasmanis,Hugh Douglas,,Levon Kirkland,Troy Vincent,Bobby Taylor,Blaine Bishop,Brian Dawkins,Kurt Warner,Lamar Gordon,Isaac Bruce,Brandon Manumaleuna,Orlando Pace,Heath Irwin,Andy McCollum,Adam Timmerman,John St. Clair,Leonard Little,Ryan Pickett,Jeff Zgonina,Grant Wistrom,,,,Travis Fisher,Dre' Bly,Adam Archuleta,Kim Herring,13,12,20-76-0,31-108-0,20-42-218-0-2,14-30-181-0-0,8-44,3-24,174,157,250,265,5-3,4-4,5,4,5-35,9-65,6-19,5-16,0-0,0-0,30:39,29:21,,,,,,Cecil Martin,,,,Jamie Duncan,Robert Thomas,Tommy Polley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Emmons,Shawn Barber,,,,,,,,,,,,
189,December 1,13,2002,83,San Francisco 49ers,Seattle Seahawks,31,24,Steve Mariucci,Mike Holmgren,8-4,4-8,outdoors,grass,San Francisco 49ers -8.5,43.5 (over),Jeff Garcia,Garrison Hearst,Terrell Owens,Eric Johnson,Derrick Deese,Eric Heitmann,Jeremy Newberry,Ron Stone,Scott Gragg,Chike Okeafor,Bryant Young,Jim Flanigan,Andre Carter,,,Ahmed Plummer,Jason Webster,John Keith,Tony Parrish,Matt Hasselbeck,Shaun Alexander,Koren Robinson,Itula Mili,Walter Jones,Chris Gray,Robbie Tobeck,Floyd Wedderburn,Chris Terry,Lamar King,Chad Eaton,John Randle,Antonio Cochran,,,,Shawn Springs,Ken Lucas,Reggie Tongue,Marcus Robertson,25,21,19-80-0,38-142-3,30-55-427-3-2,16-29-164-0-2,0-0,1-7,427,157,507,299,2-1,1-0,3,2,6-55,2-10,8-15,9-16,0-1,1-1,27:35,32:25,Mack Strong,,,Tim Terry,,Fred Beasley,,,,Orlando Huff,,,,,,,,,,,,,,,,,,,,,,,,Julian Peterson,,,,Derek Smith,Jeff Ulbrich,,,,,,,,,,,,,,,,,,,,
